Date,Open,High,Low,Close,Volume
2000-02-16,446.88,450.0,437.5,437.5,174
2000-02-17,431.25,440.63,431.25,434.38,410
2000-02-18,440.63,443.75,434.38,434.38,70
2000-02-22,434.38,446.88,431.25,431.25,106
2000-02-23,425.0,431.25,425.0,425.0,180
2000-02-24,425.0,431.25,425.0,425.0,44
2000-02-25,425.0,434.38,425.0,425.0,82
2000-02-28,450.0,450.0,434.38,450.0,224
2000-02-29,453.13,453.13,443.75,443.75,122
2000-03-01,0.0,453.13,440.63,440.63,94
2000-03-02,0.0,431.25,415.63,415.63,108
2000-03-03,0.0,415.63,415.63,415.63,54
2000-03-06,0.0,428.13,412.5,421.88,928
2000-03-07,418.75,418.75,412.5,415.63,674
2000-03-08,409.38,409.38,403.13,406.25,568
2000-03-09,412.5,412.5,403.13,412.5,238
2000-03-10,406.25,406.25,403.13,403.13,22
2000-03-13,396.88,450.0,393.75,450.0,276
2000-03-14,443.75,468.75,443.75,443.75,372
2000-03-15,450.0,475.0,434.38,434.38,420
2000-03-16,440.63,443.75,434.38,437.5,128
2000-03-17,428.13,446.88,428.13,443.75,470
2000-03-20,446.88,446.88,440.63,440.63,36
2000-03-21,443.75,443.75,428.13,431.25,202
2000-03-22,425.0,428.13,400.0,403.13,660
2000-03-23,400.0,400.0,375.0,375.0,1172
2000-03-24,368.75,368.75,350.0,368.75,1412
2000-03-27,371.88,371.88,365.63,365.63,2398
2000-03-28,365.63,371.88,356.25,356.25,856
2000-03-29,356.25,368.75,337.5,368.75,14016
2000-03-30,362.5,362.5,325.0,334.38,3488
2000-03-31,328.13,350.0,325.0,350.0,40990
2000-04-03,346.88,356.25,337.5,353.13,7972
2000-04-04,350.0,353.13,337.5,346.88,2424
2000-04-05,346.88,350.0,325.0,328.13,4962
2000-04-06,321.88,325.0,300.0,306.25,2150
2000-04-07,306.25,306.25,278.13,293.75,1666
2000-04-10,300.0,300.0,253.13,253.13,3990
2000-04-11,250.0,271.88,240.63,240.63,2096
2000-04-12,240.63,262.5,237.5,253.13,29388
2000-04-13,268.75,287.5,253.13,278.13,5770
2000-04-14,300.0,309.38,275.0,284.38,3472
2000-04-17,287.5,306.25,287.5,300.0,1510
