Date,Open,High,Low,Close,Volume
2015-07-06,5.9,5.9,5.41,5.52,673029
2015-07-07,5.46,5.57,4.93,4.95,1436341
2015-07-08,4.88,5.07,4.85,4.88,923765
2015-07-09,4.95,4.99,4.72,4.78,1351057
2015-07-10,4.94,5.01,4.78,4.84,1415671
2015-07-13,4.75,4.82,4.53,4.71,1318760
2015-07-14,4.66,4.77,4.59,4.7,581876
2015-07-15,4.65,4.66,4.48,4.5,646833
2015-07-16,4.47,4.55,4.4,4.41,1440975
2015-07-17,4.39,4.4,4.06,4.11,1494112
2015-07-20,3.93,3.95,3.34,3.36,1780185
2015-07-21,3.4,3.53,3.36,3.41,1254802
2015-07-22,3.33,3.44,3.23,3.36,2082921
2015-07-23,3.36,3.4,3.02,3.08,1668405
2015-07-24,3.14,3.36,3.12,3.32,996090
2015-07-27,3.3,3.38,2.98,3.02,1719272
2015-07-28,3.02,3.25,3.02,3.21,700616
2015-07-29,3.21,3.33,3.13,3.27,950417
2015-07-30,3.23,3.24,3.05,3.12,809073
2015-07-31,3.2,3.27,3.15,3.25,405964
2015-08-03,3.21,3.21,3.01,3.05,572049
2015-08-04,3.1,3.19,3.05,3.14,895179
2015-08-05,3.21,3.21,3.08,3.09,671680
2015-08-06,3.17,3.28,3.08,3.14,854536
2015-08-07,3.07,3.27,3.05,3.06,685095
2015-08-10,3.07,3.24,3.06,3.21,1453297
2015-08-11,3.33,3.54,3.27,3.47,2141768
2015-08-12,3.61,3.94,3.52,3.92,2505474
2015-08-13,3.75,3.93,3.55,3.6,1304481
2015-08-14,3.66,3.73,3.55,3.62,357882
2015-08-17,3.73,3.88,3.63,3.84,1115576
2015-08-18,3.82,3.87,3.68,3.74,505475
2015-08-19,3.96,4.31,3.93,4.12,995237
2015-08-20,4.24,4.62,4.24,4.52,1684448
2015-08-21,4.57,4.59,4.25,4.37,2285111
2015-08-24,4.13,4.35,3.88,3.97,1734511
2015-08-25,4.02,4.07,3.72,3.81,921754
2015-08-26,3.74,3.74,3.51,3.52,981532
2015-08-27,3.55,3.88,3.52,3.75,1237441
2015-08-28,3.72,4.17,3.72,4.13,914129
2015-08-31,3.95,4.11,3.84,4.1,638542
2015-09-01,4.14,4.49,4.05,4.4,2253569
2015-09-02,4.44,4.59,4.32,4.44,1302781
2015-09-03,4.32,4.6,4.32,4.32,1054178
2015-09-04,4.3,4.37,3.96,4.18,2359599
2015-09-08,4.37,4.52,4.21,4.5,1056624
2015-09-09,4.39,4.43,4.27,4.3,1103793
2015-09-10,4.36,4.39,4.26,4.31,1017498
2015-09-11,4.3,4.42,4.03,4.2,1962876
2015-09-14,4.2,4.62,4.2,4.27,1919124
2015-09-15,4.29,4.32,4.2,4.24,813875
2015-09-16,4.32,4.44,4.25,4.42,1350191
2015-09-17,4.34,4.57,4.12,4.54,1894225
2015-09-18,4.67,4.72,4.39,4.7,5200966
2015-09-21,4.75,4.78,4.25,4.27,1808003
2015-09-22,4.16,4.2,3.94,3.99,1115634
2015-09-23,4.06,4.08,3.89,3.94,761727
2015-09-24,4.03,4.25,3.97,4.19,1518097
2015-09-25,4.03,4.1,3.96,3.98,909800
2015-09-28,3.85,3.9,3.63,3.69,929682
2015-09-29,3.71,3.78,3.55,3.6,944407
2015-09-30,3.51,3.72,3.51,3.69,678006
2015-10-01,3.69,3.78,3.56,3.62,562561
2015-10-02,3.75,3.9,3.69,3.86,932990
2015-10-05,3.84,4.1,3.83,4.07,1353213
2015-10-06,4.15,4.45,4.1,4.33,1486458
2015-10-07,4.38,4.46,4.17,4.38,1573909
2015-10-08,4.31,4.63,4.27,4.44,1841195
2015-10-09,4.58,4.8,4.53,4.8,1986250
2015-10-12,4.87,4.88,4.6,4.72,874612
2015-10-13,4.71,4.79,4.63,4.69,776036
2015-10-14,4.75,5.08,4.7,4.98,1979609
2015-10-15,4.8,4.87,4.58,4.72,1319057
2015-10-16,4.7,4.76,4.45,4.47,855756
2015-10-19,4.4,4.44,4.12,4.16,1540682
2015-10-20,4.21,4.57,4.19,4.51,1305959
2015-10-21,4.5,4.51,4.3,4.39,1030948
2015-10-22,4.37,4.5,4.25,4.25,515730
2015-10-23,4.33,4.58,4.27,4.53,1296882
2015-10-26,4.31,4.45,4.3,4.32,656249
2015-10-27,4.29,4.35,4.21,4.33,644802
2015-10-28,4.4,4.54,4.13,4.22,1204972
2015-10-29,4.28,4.3,3.98,3.98,1145181
2015-10-30,3.99,4.04,3.84,3.84,1002075
2015-11-02,3.85,3.89,3.68,3.81,896934
2015-11-03,3.75,3.88,3.7,3.82,793730
2015-11-04,3.84,3.85,3.58,3.66,844602
2015-11-05,3.65,3.69,3.52,3.53,1862737
2015-11-06,3.46,3.53,3.31,3.38,1282426
2015-11-09,3.38,3.51,3.35,3.5,1343745
2015-11-10,3.42,3.49,3.33,3.39,1012398
2015-11-11,3.39,3.43,3.21,3.27,1082223
2015-11-12,3.21,3.24,2.9,2.99,2544483
2015-11-13,2.98,3.11,2.93,3.07,658487
2015-11-16,3.09,3.15,3.02,3.04,838062
2015-11-17,3.03,3.05,2.91,2.93,1092892
2015-11-18,2.92,3.0,2.89,2.99,1520254
2015-11-19,3.03,3.19,2.98,3.14,1328896
2015-11-20,3.16,3.17,2.87,2.94,1480319
2015-11-23,2.94,2.97,2.85,2.85,761711
2015-11-24,2.89,2.95,2.82,2.92,851280
2015-11-25,2.91,3.03,2.87,2.98,444089
2015-11-27,2.91,3.0,2.89,2.99,267886
2015-11-30,2.99,3.05,2.97,3.0,1155370
2015-12-01,3.04,3.15,2.99,3.11,694296
2015-12-02,3.04,3.09,2.99,3.07,581383
2015-12-03,3.07,3.35,3.05,3.34,830923
2015-12-04,3.38,3.54,3.34,3.48,1352984
2015-12-07,3.4,3.48,3.24,3.28,1114222
2015-12-08,3.28,3.34,3.11,3.16,937009
2015-12-09,3.23,3.28,3.13,3.16,716340
2015-12-10,3.14,3.28,3.12,3.22,857410
2015-12-11,3.15,3.34,3.12,3.23,983950
2015-12-14,3.43,3.44,3.18,3.19,1222836
2015-12-15,3.22,3.25,3.13,3.14,869000
2015-12-16,3.2,3.28,3.08,3.26,1531074
2015-12-17,3.17,3.26,3.04,3.21,1386159
2015-12-18,3.26,3.32,3.19,3.23,4782721
2015-12-21,3.36,3.38,3.3,3.31,721584
2015-12-22,3.28,3.38,3.27,3.35,626168
2015-12-23,3.35,3.54,3.34,3.53,640041
2015-12-24,3.55,3.61,3.53,3.54,316475
2015-12-28,3.48,3.51,3.35,3.36,349818
2015-12-29,3.4,3.44,3.32,3.32,566304
2015-12-30,3.22,3.3,3.19,3.29,295388
2015-12-31,3.28,3.32,3.24,3.29,338303
2016-01-04,3.36,3.59,3.34,3.44,765218
2016-01-05,3.44,3.52,3.44,3.49,422983
2016-01-06,3.54,3.63,3.48,3.61,690215
2016-01-07,3.65,3.75,3.52,3.66,1810701
2016-01-08,3.58,3.64,3.32,3.48,1470877
2016-01-11,3.45,3.49,3.16,3.17,1270452
2016-01-12,3.13,3.2,3.0,3.08,1762865
2016-01-13,3.05,3.17,3.04,3.08,800375
2016-01-14,3.01,3.05,2.73,2.75,2006696
2016-01-15,2.92,2.93,2.52,2.57,1536555
2016-01-19,2.54,2.54,2.34,2.41,2046107
2016-01-20,2.43,2.47,2.29,2.34,2236462
2016-01-21,2.32,2.44,2.27,2.4,1047615
2016-01-22,2.42,2.47,2.35,2.44,1309800
2016-01-25,2.47,2.65,2.46,2.64,657244
2016-01-26,2.67,2.97,2.67,2.91,1363208
2016-01-27,2.86,3.16,2.84,3.13,1511469
2016-01-28,3.1,3.25,3.07,3.16,1360929
2016-01-29,3.1,3.39,3.1,3.24,2070689
2016-02-01,3.26,3.41,3.25,3.36,1358711
2016-02-02,3.22,3.36,3.11,3.18,601161
2016-02-03,3.18,3.45,3.18,3.39,1632647
2016-02-04,3.49,3.75,3.48,3.61,2079224
2016-02-05,3.55,3.93,3.49,3.93,1865049
2016-02-08,4.01,4.28,3.94,4.11,2540532
2016-02-09,4.31,4.32,3.79,3.82,1889106
2016-02-10,3.78,3.86,3.62,3.81,1645538
2016-02-11,4.29,4.45,4.08,4.26,2231670
2016-02-12,4.19,4.38,4.1,4.36,1800515
2016-02-16,4.14,4.33,3.94,3.98,1543012
2016-02-17,4.01,4.04,3.86,4.0,1456333
2016-02-18,3.93,4.34,3.93,4.31,2739408
2016-02-19,4.3,4.38,4.23,4.27,2552782
2016-02-22,4.09,4.33,4.08,4.23,1104354
2016-02-23,4.32,4.43,4.2,4.22,1968145
2016-02-24,4.4,4.5,4.18,4.3,2642777
2016-02-25,4.26,4.44,4.24,4.4,1056520
2016-02-26,4.3,4.46,4.28,4.3,1535806
2016-02-29,4.38,4.59,4.29,4.57,1036065
2016-03-01,4.61,4.62,4.39,4.43,1564384
2016-03-02,4.48,4.6,4.42,4.53,1042900
2016-03-03,4.54,5.18,4.52,5.13,1959533
2016-03-04,5.33,5.64,5.22,5.23,3500088
2016-03-07,5.33,5.75,5.32,5.54,2354923
2016-03-08,5.71,5.72,5.23,5.24,2219638
2016-03-09,5.09,5.28,4.96,5.18,1626714
2016-03-10,5.04,5.34,5.0,5.17,2146101
2016-03-11,5.2,5.24,5.0,5.04,1489016
2016-03-14,5.04,5.22,4.83,4.91,2528971
2016-03-15,4.83,4.98,4.7,4.95,1318244
2016-03-16,4.89,5.33,4.76,5.26,1576247
2016-03-17,5.44,5.66,5.31,5.36,1993775
2016-03-18,5.35,5.6,5.25,5.41,8645104
2016-03-21,5.39,5.62,5.28,5.36,1126141
2016-03-22,5.47,5.52,5.31,5.39,701541
2016-03-23,5.22,5.28,4.94,4.94,2094936
2016-03-24,4.97,5.12,4.92,5.08,1067839
2016-03-28,5.16,5.16,4.86,4.98,941712
2016-03-29,4.94,5.33,4.94,5.31,1403786
2016-03-30,5.27,5.36,5.09,5.23,1248957
2016-03-31,5.27,5.38,5.27,5.29,1131720
2016-04-01,5.12,5.61,5.1,5.61,1689497
2016-04-04,5.54,5.57,5.16,5.2,1790861
2016-04-05,5.32,5.44,5.19,5.33,1705086
2016-04-06,5.27,5.52,5.24,5.5,1523906
2016-04-07,5.75,5.86,5.58,5.75,2493332
2016-04-08,5.8,6.18,5.8,6.17,2570505
2016-04-11,6.31,6.42,6.2,6.41,3106373
2016-04-12,6.44,6.44,6.16,6.27,2187390
2016-04-13,6.16,6.37,6.06,6.13,1352294
2016-04-14,6.05,6.15,5.74,5.87,1790365
2016-04-15,5.91,6.23,5.83,6.18,1434662
2016-04-18,6.31,6.33,6.15,6.21,1040876
2016-04-19,6.46,6.49,6.29,6.41,2244377
2016-04-20,6.31,6.63,6.11,6.19,2448940
2016-04-21,6.4,6.4,6.13,6.35,2043366
2016-04-22,6.29,6.4,6.07,6.11,1764911
2016-04-25,6.07,6.28,6.05,6.08,1588009
2016-04-26,6.17,6.19,5.97,6.09,1696931
2016-04-27,6.11,6.47,6.09,6.36,2139374
2016-04-28,6.43,6.73,6.4,6.72,2361019
2016-04-29,6.9,7.22,6.85,7.2,3645033
2016-05-02,7.26,7.36,7.04,7.07,3194456
2016-05-03,6.98,7.2,6.83,7.01,3692672
2016-05-04,6.87,7.06,6.27,6.37,1980645
2016-05-05,6.49,6.62,6.32,6.56,1444228
2016-05-06,6.68,7.1,6.63,6.98,3122409
2016-05-09,6.72,6.78,6.52,6.52,1732262
2016-05-10,6.63,6.96,6.48,6.88,1494573
2016-05-11,7.03,7.2,6.63,6.91,2594508
2016-05-12,6.93,7.11,6.72,6.72,1884262
2016-05-13,6.53,6.81,6.48,6.68,1703227
2016-05-16,6.89,7.17,6.87,7.11,2670467
2016-05-17,7.18,7.45,7.06,7.38,3116016
2016-05-18,7.23,7.53,6.74,6.75,3486232
2016-05-19,6.56,6.94,6.52,6.86,2956419
2016-05-20,6.93,7.07,6.64,7.04,3453023
2016-05-23,6.85,6.97,6.67,6.79,1667053
2016-05-24,6.45,6.58,6.12,6.14,2609126
2016-05-25,6.05,6.34,5.85,6.27,2710510
