Date,Open,High,Low,Close,Volume
2015-02-24,8.27,9.73,8.0,9.5,1455129
2015-02-25,9.77,10.11,9.54,10.01,502096
2015-02-26,9.85,10.0,9.63,10.0,292142
2015-02-27,9.95,10.1,9.48,9.58,878828
2015-03-02,10.04,10.25,9.07,9.07,964792
2015-03-03,9.02,9.32,8.77,8.89,1031794
2015-03-04,8.87,9.0,8.37,8.48,834362
2015-03-05,8.59,8.75,8.51,8.59,740812
2015-03-06,8.51,8.65,8.18,8.44,785538
2015-03-09,8.37,8.51,8.01,8.04,615063
2015-03-10,8.0,8.03,7.74,7.84,459238
2015-03-11,7.8,8.23,7.76,8.18,223650
2015-03-12,8.27,8.3,7.85,7.85,254020
2015-03-13,7.66,7.84,7.2,7.24,737034
2015-03-16,7.22,7.24,6.27,6.48,945209
2015-03-17,6.5,6.5,6.27,6.33,586072
2015-03-18,6.27,6.44,6.15,6.37,642947
2015-03-19,6.22,6.36,5.81,6.02,1062585
2015-03-20,6.1,6.32,6.1,6.25,298401
2015-03-23,6.23,6.48,6.16,6.31,325848
2015-03-24,6.38,6.47,6.16,6.17,119541
2015-03-25,6.15,6.31,6.12,6.21,178214
2015-03-26,6.24,6.38,6.19,6.3,260596
2015-03-27,6.27,6.49,6.14,6.18,295473
2015-03-30,6.2,6.33,6.17,6.26,220685
2015-03-31,6.22,6.27,6.0,6.01,516994
2015-04-01,6.0,6.26,5.96,6.12,333140
2015-04-02,6.03,6.32,6.03,6.3,889099
2015-04-06,6.34,6.72,6.26,6.6,276704
2015-04-07,6.6,6.91,6.51,6.81,627361
2015-04-08,6.78,6.99,6.74,6.79,832816
2015-04-09,6.76,6.88,6.68,6.76,340132
2015-04-10,6.74,6.88,6.72,6.74,132729
2015-04-13,6.78,6.87,6.64,6.69,151464
2015-04-14,6.67,6.89,6.67,6.81,192586
2015-04-15,6.85,7.28,6.78,7.2,337248
2015-04-16,7.22,7.55,7.12,7.41,734117
2015-04-17,7.44,7.6,7.3,7.59,245621
2015-04-20,7.55,7.9,7.51,7.85,615278
2015-04-21,7.92,7.97,7.77,7.9,415198
2015-04-22,7.8,7.97,7.75,7.89,245357
2015-04-23,7.98,8.05,7.88,7.88,283940
2015-04-24,7.8,7.95,7.8,7.86,224983
2015-04-27,7.91,7.91,7.56,7.65,279397
2015-04-28,7.59,7.76,7.34,7.56,157377
2015-04-29,7.33,7.59,7.33,7.49,285455
2015-04-30,7.51,7.77,7.45,7.75,230758
2015-05-01,7.76,7.8,7.6,7.8,127728
2015-05-04,7.81,7.87,7.67,7.84,124770
2015-05-05,7.89,7.98,7.8,7.91,105522
2015-05-06,7.91,7.96,7.69,7.71,167783
2015-05-07,7.68,7.68,7.33,7.39,242201
