Date,Open,High,Low,Close,Volume
2015-03-25,11.7,12.33,11.63,12.14,830001
2015-03-26,12.8,13.6,12.39,12.9,2361691
2015-03-27,12.76,12.77,11.91,11.92,2014112
2015-03-30,11.82,12.18,11.04,11.45,2592205
2015-03-31,11.19,11.44,10.88,11.13,2695318
2015-04-01,11.16,11.58,11.05,11.07,8697796
2015-04-02,11.13,11.49,11.1,11.37,3086151
2015-04-06,11.46,12.93,11.46,12.83,3639718
2015-04-07,12.8,13.34,12.45,13.02,2032181
2015-04-08,13.0,13.25,12.66,12.73,2062174
2015-04-09,12.66,13.5,12.66,13.4,1325865
2015-04-10,13.38,13.74,13.28,13.69,1473334
2015-04-13,13.83,14.19,13.66,13.8,1382398
2015-04-14,14.05,15.33,14.03,15.29,3459967
2015-04-15,15.55,16.55,15.13,16.36,3579763
2015-04-16,16.15,16.73,15.9,16.15,2239616
2015-04-17,15.86,16.16,15.12,15.58,2020008
2015-04-20,15.4,15.98,15.34,15.44,1022963
2015-04-21,15.64,15.66,14.14,14.25,2411355
2015-04-22,14.15,14.33,13.58,14.02,3072920
2015-04-23,14.07,14.82,13.96,14.56,1465369
2015-04-24,14.4,14.82,14.3,14.73,1329715
2015-04-27,15.04,15.75,15.04,15.09,1740899
2015-04-28,15.0,15.44,14.88,15.24,1262236
2015-04-29,15.27,16.81,15.12,16.59,3028298
2015-04-30,16.67,17.52,16.19,17.45,2724316
2015-05-01,17.06,17.68,16.87,17.4,2178823
2015-05-04,17.39,18.0,16.86,17.38,1875595
2015-05-05,17.7,18.45,17.28,17.3,2004729
2015-05-06,17.66,18.05,16.9,17.24,2490939
2015-05-07,17.11,17.11,15.59,16.0,3280019
2015-05-08,16.36,16.9,15.61,16.65,2806882
2015-05-11,16.87,17.18,15.31,15.55,2593583
2015-05-12,15.58,16.35,15.13,16.01,1439990
2015-05-13,16.15,16.19,15.14,15.19,2658965
2015-05-14,15.2,15.86,15.01,15.05,1580116
2015-05-15,15.05,15.64,14.8,15.44,1092951
2015-05-18,15.39,15.43,14.86,15.35,1095672
2015-05-19,15.12,15.18,14.61,15.14,1796475
2015-05-20,15.32,15.6,15.11,15.32,1251175
2015-05-21,15.56,15.94,15.49,15.72,1127816
2015-05-22,15.36,15.92,15.34,15.81,1025539
2015-05-26,15.52,15.89,15.07,15.39,1947793
2015-05-27,15.28,15.57,14.8,15.04,1464958
2015-05-28,14.8,14.98,14.25,14.7,1553293
2015-05-29,14.93,15.22,14.79,15.03,1664607
2015-06-01,14.92,15.17,14.52,14.7,1348107
2015-06-02,14.88,15.23,14.65,15.0,1552147
2015-06-03,14.9,15.37,14.83,15.07,1463306
2015-06-04,14.84,15.09,14.74,14.76,1050277
2015-06-05,14.62,15.49,14.57,15.1,1313201
2015-06-08,15.07,15.44,14.71,14.89,1226705
2015-06-09,15.16,15.34,14.6,14.63,1364454
2015-06-10,15.0,15.16,14.81,15.1,1061900
2015-06-11,15.1,15.11,14.65,14.95,732583
2015-06-12,14.86,14.95,14.43,14.7,1121151
2015-06-15,14.43,14.69,14.19,14.43,908915
2015-06-16,14.55,14.74,14.35,14.58,955045
2015-06-17,14.74,14.82,14.32,14.7,1078363
2015-06-18,14.78,14.79,13.57,13.89,2768915
2015-06-19,13.76,13.79,13.37,13.6,1990639
2015-06-22,13.66,13.93,13.37,13.47,1333717
2015-06-23,13.4,13.73,13.36,13.68,1359070
2015-06-24,13.56,13.84,13.41,13.59,1546793
2015-06-25,13.56,13.56,12.88,13.12,1586636
2015-06-26,12.98,13.01,12.65,12.86,3183506
2015-06-29,12.53,13.37,12.41,13.22,2001237
2015-06-30,13.45,13.72,13.09,13.2,1770887
2015-07-01,13.13,13.36,12.38,12.75,2160396
2015-07-02,12.85,13.04,12.62,12.79,1266056
2015-07-06,12.28,12.44,12.03,12.26,1194713
2015-07-07,12.12,12.17,11.32,12.06,2325403
2015-07-08,11.88,12.25,11.31,11.41,1564716
2015-07-09,11.83,11.87,11.48,11.68,2230965
2015-07-10,11.82,11.94,11.51,11.66,1354888
2015-07-13,11.62,12.02,11.44,11.96,991061
2015-07-14,11.89,12.83,11.89,12.5,2086998
2015-07-15,12.36,12.42,11.86,11.92,1871707
2015-07-16,11.99,12.02,11.27,11.44,2184698
2015-07-17,11.38,11.42,10.6,10.91,2810792
2015-07-20,10.83,10.9,10.49,10.69,2470384
2015-07-21,10.74,11.11,10.44,10.69,2290123
2015-07-22,10.44,10.54,9.83,9.89,3243886
2015-07-23,10.03,10.59,9.69,10.26,2889424
2015-07-24,10.19,10.35,9.48,9.63,1491084
2015-07-27,9.43,9.44,8.85,9.02,3151646
2015-07-28,9.17,9.81,8.79,9.48,3593305
2015-07-29,9.33,10.29,9.0,10.24,3177452
2015-07-30,10.15,10.32,9.56,9.7,2308803
2015-07-31,9.6,9.83,9.52,9.65,1715558
2015-08-03,9.5,9.71,9.07,9.19,1353364
2015-08-04,9.42,9.62,8.94,9.07,1211991
2015-08-05,9.23,9.61,8.89,9.04,2067813
2015-08-06,8.98,9.35,8.18,9.08,5093428
2015-08-07,8.76,8.89,7.7,7.72,4759884
2015-08-10,7.78,8.14,7.52,8.04,3506526
2015-08-11,7.81,7.92,7.48,7.79,1553467
2015-08-12,7.76,8.04,7.36,7.4,2501987
2015-08-13,7.25,7.38,6.86,6.87,2341871
2015-08-14,6.9,7.11,6.48,6.61,2526841
2015-08-17,6.65,6.67,6.22,6.26,2218504
2015-08-18,6.31,6.31,5.55,5.63,3851718
2015-08-19,5.66,5.78,5.08,5.25,3582422
2015-08-20,5.3,5.45,4.8,4.81,3085338
2015-08-21,4.74,5.05,4.01,4.06,4955685
2015-08-24,3.32,3.83,3.16,3.17,5029969
2015-08-25,3.55,3.67,2.97,3.2,6096421
2015-08-26,3.21,3.53,3.14,3.5,6852554
2015-08-27,3.65,4.3,3.58,4.2,6621043
2015-08-28,4.37,5.17,4.2,5.13,7811047
2015-08-31,5.0,5.55,4.55,5.54,5124464
2015-09-01,4.99,5.36,4.98,5.19,3572524
2015-09-02,5.31,5.35,4.69,4.93,2557709
2015-09-03,4.92,5.47,4.83,5.2,3649750
2015-09-04,4.94,5.03,4.69,4.96,2155924
2015-09-08,5.01,5.2,4.84,5.06,1898774
2015-09-09,5.08,5.2,4.54,4.69,1834433
2015-09-10,4.66,4.74,4.16,4.32,3147134
2015-09-11,4.14,4.22,3.71,3.86,2861843
2015-09-14,3.86,3.98,3.62,3.97,1491941
2015-09-15,3.96,4.15,3.9,4.11,1921001
2015-09-16,4.25,4.84,4.25,4.64,5959998
2015-09-17,4.78,4.93,4.49,4.76,3480495
2015-09-18,4.51,4.61,4.28,4.39,3917849
2015-09-21,4.5,4.55,4.18,4.23,1261164
2015-09-22,4.1,4.26,4.04,4.25,1151484
2015-09-23,4.3,4.31,4.09,4.19,1529866
2015-09-24,4.12,4.55,4.0,4.52,1594161
2015-09-25,4.59,4.67,4.05,4.08,3417591
2015-09-28,4.0,4.15,3.89,4.14,2171249
2015-09-29,4.07,4.33,4.07,4.26,1844192
2015-09-30,4.05,4.1,3.3,3.52,8761211
2015-10-01,3.62,3.88,3.32,3.55,3024509
2015-10-02,3.26,3.84,3.26,3.83,2800192
2015-10-05,3.93,4.2,3.83,4.08,2071309
2015-10-06,4.03,5.12,4.03,5.03,4670960
2015-10-07,5.22,5.47,4.8,5.14,3819950
2015-10-08,5.15,5.4,4.76,5.34,2467567
2015-10-09,5.39,5.61,5.15,5.2,2370721
2015-10-12,5.23,5.23,4.69,4.7,1514910
2015-10-13,4.61,5.14,4.52,4.8,2029861
2015-10-14,4.8,5.48,4.71,5.3,2754565
2015-10-15,5.19,5.69,4.9,5.54,2705806
2015-10-16,5.51,5.55,5.0,5.18,2165730
2015-10-19,5.05,5.36,4.9,5.06,1281659
2015-10-20,5.08,5.4,4.92,5.09,2329015
2015-10-21,5.02,5.24,4.93,4.99,1815649
2015-10-22,5.08,5.3,4.97,5.15,1442675
2015-10-23,5.07,5.31,4.89,5.27,2106513
2015-10-26,5.19,5.24,4.85,4.98,2026036
2015-10-27,4.9,4.93,4.48,4.72,2174147
2015-10-28,4.72,5.25,4.64,5.01,1595348
2015-10-29,4.95,5.04,4.72,4.8,2409859
2015-10-30,4.83,5.0,4.59,4.99,1935792
2015-11-02,4.88,5.34,4.67,5.26,2566323
2015-11-03,5.33,6.23,5.32,5.85,3137318
2015-11-04,5.85,6.11,5.59,5.66,1946457
2015-11-05,5.46,5.76,4.67,4.74,4929680
2015-11-06,4.63,5.21,4.6,5.21,2136849
2015-11-09,5.14,5.28,4.88,5.05,1419972
2015-11-10,4.99,5.45,4.94,5.25,2139682
2015-11-11,5.22,5.24,4.7,4.88,1636523
2015-11-12,4.75,4.96,4.46,4.5,1528338
2015-11-13,4.46,4.63,4.15,4.5,1582216
2015-11-16,4.59,4.93,4.46,4.85,1625960
2015-11-17,4.74,5.06,4.57,4.75,1207783
2015-11-18,4.84,5.07,4.69,5.06,1608151
2015-11-19,4.97,5.08,4.76,4.87,1727802
2015-11-20,4.89,4.99,4.75,4.97,1557526
2015-11-23,4.8,5.42,4.8,5.37,3129355
2015-11-24,5.45,5.8,5.3,5.51,1979710
2015-11-25,5.35,5.98,5.26,5.83,1776618
2015-11-27,5.74,5.81,5.41,5.49,587335
2015-11-30,5.74,6.0,5.61,5.96,2872333
2015-12-01,5.93,6.03,5.72,5.91,1718108
2015-12-02,5.81,6.22,5.71,5.75,2056398
2015-12-03,5.83,6.06,5.68,5.81,1252286
2015-12-04,5.65,5.73,5.17,5.42,1244522
2015-12-07,5.07,5.2,5.01,5.11,1122868
2015-12-08,4.89,4.95,4.53,4.56,2904526
2015-12-09,4.62,5.16,4.62,5.14,1760446
2015-12-10,5.15,5.38,5.07,5.13,1337848
2015-12-11,5.29,5.36,4.76,4.81,2399440
2015-12-14,4.82,4.93,4.32,4.56,3369943
2015-12-15,4.56,4.88,4.56,4.77,1188762
2015-12-16,4.72,4.88,4.51,4.56,1424370
2015-12-17,4.55,4.56,4.36,4.43,1340579
2015-12-18,4.58,4.61,4.31,4.35,2020990
2015-12-21,4.38,4.4,3.9,4.03,2022979
2015-12-22,3.92,4.61,3.92,4.58,1473495
2015-12-23,4.7,5.09,4.7,4.95,2796836
2015-12-24,4.99,5.37,4.93,5.16,1071091
2015-12-28,5.02,5.02,4.6,4.71,1170793
2015-12-29,4.85,4.89,4.6,4.83,937607
2015-12-30,4.62,4.91,4.59,4.68,1151661
2015-12-31,4.66,4.88,4.49,4.76,2572767
2016-01-04,4.75,4.97,4.53,4.88,2192473
2016-01-05,4.74,4.74,4.08,4.18,2248479
2016-01-06,4.07,4.19,4.01,4.09,799062
2016-01-07,3.95,3.96,3.33,3.36,3816323
2016-01-08,3.46,3.5,3.08,3.49,2319413
2016-01-11,3.46,3.46,3.1,3.22,3508809
2016-01-12,3.4,3.41,2.85,3.01,2439478
2016-01-13,3.15,3.22,2.84,2.85,2190977
2016-01-14,2.85,2.99,2.59,2.91,2450433
2016-01-15,2.66,2.8,2.52,2.71,921959
2016-01-19,2.72,2.85,1.89,2.01,3196700
2016-01-20,1.92,1.94,1.5,1.58,5250439
2016-01-21,1.56,1.91,1.54,1.74,4149846
2016-01-22,2.21,2.25,1.7,1.77,3934058
2016-01-25,1.73,1.87,1.65,1.78,1986960
2016-01-26,1.82,1.96,1.71,1.89,1556150
2016-01-27,1.87,2.35,1.82,2.25,2862774
2016-01-28,2.51,2.67,2.24,2.3,2731350
2016-01-29,2.3,2.48,2.26,2.46,1837595
2016-02-01,2.35,2.53,2.25,2.49,1713677
2016-02-02,2.37,2.37,2.2,2.23,942034
2016-02-03,2.28,2.31,2.0,2.3,1375215
2016-02-04,2.18,2.9,2.18,2.79,3299130
2016-02-05,2.69,2.91,2.6,2.75,1752109
2016-02-08,2.6,2.7,2.45,2.61,1442288
2016-02-09,2.51,2.56,2.21,2.26,1341534
2016-02-10,2.3,2.48,2.15,2.32,761095
2016-02-11,2.27,2.27,1.9,2.14,2087002
2016-02-12,2.22,2.29,1.84,1.9,1795823
2016-02-16,2.01,2.27,1.93,2.25,1714560
2016-02-17,2.36,2.58,2.3,2.35,1620539
2016-02-18,2.35,2.41,2.2,2.28,1028683
2016-02-19,2.22,2.25,2.05,2.2,485956
2016-02-22,2.26,2.38,2.06,2.1,1443895
2016-02-23,2.15,2.63,1.61,1.61,6472359
2016-02-24,1.52,1.59,0.82,1.09,11760510
2016-02-25,1.16,1.17,0.8,0.89,9723808
2016-02-26,0.92,1.3,0.91,1.0,8615375
2016-02-29,1.04,1.11,0.97,1.03,5087373
2016-03-01,1.1,1.3,0.98,1.26,4036312
2016-03-02,1.29,1.38,1.12,1.37,3342797
2016-03-03,1.38,1.8,1.37,1.63,4232493
2016-03-04,1.86,1.89,1.56,1.73,6272322
2016-03-07,1.8,2.45,1.8,2.35,7106307
2016-03-08,2.35,2.35,1.7,1.71,4644168
2016-03-09,1.91,1.96,1.66,1.84,3108727
2016-03-10,1.79,1.83,1.57,1.75,2923958
2016-03-11,1.93,1.99,1.57,1.71,4685303
2016-03-14,1.6,1.8,1.5,1.79,1715469
2016-03-15,1.72,1.72,1.4,1.52,3356250
2016-03-16,1.56,1.7,1.55,1.59,1779598
2016-03-17,1.7,1.88,1.65,1.82,3288634
2016-03-18,1.94,2.07,1.81,1.88,3966926
2016-03-21,1.88,1.9,1.73,1.84,1358740
2016-03-22,1.84,1.84,1.65,1.68,2192595
2016-03-23,1.64,1.66,1.5,1.55,1601265
2016-03-24,1.52,1.58,1.45,1.5,1556074
2016-03-28,1.46,1.57,1.35,1.46,1848371
2016-03-29,1.42,1.5,1.36,1.46,1360986
2016-03-30,1.49,1.59,1.41,1.43,1477698
2016-03-31,1.47,1.54,1.4,1.41,1846034
2016-04-01,1.35,1.46,1.35,1.44,1376856
2016-04-04,1.43,1.49,1.28,1.34,1371750
2016-04-05,1.35,1.35,1.21,1.22,1251825
2016-04-06,1.33,1.48,1.22,1.39,2459719
2016-04-07,1.37,1.43,1.3,1.33,821376
2016-04-08,1.43,1.46,1.31,1.38,1613568
2016-04-11,1.39,1.49,1.39,1.43,1027826
2016-04-12,1.48,1.69,1.44,1.65,3199896
2016-04-13,1.66,1.68,1.52,1.59,2107717
2016-04-14,1.61,1.64,1.5,1.51,1064359
2016-04-15,1.5,1.58,1.42,1.55,996731
2016-04-18,1.4,1.47,1.35,1.42,2019527
2016-04-19,1.44,1.48,1.41,1.47,1552751
2016-04-20,1.39,1.45,1.33,1.39,1936696
2016-04-21,1.43,1.55,1.4,1.45,1569673
2016-04-22,1.47,1.61,1.44,1.48,1691890
2016-04-25,1.5,1.56,1.41,1.43,1467768
2016-04-26,1.48,1.5,1.35,1.39,2227206
2016-04-27,1.43,1.63,1.39,1.53,4168254
2016-04-28,1.49,1.74,1.49,1.5,6483644
2016-04-29,1.63,1.67,1.37,1.45,3360272
2016-05-02,1.49,1.5,1.33,1.36,2846004
2016-05-03,1.34,1.36,1.22,1.27,2321383
2016-05-04,1.23,1.33,1.21,1.22,1392765
2016-05-05,1.27,1.29,1.08,1.08,2803219
2016-05-06,1.1,1.15,1.08,1.12,833806
2016-05-09,1.12,1.12,1.0,1.02,1811583
2016-05-10,1.23,1.28,1.01,1.07,2412768
2016-05-11,0.78,0.8,0.46,0.46,19449183
2016-05-12,0.53,0.53,0.48,0.5,6608582
2016-05-13,0.51,0.51,0.46,0.46,3417298
2016-05-16,0.49,0.49,0.39,0.41,8079937
2016-05-17,0.43,0.47,0.4,0.44,9315325
2016-05-18,0.43,0.46,0.43,0.44,7425792
2016-05-19,0.43,0.43,0.24,0.26,21153282
2016-05-20,0.28,0.34,0.28,0.32,16010401
2016-05-23,0.36,0.37,0.3,0.34,9867632
2016-05-24,0.35,0.44,0.32,0.39,13905496
2016-05-25,0.4,0.45,0.39,0.41,12241589
