Date,Open,High,Low,Close,Volume
2000-06-30,34.0,34.94,31.75,31.94,100800
2000-07-03,32.25,34.75,31.94,34.0,30500
2000-07-05,33.72,34.75,32.25,34.0,52200
2000-07-06,34.25,34.75,33.88,34.25,54800
2000-07-07,34.75,34.75,33.12,33.75,33800
2000-07-10,34.0,34.12,33.25,33.81,17400
2000-07-11,33.69,37.25,33.69,37.25,88900
2000-07-12,37.5,42.94,36.5,41.69,163200
2000-07-13,41.97,42.12,37.12,39.75,120300
2000-07-14,39.12,39.88,39.12,39.62,54200
2000-07-17,39.75,40.0,38.75,38.75,44000
2000-07-18,39.0,39.0,32.5,35.38,106000
2000-07-19,36.0,36.0,29.25,32.0,82800
2000-07-20,28.5,31.38,28.5,30.5,38300
2000-07-21,31.38,33.88,31.38,32.5,47900
2000-07-24,32.62,32.88,31.5,32.0,25100
2000-07-25,31.88,31.88,28.5,29.0,37700
2000-07-26,29.56,30.0,27.0,28.75,25900
2000-07-27,29.62,31.5,28.5,30.62,33200
2000-07-28,29.53,34.38,29.06,34.19,59100
2000-07-31,34.62,36.5,33.88,35.25,39600
2000-08-01,34.19,35.5,34.19,34.88,28700
2000-08-02,35.12,37.25,35.12,35.75,132500
2000-08-03,35.62,37.12,35.06,37.12,64800
2000-08-04,37.25,37.25,36.5,36.56,25900
2000-08-07,36.75,37.0,36.25,37.0,15300
2000-08-08,37.06,37.12,36.5,36.62,27200
2000-08-09,36.56,36.69,33.25,34.19,53200
2000-08-10,34.5,35.75,33.5,34.94,18000
2000-08-11,34.81,37.94,34.44,37.5,227600
2000-08-14,39.12,42.0,38.0,40.75,135400
2000-08-15,42.0,43.88,41.0,42.88,63200
2000-08-16,42.94,43.5,38.5,38.88,95400
2000-08-17,39.5,41.0,38.75,39.62,40000
2000-08-18,39.88,39.88,39.31,39.62,14500
2000-08-21,40.38,41.0,38.5,38.75,61000
2000-08-22,39.25,40.12,38.62,39.0,70300
2000-08-23,38.88,40.0,38.88,39.62,24700
2000-08-24,39.88,40.25,38.94,38.94,60700
2000-08-25,39.0,39.88,38.94,39.0,11000
2000-08-28,0.0,39.62,38.0,39.0,50000
2000-08-29,38.75,39.88,38.69,39.38,25800
2000-08-30,39.0,39.5,38.88,39.25,16500
2000-08-31,39.62,41.0,39.12,40.38,63600
2000-09-01,41.0,42.38,40.75,41.25,39600
2000-09-05,41.88,44.31,41.0,42.94,76300
2000-09-06,43.0,43.12,41.0,42.56,24400
2000-09-07,43.12,43.12,41.38,43.12,60100
2000-09-08,42.75,43.12,42.19,42.94,25800
2000-09-11,43.0,43.75,42.12,43.31,43600
2000-09-12,43.38,45.0,43.06,44.25,77200
2000-09-13,44.81,44.94,44.0,44.38,53400
2000-09-14,44.69,46.12,44.38,44.56,48400
2000-09-15,43.12,44.38,39.0,42.12,70400
2000-09-18,43.97,44.0,39.5,41.44,80400
2000-09-19,41.41,41.94,39.75,40.12,82700
2000-09-20,41.56,42.0,39.75,40.0,65400
2000-09-21,39.88,40.0,38.25,39.75,13900
2000-09-22,38.38,39.5,37.38,38.75,44100
2000-09-25,38.5,39.25,34.31,36.5,44400
2000-09-26,36.0,37.0,35.5,36.38,15200
2000-09-27,38.0,38.0,34.02,36.0,19700
2000-09-28,36.38,37.38,36.38,36.94,27700
2000-09-29,36.88,40.5,36.31,40.5,20100
2000-10-02,39.5,40.0,39.38,39.62,7400
2000-10-03,39.25,40.06,39.25,39.75,10500
2000-10-04,39.5,40.31,38.25,40.31,10800
2000-10-05,38.88,39.94,38.88,39.88,5700
2000-10-06,38.5,39.0,37.75,37.75,1600
2000-10-09,37.75,40.0,37.12,39.06,9600
2000-10-10,39.0,43.94,39.0,39.94,40400
2000-10-11,39.5,39.5,36.0,37.5,84300
2000-10-12,37.5,37.75,37.06,37.12,17800
2000-10-13,37.62,37.62,35.5,36.59,14800
2000-10-16,35.25,36.56,32.62,33.5,56000
2000-10-17,33.69,34.0,31.06,31.5,77100
2000-10-18,32.0,32.0,28.25,30.0,66400
2000-10-19,28.88,31.38,28.88,31.19,108700
