Date,Open,High,Low,Close,Volume
2000-06-30,10.44,10.56,10.25,10.31,23200
2000-07-03,10.25,10.25,10.06,10.19,5000
2000-07-05,10.16,10.22,10.0,10.0,17200
2000-07-06,10.0,10.0,9.81,9.97,16800
2000-07-07,9.91,10.0,9.88,9.88,12600
2000-07-10,9.78,9.97,9.78,9.78,6800
2000-07-11,9.81,9.97,9.78,9.97,10200
2000-07-12,9.88,10.25,9.88,10.12,29600
2000-07-13,10.0,10.0,9.88,9.88,7600
2000-07-14,10.0,10.22,10.0,10.16,12400
2000-07-17,10.03,10.38,10.0,10.0,25600
2000-07-18,10.0,10.44,10.0,10.31,14000
2000-07-19,10.19,10.25,10.06,10.06,6400
2000-07-20,10.0,10.0,9.88,10.0,6400
2000-07-21,9.88,10.0,9.88,10.0,5200
2000-07-24,10.0,10.06,9.88,9.91,9600
2000-07-25,9.88,9.94,9.78,9.78,9400
2000-07-26,9.91,9.94,9.78,9.91,15000
2000-07-27,9.94,10.19,9.81,9.94,21400
2000-07-28,9.94,10.06,9.78,10.06,15400
2000-07-31,10.16,10.22,10.06,10.06,4600
2000-08-01,10.06,10.06,9.81,9.81,30400
2000-08-02,9.94,10.12,9.94,10.06,26000
2000-08-03,10.0,10.0,9.81,10.0,16000
2000-08-04,9.88,10.25,9.88,10.25,8200
2000-08-07,10.22,10.22,10.22,10.22,6800
2000-08-08,10.09,10.19,10.0,10.19,8200
2000-08-09,10.22,10.22,10.0,10.06,7000
2000-08-10,10.09,10.12,10.06,10.06,15800
2000-08-11,10.09,10.16,10.09,10.16,13600
2000-08-14,10.25,10.28,10.16,10.28,24000
2000-08-15,10.22,10.25,10.22,10.25,30400
2000-08-16,10.25,10.25,10.06,10.06,6600
2000-08-17,10.03,10.22,10.03,10.22,11200
2000-08-18,10.16,10.22,10.16,10.19,1600
2000-08-21,10.22,10.25,10.16,10.22,13000
2000-08-22,10.25,10.28,10.16,10.16,18000
2000-08-23,10.25,10.31,10.16,10.16,8400
2000-08-24,10.28,10.5,10.16,10.16,10400
2000-08-25,10.25,10.44,10.19,10.44,13000
2000-08-28,0.0,10.59,10.28,10.28,6600
2000-08-29,10.28,10.56,10.25,10.38,21600
2000-08-30,10.38,10.47,10.38,10.41,5600
2000-08-31,10.5,10.5,10.28,10.41,5600
2000-09-01,10.47,10.5,10.28,10.5,8600
2000-09-05,10.56,10.56,10.41,10.41,8000
2000-09-06,10.53,10.56,10.41,10.56,18600
2000-09-07,10.5,10.5,10.41,10.41,5200
2000-09-08,10.5,10.88,10.41,10.81,24800
2000-09-11,10.75,10.75,10.66,10.69,4600
2000-09-12,10.75,10.75,10.62,10.75,8400
2000-09-13,10.88,10.88,10.69,10.69,14200
2000-09-14,10.75,11.12,10.75,11.0,60000
2000-09-15,11.0,11.03,11.0,11.03,16000
2000-09-18,11.03,11.03,10.94,11.03,12000
2000-09-19,11.16,11.16,10.88,11.06,12800
2000-09-20,11.03,11.03,10.91,10.97,17400
2000-09-21,10.91,11.0,10.88,10.97,14000
2000-09-22,10.97,11.12,10.84,11.0,64600
2000-09-25,11.0,11.06,10.91,11.06,14000
2000-09-26,10.94,11.0,10.91,10.94,9000
2000-09-27,11.06,11.19,11.06,11.12,10800
2000-09-28,11.22,11.31,11.03,11.25,16800
2000-09-29,11.25,11.59,11.19,11.38,23600
2000-10-02,11.44,11.56,11.38,11.5,8800
2000-10-03,11.25,11.94,11.25,11.72,41600
2000-10-04,11.41,11.62,11.28,11.41,21000
2000-10-05,11.28,11.44,11.25,11.38,20000
2000-10-06,11.31,11.44,11.28,11.41,17600
2000-10-09,11.44,11.62,11.44,11.5,11000
2000-10-10,11.38,11.38,11.09,11.22,22200
2000-10-11,11.12,11.44,11.12,11.12,20600
2000-10-12,11.19,11.19,11.0,11.12,18800
2000-10-13,11.12,11.12,10.81,10.94,53400
2000-10-16,11.0,11.0,10.81,10.81,14200
2000-10-17,10.94,10.97,10.62,10.62,16400
2000-10-18,10.75,10.88,10.47,10.47,10400
2000-10-19,10.53,10.66,10.44,10.47,10800
2000-10-20,10.59,10.62,10.47,10.5,5000
2000-10-23,10.5,10.59,10.47,10.59,10400
2000-10-24,10.47,10.56,10.47,10.5,4200
2000-10-25,10.53,10.69,10.53,10.69,1400
2000-10-26,10.75,10.75,10.5,10.5,10200
2000-10-27,10.59,10.59,10.25,10.28,24800
2000-10-30,10.25,10.5,10.25,10.38,14400
2000-10-31,10.47,10.88,10.47,10.88,6800
2000-11-01,10.88,10.88,10.62,10.72,9000
2000-11-02,10.62,10.62,10.38,10.38,19200
2000-11-03,10.38,10.56,10.25,10.56,7400
2000-11-06,10.5,10.75,10.44,10.66,14400
2000-11-07,10.78,10.94,10.78,10.94,4600
2000-11-08,10.75,10.94,10.75,10.88,11200
2000-11-09,10.88,10.97,10.84,10.97,7800
2000-11-10,10.97,10.97,10.5,10.75,6600
2000-11-13,10.75,10.88,10.75,10.88,5400
2000-11-14,10.81,10.97,10.78,10.78,9400
2000-11-15,10.91,11.0,10.81,10.94,11400
2000-11-16,10.97,11.0,10.94,10.94,5400
2000-11-17,11.0,11.0,10.94,11.0,18400
2000-11-20,11.0,11.0,11.0,11.0,11600
2000-11-21,10.97,11.0,10.97,11.0,9000
2000-11-22,11.0,11.0,10.88,10.88,18600
2000-11-24,10.88,10.88,10.88,10.88,200
2000-11-27,10.75,10.88,10.62,10.62,3800
2000-11-28,10.75,10.97,10.62,10.97,7000
2000-11-29,10.97,11.0,10.97,10.97,19800
2000-11-30,10.88,10.97,10.75,10.75,11600
2000-12-01,10.69,10.81,10.62,10.62,5800
2000-12-04,10.62,10.62,10.38,10.38,11800
2000-12-05,10.5,10.59,10.5,10.56,6600
2000-12-06,10.59,10.78,10.59,10.66,7000
2000-12-07,10.62,10.62,10.47,10.53,4000
2000-12-08,10.66,10.75,10.66,10.69,6200
2000-12-11,10.69,10.69,10.44,10.47,9800
2000-12-12,10.44,10.59,10.44,10.59,11000
2000-12-13,10.59,10.59,10.44,10.53,5000
2000-12-14,10.5,10.56,10.44,10.44,9400
2000-12-15,10.44,10.5,10.38,10.38,15400
2000-12-18,10.25,10.56,10.25,10.31,10800
2000-12-19,10.38,10.47,10.38,10.44,5400
2000-12-20,10.47,10.47,10.25,10.31,6200
2000-12-21,10.41,10.47,10.06,10.34,28400
2000-12-22,10.38,10.5,10.25,10.38,55400
2000-12-26,10.47,10.47,10.38,10.47,12600
2000-12-27,10.44,10.56,10.38,10.56,18800
2000-12-28,10.56,11.47,10.56,11.22,55200
2000-12-29,11.12,11.31,11.12,11.25,57200
2001-01-02,11.06,11.12,10.81,11.12,25600
2001-01-03,11.12,11.59,11.09,11.25,39800
2001-01-04,11.16,11.44,11.16,11.38,24200
2001-01-05,11.38,11.5,11.25,11.5,24800
2001-01-08,11.38,11.75,11.38,11.62,25600
2001-01-09,11.75,11.84,11.38,11.38,30400
2001-01-10,11.47,11.56,11.41,11.47,12800
2001-01-11,11.5,11.5,11.41,11.5,20800
2001-01-12,11.62,12.09,11.47,11.69,58600
2001-01-16,11.72,11.72,11.5,11.53,35200
2001-01-17,11.5,11.5,11.25,11.47,25200
2001-01-18,11.34,11.34,11.12,11.31,25600
2001-01-19,11.25,11.5,11.25,11.5,12800
2001-01-22,11.5,11.5,11.41,11.47,7200
2001-01-23,11.38,11.38,11.25,11.38,18800
2001-01-24,11.44,11.62,11.41,11.5,21400
2001-01-25,11.59,11.75,11.56,11.75,8800
2001-01-26,11.75,11.78,11.47,11.59,15000
2001-01-29,11.62,11.62,11.58,11.62,4600
2001-01-30,11.68,11.75,11.65,11.68,21600
2001-01-31,11.7,11.75,11.55,11.55,12000
2001-02-01,11.52,11.62,11.48,11.6,20200
2001-02-02,11.58,11.6,11.5,11.5,8800
2001-02-05,11.56,11.75,11.52,11.63,24600
2001-02-06,11.66,11.75,11.62,11.75,16200
2001-02-07,11.7,11.78,11.65,11.78,10400
2001-02-08,11.7,11.7,11.52,11.62,30600
2001-02-09,11.62,11.68,11.6,11.6,14000
2001-02-12,11.7,11.82,11.7,11.82,9000
2001-02-13,11.95,12.1,11.92,11.96,29800
2001-02-14,12.01,12.25,12.01,12.22,68800
2001-02-15,12.22,12.22,12.15,12.15,25800
2001-02-16,12.2,12.2,12.12,12.14,23400
