Date,Open,High,Low,Close,Volume
2000-06-30,12.23,12.25,11.75,12.25,6800
2000-07-03,12.0,12.25,11.69,11.69,2600
2000-07-05,11.69,11.75,11.69,11.69,13600
2000-07-06,11.72,12.12,11.72,11.72,1600
2000-07-07,12.12,12.12,11.69,11.75,9600
2000-07-10,11.69,11.97,11.69,11.97,800
2000-07-11,11.75,11.94,11.75,11.94,4000
2000-07-12,11.62,11.88,11.38,11.62,11000
2000-07-13,11.5,11.88,11.5,11.88,6200
2000-07-14,11.56,12.0,11.5,12.0,7600
2000-07-17,12.12,12.25,11.62,11.75,8000
2000-07-18,11.5,12.0,11.44,11.44,30600
2000-07-19,11.47,11.5,11.44,11.44,6000
2000-07-20,11.44,11.44,11.44,11.44,1400
2000-07-21,11.47,11.81,11.44,11.44,4400
2000-07-24,11.44,11.75,11.38,11.75,5400
2000-07-25,11.44,11.5,10.75,10.75,14200
2000-07-26,10.72,10.72,9.44,9.78,46400
2000-07-27,10.0,10.06,10.0,10.06,2800
2000-07-28,10.12,10.12,9.88,10.06,8200
2000-07-31,10.0,10.22,10.0,10.19,9000
2000-08-01,10.12,10.5,9.25,10.5,21000
2000-08-02,10.25,10.25,10.12,10.12,400
2000-08-03,10.0,11.19,10.0,10.38,33600
2000-08-04,10.41,10.88,10.38,10.88,1200
2000-08-07,11.18,11.18,10.47,10.75,18800
2000-08-08,10.5,10.5,10.5,10.5,1000
2000-08-09,11.06,11.5,10.94,11.31,18200
2000-08-10,11.44,11.5,11.34,11.5,17400
2000-08-11,11.19,11.5,10.91,11.25,14600
2000-08-14,10.94,11.31,10.94,11.31,11800
2000-08-15,10.75,11.31,10.62,10.62,7200
2000-08-16,10.75,11.62,10.75,11.47,23400
2000-08-17,11.0,11.0,10.88,10.88,800
2000-08-18,11.62,11.62,10.88,10.88,1200
2000-08-21,11.25,11.25,11.25,11.25,1200
2000-08-22,11.75,11.75,10.88,11.75,10000
2000-08-23,11.72,12.5,11.72,12.41,24400
2000-08-24,12.19,12.5,12.19,12.5,33200
2000-08-25,12.38,12.5,12.38,12.5,2400
2000-08-28,0.0,12.69,12.09,12.09,8000
2000-08-29,11.88,12.75,11.62,11.81,5200
2000-08-30,12.5,12.5,12.5,12.5,200
2000-08-31,12.31,12.5,12.0,12.0,1600
2000-09-01,11.75,11.75,11.75,11.75,200
2000-09-05,12.25,12.47,12.25,12.47,3400
2000-09-06,11.94,14.5,11.88,14.38,98200
2000-09-07,14.22,14.5,14.0,14.5,61200
2000-09-08,14.34,14.5,13.06,14.0,26000
2000-09-11,14.5,15.0,14.5,14.88,95600
2000-09-12,14.86,14.94,14.38,14.38,55400
2000-09-13,14.12,14.5,13.88,14.06,2800
2000-09-14,14.47,14.88,14.44,14.5,4400
2000-09-15,14.5,14.5,14.5,14.5,8800
2000-09-18,15.0,15.0,14.5,14.81,12200
2000-09-19,14.88,15.0,14.5,14.62,22800
2000-09-20,14.53,15.19,14.53,15.0,88200
2000-09-21,14.88,15.25,14.88,15.25,12600
2000-09-22,15.25,15.88,15.25,15.25,64800
2000-09-25,15.03,15.03,13.5,13.5,56800
2000-09-26,13.53,14.5,13.5,13.88,26800
2000-09-27,13.88,14.25,13.75,13.75,5800
2000-09-28,14.25,14.5,13.31,14.0,97800
2000-09-29,14.12,14.69,13.94,14.69,23400
2000-10-02,14.19,14.5,14.16,14.38,9800
2000-10-03,14.62,15.0,14.12,14.75,13400
2000-10-04,14.5,14.5,13.44,13.59,29200
2000-10-05,13.25,13.28,12.56,13.0,29600
