Date,Open,High,Low,Close,Volume
2000-06-30,4.44,4.44,4.28,4.31,9400
2000-07-03,4.31,4.5,4.25,4.44,35000
2000-07-05,4.44,4.44,4.38,4.38,24800
2000-07-06,4.25,4.34,4.25,4.34,23400
2000-07-07,4.31,4.31,4.19,4.22,13200
2000-07-10,4.19,4.22,4.12,4.12,22200
2000-07-11,4.19,4.22,4.19,4.19,15200
2000-07-12,4.12,4.22,4.03,4.03,11000
2000-07-13,4.06,4.25,4.06,4.22,27600
2000-07-14,4.12,4.38,4.12,4.38,65000
2000-07-17,4.31,4.44,4.25,4.44,35800
2000-07-18,4.44,4.5,4.31,4.5,98200
2000-07-19,4.5,4.62,4.5,4.59,80200
2000-07-20,4.62,4.72,4.62,4.69,34000
2000-07-21,4.62,4.78,4.62,4.72,34800
2000-07-24,4.75,4.75,4.69,4.69,41200
2000-07-25,4.69,4.75,4.62,4.62,29200
2000-07-26,4.69,4.69,4.53,4.53,91000
2000-07-27,4.5,4.5,4.38,4.38,52200
2000-07-28,4.44,4.47,4.09,4.12,16000
2000-07-31,4.06,4.06,3.75,3.97,44800
2000-08-01,4.03,4.19,4.03,4.12,9200
2000-08-02,4.25,4.5,4.25,4.41,25000
2000-08-03,4.47,4.47,4.25,4.28,30400
2000-08-04,4.34,4.38,4.19,4.34,34600
2000-08-07,4.28,4.28,4.12,4.25,14800
2000-08-08,4.31,4.31,4.06,4.12,14000
2000-08-09,4.06,4.16,3.97,4.06,65600
2000-08-10,4.12,4.19,4.03,4.19,16200
2000-08-11,4.12,4.25,4.12,4.25,22800
2000-08-14,4.25,4.41,4.25,4.25,47800
2000-08-15,4.31,4.31,4.19,4.28,24400
2000-08-16,4.22,4.34,4.19,4.34,15600
2000-08-17,4.38,4.38,4.12,4.16,36200
2000-08-18,4.16,4.25,4.06,4.12,22200
2000-08-21,4.19,4.19,4.0,4.03,50600
2000-08-22,4.0,4.0,3.75,4.0,82000
2000-08-23,4.0,4.0,3.88,3.94,4200
2000-08-24,3.94,3.94,3.78,3.78,27200
2000-08-25,3.84,4.0,3.84,4.0,38000
2000-08-28,0.0,3.97,3.88,3.88,10000
2000-08-29,3.94,3.94,3.88,3.91,29200
2000-08-30,3.88,3.88,3.81,3.81,3400
2000-08-31,3.84,3.94,3.84,3.84,24000
2000-09-01,3.81,3.81,3.81,3.81,8600
2000-09-05,3.75,3.84,3.44,3.69,120400
2000-09-06,3.75,3.84,3.69,3.75,7000
2000-09-07,3.75,3.84,3.72,3.75,15600
2000-09-08,3.72,4.06,3.69,4.06,45600
2000-09-11,4.09,4.47,4.03,4.44,81400
2000-09-12,4.38,4.5,4.38,4.44,44000
2000-09-13,4.44,4.44,4.31,4.44,30800
2000-09-14,4.44,4.44,4.25,4.31,70000
2000-09-15,4.28,4.38,4.28,4.31,12400
2000-09-18,4.31,4.31,4.06,4.12,59400
2000-09-19,4.06,4.12,4.0,4.0,14400
2000-09-20,4.06,4.06,3.94,4.06,36400
2000-09-21,4.0,4.12,4.0,4.09,57400
2000-09-22,4.12,4.12,3.97,4.0,55600
2000-09-25,3.97,4.09,3.97,4.09,70200
2000-09-26,4.03,4.22,4.0,4.06,117000
2000-09-27,4.06,4.06,4.06,4.06,83200
2000-09-28,4.12,4.12,4.03,4.06,90600
2000-09-29,4.06,4.12,4.06,4.06,44400
2000-10-02,4.09,4.12,4.06,4.06,70600
2000-10-03,4.09,4.09,3.88,3.94,25200
2000-10-04,3.91,3.94,3.84,3.88,59600
2000-10-05,3.94,3.94,3.81,3.81,11000
2000-10-06,3.88,3.94,3.75,3.78,76800
2000-10-09,3.75,3.75,3.75,3.75,1800
2000-10-10,3.75,3.75,3.75,3.75,20400
2000-10-11,3.75,3.81,3.59,3.62,24800
2000-10-12,3.69,4.0,3.66,3.75,6800
2000-10-13,3.81,3.81,3.62,3.69,30000
2000-10-16,3.66,3.75,3.62,3.72,33000
2000-10-17,3.72,3.72,3.66,3.72,8400
2000-10-18,3.78,3.78,3.62,3.69,41200
2000-10-19,3.66,3.66,3.62,3.66,20200
2000-10-20,3.69,3.69,3.5,3.53,22600
2000-10-23,3.53,3.62,3.53,3.62,16800
2000-10-24,3.56,3.56,3.53,3.53,32600
2000-10-25,3.53,3.53,3.5,3.5,17800
2000-10-26,3.56,3.56,3.31,3.31,49200
2000-10-27,3.25,3.41,3.25,3.38,39400
2000-10-30,3.31,3.38,3.31,3.34,42400
2000-10-31,3.28,3.62,3.28,3.62,261000
2000-11-01,3.62,3.62,3.47,3.5,44800
2000-11-02,3.47,3.5,3.44,3.47,64200
2000-11-03,3.47,3.5,3.38,3.5,61800
2000-11-06,3.53,3.56,3.5,3.5,19000
2000-11-07,3.5,3.5,3.44,3.5,9000
2000-11-08,3.44,3.5,3.44,3.5,18400
2000-11-09,3.47,3.5,3.38,3.38,68000
2000-11-10,3.31,3.47,3.31,3.38,18600
2000-11-13,3.38,3.44,3.38,3.44,13600
2000-11-14,3.44,3.62,3.44,3.5,161000
2000-11-15,3.5,3.5,3.44,3.5,9200
2000-11-16,3.5,3.56,3.47,3.53,29000
2000-11-17,3.56,3.59,3.5,3.53,28800
2000-11-20,3.41,3.47,3.38,3.41,47800
2000-11-21,3.38,3.38,3.19,3.22,67600
2000-11-22,3.19,3.31,3.12,3.22,78000
2000-11-24,3.28,3.31,3.25,3.31,7800
2000-11-27,3.38,3.38,3.31,3.31,180400
2000-11-28,3.31,3.62,3.31,3.62,49200
2000-11-29,3.56,3.56,3.44,3.44,13000
2000-11-30,3.38,3.38,3.12,3.12,84600
2000-12-01,3.19,3.28,3.12,3.22,30000
2000-12-04,3.22,3.31,3.22,3.31,23200
2000-12-05,3.28,3.53,3.28,3.44,28000
2000-12-06,3.44,3.44,3.0,3.12,28600
2000-12-07,3.19,3.22,3.12,3.19,78000
2000-12-08,3.19,3.19,3.09,3.12,34600
2000-12-11,3.12,3.19,3.03,3.09,44800
2000-12-12,3.12,3.25,3.12,3.25,10000
2000-12-13,3.22,3.22,3.19,3.19,5600
2000-12-14,3.16,3.31,3.16,3.31,24600
2000-12-15,3.28,3.44,3.28,3.38,45800
2000-12-18,3.41,3.5,3.34,3.44,38600
2000-12-19,3.41,3.47,3.22,3.25,31600
2000-12-20,3.25,3.25,3.12,3.19,26200
2000-12-21,3.06,3.28,3.06,3.28,114000
2000-12-22,3.25,3.56,3.25,3.38,108000
2000-12-26,3.38,3.41,3.12,3.31,117200
2000-12-27,3.19,3.25,3.06,3.22,55200
2000-12-28,3.19,3.34,3.19,3.25,99600
2000-12-29,3.25,3.56,3.22,3.5,101800
2001-01-02,3.47,3.78,3.47,3.69,57200
2001-01-03,3.75,3.91,3.75,3.88,34200
2001-01-04,3.91,4.25,3.88,4.09,82200
2001-01-05,4.16,4.16,4.03,4.06,31000
2001-01-08,4.0,4.0,3.75,3.75,54800
2001-01-09,3.75,4.0,3.75,3.94,26000
2001-01-10,4.0,4.0,3.84,3.91,47000
2001-01-11,3.97,4.06,3.75,3.94,51400
2001-01-12,3.91,3.91,3.69,3.78,41800
2001-01-16,3.75,4.12,3.75,4.0,87600
2001-01-17,4.06,4.12,3.94,4.09,84000
2001-01-18,4.12,4.12,4.0,4.12,37400
2001-01-19,4.06,4.06,3.91,3.94,55000
2001-01-22,4.0,4.16,3.91,4.12,54400
2001-01-23,4.09,4.31,4.09,4.19,30600
2001-01-24,4.19,4.5,4.19,4.47,71800
2001-01-25,4.44,4.44,4.16,4.38,46000
2001-01-26,4.44,4.59,4.44,4.5,146200
2001-01-29,4.55,4.59,4.48,4.59,36200
2001-01-30,4.53,4.53,4.46,4.47,34600
2001-01-31,4.5,4.69,4.4,4.64,118400
2001-02-01,4.68,5.0,4.68,4.85,159600
2001-02-02,5.0,5.0,4.8,4.8,109200
2001-02-05,4.85,4.85,4.68,4.68,38600
2001-02-06,4.75,4.78,4.58,4.62,40800
2001-02-07,4.68,4.74,4.55,4.55,35400
2001-02-08,4.6,4.74,4.55,4.74,34800
2001-02-09,4.75,4.75,4.62,4.68,39600
2001-02-12,4.72,4.83,4.72,4.8,55200
2001-02-13,4.75,4.8,4.52,4.59,34400
2001-02-14,4.64,4.7,4.45,4.58,59000
2001-02-15,4.6,4.8,4.6,4.7,49400
2001-02-16,4.74,4.74,4.5,4.55,31600
2001-02-20,4.58,4.62,4.44,4.5,52400
2001-02-21,4.58,4.65,4.4,4.5,40600
2001-02-22,4.48,4.48,4.32,4.32,66200
2001-02-23,4.3,4.34,4.0,4.34,66200
2001-02-26,4.34,4.45,4.25,4.26,28200
2001-02-27,4.24,4.35,4.15,4.15,46000
2001-02-28,4.2,4.22,4.05,4.1,60000
2001-03-01,4.12,4.15,4.08,4.15,31600
2001-03-02,4.14,4.28,4.0,4.2,89600
2001-03-05,4.25,4.25,4.05,4.05,49800
2001-03-06,4.1,4.25,4.06,4.16,80200
2001-03-07,4.2,4.35,4.2,4.26,71600
2001-03-08,4.35,4.35,4.2,4.25,61600
2001-03-09,4.25,4.32,4.2,4.3,40600
2001-03-12,4.2,4.3,3.98,3.98,65800
2001-03-13,3.98,4.18,3.89,4.18,65800
2001-03-14,4.15,4.32,4.15,4.32,49800
2001-03-15,4.32,4.45,4.3,4.33,90000
2001-03-16,4.3,4.59,4.24,4.54,80400
2001-03-19,4.58,4.72,4.55,4.58,41400
2001-03-20,4.58,4.58,4.45,4.52,35600
2001-03-21,4.5,4.5,4.35,4.36,39200
2001-03-22,4.35,4.38,4.28,4.38,41000
2001-03-23,4.4,4.48,4.4,4.42,22000
2001-03-26,4.38,4.55,4.31,4.5,46000
2001-03-27,4.5,4.56,4.45,4.55,23200
2001-03-28,4.56,4.56,4.4,4.52,32200
2001-03-29,4.5,4.8,4.5,4.7,27800
2001-03-30,4.68,4.78,4.68,4.78,21000
2001-04-02,4.78,4.8,4.7,4.72,39600
2001-04-03,4.62,4.62,4.5,4.5,45400
2001-04-04,4.5,4.53,4.45,4.52,23000
2001-04-05,4.55,4.65,4.5,4.65,24000
2001-04-06,4.62,4.62,4.5,4.53,27600
2001-04-09,4.55,4.56,4.48,4.51,20600
2001-04-10,4.56,4.62,4.5,4.56,26800
2001-04-11,4.58,4.62,4.52,4.55,24400
2001-04-12,4.58,4.75,4.55,4.6,53000
2001-04-16,4.62,4.62,4.6,4.62,29200
2001-04-17,4.5,4.62,4.5,4.6,31200
2001-04-18,4.6,4.9,4.6,4.75,122600
2001-04-19,4.78,4.78,4.6,4.68,52000
2001-04-20,4.62,4.62,4.56,4.62,21600
2001-04-23,4.56,4.6,4.5,4.55,64800
2001-04-24,4.5,4.55,4.48,4.48,58000
2001-04-25,4.5,4.58,4.5,4.58,11600
2001-04-26,4.6,4.7,4.58,4.7,57000
2001-04-27,4.7,4.7,4.6,4.6,70000
2001-04-30,4.6,4.62,4.56,4.6,21800
2001-05-01,4.6,4.72,4.6,4.7,80800
2001-05-02,4.68,4.68,4.6,4.62,33400
2001-05-03,4.62,4.62,4.58,4.61,9600
2001-05-04,4.58,4.75,4.58,4.68,95200
2001-05-07,4.68,4.85,4.68,4.84,61400
2001-05-08,4.85,5.33,4.85,5.3,183200
2001-05-09,5.45,5.5,5.26,5.38,167000
2001-05-10,5.45,5.62,5.4,5.6,111400
2001-05-11,5.62,5.7,5.6,5.62,153800
2001-05-14,5.62,5.65,5.51,5.51,85800
2001-05-15,5.5,5.59,5.5,5.59,41200
2001-05-16,5.59,5.6,5.5,5.55,38000
2001-05-17,5.55,5.55,5.45,5.47,22800
2001-05-18,5.5,5.5,5.28,5.42,46600
2001-05-21,5.38,5.6,5.35,5.58,75200
2001-05-22,5.58,5.8,5.52,5.8,97000
2001-05-23,5.8,6.05,5.8,5.95,171800
2001-05-24,6.0,6.05,5.78,5.95,74400
2001-05-25,6.0,6.05,5.9,6.0,91200
2001-05-29,6.12,6.24,6.0,6.11,92200
2001-05-30,6.08,6.08,5.98,6.02,103000
2001-05-31,6.08,6.46,6.08,6.2,280800
2001-06-01,6.25,6.4,6.25,6.35,109800
2001-06-04,6.35,6.35,6.25,6.35,73200
2001-06-05,6.38,6.38,5.75,5.8,225600
2001-06-06,5.75,5.9,5.5,5.9,114400
2001-06-07,5.9,6.25,5.88,6.2,75400
2001-06-08,6.25,6.4,6.18,6.25,75400
2001-06-11,6.24,6.24,5.92,5.92,38600
2001-06-12,5.88,5.95,5.86,5.9,47800
2001-06-13,5.8,5.8,5.52,5.72,76400
2001-06-14,5.7,5.75,5.5,5.59,36800
2001-06-15,5.58,5.58,5.45,5.5,31600
2001-06-18,5.45,5.45,5.0,5.11,124600
2001-06-19,5.1,5.14,5.05,5.12,39800
2001-06-20,5.14,5.14,5.05,5.05,56800
2001-06-21,5.05,5.32,5.05,5.3,63800
2001-06-22,5.3,5.7,5.28,5.51,54000
2001-06-25,5.55,5.78,5.55,5.72,21400
2001-06-26,5.75,5.98,5.7,5.98,46200
2001-06-27,6.0,6.06,5.98,6.04,58800
2001-06-28,6.0,6.0,5.98,5.98,69200
2001-06-29,5.95,6.0,5.88,5.98,67200
2001-07-02,5.98,5.98,5.86,5.87,27600
2001-07-03,5.82,5.94,5.8,5.94,32400
2001-07-05,5.94,6.0,5.94,6.0,50400
2001-07-06,5.98,6.1,5.98,6.04,30200
2001-07-09,6.02,6.02,5.86,5.98,100800
2001-07-10,5.95,5.95,5.8,5.82,18200
2001-07-11,5.8,5.8,5.7,5.72,24200
2001-07-12,5.75,6.0,5.75,5.9,76200
2001-07-13,5.91,6.0,5.88,6.0,23600
2001-07-16,6.0,6.06,5.98,5.98,70800
2001-07-17,6.0,6.0,5.95,5.95,24000
2001-07-18,5.98,6.1,5.95,6.06,62000
2001-07-19,6.05,6.15,6.05,6.12,120400
2001-07-20,6.1,6.28,6.1,6.16,58000
2001-07-23,6.15,6.15,6.1,6.15,53600
2001-07-24,6.12,6.15,6.05,6.1,97200
2001-07-25,6.15,6.18,6.08,6.15,44400
2001-07-26,6.25,6.25,6.15,6.25,85000
2001-07-27,6.28,6.75,6.25,6.68,80400
2001-07-30,6.7,6.92,6.7,6.8,93200
2001-07-31,6.85,6.85,6.29,6.5,78600
2001-08-01,6.62,6.75,6.6,6.64,69800
2001-08-02,6.68,6.7,6.52,6.52,52600
2001-08-03,6.58,6.75,6.58,6.58,37000
2001-08-06,6.58,6.66,6.5,6.55,35000
2001-08-07,6.56,6.56,6.55,6.55,11400
2001-08-08,6.55,6.55,6.48,6.48,8600
2001-08-09,6.45,6.45,6.38,6.42,62200
2001-08-10,6.4,6.5,6.38,6.48,51200
2001-08-13,6.48,6.48,6.42,6.45,28600
2001-08-14,6.4,6.5,6.4,6.5,10200
2001-08-15,6.49,6.75,6.49,6.75,79000
2001-08-16,6.72,6.72,6.52,6.52,28400
2001-08-17,6.5,6.72,6.5,6.68,110000
2001-08-20,6.68,6.7,6.65,6.68,28000
2001-08-21,6.7,6.7,6.55,6.64,53600
2001-08-22,6.64,6.64,6.52,6.54,29000
2001-08-23,6.55,6.55,6.45,6.48,39400
2001-08-24,6.48,6.5,6.3,6.35,63200
2001-08-27,6.35,6.35,6.02,6.12,55400
2001-08-28,6.1,6.24,6.1,6.15,19600
2001-08-29,6.18,6.2,6.0,6.1,30600
2001-08-30,6.1,6.1,5.85,6.04,22400
2001-08-31,6.04,6.21,6.04,6.2,11800
2001-09-04,6.2,6.25,6.15,6.16,7600
2001-09-05,6.19,6.45,6.19,6.4,90200
2001-09-06,6.38,6.4,6.25,6.26,40000
2001-09-07,6.22,6.26,6.1,6.11,57200
2001-09-10,6.08,6.25,5.62,5.65,74000
2001-09-17,5.35,5.35,4.78,5.12,340200
2001-09-18,5.05,5.2,5.05,5.1,97800
2001-09-19,5.1,5.1,4.75,4.76,179600
2001-09-20,4.75,4.88,4.75,4.75,118600
2001-09-21,4.75,4.8,4.62,4.72,236600
2001-09-24,4.68,4.75,4.65,4.65,116800
2001-09-25,4.7,4.72,4.58,4.58,95400
2001-09-26,4.58,4.62,4.48,4.48,89600
2001-09-27,4.45,4.45,4.34,4.36,65000
2001-09-28,4.4,4.72,4.4,4.66,93400
2001-10-01,4.66,5.05,4.66,5.02,92000
2001-10-02,5.02,5.1,4.98,5.03,16000
2001-10-03,5.03,5.3,5.03,5.3,36400
2001-10-04,5.25,5.46,5.25,5.46,68000
2001-10-05,5.5,5.54,5.38,5.45,57400
2001-10-08,5.5,5.68,5.5,5.68,30000
2001-10-09,5.65,5.85,5.65,5.85,82800
2001-10-10,5.85,6.01,5.85,5.95,30200
2001-10-11,5.95,5.98,5.9,5.95,19000
2001-10-12,5.92,5.97,5.78,5.83,13200
2001-10-15,5.85,6.0,5.7,6.0,20800
2001-10-16,6.0,7.38,6.0,6.96,1170600
2001-10-17,7.22,7.22,6.75,6.96,426200
2001-10-18,7.0,7.3,6.5,6.88,256800
2001-10-19,6.92,6.92,6.6,6.67,76800
2001-10-22,6.7,6.9,6.65,6.88,97800
2001-10-23,6.88,7.0,6.78,6.78,77000
2001-10-24,6.82,7.05,6.72,7.05,122800
2001-10-25,7.04,7.28,6.99,7.0,105800
2001-10-26,6.95,7.12,6.95,7.0,149200
2001-10-29,7.0,7.1,7.0,7.0,104200
2001-10-30,7.0,7.2,7.0,7.06,82400
2001-10-31,7.25,7.62,7.21,7.58,331000
2001-11-01,7.6,7.69,7.38,7.5,240200
2001-11-02,7.55,7.58,7.3,7.3,43400
2001-11-05,7.3,7.4,7.12,7.14,43800
2001-11-06,7.14,7.14,6.65,6.87,75600
2001-11-07,6.88,6.99,6.63,6.98,49200
2001-11-08,7.02,7.08,6.8,7.06,40600
2001-11-09,7.1,7.15,6.98,7.06,127200
2001-11-12,7.1,7.1,6.96,7.0,36600
2001-11-13,7.0,7.0,6.95,7.0,50000
2001-11-14,7.0,7.2,6.96,7.05,93000
2001-11-15,7.0,7.1,6.95,7.0,130800
2001-11-16,7.0,7.25,7.0,7.24,75200
2001-11-19,7.24,7.32,7.18,7.25,21200
