Date,Open,High,Low,Close,Volume
2004-09-08,15.55,15.95,15.55,15.85,58700
2004-09-10,16.55,17.85,16.45,17.7,146700
2004-09-13,17.75,18.2,17.56,17.99,192200
2004-09-14,18.14,19.34,18.14,19.09,149500
2004-09-15,19.25,19.4,19.08,19.35,306300
2004-09-17,20.52,21.45,20.52,21.22,306400
2004-09-20,21.2,21.5,21.06,21.3,334300
2004-09-21,21.2,21.47,21.0,21.4,521200
2004-09-22,21.3,21.55,21.3,21.53,89500
2004-09-24,21.59,23.5,21.49,23.1,167200
2004-09-27,23.25,24.35,22.95,23.05,297400
2004-09-28,23.15,23.44,23.05,23.23,148000
2004-09-29,23.15,23.25,22.0,22.49,187700
2004-10-01,22.65,25.5,22.65,25.18,732700
2004-10-04,25.95,26.1,25.45,25.58,524000
2004-10-05,25.6,27.25,25.58,26.71,542800
2004-10-06,26.94,27.4,26.8,27.4,286200
2004-10-08,26.0,27.79,26.0,27.46,482500
2004-10-11,27.66,27.7,27.0,27.3,167500
2004-10-13,26.47,26.48,25.42,26.47,277200
2004-10-14,26.47,26.52,26.21,26.25,258200
2004-10-15,26.4,27.27,26.3,26.9,170800
2004-10-18,27.0,27.0,26.1,26.26,187800
2004-10-19,26.26,26.4,25.77,25.91,146900
2004-10-20,25.9,27.27,25.74,26.75,196800
2004-10-21,26.78,26.78,26.28,26.58,73600
2004-10-22,26.6,26.65,26.39,26.54,147600
2004-10-25,26.3,26.56,25.84,25.97,151600
2004-10-26,25.9,25.97,25.4,25.5,204600
2004-10-27,25.69,25.75,25.28,25.45,117000
2004-10-28,25.3,25.3,24.5,24.7,144900
2004-10-29,24.55,24.65,24.3,24.5,70600
2004-11-01,24.65,25.68,24.65,25.55,102000
2004-11-02,25.3,25.58,25.18,25.25,54300
2004-11-03,25.5,26.38,25.5,26.38,143500
2004-11-04,27.38,30.3,27.23,29.3,652700
2004-11-05,29.45,29.9,29.0,29.9,155200
2004-11-08,29.9,30.3,29.55,30.25,109200
2004-11-09,30.25,30.7,29.51,30.55,161500
2004-11-10,30.75,33.14,30.75,32.15,381400
2004-11-11,32.5,33.69,31.75,31.81,353500
2004-11-12,31.8,32.45,31.35,32.4,276700
2004-11-15,32.3,33.55,31.92,33.3,249500
2004-11-16,33.46,34.0,31.7,31.95,531400
2004-11-17,32.1,32.1,30.3,30.69,416800
2004-11-18,30.85,30.85,29.6,30.38,851000
2004-11-19,30.38,32.5,29.71,32.3,371400
2004-11-22,33.0,33.5,32.65,33.18,269900
2004-11-23,33.3,33.7,32.35,32.84,181100
2004-11-24,32.94,35.7,32.55,35.7,387000
2004-11-26,35.45,36.5,34.68,35.93,136900
2004-11-29,35.76,38.1,35.76,37.95,472200
2004-11-30,38.0,39.35,38.0,38.5,361400
2004-12-01,38.8,40.6,36.26,37.19,317200
2004-12-02,37.19,37.8,34.73,35.55,475200
2004-12-03,35.1,37.21,34.44,37.0,205700
2004-12-06,37.25,37.63,36.55,36.72,145900
2004-12-07,36.82,36.82,34.43,34.62,264700
2004-12-08,34.25,35.25,32.5,34.5,571100
2004-12-09,34.95,34.95,34.0,34.4,247200
2004-12-10,34.5,35.19,34.21,34.6,241800
2004-12-13,34.8,35.32,34.75,35.29,142900
2004-12-14,35.39,36.09,35.0,35.3,194100
2004-12-15,35.6,36.25,35.6,36.25,221300
2004-12-16,36.49,38.65,36.1,38.49,452700
2004-12-17,39.4,40.25,38.75,39.75,610900
2004-12-20,39.98,39.99,38.35,38.92,261400
