Date,Open,High,Low,Close,Volume
2014-10-02,20.5,20.71,19.0,19.11,9316808
2014-10-03,19.11,19.59,19.02,19.5,635273
2014-10-06,19.68,19.68,19.31,19.43,129370
2014-10-07,19.23,19.34,19.01,19.3,136119
2014-10-08,19.3,19.42,18.42,18.61,552698
2014-10-09,18.5,18.67,18.07,18.14,214639
2014-10-10,18.01,18.09,16.59,16.95,515080
2014-10-13,16.87,17.19,16.14,16.15,178945
2014-10-14,16.1,17.32,15.17,16.7,717262
2014-10-15,15.81,16.78,15.81,16.1,101962
2014-10-16,15.85,16.68,15.85,16.53,94215
2014-10-17,16.88,17.31,15.54,15.7,519097
2014-10-20,15.51,16.2,15.51,15.9,74141
2014-10-21,15.9,16.86,15.6,16.15,158499
2014-10-22,16.03,16.25,15.9,16.0,196985
2014-10-23,16.02,16.36,15.6,15.99,366975
2014-10-24,15.88,16.61,15.88,16.61,58248
2014-10-27,16.22,16.6,16.18,16.55,88697
2014-10-28,16.6,17.99,16.6,17.18,202506
2014-10-29,16.89,17.5,16.89,17.05,149770
2014-10-30,17.13,17.22,16.12,17.0,365709
2014-10-31,17.19,17.59,16.15,16.91,333765
2014-11-03,16.98,17.08,16.84,17.02,33421
2014-11-04,17.0,17.25,15.84,16.35,64186
2014-11-05,16.25,16.71,16.1,16.65,162249
2014-11-06,16.58,17.5,16.3,17.35,132183
2014-11-07,17.52,17.77,16.97,17.3,59681
2014-11-10,17.35,17.64,17.21,17.46,78844
2014-11-11,17.37,17.91,17.24,17.88,67406
2014-11-12,17.87,17.99,17.61,17.85,98520
2014-11-13,17.99,18.33,16.61,16.7,184843
2014-11-14,16.67,17.55,16.52,17.31,98347
2014-11-17,17.19,17.65,17.16,17.35,61040
2014-11-18,17.14,18.34,17.14,17.48,167367
2014-11-19,17.34,17.74,17.19,17.19,57840
2014-11-20,17.11,17.7,16.95,17.2,161976
2014-11-21,17.32,17.32,16.6,16.76,103360
2014-11-24,16.76,17.0,16.51,16.64,178588
2014-11-25,16.52,16.75,16.52,16.65,68027
2014-11-26,16.69,16.76,16.19,16.21,124534
2014-11-28,15.9,15.95,14.6,14.6,87695
2014-12-01,14.66,14.66,13.12,13.26,62991
2014-12-02,13.35,14.84,13.33,14.25,56204
2014-12-03,14.35,14.71,14.07,14.51,110143
2014-12-04,14.35,14.71,13.74,14.24,64473
2014-12-05,14.17,14.64,13.9,13.99,69192
2014-12-08,14.0,14.19,12.86,13.68,83837
2014-12-09,13.1,13.64,12.7,13.5,124674
2014-12-10,13.6,14.1,12.99,13.53,193943
2014-12-11,13.5,14.35,13.34,13.55,73332
2014-12-12,13.22,13.51,12.67,12.78,102318
2014-12-15,12.99,13.15,11.77,12.01,155374
2014-12-16,11.82,12.25,11.13,11.69,168472
2014-12-17,11.0,12.54,11.0,12.15,166715
2014-12-18,12.25,12.4,11.62,11.84,146885
2014-12-19,11.99,12.27,11.43,11.78,247252
2014-12-22,12.0,12.73,10.55,11.06,209900
2014-12-23,11.18,12.47,11.01,12.26,506869
2014-12-24,12.23,12.57,11.91,12.46,167052
2014-12-26,12.65,13.12,12.2,12.73,378088
2014-12-29,12.68,13.16,12.65,12.87,438761
2014-12-30,12.72,12.94,12.53,12.72,123738
2014-12-31,12.54,12.63,12.08,12.23,195344
2015-01-02,12.35,13.29,12.12,13.29,115227
2015-01-05,13.22,13.41,12.5,13.02,161628
2015-01-06,12.95,13.59,12.81,13.28,453377
2015-01-07,13.36,13.36,12.8,12.8,41450
2015-01-08,12.99,13.3,12.8,12.94,42024
2015-01-09,12.96,13.81,12.75,13.57,77609
2015-01-12,13.6,13.8,12.73,13.09,80053
2015-01-13,13.17,14.0,12.55,12.87,89006
2015-01-14,12.79,13.24,12.64,13.16,47403
2015-01-15,13.44,13.44,12.37,12.4,61371
2015-01-16,12.4,13.14,12.35,13.09,54085
2015-01-20,12.9,13.2,12.77,13.2,19430
2015-01-21,13.1,13.3,12.94,12.97,31772
2015-01-22,13.0,13.09,12.82,13.0,24524
2015-01-23,13.0,13.1,12.77,13.09,46616
2015-01-26,13.0,13.14,12.04,12.99,56488
2015-01-27,12.84,13.15,12.68,12.86,19734
2015-01-28,12.57,13.13,12.57,13.07,43111
2015-01-29,12.94,13.09,12.26,12.5,86471
2015-01-30,12.88,12.95,12.38,12.38,52725
2015-02-02,12.54,13.37,12.5,13.37,47803
2015-02-03,13.38,14.97,13.05,14.65,60237
2015-02-04,14.13,14.35,13.49,13.49,68149
2015-02-05,13.5,13.92,13.27,13.46,50686
2015-02-06,13.69,15.4,13.58,15.4,145929
2015-02-09,15.52,15.52,14.4,14.4,103105
2015-02-10,14.5,14.99,14.2,14.61,29335
2015-02-11,14.32,15.38,14.32,15.03,107155
2015-02-12,15.17,15.51,15.17,15.33,37619
2015-02-13,15.44,15.52,14.51,14.52,27329
2015-02-17,14.62,14.99,14.32,14.76,24399
2015-02-18,14.58,14.65,14.0,14.34,109509
2015-02-19,14.2,14.45,14.03,14.2,52327
2015-02-20,14.2,14.39,14.17,14.23,64206
2015-02-23,14.22,14.47,14.15,14.4,21561
2015-02-24,14.39,15.34,14.39,15.06,40643
2015-02-25,15.18,15.18,14.73,14.94,25203
2015-02-26,14.97,15.0,14.8,15.0,26716
2015-02-27,14.86,14.99,14.53,14.53,28689
2015-03-02,14.5,14.92,14.5,14.75,106572
2015-03-03,14.95,15.15,14.76,15.15,154215
2015-03-04,15.01,15.12,14.57,14.8,136927
2015-03-05,14.72,14.92,14.64,14.85,36705
2015-03-06,14.85,15.1,14.71,14.8,109009
2015-03-09,14.85,15.11,14.2,14.35,90579
2015-03-10,14.09,14.32,13.35,13.67,52168
2015-03-11,13.64,14.0,13.5,13.97,17047
2015-03-12,13.63,13.99,12.64,12.98,50528
2015-03-13,12.85,13.26,12.83,12.93,22028
2015-03-16,12.63,13.16,11.08,11.55,80050
2015-03-17,11.55,11.92,11.46,11.76,36466
2015-03-18,11.69,11.97,11.6,11.88,35089
2015-03-19,11.99,12.44,11.9,12.21,42021
2015-03-20,12.41,12.65,11.37,11.66,179250
2015-03-23,11.84,11.84,11.15,11.22,123263
2015-03-24,11.25,11.96,11.09,11.28,116234
2015-03-25,11.73,11.73,11.25,11.37,27186
2015-03-26,11.41,11.64,11.02,11.1,36412
2015-03-27,11.15,11.3,10.75,11.09,56826
2015-03-30,11.34,11.34,10.9,10.93,22953
2015-03-31,11.0,11.17,10.86,11.14,84981
2015-04-01,11.12,11.31,10.75,11.06,80610
2015-04-02,11.08,11.75,11.08,11.49,89843
2015-04-06,11.51,12.18,11.51,12.15,54455
2015-04-07,12.17,12.17,11.86,11.91,45564
2015-04-08,11.99,12.52,11.72,12.49,40166
2015-04-09,12.34,13.37,12.34,13.06,30951
2015-04-10,13.5,13.85,12.85,13.25,62088
2015-04-13,13.29,13.54,12.98,13.38,21018
2015-04-14,13.5,13.5,13.26,13.47,12088
2015-04-15,13.5,14.0,13.5,13.6,49901
2015-04-16,13.75,14.3,13.56,13.57,74265
2015-04-17,13.88,13.88,13.51,13.63,20626
2015-04-20,13.7,13.99,13.63,13.77,53067
2015-04-21,13.86,14.05,12.98,12.99,64981
2015-04-22,13.12,13.26,12.87,13.0,35154
2015-04-23,12.84,13.4,12.84,13.4,63204
2015-04-24,13.21,13.57,12.91,13.2,25074
2015-04-27,13.32,13.63,13.0,13.13,24792
2015-04-28,13.15,13.68,12.64,12.88,36565
2015-04-29,12.94,13.35,12.76,13.18,38129
2015-04-30,13.34,13.94,13.3,13.7,88435
2015-05-01,13.79,13.79,13.25,13.3,25799
2015-05-04,13.51,13.77,13.08,13.3,21773
2015-05-05,13.3,13.3,12.8,12.8,47815
2015-05-06,12.62,13.08,12.45,13.08,85888
2015-05-07,12.9,13.48,12.9,13.39,30915
2015-05-08,13.1,13.43,13.02,13.43,9327
2015-05-11,13.52,13.52,13.2,13.2,18344
2015-05-12,13.3,13.37,12.56,12.73,38011
2015-05-13,12.91,13.75,12.91,13.54,151515
2015-05-14,13.58,13.65,13.0,13.35,70899
2015-05-15,13.39,13.65,13.03,13.34,51955
2015-05-18,13.58,14.37,13.44,13.83,96917
2015-05-19,13.83,14.46,13.26,13.26,74850
2015-05-20,13.42,13.87,13.39,13.75,36982
2015-05-21,13.87,14.37,13.52,13.65,47775
2015-05-22,13.87,14.15,13.58,13.67,44193
2015-05-26,13.52,13.68,13.1,13.2,22679
2015-05-27,13.29,13.63,13.11,13.5,22245
2015-05-28,13.12,13.71,13.12,13.51,29290
2015-05-29,13.6,13.82,13.5,13.57,17740
2015-06-01,13.63,14.29,13.53,13.98,80058
2015-06-02,14.14,14.87,13.91,14.71,54900
2015-06-03,14.78,15.0,14.45,14.83,65976
2015-06-04,14.93,15.0,14.02,14.21,100046
2015-06-05,14.23,14.58,14.03,14.3,28926
2015-06-08,14.25,14.72,13.88,14.0,35016
2015-06-09,14.1,14.63,13.92,14.32,45499
2015-06-10,14.22,14.78,14.14,14.61,37035
2015-06-11,14.61,14.76,14.21,14.26,21302
2015-06-12,14.42,14.57,14.0,14.1,40801
2015-06-15,14.0,14.28,13.95,14.11,36336
2015-06-16,14.07,14.45,14.07,14.34,23356
2015-06-17,14.27,14.6,14.12,14.29,40063
2015-06-18,14.25,14.34,13.95,14.0,11392
2015-06-19,13.93,14.09,13.55,13.9,19128
2015-06-22,14.03,14.47,13.64,14.11,28326
2015-06-23,14.19,14.6,13.56,14.18,53046
2015-06-24,14.24,14.42,13.9,13.95,33219
2015-06-25,13.9,14.15,13.51,13.51,23474
2015-06-26,13.5,13.85,13.5,13.5,32465
2015-06-29,13.27,13.67,13.01,13.19,26174
2015-06-30,13.11,13.38,13.0,13.0,18856
2015-07-01,13.07,13.31,13.0,13.25,30686
2015-07-02,13.29,13.94,13.16,13.59,27299
2015-07-06,13.18,13.55,13.0,13.08,38068
2015-07-07,13.09,13.44,12.56,12.86,27092
2015-07-08,12.88,13.4,12.75,12.75,31617
2015-07-09,13.13,13.13,12.76,12.86,50462
2015-07-10,12.89,13.07,12.76,12.97,14320
2015-07-13,13.02,13.26,12.92,12.92,32391
2015-07-14,13.1,13.55,12.96,12.96,31592
2015-07-15,13.01,13.55,12.96,13.04,36986
2015-07-16,13.02,13.47,13.02,13.25,14207
2015-07-17,13.2,13.2,12.51,12.51,28746
2015-07-20,12.27,12.69,11.53,12.13,27298
2015-07-21,12.14,12.14,11.5,12.02,38326
2015-07-22,12.02,12.24,11.81,11.85,21065
2015-07-23,12.0,12.37,11.66,11.72,26428
2015-07-24,11.7,11.7,11.11,11.25,22479
2015-07-27,11.36,11.36,11.07,11.08,26888
2015-07-28,11.36,11.36,10.67,10.75,123274
2015-07-29,10.94,11.3,10.75,11.08,83845
2015-07-30,11.2,11.81,11.2,11.81,41502
2015-07-31,12.03,12.2,11.9,12.01,20554
2015-08-03,12.03,12.03,11.0,11.25,64141
2015-08-04,11.33,11.45,11.15,11.45,16891
2015-08-05,11.33,11.33,10.57,10.64,23913
2015-08-06,11.12,11.12,10.04,10.13,42342
