Date,Open,High,Low,Close,Volume
2012-06-11,17.1,17.1,16.64,16.64,24765
2012-06-12,16.7,16.77,16.14,16.77,12317
2012-06-13,16.65,16.98,16.56,16.67,23881
2012-06-14,16.64,16.92,16.6,16.73,46254
2012-06-15,16.68,16.81,16.65,16.76,36735
2012-06-18,16.71,17.27,16.71,17.13,24739
2012-06-19,17.27,17.89,17.22,17.82,47383
2012-06-20,17.98,18.75,17.95,18.6,29391
2012-06-21,18.45,18.69,17.48,17.48,20942
2012-06-22,17.59,17.94,17.25,17.94,172100
2012-06-25,17.73,17.96,17.41,17.8,12672
2012-06-26,17.82,17.89,17.65,17.89,13760
2012-06-27,17.89,17.89,17.66,17.88,21788
2012-06-28,17.88,18.16,17.86,18.05,18112
2012-06-29,18.38,19.28,18.35,19.28,48155
2012-07-02,19.25,19.57,19.01,19.57,24282
2012-07-03,19.46,19.72,19.36,19.72,12213
2012-07-05,19.46,19.7,19.46,19.59,7055
2012-07-06,18.14,19.35,17.69,18.86,24088
2012-07-09,18.97,19.53,18.97,19.38,11033
2012-07-10,19.3,19.3,18.4,18.46,13596
2012-07-11,18.58,18.58,18.2,18.4,7394
2012-07-12,18.31,18.41,18.01,18.07,12066
2012-07-13,18.11,18.35,17.5,18.27,18052
2012-07-16,18.14,18.26,17.97,18.21,3080
2012-07-17,18.41,18.41,17.85,18.17,12299
2012-07-18,18.06,18.18,17.0,17.09,51379
2012-07-19,17.2,17.55,17.1,17.5,9770
2012-07-20,17.25,17.67,17.25,17.29,19886
2012-07-23,16.98,17.85,16.98,17.64,17254
2012-07-24,17.66,17.68,17.09,17.2,7164
2012-07-25,17.4,17.65,17.09,17.42,8735
2012-07-26,17.66,17.72,16.85,17.46,25124
2012-07-27,17.51,18.0,17.39,17.89,9645
2012-07-30,17.95,17.99,17.62,17.68,8964
2012-07-31,17.75,17.95,17.75,17.88,8985
2012-08-01,17.94,17.95,16.75,16.75,19332
2012-08-02,16.68,17.61,16.68,16.79,20566
2012-08-03,16.98,17.17,16.98,17.16,9656
2012-08-06,17.23,17.63,17.23,17.58,6747
2012-08-07,17.59,17.63,17.13,17.25,13962
2012-08-08,17.08,17.57,17.08,17.42,7418
2012-08-09,17.46,17.47,17.19,17.35,13463
2012-08-10,17.23,18.0,17.23,17.76,7502
2012-08-13,17.59,17.69,17.24,17.43,5144
2012-08-14,17.57,17.82,17.47,17.55,4524
2012-08-15,17.55,17.83,17.55,17.83,2863
2012-08-16,17.65,17.8,17.62,17.78,10119
2012-08-17,17.69,17.75,17.46,17.55,20751
2012-08-20,17.58,17.58,17.4,17.45,3940
2012-08-21,17.59,17.99,17.54,17.71,55194
2012-08-22,17.72,17.92,17.53,17.9,58749
2012-08-23,17.9,18.2,17.85,18.16,18401
2012-08-24,18.11,18.2,18.01,18.1,13397
2012-08-27,18.15,18.2,17.97,18.2,5012
2012-08-28,18.2,18.46,18.2,18.42,8110
2012-08-29,18.3,18.51,18.24,18.5,5572
2012-08-30,18.3,18.35,18.25,18.25,4044
2012-08-31,18.44,18.45,18.24,18.33,3833
2012-09-04,18.3,18.3,18.0,18.26,14688
2012-09-05,18.17,18.5,18.17,18.4,10603
2012-09-06,18.49,19.0,18.49,19.0,15765
2012-09-07,19.0,19.0,18.7,19.0,12441
2012-09-10,18.9,19.0,18.65,18.85,13725
2012-09-11,18.77,18.87,18.66,18.75,12413
2012-09-12,18.87,18.9,18.62,18.89,5858
2012-09-13,18.83,19.55,18.76,19.38,29017
2012-09-14,19.42,19.48,19.26,19.44,15097
2012-09-17,19.27,19.29,19.01,19.16,9059
2012-09-18,19.09,19.25,18.73,18.81,11302
2012-09-19,18.82,18.82,18.42,18.57,17314
2012-09-20,18.46,18.66,18.35,18.46,24980
2012-09-21,18.71,18.71,17.87,18.23,33840
2012-09-24,18.24,18.39,18.02,18.17,9409
2012-09-25,18.19,18.32,17.98,17.98,14344
2012-09-26,18.13,18.13,17.84,18.05,13453
2012-09-27,18.27,18.68,18.12,18.4,19534
2012-09-28,18.33,18.65,18.2,18.5,12225
2012-10-01,18.5,18.75,18.3,18.36,6833
2012-10-02,18.5,18.5,18.25,18.26,16320
2012-10-03,18.34,18.46,18.25,18.3,16129
2012-10-04,18.32,18.32,18.0,18.17,43341
2012-10-05,18.28,18.3,18.04,18.15,45009
2012-10-08,18.05,18.21,17.84,17.99,9636
2012-10-09,18.05,18.39,17.7,17.97,19736
2012-10-10,17.69,18.04,17.5,18.01,21103
2012-10-11,18.16,18.25,17.53,17.68,14360
2012-10-12,17.68,17.88,17.57,17.79,47997
2012-10-15,17.83,18.04,17.79,17.87,25310
2012-10-16,17.99,18.18,17.88,18.09,13908
2012-10-17,18.16,18.33,17.93,18.13,27239
2012-10-18,18.16,18.19,17.78,18.1,26478
2012-10-19,17.9,18.14,17.62,17.82,26004
2012-10-22,17.76,17.95,17.53,17.83,21321
2012-10-23,17.8,17.98,17.52,17.87,29156
2012-10-24,17.9,18.09,17.51,17.66,10817
2012-10-25,17.84,17.84,17.37,17.47,4338
2012-10-26,17.36,17.54,17.02,17.39,7073
2012-10-31,17.41,17.54,17.0,17.08,20658
2012-11-01,17.19,17.85,17.0,17.38,45249
2012-11-02,17.53,17.71,17.31,17.6,19382
2012-11-05,17.62,17.75,17.47,17.74,24140
2012-11-06,17.8,17.8,17.49,17.54,10636
2012-11-07,17.35,17.36,16.43,16.47,10021
2012-11-08,16.5,17.0,16.5,16.9,22917
2012-11-09,16.75,17.19,16.65,17.05,19181
2012-11-12,17.21,17.75,17.1,17.1,6832
2012-11-13,17.1,17.37,17.1,17.2,6561
2012-11-14,17.25,17.4,17.15,17.17,13480
2012-11-15,17.2,17.29,16.97,17.2,19174
2012-11-16,17.2,17.46,17.11,17.22,17738
2012-11-19,17.45,17.56,17.25,17.56,8061
2012-11-20,17.51,17.65,17.48,17.57,9417
2012-11-21,17.66,17.66,17.22,17.33,3461
2012-11-23,17.44,17.44,16.96,17.04,39361
2012-11-26,17.0,17.74,17.0,17.73,10945
2012-11-27,17.82,17.82,17.1,17.11,8882
2012-11-28,16.97,17.27,16.95,17.23,5533
2012-11-29,17.35,18.2,17.2,18.12,30266
2012-11-30,18.18,18.34,18.15,18.22,52196
2012-12-03,18.49,18.68,18.33,18.42,19277
2012-12-04,18.5,18.94,18.5,18.75,23148
2012-12-05,18.84,18.95,18.51,18.52,9441
2012-12-06,18.33,18.95,18.18,18.28,14709
2012-12-07,18.35,18.68,18.14,18.6,13855
2012-12-10,18.27,18.64,18.27,18.43,15755
2012-12-11,18.56,18.9,18.56,18.85,51628
2012-12-12,18.69,18.8,17.8,18.28,25655
2012-12-13,18.08,18.21,17.38,17.51,14739
2012-12-14,17.28,17.86,17.28,17.72,20180
2012-12-17,17.9,18.43,17.78,18.32,11172
2012-12-18,18.44,18.8,17.4,18.78,36233
2012-12-19,18.6,18.65,18.53,18.65,9951
2012-12-20,18.57,18.84,18.38,18.84,12639
2012-12-21,18.84,18.84,17.76,17.94,63017
2012-12-24,17.85,17.93,17.62,17.9,4913
2012-12-26,17.87,17.94,17.7,17.79,6185
2012-12-27,17.79,17.79,17.57,17.7,6210
2012-12-28,17.61,17.64,17.41,17.42,4991
2012-12-31,17.38,17.64,17.38,17.57,6133
2013-01-02,17.64,18.71,17.3,18.66,42910
2013-01-03,18.75,18.89,18.64,18.76,17818
2013-01-04,18.88,18.88,18.39,18.86,8955
2013-01-07,18.9,18.9,18.82,18.83,27417
2013-01-08,18.71,18.9,18.46,18.85,16609
2013-01-09,18.92,19.09,18.54,18.9,33060
2013-01-10,18.81,18.88,18.46,18.85,9328
2013-01-11,18.9,18.93,18.56,18.83,16526
2013-01-14,18.9,19.05,18.66,19.02,33546
2013-01-15,18.47,18.94,18.45,18.91,10334
2013-01-16,18.92,18.93,18.52,18.6,26458
2013-01-17,18.69,18.71,18.46,18.63,12373
2013-01-18,18.6,18.6,18.26,18.37,15242
2013-01-22,18.34,18.79,18.3,18.72,8043
2013-01-23,18.78,19.01,18.7,18.97,24011
2013-01-24,18.76,19.11,18.76,19.07,15868
2013-01-25,19.18,19.27,19.02,19.21,15917
2013-01-28,19.21,19.5,19.18,19.5,8180
2013-01-29,19.5,19.65,19.1,19.58,20912
2013-01-30,19.59,19.74,19.49,19.7,13215
2013-01-31,19.48,19.62,19.37,19.55,11978
2013-02-01,19.59,19.71,19.53,19.63,5293
2013-02-04,19.55,19.67,19.45,19.58,13964
2013-02-05,19.63,19.74,19.45,19.74,35043
2013-02-06,19.6,19.62,19.37,19.49,5631
2013-02-07,19.54,19.8,19.29,19.74,12125
2013-02-08,19.76,20.0,19.68,19.95,7419
2013-02-11,19.95,20.05,19.81,20.02,47214
2013-02-12,19.97,20.25,19.93,20.0,24110
2013-02-13,20.0,20.01,19.87,20.0,24661
2013-02-14,19.84,20.09,19.84,20.09,13337
2013-02-15,20.15,20.35,20.0,20.34,42816
2013-02-19,19.9,20.08,19.68,20.06,55804
2013-02-20,19.92,20.37,19.77,20.11,20487
2013-02-21,20.11,20.22,20.04,20.17,8981
2013-02-22,20.25,20.41,19.97,20.38,9916
2013-02-25,19.96,20.07,19.25,19.35,44661
2013-02-26,19.31,19.61,19.22,19.6,22795
2013-02-27,19.6,19.85,19.55,19.7,35766
2013-02-28,19.68,19.8,19.36,19.76,10148
2013-03-01,19.53,20.05,19.52,20.0,22431
2013-03-04,20.06,20.31,19.81,20.3,12711
2013-03-05,20.41,20.6,20.32,20.58,13076
2013-03-06,20.51,20.82,20.24,20.77,8272
2013-03-07,20.66,20.8,20.51,20.79,13773
2013-03-08,20.71,20.71,19.2,19.35,31499
2013-03-11,19.16,19.3,18.81,18.85,37233
2013-03-12,18.99,19.1,18.85,19.06,10419
2013-03-13,19.13,19.35,19.13,19.3,7510
2013-03-14,19.44,19.62,19.3,19.56,4704
2013-03-15,19.71,19.9,19.59,19.73,24602
2013-03-18,19.7,19.9,19.7,19.86,11789
2013-03-19,19.78,19.9,19.68,19.71,40841
2013-03-20,19.81,19.92,19.67,19.86,14151
2013-03-21,19.6,19.85,19.28,19.64,32182
2013-03-22,19.56,19.69,19.38,19.51,8506
2013-03-25,19.57,19.87,19.4,19.75,22476
2013-03-26,19.66,19.82,19.55,19.77,8664
2013-03-27,19.61,19.83,19.49,19.76,44573
2013-03-28,19.9,19.9,19.44,19.44,10094
2013-04-01,19.34,19.34,18.78,19.12,38970
2013-04-02,19.37,19.41,19.02,19.2,37804
2013-04-03,19.2,19.2,18.71,18.75,13338
2013-04-04,18.82,18.82,18.17,18.43,14852
2013-04-05,18.09,18.18,17.66,17.68,12782
2013-04-08,17.81,17.81,17.33,17.47,11399
2013-04-09,17.56,17.56,17.34,17.35,14745
2013-04-10,17.5,17.65,17.31,17.64,10132
2013-04-11,17.43,18.12,17.43,17.94,13982
2013-04-12,17.96,18.26,17.68,18.01,14209
2013-04-15,18.09,18.18,17.75,18.1,39308
2013-04-16,18.28,18.28,17.9,18.1,11097
2013-04-17,18.1,18.18,18.0,18.1,18957
2013-04-18,18.17,18.32,18.08,18.15,12178
2013-04-19,18.11,18.55,18.11,18.42,10653
2013-04-22,18.55,18.55,18.21,18.51,5510
2013-04-23,18.59,18.72,18.34,18.69,12126
2013-04-24,18.51,18.69,18.51,18.61,4030
2013-04-25,18.6,18.9,18.55,18.8,7121
2013-04-26,18.67,18.67,18.26,18.49,32333
2013-04-29,18.61,18.65,18.38,18.48,52703
2013-04-30,18.5,18.67,18.34,18.36,40958
2013-05-01,18.48,18.69,18.4,18.57,81847
2013-05-02,18.6,19.35,18.6,19.18,16991
2013-05-03,19.35,19.6,19.3,19.58,9765
2013-05-06,19.43,19.6,19.23,19.4,10092
2013-05-07,19.2,19.91,19.2,19.84,8181
2013-05-08,19.71,19.96,19.5,19.96,7155
2013-05-09,19.79,19.96,19.62,19.87,10265
2013-05-10,19.94,19.97,19.77,19.97,8465
2013-05-13,20.0,20.12,20.0,20.1,7147
2013-05-14,20.15,20.7,20.15,20.67,21713
2013-05-15,20.54,20.72,20.34,20.66,8023
2013-05-16,20.65,21.25,20.55,21.16,12859
2013-05-17,21.16,21.45,21.06,21.3,9852
2013-05-20,21.18,21.27,20.83,21.0,9394
2013-05-21,20.89,21.06,20.86,21.06,10430
2013-05-22,21.0,21.07,20.96,21.07,22872
2013-05-23,21.03,21.08,20.96,20.99,38199
2013-05-24,21.0,21.23,20.97,21.22,9046
2013-05-28,21.22,21.46,21.12,21.44,12085
2013-05-29,21.5,21.65,21.14,21.55,22943
2013-05-30,21.56,21.89,21.5,21.79,8006
2013-05-31,21.75,22.29,21.71,22.21,31711
2013-06-03,22.05,22.15,21.88,22.07,46970
2013-06-04,22.0,22.07,21.91,22.0,13817
2013-06-05,22.0,22.25,21.9,22.17,15851
2013-06-06,22.12,22.25,21.89,22.18,14403
2013-06-07,22.25,22.56,22.2,22.45,9495
2013-06-10,23.06,23.06,22.57,22.86,36753
2013-06-11,22.52,22.71,22.49,22.67,14547
2013-06-12,22.69,22.85,22.49,22.7,10178
2013-06-13,22.66,23.0,22.6,22.98,11197
2013-06-14,22.94,23.21,22.78,23.06,19358
2013-06-17,23.31,23.31,23.0,23.14,4863
2013-06-18,23.13,23.35,23.09,23.19,12097
2013-06-19,23.19,23.35,22.96,23.1,43420
2013-06-20,23.09,23.09,22.25,22.27,11803
2013-06-21,22.24,22.24,21.58,21.63,39175
2013-06-24,21.6,21.6,21.25,21.35,25583
2013-06-25,21.63,21.63,21.29,21.48,9340
2013-06-26,21.53,21.56,20.93,21.04,10938
