Date,Open,High,Low,Close,Volume
2011-12-09,18.9,19.0,18.65,18.79,3012653
2011-12-12,18.79,19.0,18.75,19.0,316259
2011-12-13,18.99,19.09,18.85,18.9,398440
2011-12-14,18.9,18.93,18.8,18.8,350000
2011-12-15,18.87,18.87,18.8,18.8,323759
2011-12-16,18.8,18.84,18.75,18.8,105424
2011-12-19,18.85,18.95,18.85,18.85,70412
2011-12-20,19.0,19.0,17.51,18.1,353504
2011-12-21,18.04,18.04,17.84,17.87,77334
2011-12-22,17.87,18.0,17.7,17.8,155689
2011-12-23,17.68,18.9,17.68,18.47,62695
2011-12-27,18.54,18.54,17.92,18.39,80211
2011-12-28,18.45,18.45,17.96,18.22,25728
2011-12-29,18.2,18.3,18.01,18.19,45387
2011-12-30,18.16,18.3,17.93,18.08,63350
2012-01-03,18.2,18.71,18.2,18.55,61498
2012-01-04,18.55,18.8,18.55,18.65,87998
2012-01-05,18.89,18.89,18.5,18.67,50109
2012-01-06,18.62,18.67,18.53,18.62,34037
2012-01-09,18.54,18.75,18.25,18.58,60505
2012-01-10,18.06,19.05,18.06,18.9,198582
2012-01-11,18.9,18.9,18.29,18.44,90612
2012-01-12,18.5,18.6,18.12,18.15,55405
2012-01-13,18.05,18.39,17.76,18.05,123837
2012-01-17,18.16,18.53,17.71,18.36,55051
2012-01-18,17.95,18.75,17.95,18.48,163233
2012-01-19,17.86,18.42,17.68,17.84,290004
2012-01-20,17.7,17.98,17.17,17.46,219946
2012-01-23,17.91,17.91,17.47,17.71,89170
2012-01-24,17.54,17.97,17.41,17.96,112591
2012-01-25,17.99,18.05,17.75,17.91,110312
2012-01-26,17.93,18.16,17.9,17.99,82702
2012-01-27,18.11,18.32,18.1,18.23,38514
2012-01-30,18.26,18.64,18.21,18.54,92227
2012-01-31,18.57,18.57,18.3,18.4,104445
2012-02-01,18.45,18.58,18.38,18.48,77045
2012-02-02,18.12,18.32,17.79,17.98,117174
2012-02-03,18.08,18.3,17.85,17.95,70474
2012-02-06,17.94,18.34,17.85,18.3,49991
2012-02-07,18.21,18.45,18.1,18.3,65369
2012-02-08,18.21,18.22,17.85,17.86,108860
2012-02-09,17.51,18.0,16.78,17.25,208436
2012-02-10,16.97,17.25,16.97,17.16,147922
2012-02-13,17.3,17.45,17.02,17.15,81827
2012-02-14,17.24,17.29,16.59,16.96,185611
2012-02-15,16.86,17.47,16.83,17.23,267646
2012-02-16,17.39,18.19,17.24,18.14,165486
2012-02-17,18.17,18.3,17.96,18.28,121265
2012-02-21,18.29,18.29,17.67,17.83,81948
2012-02-22,17.88,18.06,17.7,17.89,48201
2012-02-23,17.89,18.14,17.82,17.96,155403
2012-02-24,17.9,18.05,17.71,17.95,104234
2012-02-27,17.95,18.37,17.9,18.35,76509
2012-02-28,18.2,18.61,18.2,18.44,129557
2012-02-29,18.12,18.58,18.0,18.58,125316
2012-03-01,18.58,18.64,18.48,18.56,117030
2012-03-02,18.51,18.69,18.51,18.67,96010
2012-03-05,18.55,18.74,18.55,18.65,175738
2012-03-06,18.46,18.65,18.4,18.51,170632
2012-03-07,18.47,18.56,18.23,18.52,105949
2012-03-08,18.5,18.55,18.25,18.33,132638
2012-03-09,18.33,18.53,18.11,18.48,123995
2012-03-12,18.54,18.58,18.08,18.53,60826
2012-03-13,18.54,18.75,18.13,18.33,154756
2012-03-14,18.42,18.59,18.16,18.36,63724
2012-03-15,18.36,18.4,17.76,17.76,53913
2012-03-16,17.7,18.07,17.58,17.77,58460
2012-03-19,17.75,18.28,17.5,18.24,84062
2012-03-20,18.23,18.57,18.0,18.47,122253
2012-03-21,18.49,18.79,17.76,18.7,92021
2012-03-22,18.61,18.71,18.08,18.36,53255
2012-03-23,18.15,18.5,17.7,18.46,108953
2012-03-26,18.13,18.59,18.12,18.2,65992
2012-03-27,18.39,18.39,17.86,18.09,49980
2012-03-28,17.76,18.06,17.76,18.05,34727
2012-03-29,17.87,18.08,17.81,17.97,36340
2012-03-30,17.96,18.79,17.8,18.64,63340
2012-04-02,18.55,18.64,18.01,18.64,40564
2012-04-03,18.6,18.7,18.13,18.55,43029
2012-04-04,18.24,18.79,18.24,18.6,59510
2012-04-05,18.26,18.71,18.25,18.63,63583
2012-04-09,18.69,18.69,18.4,18.42,13600
2012-04-10,18.22,18.31,17.96,18.02,56819
2012-04-11,18.08,18.08,17.9,17.96,23321
2012-04-12,17.86,17.93,17.51,17.54,75315
2012-04-13,17.5,17.71,17.14,17.67,28504
2012-04-16,17.74,18.01,17.47,17.97,29410
2012-04-17,18.01,18.15,17.56,17.64,77492
2012-04-18,17.5,17.76,17.5,17.76,39594
2012-04-19,17.76,18.4,17.76,18.15,68534
2012-04-20,18.29,18.53,18.04,18.06,57874
2012-04-23,18.01,18.55,18.01,18.54,30129
2012-04-24,18.6,18.79,18.22,18.4,111758
2012-04-25,18.54,18.75,18.03,18.61,75432
2012-04-26,18.74,18.74,18.25,18.51,70325
2012-04-27,18.03,18.25,17.85,18.09,106100
2012-04-30,18.11,18.25,17.81,18.23,49118
2012-05-01,18.15,18.15,17.8,17.9,46780
2012-05-02,17.85,18.49,17.77,18.4,69916
2012-05-03,18.26,18.46,18.2,18.3,50489
2012-05-04,18.2,18.3,17.81,17.9,41608
2012-05-07,17.9,18.05,17.53,17.69,27314
2012-05-08,17.64,17.92,17.25,17.36,46864
2012-05-09,17.25,17.5,17.2,17.35,35305
2012-05-10,17.25,17.35,16.91,17.02,56454
2012-05-11,17.02,18.0,16.83,17.82,46974
2012-05-14,18.05,18.2,17.39,17.59,26843
2012-05-15,17.71,18.24,17.71,17.97,104626
2012-05-16,18.04,18.4,17.98,18.09,59702
2012-05-17,18.16,18.27,17.28,17.47,65968
2012-05-18,17.33,17.54,16.75,17.2,59260
2012-05-21,17.47,17.69,17.25,17.25,40991
2012-05-22,17.41,17.73,17.3,17.42,21964
2012-05-23,17.22,17.7,17.1,17.53,63845
2012-05-24,17.71,18.24,17.21,17.3,72171
2012-05-25,17.33,17.7,17.11,17.35,33101
2012-05-29,17.73,17.85,17.36,17.7,46929
2012-05-30,17.57,17.6,17.3,17.49,26872
2012-05-31,17.49,17.85,17.1,17.14,48023
2012-06-01,17.1,17.28,16.5,16.69,75420
2012-06-04,16.8,16.9,16.05,16.14,65530
2012-06-05,16.16,16.49,16.12,16.37,54829
2012-06-06,16.43,16.98,16.43,16.87,46132
2012-06-07,16.96,17.6,16.96,17.41,38421
2012-06-08,17.58,17.68,17.26,17.52,44272
2012-06-11,17.74,17.88,17.03,17.38,47260
2012-06-12,17.37,17.65,17.34,17.57,32425
2012-06-13,17.65,17.65,17.05,17.26,41729
2012-06-14,17.37,17.67,17.02,17.27,44496
2012-06-15,17.22,17.26,16.75,16.82,34534
2012-06-18,16.83,16.96,16.69,16.72,43996
2012-06-19,16.59,17.6,16.5,17.02,65044
2012-06-20,17.03,17.27,16.84,16.87,26935
2012-06-21,16.97,17.32,16.8,16.8,56928
2012-06-22,16.98,17.11,16.5,16.55,36755
2012-06-25,16.5,16.66,16.03,16.24,79230
2012-06-26,16.29,16.37,15.71,15.98,117158
2012-06-27,16.0,16.59,15.93,16.5,115975
2012-06-28,16.61,16.61,16.05,16.21,55064
2012-06-29,16.2,16.95,16.11,16.89,46034
2012-07-02,16.89,16.89,16.4,16.81,53360
2012-07-03,16.75,17.11,16.75,16.91,30108
2012-07-05,17.0,17.25,16.89,17.04,26833
2012-07-06,17.0,18.1,16.98,17.53,49118
2012-07-09,17.52,18.1,17.26,17.71,47242
2012-07-10,17.86,17.94,17.4,17.48,24511
2012-07-11,17.46,17.9,17.42,17.65,23705
2012-07-12,17.66,17.75,17.35,17.7,18854
2012-07-13,17.9,17.9,17.69,17.69,25922
2012-07-16,17.85,17.85,17.6,17.65,20523
2012-07-17,17.85,17.85,17.33,17.6,58078
2012-07-18,17.58,17.79,17.5,17.61,28821
2012-07-19,17.72,17.89,17.53,17.68,38510
2012-07-20,17.85,17.95,17.53,17.85,81821
2012-07-23,17.85,17.95,17.64,17.79,44195
2012-07-24,17.86,17.91,17.6,17.71,46138
2012-07-25,17.72,17.86,17.64,17.69,33740
2012-07-26,17.7,17.81,17.61,17.74,48844
2012-07-27,17.88,17.94,17.65,17.65,35512
2012-07-30,17.51,17.92,17.51,17.64,49714
2012-07-31,17.63,17.81,17.4,17.4,28859
2012-08-01,17.56,17.56,17.27,17.44,11056
2012-08-02,17.32,17.43,17.15,17.16,25028
2012-08-03,17.39,17.81,17.32,17.64,37884
2012-08-06,17.7,17.79,17.45,17.66,19081
2012-08-07,17.69,17.79,17.35,17.62,30376
2012-08-08,17.4,17.66,17.4,17.58,21042
2012-08-09,17.26,17.71,17.25,17.44,32995
2012-08-10,17.35,17.8,17.33,17.59,33568
2012-08-13,17.76,17.77,17.5,17.67,23788
2012-08-14,17.65,17.79,17.4,17.61,38433
2012-08-15,17.67,17.71,17.44,17.48,13543
2012-08-16,17.58,17.7,17.5,17.61,25787
2012-08-17,17.68,17.68,17.41,17.41,21369
2012-08-20,17.45,17.51,17.29,17.38,22097
2012-08-21,17.37,17.79,17.3,17.38,74287
2012-08-22,17.31,17.53,17.21,17.21,36479
2012-08-23,17.14,17.64,17.13,17.35,37452
2012-08-24,17.42,17.66,17.18,17.66,16268
2012-08-27,17.79,17.79,17.28,17.39,41289
2012-08-28,17.55,17.79,17.36,17.71,60330
2012-08-29,17.75,17.93,17.65,17.75,37305
2012-08-30,17.65,17.92,17.46,17.61,57685
2012-08-31,17.74,17.85,17.68,17.79,33211
2012-09-04,17.85,17.95,17.74,17.85,23985
2012-09-05,17.74,18.25,17.74,18.17,118074
2012-09-06,18.25,18.25,18.03,18.17,61625
2012-09-07,18.25,18.4,18.03,18.31,55249
2012-09-10,18.36,18.36,18.01,18.2,62521
2012-09-11,18.19,18.4,18.07,18.4,40960
2012-09-12,18.4,18.4,18.07,18.26,41264
2012-09-13,18.32,18.37,18.0,18.12,57425
2012-09-14,18.12,18.28,17.87,17.94,75117
2012-09-17,18.12,18.4,18.05,18.19,37752
2012-09-18,18.03,18.38,17.9,17.92,30360
2012-09-19,18.02,18.9,18.02,18.67,156333
2012-09-20,18.46,18.88,18.41,18.87,92237
2012-09-21,18.9,19.0,18.55,18.99,112751
2012-09-24,18.9,19.05,18.75,18.89,55925
2012-09-25,18.87,19.14,18.75,18.92,79550
2012-09-26,18.69,18.94,18.41,18.55,36417
2012-09-27,18.61,19.0,18.58,18.99,43582
2012-09-28,18.95,19.07,18.76,18.89,45478
2012-10-01,19.03,19.19,18.93,19.13,107994
2012-10-02,19.15,19.2,18.97,19.12,68364
2012-10-03,19.15,19.2,18.99,19.01,67381
2012-10-04,19.13,19.19,19.06,19.19,34098
2012-10-05,19.2,19.5,19.16,19.31,65356
2012-10-08,19.38,19.6,19.01,19.49,73065
2012-10-09,19.5,19.75,19.38,19.6,84775
2012-10-10,19.63,20.39,19.6,19.8,146518
2012-10-11,19.67,20.28,19.66,19.99,94194
2012-10-12,19.92,20.08,19.7,19.85,25819
2012-10-15,19.93,20.08,19.68,19.91,34177
2012-10-16,20.0,20.75,20.0,20.32,142423
2012-10-17,20.35,20.7,20.03,20.22,72940
2012-10-18,20.21,20.31,19.91,20.14,77729
2012-10-19,20.0,20.24,20.0,20.07,33994
2012-10-22,20.02,20.36,20.01,20.27,64479
2012-10-23,20.54,20.66,19.86,20.4,87829
2012-10-24,20.45,20.49,20.15,20.46,63708
2012-10-25,20.41,20.6,20.41,20.48,43986
2012-10-26,20.53,20.7,20.34,20.5,63488
