Date,Open,High,Low,Close,Volume
2012-07-26,13.66,14.54,13.0,14.16,8400048
2012-07-27,14.1,14.83,14.1,14.65,887670
2012-07-30,14.88,15.17,14.53,15.1,1076913
2012-07-31,14.87,15.44,14.81,15.43,670248
2012-08-01,15.29,15.49,15.01,15.12,424905
2012-08-02,15.15,15.28,15.03,15.07,245768
2012-08-03,15.14,16.39,15.1,15.79,467944
2012-08-06,16.51,16.7,16.03,16.44,1022274
2012-08-07,16.33,16.67,15.44,16.22,579941
2012-08-08,16.0,16.27,15.86,15.97,504440
2012-08-09,16.01,17.75,16.01,16.9,853084
2012-08-10,17.13,17.8,16.89,17.64,741833
2012-08-13,17.98,18.29,17.28,17.46,363178
2012-08-14,17.46,17.88,17.12,17.3,297246
2012-08-15,16.65,17.49,16.64,16.96,254880
2012-08-16,16.98,17.81,16.98,17.73,148853
2012-08-17,17.79,18.94,17.75,18.59,570719
2012-08-20,18.55,18.55,18.2,18.48,175901
2012-08-21,18.55,18.7,18.29,18.48,225306
2012-08-22,18.5,18.51,18.29,18.39,117406
2012-08-23,18.49,18.5,18.08,18.11,80801
2012-08-24,18.19,18.4,17.99,18.28,197703
2012-08-27,18.3,18.53,18.28,18.49,466162
2012-08-28,18.45,18.5,18.28,18.46,232539
2012-08-29,18.45,18.5,18.29,18.4,133747
2012-08-30,18.42,18.54,17.97,18.3,204244
2012-08-31,18.41,18.54,18.18,18.3,153819
2012-09-04,18.95,19.28,18.75,19.05,1424218
2012-09-05,19.2,20.43,18.95,19.9,992251
2012-09-06,20.3,20.93,20.1,20.74,607486
2012-09-07,20.95,20.95,20.0,20.1,433868
2012-09-10,20.21,20.59,19.5,19.83,402249
2012-09-11,19.96,20.0,19.51,19.54,226223
2012-09-12,19.64,19.98,19.64,19.75,213527
2012-09-13,19.45,20.01,19.15,19.92,529735
2012-09-14,19.95,20.51,19.95,20.33,270792
2012-09-17,20.52,20.67,19.36,19.65,265220
2012-09-18,19.64,19.64,18.64,19.12,463603
2012-09-19,19.17,19.36,18.95,19.26,259924
2012-09-20,19.24,19.8,19.0,19.67,163768
2012-09-21,19.7,19.89,19.65,19.85,194103
2012-09-24,19.84,19.9,19.69,19.85,180312
2012-09-25,19.94,20.8,19.94,20.6,285977
2012-09-26,20.59,20.71,20.4,20.56,158267
2012-09-27,20.64,21.27,20.64,21.27,164427
2012-09-28,21.18,21.26,20.85,21.12,124004
2012-10-01,21.19,21.95,21.14,21.79,183544
2012-10-02,21.85,21.91,21.16,21.5,214832
2012-10-03,21.48,21.59,21.0,21.2,117886
2012-10-04,21.24,21.76,21.12,21.51,132719
2012-10-05,21.56,21.62,21.09,21.13,152498
2012-10-08,21.07,21.36,20.8,21.0,201956
2012-10-09,20.95,21.1,20.5,20.73,187346
2012-10-10,20.71,20.71,19.8,20.25,291354
2012-10-11,20.36,21.1,20.06,20.13,245224
2012-10-12,20.49,20.49,19.52,20.04,525959
2012-10-15,20.24,20.24,19.45,19.97,196731
2012-10-16,20.0,21.1,19.95,20.4,711532
2012-10-17,20.39,21.08,20.26,20.81,275000
2012-10-18,22.26,22.47,21.84,21.96,720763
2012-10-19,22.0,23.33,21.76,23.05,394217
2012-10-22,22.95,23.1,22.7,22.9,203649
2012-10-23,22.67,22.67,21.81,22.09,284431
2012-10-24,22.38,22.46,21.84,22.17,250200
2012-10-25,22.34,22.47,21.86,22.0,253274
2012-10-26,21.98,22.0,21.33,21.77,584071
2012-10-31,21.9,22.07,21.61,21.7,629795
2012-11-01,21.75,22.45,21.7,21.97,591602
2012-11-02,21.91,22.27,21.82,22.09,532406
2012-11-05,22.25,23.08,22.21,22.71,517874
2012-11-06,22.9,24.13,22.9,23.91,795991
2012-11-07,23.78,23.9,22.91,23.2,665397
2012-11-08,23.37,23.79,23.34,23.51,408470
2012-11-09,23.7,23.99,23.36,23.4,416563
2012-11-12,23.68,23.82,23.48,23.63,612503
2012-11-13,25.8,25.8,24.19,24.5,1429228
2012-11-14,24.57,24.62,22.11,22.28,2287547
2012-11-15,22.5,22.95,21.41,21.9,897505
2012-11-16,21.92,23.0,21.52,22.34,1273677
2012-11-19,21.7,22.5,21.19,21.29,767724
2012-11-20,21.43,22.2,21.02,22.14,589456
2012-11-21,22.23,22.7,21.83,22.35,423321
2012-11-23,22.78,22.8,21.8,21.9,358158
2012-11-26,22.07,22.26,21.76,22.07,297459
2012-11-27,22.22,23.25,20.24,22.02,1926477
2012-11-28,22.33,22.75,21.93,22.51,559650
2012-11-29,22.89,23.5,22.82,23.3,443024
2012-11-30,23.21,23.39,23.08,23.3,271219
2012-12-03,23.47,23.97,23.4,23.9,491639
2012-12-04,24.49,24.5,23.32,23.34,607545
2012-12-05,23.6,23.88,23.1,23.23,410185
2012-12-06,23.48,23.48,22.6,22.91,402668
2012-12-07,23.0,23.86,22.89,23.8,238779
2012-12-10,24.0,24.15,23.6,24.1,256819
2012-12-11,23.5,23.98,23.4,23.47,431228
2012-12-12,23.51,23.75,23.45,23.63,188312
2012-12-13,23.64,23.86,23.28,23.42,236076
2012-12-14,23.42,23.72,23.31,23.63,588701
2012-12-17,23.78,24.45,23.71,24.37,321672
2012-12-18,24.7,25.57,24.64,25.16,906478
2012-12-19,25.43,25.96,25.21,25.69,563506
2012-12-20,25.82,27.27,25.57,27.11,770380
2012-12-21,26.6,27.0,26.0,26.13,675714
2012-12-24,26.13,26.39,25.53,25.72,164201
2012-12-26,25.77,26.16,25.7,26.08,176084
2012-12-27,26.37,26.58,25.7,25.91,227048
2012-12-28,25.9,25.92,25.04,25.08,403863
2012-12-31,25.08,26.28,24.83,25.44,444932
2013-01-02,26.38,26.68,25.71,26.5,482775
2013-01-03,26.5,26.5,25.15,25.2,627834
2013-01-04,25.41,25.5,24.13,24.62,750812
2013-01-07,24.6,24.6,23.76,24.05,815434
2013-01-08,24.16,25.22,23.62,25.21,666774
2013-01-09,25.45,25.73,25.03,25.31,398183
2013-01-10,25.57,25.68,24.62,24.72,480782
2013-01-11,24.62,24.68,23.92,24.57,702902
2013-01-14,25.33,25.5,25.1,25.39,624268
2013-01-15,25.69,25.7,25.34,25.46,588422
2013-01-16,25.55,25.85,25.4,25.5,532767
2013-01-17,24.86,25.2,24.35,24.46,2704180
2013-01-18,24.21,24.4,23.7,24.0,11902029
2013-01-22,24.19,24.25,23.75,23.75,1375364
2013-01-23,23.8,24.45,23.75,24.36,1505581
2013-01-24,24.45,24.5,23.93,24.1,1082289
2013-01-25,24.36,24.41,23.95,24.25,970645
2013-01-28,24.43,24.63,24.1,24.46,1243574
2013-01-29,24.75,25.24,24.29,25.09,1644225
2013-01-30,25.25,25.45,25.02,25.12,1058243
2013-01-31,25.31,25.35,24.96,25.2,655368
2013-02-01,25.41,25.85,25.05,25.84,1406396
2013-02-04,25.94,26.29,25.65,26.03,1089992
2013-02-05,26.15,26.65,25.97,26.44,1309192
2013-02-06,26.62,26.9,26.3,26.6,1296407
2013-02-07,26.65,27.31,26.35,27.01,1360535
2013-02-08,27.38,29.46,27.34,29.0,1997948
2013-02-11,29.78,30.34,29.25,29.5,1902163
2013-02-12,28.74,28.75,27.56,27.93,2758718
2013-02-13,28.25,29.4,28.15,29.04,1456495
2013-02-14,29.47,30.65,29.41,30.45,1473399
2013-02-15,30.61,30.61,29.64,30.15,1568279
2013-02-19,28.88,30.57,28.85,30.23,1794135
2013-02-20,30.58,30.63,28.3,28.61,1477863
2013-02-21,28.16,28.9,26.78,28.0,2068023
2013-02-22,28.82,29.42,28.19,28.55,973591
2013-02-25,29.14,29.27,27.5,27.72,1160326
2013-02-26,28.1,28.29,27.19,28.28,967070
2013-02-27,28.67,28.82,27.71,28.68,646413
2013-02-28,28.8,29.1,28.4,28.95,616652
