Date,Open,High,Low,Close,Volume
2000-06-30,13.72,13.75,13.66,13.66,32600
2000-07-03,13.72,13.75,13.66,13.75,30600
2000-07-05,13.81,13.88,13.81,13.84,25400
2000-07-06,13.88,14.0,13.84,13.94,44400
2000-07-07,13.94,14.06,13.94,14.06,36200
2000-07-10,13.94,14.28,13.88,14.25,73800
2000-07-11,14.25,14.5,14.25,14.41,50400
2000-07-12,14.44,14.62,14.41,14.44,102600
2000-07-13,14.44,14.62,14.44,14.59,62600
2000-07-14,14.56,14.66,14.5,14.56,35200
2000-07-17,14.53,14.66,14.5,14.5,54800
2000-07-18,14.5,14.75,14.44,14.5,100400
2000-07-19,14.53,14.62,14.44,14.53,41600
2000-07-20,14.59,14.59,14.06,14.06,69200
2000-07-21,14.12,14.38,14.06,14.12,64800
2000-07-24,14.25,14.34,14.12,14.12,26600
2000-07-25,14.0,14.03,13.88,13.97,40200
2000-07-26,14.09,14.12,13.91,14.09,50000
2000-07-27,13.62,14.0,13.62,14.0,61400
2000-07-28,14.0,14.06,13.88,13.91,58800
2000-07-31,13.88,13.88,13.72,13.81,45600
2000-08-01,13.75,13.84,13.62,13.69,79200
2000-08-02,13.62,13.81,13.62,13.75,75200
2000-08-03,13.69,13.72,13.66,13.69,35400
2000-08-04,13.75,13.88,13.69,13.88,22000
2000-08-07,13.66,14.22,13.66,14.19,81000
2000-08-08,14.06,14.06,13.78,13.94,70200
2000-08-09,13.97,14.0,13.91,14.0,39200
2000-08-10,13.94,14.19,13.94,14.12,37800
2000-08-11,14.38,14.47,14.25,14.34,51800
2000-08-14,14.56,14.62,14.44,14.62,69200
2000-08-15,14.75,15.0,14.59,15.0,99800
2000-08-16,14.97,15.0,14.62,14.62,64200
2000-08-17,14.75,14.75,14.38,14.44,46000
2000-08-18,14.41,14.53,14.38,14.53,27000
2000-08-21,14.53,14.75,14.5,14.56,41200
2000-08-22,14.56,14.62,14.5,14.62,22400
2000-08-23,14.62,14.66,14.5,14.59,49200
2000-08-24,14.66,14.94,14.66,14.88,47400
2000-08-25,14.94,14.94,14.69,14.78,53000
2000-08-28,0.0,14.88,14.72,14.75,77200
2000-08-29,14.75,14.81,14.59,14.72,51600
2000-08-30,14.75,14.75,14.56,14.69,22200
2000-08-31,14.62,14.62,14.38,14.44,30600
2000-09-01,14.38,14.44,14.25,14.41,45600
