Date,Open,High,Low,Close,Volume
2011-08-15,4.43,4.58,4.35,4.58,22825
2011-08-16,4.56,4.62,4.53,4.55,10034
2011-08-17,4.59,4.59,4.52,4.54,25860
2011-08-18,4.6,4.6,4.32,4.35,112877
2011-08-19,4.4,4.48,4.36,4.41,97240
2011-08-22,4.45,4.54,4.45,4.49,12630
2011-08-23,4.46,4.51,4.31,4.36,122518
2011-08-24,4.34,4.34,4.17,4.23,11734
2011-08-25,4.22,4.28,4.17,4.27,50818
2011-08-26,4.29,4.29,4.15,4.22,49662
2011-08-29,3.87,3.87,3.45,3.56,422110
2011-08-30,3.8,3.8,3.54,3.59,331802
2011-08-31,3.64,3.65,3.56,3.56,207299
2011-09-01,3.61,3.75,3.6,3.73,709651
2011-09-02,3.72,3.76,3.63,3.65,284600
2011-09-06,3.68,3.72,3.58,3.7,458811
2011-09-07,3.64,3.7,3.6,3.61,182338
2011-09-08,3.67,3.71,3.11,3.12,972134
2011-09-09,3.18,3.2,3.06,3.08,316468
2011-09-12,3.09,3.14,3.01,3.06,227517
2011-09-13,3.11,3.16,3.08,3.14,269001
2011-09-14,3.15,3.2,3.1,3.19,233580
2011-09-15,3.2,3.26,3.11,3.25,193334
2011-09-16,3.27,3.37,3.25,3.37,222373
2011-09-19,3.32,3.36,3.14,3.24,111800
2011-09-20,3.26,3.36,2.9,3.03,335523
2011-09-21,3.01,3.04,2.92,2.93,185398
2011-09-22,2.69,2.7,2.52,2.59,139849
2011-09-23,2.43,2.48,2.4,2.42,236833
2011-09-26,2.37,2.41,2.22,2.39,280233
2011-09-27,2.65,2.92,2.57,2.66,896174
2011-09-28,2.7,2.74,2.51,2.6,309539
2011-09-29,2.66,2.75,2.57,2.65,211769
2011-09-30,2.6,2.8,2.59,2.7,236617
2011-10-03,3.08,3.08,2.53,2.54,401855
2011-10-04,2.52,2.52,2.35,2.41,378794
2011-10-05,2.45,2.55,2.42,2.53,176626
2011-10-06,2.58,2.64,2.43,2.57,238380
2011-10-07,2.63,2.63,2.55,2.58,225690
2011-10-10,2.58,2.68,2.57,2.68,116160
2011-10-11,2.66,2.66,2.58,2.6,86493
2011-10-12,2.66,2.83,2.65,2.8,130554
2011-10-13,2.8,3.03,2.73,3.0,139645
2011-10-14,3.04,3.09,2.97,3.0,82428
2011-10-17,3.0,3.04,2.83,2.84,88677
2011-10-18,2.85,2.92,2.75,2.84,118121
2011-10-19,2.84,2.93,2.75,2.75,83629
2011-10-20,2.79,2.79,2.71,2.73,102852
2011-10-21,2.8,2.83,2.75,2.8,120511
2011-10-24,2.83,2.83,2.68,2.77,143217
2011-10-25,2.75,2.82,2.71,2.79,366267
2011-10-26,2.78,2.78,2.73,2.78,80924
2011-10-27,2.9,2.9,2.78,2.86,118912
2011-10-28,2.86,2.95,2.85,2.95,129165
2011-10-31,2.9,2.91,2.81,2.84,158194
2011-11-01,2.77,2.86,2.68,2.78,201341
2011-11-02,2.84,3.09,2.8,2.96,885877
2011-11-03,3.12,3.23,3.01,3.13,1210723
2011-11-04,3.28,3.45,3.2,3.38,916725
2011-11-07,3.43,3.57,3.4,3.47,1098581
2011-11-08,3.55,3.58,3.42,3.48,655269
2011-11-09,3.46,3.56,3.33,3.41,674393
2011-11-10,3.49,3.52,3.32,3.45,325874
2011-11-11,3.5,3.55,3.43,3.49,445055
2011-11-14,3.51,3.54,3.43,3.43,215361
2011-11-15,3.43,3.5,3.41,3.43,192047
2011-11-16,3.43,3.5,3.42,3.42,133724
2011-11-17,3.32,3.4,3.26,3.3,303460
2011-11-18,3.35,3.37,3.28,3.35,133815
2011-11-21,3.27,3.33,3.2,3.23,282896
2011-11-22,3.23,3.38,3.23,3.33,156767
