Date,Open,High,Low,Close,Volume
2013-01-18,19.0,19.28,18.0,18.25,15252343
2013-01-22,18.25,19.05,18.2,18.95,1816760
2013-01-23,19.01,19.13,18.8,19.12,567850
2013-01-24,19.15,19.4,18.81,18.95,1024270
2013-01-25,19.0,19.37,18.71,19.19,442947
2013-01-28,19.25,20.0,19.2,19.81,677051
2013-01-29,19.75,20.0,19.5,19.85,257019
2013-01-30,19.85,20.37,19.7,19.8,388714
2013-01-31,19.53,19.97,19.53,19.87,120780
2013-02-01,19.94,19.98,19.75,19.88,190323
2013-02-04,19.75,19.75,19.35,19.63,197586
2013-02-05,19.4,19.89,19.35,19.74,271604
2013-02-06,19.66,20.2,19.66,19.78,352795
2013-02-07,19.72,20.14,19.66,20.0,650882
2013-02-08,19.83,20.5,19.8,20.47,728602
2013-02-11,20.42,20.69,20.2,20.55,252138
2013-02-12,20.83,20.89,20.0,20.24,251048
2013-02-13,20.57,20.9,20.3,20.43,334626
2013-02-14,20.4,20.58,20.35,20.4,209990
2013-02-15,20.49,20.82,20.31,20.44,213227
2013-02-19,20.36,21.08,20.36,20.8,891591
2013-02-20,20.7,21.0,20.54,20.71,226303
2013-02-21,20.41,20.74,20.05,20.58,475491
2013-02-22,20.59,20.74,20.08,20.23,200314
2013-02-25,20.25,20.54,19.75,19.97,325773
2013-02-26,20.1,20.1,19.71,19.94,206019
2013-02-27,19.84,20.0,19.63,19.74,335465
2013-02-28,19.75,19.85,19.6,19.74,175358
2013-03-01,19.71,19.94,19.6,19.9,268361
2013-03-04,19.95,20.03,19.75,20.01,198748
2013-03-05,20.0,20.23,19.9,20.07,40349
2013-03-06,20.02,20.14,19.81,20.1,114831
2013-03-07,20.07,20.29,19.91,20.22,33634
2013-03-08,20.3,20.4,20.15,20.36,62354
2013-03-11,20.36,20.36,20.1,20.36,29943
2013-03-12,20.28,20.55,20.18,20.55,133909
2013-03-13,20.54,20.54,20.33,20.5,41316
2013-03-14,20.48,20.57,20.4,20.57,66073
2013-03-15,20.42,20.57,20.42,20.49,56368
2013-03-18,20.3,20.68,20.21,20.45,125970
2013-03-19,20.41,20.49,20.33,20.46,101789
2013-03-20,20.51,20.55,20.37,20.51,22493
2013-03-21,20.51,20.89,20.45,20.68,140590
2013-03-22,20.69,20.91,20.64,20.74,31814
2013-03-25,20.69,20.89,20.65,20.71,62270
2013-03-26,20.79,20.79,20.59,20.66,19215
2013-03-27,20.53,20.91,20.53,20.83,61735
2013-03-28,20.73,21.0,20.68,20.9,31515
2013-04-01,20.94,21.04,20.82,20.82,26499
2013-04-02,20.83,21.02,20.76,21.0,20928
2013-04-03,20.88,21.06,20.44,20.7,303304
2013-04-04,20.64,20.75,20.5,20.7,19319
2013-04-05,20.49,20.7,20.35,20.7,69812
2013-04-08,20.65,20.9,20.57,20.75,32565
2013-04-09,20.8,20.81,20.65,20.76,20758
2013-04-10,20.69,20.98,20.66,20.73,32691
2013-04-11,20.76,20.93,20.7,20.76,9165
2013-04-12,20.66,20.78,20.65,20.69,98152
2013-04-15,20.48,20.7,20.41,20.58,97935
2013-04-16,20.64,20.7,20.5,20.5,135311
2013-04-17,20.5,20.63,20.5,20.53,86435
2013-04-18,20.5,20.6,20.02,20.6,79266
2013-04-19,20.6,20.6,20.29,20.55,126394
2013-04-22,20.54,20.6,20.21,20.53,51729
2013-04-23,20.55,20.71,20.4,20.55,42569
2013-04-24,20.45,20.61,20.32,20.34,100893
2013-04-25,20.46,21.08,20.25,20.91,169413
2013-04-26,20.9,21.01,20.62,20.71,60978
2013-04-29,20.7,21.26,20.52,21.25,120880
2013-04-30,21.29,21.33,21.17,21.28,76606
2013-05-01,21.33,21.54,21.13,21.48,63901
2013-05-02,21.41,22.5,21.24,22.11,121732
2013-05-03,22.14,22.37,22.01,22.03,30566
2013-05-06,22.05,22.05,21.61,21.81,138314
2013-05-07,21.77,22.29,21.73,22.13,65767
2013-05-08,22.15,22.15,21.86,22.1,63632
2013-05-09,22.02,22.1,21.8,22.01,67430
2013-05-10,22.01,22.36,21.51,22.03,54657
2013-05-13,21.82,22.32,21.82,22.23,21082
2013-05-14,22.11,22.27,21.96,22.09,34845
2013-05-15,22.0,22.12,21.71,21.76,40799
2013-05-16,21.71,21.82,21.4,21.55,75612
2013-05-17,21.58,22.25,21.44,21.68,51254
2013-05-20,21.68,21.68,21.45,21.56,38243
2013-05-21,21.7,22.26,21.63,21.82,49659
2013-05-22,21.84,21.89,21.55,21.85,63167
2013-05-23,21.74,21.87,20.83,21.87,62190
