Date,Open,High,Low,Close,Volume
2011-05-27,20.0,22.0,19.6,20.71,7901797
2011-05-31,21.66,23.11,21.2,22.53,1433242
2011-06-01,23.25,23.4,21.5,21.65,632357
2011-06-02,22.05,22.39,21.75,21.96,312289
2011-06-03,22.48,23.86,22.0,23.47,527144
2011-06-06,23.87,24.18,22.1,22.29,322607
2011-06-07,22.34,22.85,22.05,22.18,317676
2011-06-08,22.05,23.4,21.9,22.08,342853
2011-06-09,22.0,22.55,21.5,22.04,425051
2011-06-10,22.16,22.84,21.45,22.47,295967
2011-06-13,22.67,23.0,22.12,22.9,245985
2011-06-14,23.11,23.18,22.33,23.05,226239
2011-06-15,23.0,23.6,21.85,22.14,305824
2011-06-16,22.0,22.55,21.5,21.71,297008
2011-06-17,22.07,22.2,20.72,21.44,507380
2011-06-20,21.5,22.74,21.01,21.93,167798
2011-06-21,21.97,22.6,21.32,21.66,194862
2011-06-22,21.98,22.49,21.62,21.73,204210
2011-06-23,21.63,22.23,20.88,21.31,128556
2011-06-24,21.49,21.49,20.31,20.54,2332289
2011-06-27,20.51,21.14,20.2,20.5,254452
2011-06-28,20.8,21.33,20.64,20.77,571435
2011-06-29,20.95,21.92,20.84,21.79,959885
2011-06-30,21.69,23.15,21.12,22.97,403924
2011-07-01,23.13,24.0,22.97,23.71,368929
2011-07-05,23.86,24.95,23.53,24.5,409357
2011-07-06,25.35,26.21,24.76,25.38,1050274
2011-07-07,25.75,26.31,24.93,25.3,366583
2011-07-08,24.84,26.17,24.45,25.35,194004
2011-07-11,25.0,26.4,24.77,25.73,249698
2011-07-12,25.73,27.47,25.42,27.03,359654
2011-07-13,27.42,27.42,25.94,26.2,258676
2011-07-14,26.43,27.2,25.53,25.66,182100
2011-07-15,25.68,26.13,25.09,25.49,134572
2011-07-18,25.5,25.98,23.68,23.94,256438
2011-07-19,24.19,24.35,23.35,23.8,229984
2011-07-20,23.84,24.1,22.27,22.98,374133
2011-07-21,22.98,24.04,22.11,23.51,221516
2011-07-22,24.1,24.84,23.7,24.3,250992
