Date,Open,High,Low,Close,Volume
2015-10-26,1.19,1.36,1.0,1.2,0
2015-10-27,1.22,1.22,1.1,1.1,0
2015-10-28,1.1,1.11,1.06,1.11,0
2015-10-29,1.1,1.1,1.1,1.1,0
2015-10-30,1.06,1.09,1.06,1.09,0
2015-11-02,1.05,1.05,1.0,1.0,0
2015-11-03,1.05,1.05,1.05,1.05,0
2015-11-04,1.01,1.03,1.01,1.02,0
2015-11-05,1.02,1.03,1.0,1.03,0
2015-11-06,1.03,1.03,0.98,0.98,0
2015-11-09,1.0,1.0,1.0,1.0,0
2015-11-10,,,,1.0,0
2015-11-11,1.0,1.0,1.0,1.0,0
2015-11-12,,,,1.0,0
2015-11-13,0.97,0.97,0.97,0.97,0
2015-11-16,1.03,1.03,1.0,1.0,0
2015-11-17,,,,1.0,0
2015-11-18,1.06,1.06,1.06,1.06,0
2015-11-19,0.92,0.92,0.92,0.92,0
2015-11-20,0.81,0.99,0.81,0.99,0
2015-11-23,0.81,0.97,0.81,0.97,0
2015-11-24,0.96,0.96,0.96,0.96,0
2015-11-25,,,,0.96,0
2015-11-26,,,,0.96,0
2015-11-27,,,,0.96,0
2015-11-30,0.81,0.81,0.81,0.81,0
2015-12-01,,,,0.81,0
2015-12-02,,,,0.81,0
2015-12-03,,,,0.81,0
2015-12-04,,,,0.81,0
2015-12-07,,,,0.81,0
2015-12-08,,,,0.81,0
2015-12-09,0.81,0.81,0.81,0.81,0
2015-12-10,,,,0.81,0
2015-12-11,1.0,1.0,0.92,0.92,0
2015-12-14,0.93,1.0,0.93,1.0,0
2015-12-15,,,,1.0,0
2015-12-16,0.82,0.82,0.82,0.82,0
2015-12-18,0.95,1.0,0.9,0.9,0
2015-12-21,0.9,1.0,0.9,0.96,0
2015-12-22,0.96,0.96,0.96,0.96,0
2015-12-23,0.98,0.98,0.95,0.95,0
2015-12-24,,,,0.95,0
2015-12-29,,,,0.95,0
2015-12-30,,,,0.95,0
2015-12-31,,,,0.95,0
2016-01-04,0.98,0.98,0.98,0.98,0
2016-01-05,,,,0.98,0
2016-01-06,0.97,0.97,0.97,0.97,0
2016-01-07,0.97,0.97,0.97,0.97,0
2016-01-08,0.97,0.97,0.97,0.97,0
2016-01-11,,,,0.97,0
2016-01-12,0.96,1.0,0.9,0.96,0
2016-01-13,0.96,0.96,0.96,0.96,0
2016-01-14,,,,0.96,0
2016-01-15,,,,0.96,0
2016-01-18,,,,0.96,0
2016-01-19,,,,0.96,0
2016-01-20,,,,0.96,0
2016-01-21,,,,0.96,0
2016-01-22,,,,0.96,0
2016-01-25,0.96,0.96,0.96,0.96,0
2016-01-26,,,,0.96,0
2016-01-27,,,,0.96,0
2016-01-28,,,,0.96,0
2016-01-29,,,,0.96,0
2016-02-01,,,,0.96,0
2016-02-02,0.96,0.96,0.96,0.96,0
2016-02-03,,,,0.96,0
2016-02-04,,,,0.96,0
2016-02-05,0.99,0.99,0.96,0.96,0
2016-02-08,,,,0.96,0
2016-02-09,0.96,0.97,0.95,0.97,0
2016-02-10,,,,0.97,0
2016-02-11,,,,0.97,0
2016-02-12,1.0,1.0,0.99,0.99,0
2016-02-15,0.99,1.3,0.97,1.21,0
2016-02-16,1.21,1.21,1.08,1.15,0
2016-02-17,1.12,1.2,1.12,1.12,0
2016-02-18,1.12,1.12,1.12,1.12,0
2016-02-19,1.12,1.12,1.12,1.12,0
2016-02-22,1.11,1.18,1.07,1.07,0
2016-02-23,,,,1.07,0
2016-02-24,1.12,1.12,1.06,1.12,0
2016-02-25,1.01,1.14,1.01,1.14,0
2016-02-26,1.06,1.14,1.06,1.14,0
2016-02-29,1.14,1.18,1.07,1.07,0
2016-03-01,1.06,1.06,1.06,1.06,0
2016-03-02,1.19,1.19,1.15,1.15,0
2016-03-03,,,,1.15,0
2016-03-04,1.08,1.08,1.08,1.08,0
2016-03-07,1.18,1.18,1.08,1.18,0
2016-03-08,1.08,1.08,1.08,1.08,0
2016-03-09,1.15,1.15,1.15,1.15,0
2016-03-10,1.13,1.17,1.05,1.17,0
2016-03-11,1.17,1.17,1.17,1.17,0
2016-03-14,1.18,1.18,1.18,1.18,0
2016-03-15,1.13,1.13,1.11,1.11,0
2016-03-16,1.01,1.01,1.01,1.01,0
2016-03-17,1.11,1.11,1.11,1.11,0
2016-03-18,1.02,1.11,1.02,1.02,0
2016-03-21,,,,1.02,0
2016-03-22,1.07,1.09,1.01,1.09,0
2016-03-23,,,,1.09,0
2016-03-24,1.09,1.09,1.02,1.02,0
2016-03-29,,,,1.02,0
2016-03-30,1.02,1.1,1.0,1.0,0
2016-03-31,1.14,1.24,1.11,1.16,0
2016-04-01,1.12,1.6,1.14,1.48,0
2016-04-04,1.46,1.59,1.41,1.5,0
2016-04-05,1.57,1.57,1.43,1.43,0
2016-04-06,1.42,1.43,1.3,1.36,0
2016-04-07,1.34,1.42,1.3,1.39,0
2016-04-08,1.32,1.4,1.32,1.4,0
2016-04-11,1.33,1.42,1.33,1.42,0
2016-04-12,1.33,1.41,1.33,1.41,0
2016-04-13,1.41,1.41,1.26,1.26,0
2016-04-14,1.33,1.33,1.27,1.27,0
2016-04-15,1.31,1.31,1.28,1.31,0
2016-04-18,1.32,1.43,1.32,1.43,0
2016-04-19,1.33,1.43,1.33,1.4,0
2016-04-20,1.42,1.49,1.4,1.4,0
2016-04-21,1.42,1.47,1.41,1.41,0
2016-04-22,1.41,1.45,1.36,1.45,0
