Date,Open,High,Low,Close,Volume
2014-08-01,21.0,23.42,20.26,22.1,12302339
2014-08-04,22.28,23.31,22.01,22.45,669094
2014-08-05,22.29,23.25,22.27,22.7,589547
2014-08-06,22.7,23.0,22.01,22.45,750064
2014-08-07,22.43,22.71,22.23,22.45,269861
2014-08-08,22.47,23.07,22.38,22.95,73239
2014-08-11,23.17,23.17,22.85,22.89,106383
2014-08-12,22.76,23.16,22.33,23.15,420100
2014-08-13,23.24,23.24,22.84,23.13,38860
2014-08-14,22.93,24.0,22.71,24.0,42832
2014-08-15,23.96,24.35,23.0,23.39,51292
2014-08-18,23.38,23.74,23.07,23.48,93752
2014-08-19,23.68,23.7,23.2,23.6,97617
2014-08-20,23.31,24.35,23.31,24.01,49386
2014-08-21,24.1,24.3,23.71,23.85,133775
2014-08-22,23.97,23.97,23.85,23.97,18275
2014-08-25,23.91,24.35,23.91,24.23,56063
2014-08-26,24.43,25.24,24.43,24.8,384465
2014-08-27,25.3,26.02,25.02,25.38,363600
2014-08-28,25.5,27.4,25.5,27.2,167756
2014-08-29,27.44,27.58,27.09,27.36,252921
2014-09-02,27.37,27.58,25.82,26.09,183484
2014-09-03,26.12,26.77,26.12,26.51,105525
2014-09-04,26.9,27.03,26.5,26.5,137855
2014-09-05,27.4,27.4,26.25,26.27,51507
2014-09-08,26.21,26.68,26.12,26.18,102975
2014-09-09,26.15,26.38,26.05,26.09,63696
2014-09-10,26.37,26.37,26.07,26.15,44089
2014-09-11,26.07,26.95,26.04,26.11,65001
2014-09-12,26.03,26.2,25.25,25.4,217874
2014-09-15,25.35,25.61,24.8,24.98,187376
2014-09-16,25.2,25.2,24.71,24.89,94934
2014-09-17,24.79,24.89,24.55,24.75,113930
2014-09-18,24.97,24.97,24.6,24.75,124063
2014-09-19,24.8,25.16,24.61,24.9,357463
2014-09-22,24.87,24.96,23.72,24.67,125131
2014-09-23,24.49,24.92,24.19,24.9,72962
