Date,Open,High,Low,Close,Volume
2013-08-09,19.5,19.84,19.15,19.7,4061829
2013-08-12,19.65,19.7,19.37,19.57,475011
2013-08-13,19.55,19.65,19.4,19.54,215593
2013-08-14,19.4,19.58,19.25,19.5,406484
2013-08-15,19.5,19.63,19.5,19.62,256646
2013-08-16,19.62,19.65,19.27,19.6,106316
2013-08-19,19.55,19.98,19.55,19.9,332045
2013-08-20,19.9,20.0,19.7,19.99,103066
2013-08-21,19.95,20.05,19.65,20.04,137402
2013-08-22,20.0,20.33,19.81,20.27,180095
2013-08-23,20.0,20.33,20.0,20.2,103051
2013-08-26,20.2,20.3,20.04,20.3,349521
2013-08-27,20.06,20.27,20.05,20.2,319673
2013-08-28,20.2,20.5,20.05,20.05,189397
2013-08-29,20.11,20.19,19.44,20.03,198019
2013-08-30,20.04,20.32,20.04,20.1,43871
2013-09-03,20.45,20.49,20.0,20.17,191139
2013-09-04,20.05,20.31,20.01,20.29,149013
2013-09-05,20.19,20.35,20.1,20.17,163459
2013-09-06,20.3,20.4,20.08,20.22,184406
2013-09-09,20.2,20.25,19.94,20.06,707341
2013-09-10,19.8,20.2,19.8,20.15,95948
2013-09-11,20.0,20.33,19.66,20.2,134857
2013-09-12,20.2,20.38,20.07,20.26,61524
2013-09-13,20.24,20.3,20.16,20.2,38103
2013-09-16,20.2,20.39,20.01,20.31,48527
2013-09-17,20.28,20.35,20.15,20.32,32078
2013-09-18,20.15,20.35,20.15,20.22,63151
2013-09-19,20.24,20.24,20.13,20.21,33957
2013-09-20,20.08,20.49,20.01,20.41,26135
2013-09-23,20.4,20.45,20.2,20.32,29845
2013-09-24,20.23,20.48,20.07,20.21,112482
2013-09-25,20.12,20.25,19.97,20.01,85914
2013-09-26,19.87,20.4,19.87,20.2,64995
2013-09-27,20.25,20.3,19.74,19.82,21151
2013-09-30,19.7,20.21,19.56,20.02,15031
2013-10-01,19.72,20.13,19.67,19.96,45098
2013-10-02,19.97,20.09,19.6,19.92,72988
2013-10-03,20.0,20.25,19.69,20.13,46889
2013-10-04,20.08,20.15,19.75,19.9,117853
2013-10-07,19.56,19.85,19.56,19.75,32447
2013-10-08,19.71,19.77,19.35,19.47,64419
2013-10-09,19.55,19.55,19.36,19.36,35206
2013-10-10,19.35,19.66,19.35,19.44,16845
2013-10-11,19.36,19.79,19.35,19.64,234629
2013-10-14,19.68,19.69,19.46,19.69,16608
2013-10-15,19.55,19.78,19.47,19.51,25438
2013-10-16,19.47,19.68,19.35,19.46,84435
2013-10-17,19.59,19.66,19.26,19.37,36433
2013-10-18,19.5,19.5,19.35,19.43,55392
2013-10-21,19.38,19.54,19.27,19.49,53111
2013-10-22,19.52,19.66,19.35,19.62,26880
2013-10-23,19.6,19.9,19.6,19.69,30525
2013-10-24,19.73,20.05,19.69,19.8,33600
2013-10-25,19.89,20.04,19.7,20.0,23251
2013-10-28,19.78,20.05,19.78,19.98,140885
2013-10-29,20.03,20.03,19.72,19.83,24939
2013-10-30,19.88,19.95,19.8,19.86,21291
2013-10-31,19.99,19.99,19.5,19.75,15776
2013-11-01,19.88,19.96,19.62,19.76,44489
2013-11-04,19.76,19.85,19.55,19.6,39685
2013-11-05,19.59,19.85,19.55,19.82,14275
2013-11-06,19.63,19.85,19.39,19.76,20528
2013-11-07,19.73,19.85,19.35,19.42,41750
2013-11-08,19.43,19.82,19.25,19.26,22522
2013-11-11,19.25,19.5,19.16,19.3,18844
2013-11-12,19.42,19.5,19.25,19.3,10571
2013-11-13,19.32,19.45,19.25,19.4,10990
2013-11-14,19.44,19.5,19.41,19.5,17470
2013-11-15,19.5,19.61,19.33,19.57,17500
2013-11-18,19.5,19.51,19.3,19.31,15678
2013-11-19,19.34,19.49,19.34,19.34,18635
2013-11-20,19.44,19.59,19.25,19.25,33950
2013-11-21,19.35,19.55,19.21,19.29,41731
2013-11-22,19.38,19.48,19.26,19.35,9017
2013-11-25,19.52,19.9,19.44,19.83,8404
2013-11-26,19.56,19.87,19.55,19.82,3550
2013-11-27,19.76,19.81,19.3,19.32,37162
2013-11-29,19.46,19.61,19.35,19.36,3839
