Date,Open,High,Low,Close,Volume
2010-07-29,20.96,21.77,20.02,21.1,12026841
2010-07-30,20.97,21.66,20.77,21.57,2002933
2010-08-02,21.94,21.94,21.43,21.74,820476
2010-08-03,21.67,22.02,21.6,22.02,551178
2010-08-04,21.97,22.14,21.71,22.02,1081520
2010-08-05,22.14,22.55,21.82,22.19,338313
2010-08-06,22.6,22.6,21.9,21.9,404360
2010-08-09,22.14,22.35,21.9,21.99,384530
2010-08-10,21.84,22.12,21.67,21.81,292855
2010-08-11,21.6,21.67,21.04,21.34,475155
2010-08-12,21.13,21.85,21.08,21.69,197056
2010-08-13,21.67,21.95,21.58,21.61,243721
2010-08-16,21.81,21.87,21.54,21.73,144266
2010-08-17,21.9,22.14,21.67,22.02,171662
2010-08-18,21.9,22.11,21.75,21.95,207509
2010-08-19,22.02,22.02,21.67,21.89,141112
2010-08-20,21.9,22.03,21.73,21.95,72155
2010-08-23,22.12,22.12,21.78,22.0,91980
2010-08-24,21.66,21.92,21.54,21.86,261081
2010-08-25,21.65,21.82,21.62,21.76,188716
2010-08-26,21.72,21.84,21.7,21.81,127340
2010-08-27,21.85,22.03,21.71,22.03,295272
2010-08-30,21.7,22.09,21.7,22.09,157086
2010-08-31,21.96,22.19,21.78,22.19,113529
2010-09-01,22.07,22.93,22.03,22.85,173126
2010-09-02,22.68,23.28,22.68,23.27,172753
2010-09-03,23.35,23.54,22.68,23.49,162496
2010-09-07,23.44,23.92,23.23,23.64,381806
2010-09-08,23.3,23.81,23.3,23.81,269181
2010-09-09,23.83,24.49,23.47,23.69,364837
2010-09-10,23.96,23.96,23.52,23.57,181206
2010-09-13,23.79,24.02,23.55,23.66,181837
2010-09-14,23.66,24.01,23.56,23.93,112008
2010-09-15,24.0,24.23,23.67,24.21,193956
2010-09-16,24.18,24.18,23.77,23.93,125277
2010-09-17,24.14,24.23,23.61,23.74,174320
2010-09-20,23.66,23.91,23.49,23.69,123476
2010-09-21,23.63,23.75,23.5,23.67,169751
2010-09-22,23.59,24.2,23.5,24.05,97969
2010-09-23,23.79,24.24,23.79,24.08,651666
2010-09-24,24.05,24.07,23.64,23.78,123845
2010-09-27,23.97,23.98,23.69,23.85,192348
2010-09-28,23.74,24.04,23.66,23.78,231631
2010-09-29,23.71,23.88,23.63,23.83,191384
2010-09-30,23.74,23.85,23.56,23.82,286380
2010-10-01,24.0,24.01,23.78,23.87,149060
2010-10-04,23.93,24.0,23.74,23.96,113417
2010-10-05,23.96,24.34,23.93,24.16,228752
2010-10-06,24.38,24.95,24.27,24.75,190101
2010-10-07,24.72,24.96,24.46,24.49,120936
2010-10-08,24.38,24.7,24.33,24.6,74948
2010-10-11,24.79,25.14,24.76,24.9,63900
2010-10-12,25.53,25.53,24.9,25.08,56947
2010-10-13,25.23,25.86,25.08,25.54,127812
2010-10-14,25.43,25.85,25.39,25.51,70275
2010-10-15,25.69,25.72,25.34,25.53,79875
2010-10-18,25.76,25.8,25.21,25.41,67801
2010-10-19,25.26,25.86,25.23,25.24,136619
2010-10-20,25.27,25.8,24.74,25.23,180596
2010-10-21,25.38,25.42,24.78,25.11,140003
2010-10-22,25.11,25.28,24.68,24.79,145845
2010-10-25,25.09,25.09,24.4,24.7,119865
2010-10-26,24.78,24.78,24.26,24.37,145416
2010-10-27,24.3,24.39,24.04,24.3,270265
2010-10-28,24.45,25.14,24.45,24.96,211498
2010-10-29,25.02,25.27,24.86,25.25,148184
2010-11-01,25.35,26.18,25.35,25.91,152034
2010-11-02,26.0,26.53,25.83,26.23,208084
2010-11-03,26.19,26.33,26.0,26.06,63139
2010-11-04,26.13,26.55,26.05,26.06,132814
2010-11-05,26.1,26.47,26.1,26.38,64571
2010-11-08,26.38,26.44,26.19,26.38,86315
2010-11-09,26.19,26.65,25.94,25.98,169887
2010-11-10,25.91,25.95,25.53,25.58,151157
2010-11-11,25.48,26.41,25.44,25.78,90676
2010-11-12,25.67,25.87,25.58,25.66,21087
2010-11-15,25.58,26.21,24.95,26.0,92500
2010-11-16,26.0,26.25,25.79,26.23,59630
2010-11-17,26.23,26.47,25.95,26.47,46082
2010-11-18,26.42,27.24,26.42,27.06,55923
2010-11-19,27.19,27.21,26.86,27.1,31493
2010-11-22,27.21,27.46,26.84,27.09,50033
2010-11-23,26.99,27.27,26.84,27.27,24262
2010-11-24,27.31,27.33,27.19,27.21,30109
2010-11-26,27.18,27.4,27.03,27.18,8629
2010-11-29,27.23,27.23,26.81,26.96,38636
2010-11-30,27.11,27.11,26.67,26.79,33272
2010-12-01,26.85,26.91,26.1,26.32,43883
2010-12-02,25.96,26.59,25.96,26.09,49740
2010-12-03,26.05,26.26,25.87,26.08,67405
2010-12-06,26.08,26.27,25.87,25.98,41809
2010-12-07,25.99,26.35,25.91,26.03,59019
2010-12-08,26.3,26.46,25.63,25.77,100827
2010-12-09,25.81,25.83,25.25,25.45,65847
2010-12-10,25.41,25.69,25.41,25.41,48777
2010-12-13,25.91,25.95,25.39,25.63,33530
2010-12-14,25.53,25.71,25.4,25.48,54686
2010-12-15,25.39,25.44,25.29,25.42,40658
2010-12-16,25.29,25.37,24.96,25.37,68192
2010-12-17,25.2,25.53,24.7,25.06,247390
2010-12-20,24.87,25.25,24.6,25.11,118253
2010-12-21,25.16,25.44,24.82,25.15,68625
2010-12-22,25.19,25.37,25.03,25.37,52346
2010-12-23,25.42,25.63,25.41,25.52,46013
2010-12-27,25.52,25.61,25.27,25.53,39469
2010-12-28,25.51,25.53,25.35,25.48,51013
2010-12-29,25.46,26.12,25.46,26.0,44269
2010-12-30,25.8,26.78,25.8,26.78,50671
2010-12-31,26.75,27.27,26.75,27.1,37891
2011-01-03,27.0,27.03,26.48,26.96,99090
2011-01-04,26.96,27.0,26.06,26.29,47254
2011-01-05,26.55,27.61,25.62,26.46,99440
2011-01-06,26.32,26.9,25.84,25.86,54933
2011-01-07,25.85,26.39,25.74,25.74,39944
2011-01-10,25.94,25.94,25.54,25.76,62004
