Date,Open,High,Low,Close,Volume
2003-01-02,,5.62,5.51,5.53,22000
2003-01-03,,5.62,5.51,5.53,10000
2003-01-06,,5.59,5.5,5.59,12600
2003-01-07,,5.6,5.5,5.58,8200
2003-01-08,,5.6,5.51,5.6,25200
2003-01-09,,5.65,5.51,5.51,187500
2003-01-10,,5.63,5.5,5.53,30101
2003-01-13,,5.6,5.53,5.54,32700
2003-01-14,,5.64,5.51,5.6,110242
2003-01-15,,5.84,5.6,5.82,42600
2003-01-16,,5.95,5.78,5.86,36100
2003-01-17,,5.93,5.77,5.87,71892
2003-01-21,,5.9,5.71,5.85,85100
2003-01-22,,5.84,5.67,5.72,19500
2003-01-23,,5.76,5.64,5.66,170900
2003-01-24,,5.71,5.55,5.6,195800
2003-01-27,,5.7,5.58,5.69,236600
2003-01-28,,5.85,5.65,5.73,150100
2003-01-29,,5.81,5.62,5.81,18270
2003-01-30,,5.85,5.7,5.79,153800
2003-01-31,,5.75,5.7,5.72,15900
2003-02-03,,5.79,5.6,5.77,31232
2003-02-04,,5.7,5.6,5.6,59000
2003-02-05,,5.67,5.6,5.65,29100
2003-02-06,,5.66,5.61,5.65,26800
2003-02-07,,5.65,5.55,5.64,9500
2003-02-10,,5.6,5.55,5.58,19300
2003-02-11,,5.57,5.51,5.56,85300
2003-02-12,,5.57,5.41,5.49,67900
2003-02-13,,5.5,5.35,5.44,26300
2003-02-14,,5.45,5.41,5.41,98210
2003-02-18,,5.47,5.4,5.43,47100
2003-02-19,,5.45,5.35,5.37,9890
2003-02-20,,5.42,5.35,5.39,19100
2003-02-21,,5.42,5.36,5.36,77000
2003-02-24,,5.37,5.28,5.33,77371
2003-02-25,,5.34,5.21,5.25,94100
2003-02-26,,5.25,5.2,5.21,334460
2003-02-27,,5.25,5.19,5.22,5200
2003-02-28,,5.24,5.19,5.24,11900
2003-03-03,,5.35,5.22,5.22,35600
2003-03-04,,5.28,5.15,5.2,7500
2003-03-05,,5.23,5.2,5.2,13800
2003-03-06,,5.21,5.18,5.18,19300
2003-03-07,,5.3,5.09,5.14,14770
2003-03-10,,5.22,5.1,5.19,32800
2003-03-11,,5.15,5.01,5.11,38700
2003-03-12,,5.16,5.0,5.01,18600
2003-03-13,,5.09,5.0,5.01,27500
2003-03-14,,5.1,5.0,5.05,15700
2003-03-17,,5.4,5.03,5.11,20100
2003-03-18,,5.15,5.03,5.12,28885
2003-03-19,,5.1,5.01,5.07,33900
2003-03-20,,5.49,5.03,5.1,31500
2003-03-21,,5.1,4.99,5.1,46900
2003-03-24,,5.17,5.0,5.02,13800
2003-03-25,,5.1,5.0,5.03,7200
2003-03-26,,5.06,5.0,5.03,28800
2003-03-27,,5.05,4.77,5.02,9800
2003-03-28,,5.04,4.91,4.92,9900
2003-03-31,,5.0,4.91,4.95,17700
2003-04-01,,5.04,4.94,5.01,57300
2003-04-02,,5.2,4.95,5.09,13100
2003-04-03,,5.18,5.04,5.18,6700
2003-04-04,,5.11,5.04,5.04,15500
2003-04-07,,5.1,5.06,5.08,64700
2003-04-08,,5.29,5.12,5.24,20200
2003-04-09,,5.36,5.21,5.21,20500
2003-04-10,,5.35,5.15,5.2,2900
2003-04-11,,5.28,5.12,5.24,400410
2003-04-14,,5.45,5.23,5.36,91200
2003-04-15,,5.41,5.27,5.37,42200
2003-04-16,,5.35,5.28,5.29,80738
2003-04-17,,5.3,4.84,5.17,7470
2003-04-21,,5.17,5.03,5.05,25520
2003-04-22,,5.29,5.04,5.29,24600
2003-04-23,,5.38,5.22,5.28,34650
2003-04-24,,5.37,5.13,5.37,60200
2003-04-25,,5.43,5.12,5.33,29100
2003-04-28,,5.35,5.26,5.27,2500
2003-04-29,,5.27,5.25,5.25,31000
2003-04-30,,5.41,5.25,5.25,7600
2003-05-01,,5.3,5.21,5.29,91894
2003-05-02,,5.45,4.71,5.28,53800
2003-05-05,,5.45,5.2,5.45,44700
2003-05-06,,5.47,5.37,5.38,39110
2003-05-07,,5.49,5.4,5.45,1600
2003-05-08,,5.42,5.4,5.42,13300
2003-05-09,,5.35,5.32,5.34,165840
2003-05-12,,5.55,5.31,5.45,214500
2003-05-13,,5.6,5.2,5.58,164000
2003-05-14,,5.65,5.46,5.64,236300
2003-05-15,,5.89,5.6,5.68,290500
2003-05-16,,5.86,5.63,5.8,24300
2003-05-19,,5.88,5.78,5.83,192800
2003-05-20,,6.0,5.75,6.0,93580
2003-05-21,,6.0,5.75,5.8,152100
2003-05-22,,5.88,5.78,5.83,239900
2003-05-23,,6.49,5.85,6.4,69287
2003-05-27,,6.4,6.23,6.26,72000
2003-05-28,,6.4,6.17,6.3,45525
2003-05-29,,6.29,6.17,6.19,195100
2003-05-30,,6.32,6.16,6.28,46500
2003-06-02,,6.31,6.1,6.19,24700
2003-06-03,,6.25,6.11,6.14,66500
2003-06-04,,6.14,6.0,6.04,99881
2003-06-05,,6.25,5.9,6.13,72573
2003-06-06,,6.24,6.03,6.12,56400
2003-06-09,,6.2,6.0,6.09,32600
2003-06-10,,6.09,5.95,6.0,13950
2003-06-11,,6.0,5.84,6.0,30000
2003-06-12,,6.0,5.82,6.0,170600
2003-06-13,,6.35,5.75,6.24,36700
2003-06-16,,6.25,6.0,6.14,87725
2003-06-17,,6.35,6.14,6.35,116300
2003-06-18,,6.3,5.99,6.16,78600
2003-06-19,,6.18,6.0,6.1,63660
2003-06-20,,6.12,6.0,6.0,41900
2003-06-23,,6.06,5.85,5.99,21900
2003-06-24,,5.99,5.82,5.95,48900
2003-06-25,,6.09,5.84,6.04,28200
2003-06-26,,6.06,6.03,6.06,30400
2003-06-27,,6.18,6.04,6.1,43700
2003-06-30,,6.2,5.76,6.2,64100
2003-07-01,,6.34,6.1,6.28,44400
2003-07-02,,6.22,6.07,6.14,29800
2003-07-03,,6.24,6.05,6.21,11400
2003-07-07,,6.12,6.05,6.05,35900
2003-07-08,,6.18,6.02,6.14,49300
2003-07-09,,6.25,6.0,6.15,35543
2003-07-10,,6.25,6.05,6.15,16900
2003-07-11,,6.1,6.05,6.06,305200
2003-07-14,,6.1,5.85,5.97,39800
2003-07-15,,6.02,5.88,6.0,10200
2003-07-16,,6.0,5.9,5.99,4500
2003-07-17,,6.0,5.88,5.95,5200
2003-07-18,,6.04,5.95,5.98,34200
2003-07-21,,6.12,5.95,5.96,96200
2003-07-22,,6.3,5.91,6.16,314180
