Date,Open,High,Low,Close,Volume
2008-11-06,2.72,2.72,2.72,2.72,100
2008-11-10,2.72,2.72,2.72,2.72,100
2008-11-13,2.53,2.53,2.53,2.53,200
2008-11-17,2.08,2.08,2.08,2.08,200
2008-11-18,2.05,2.05,2.05,2.05,200
2008-11-20,1.26,1.26,1.26,1.26,1200
2008-11-24,1.37,1.37,1.37,1.37,400
2008-11-25,1.76,1.76,1.76,1.76,1100
2008-12-01,1.87,1.87,1.87,1.87,100
2008-12-03,1.92,1.92,1.92,1.92,100
2008-12-08,1.85,1.85,1.85,1.85,2500
2008-12-09,1.82,1.82,1.82,1.82,120
2008-12-12,1.2,1.2,1.2,1.2,100
2008-12-15,1.21,1.21,1.21,1.21,400
2008-12-16,1.33,1.33,1.33,1.33,300
2008-12-17,1.21,1.21,1.21,1.21,700
2008-12-18,1.2,1.2,1.2,1.2,100
2008-12-19,1.25,1.25,1.25,1.25,100
2008-12-31,1.2,1.2,1.2,1.2,400
2009-01-05,1.21,1.21,1.21,1.21,200
2009-01-06,1.22,1.22,1.22,1.22,200
2009-01-22,1.25,1.25,1.25,1.25,200
2009-01-26,1.24,1.24,1.24,1.24,200
2009-01-28,1.21,1.21,1.21,1.21,100
2009-02-09,1.24,1.24,1.24,1.24,100
2009-02-17,1.22,1.22,1.22,1.22,164
2009-02-25,1.21,1.21,1.21,1.21,900
2009-03-04,1.02,1.02,1.02,1.02,100
2009-03-06,0.99,0.99,0.99,0.99,400
2009-03-09,0.98,0.98,0.98,0.98,100
2009-03-12,0.99,0.99,0.99,0.99,100
2009-03-16,0.95,0.95,0.95,0.95,400
2009-03-18,1.0,1.0,1.0,1.0,100
2009-03-20,1.02,1.02,1.02,1.02,700
2009-03-23,0.97,0.97,0.97,0.97,100
2009-03-24,0.99,0.99,0.99,0.99,616
2009-03-26,0.98,0.98,0.98,0.98,246
2009-03-27,0.91,0.91,0.91,0.91,200
2009-03-30,0.97,0.97,0.97,0.97,500
2009-03-31,1.16,1.16,1.16,1.16,10700
2009-04-02,1.16,1.16,1.16,1.16,200
2009-04-03,1.14,1.14,1.14,1.14,200
2009-04-06,1.19,1.19,1.19,1.19,100
2009-04-08,1.7,1.7,1.7,1.7,500
2009-04-09,1.64,1.64,1.64,1.64,200
2009-04-13,1.6,1.6,1.6,1.6,100
2009-04-14,1.71,1.71,1.71,1.71,600
2009-04-16,1.94,1.94,1.94,1.94,400
2009-04-17,1.87,1.87,1.87,1.87,300
2009-04-20,1.94,1.94,1.94,1.94,300
2009-04-21,2.16,2.16,2.16,2.16,300
2009-04-22,2.06,2.06,2.06,2.06,400
2009-04-24,2.14,2.14,2.14,2.14,100
2009-04-29,2.16,2.16,2.16,2.16,100
2009-04-30,2.11,2.11,2.11,2.11,200
2009-05-04,2.54,2.54,2.54,2.54,185
2009-05-05,2.34,2.34,2.34,2.34,900
2009-05-11,2.37,2.37,2.37,2.37,100
2009-05-12,2.38,2.38,2.38,2.38,100
2009-05-15,2.18,2.18,2.18,2.18,3900
2009-05-20,1.85,1.85,1.85,1.85,385
2009-05-21,1.74,1.74,1.74,1.74,300
2009-05-26,2.11,2.11,2.11,2.11,500
2009-06-02,2.2,2.2,2.2,2.2,1100
2009-06-03,2.14,2.14,2.14,2.14,400
2009-06-08,2.02,2.02,2.02,2.02,100
2009-06-09,2.06,2.06,2.06,2.06,100
2009-06-11,2.07,2.07,2.07,2.07,300
2009-06-18,2.13,2.13,2.13,2.13,100
2009-06-23,2.04,2.04,2.04,2.04,300
2009-07-10,2.0,2.0,2.0,2.0,100
2009-07-13,1.99,1.99,1.99,1.99,1429
2009-07-14,1.95,1.95,1.95,1.95,400
2009-07-15,1.99,1.99,1.99,1.99,300
2009-07-16,1.75,1.75,1.75,1.75,100
2009-07-29,1.91,1.91,1.91,1.91,100
2009-08-03,1.9,1.9,1.9,1.9,400
2009-08-05,1.91,1.91,1.91,1.91,400
2009-08-06,1.9,1.9,1.9,1.9,200
2009-08-07,1.9,1.9,1.9,1.9,200
2009-08-10,1.9,1.9,1.9,1.9,300
2009-08-13,2.67,2.67,2.67,2.67,1053
2009-08-14,3.12,3.12,3.12,3.12,12600
2009-08-17,2.8,2.8,2.8,2.8,2287
2009-08-20,3.35,3.35,3.35,3.35,6913
2009-08-21,3.32,3.32,3.32,3.32,978
2009-08-24,3.58,3.58,3.58,3.58,800
2009-08-25,3.42,3.42,3.42,3.42,200
2009-08-26,3.26,3.26,3.26,3.26,100
2009-09-01,2.92,2.92,2.92,2.92,100
2009-09-02,3.06,3.06,3.06,3.06,400
2009-09-03,3.03,3.03,3.03,3.03,173
2009-09-08,3.15,3.15,3.15,3.15,600
2009-09-09,3.19,3.19,3.19,3.19,400
2009-09-22,4.11,4.11,4.11,4.11,100
2009-09-24,3.7,3.7,3.7,3.7,700
2009-09-28,3.6,3.6,3.6,3.6,400
2009-10-02,3.62,3.62,3.62,3.62,600
2009-10-07,3.4,3.4,3.4,3.4,100
2009-10-13,3.32,3.32,3.32,3.32,100
2009-10-14,3.38,3.38,3.38,3.38,100
2009-10-29,3.45,3.45,3.45,3.45,100
2009-10-30,3.43,3.43,3.43,3.43,300
2009-11-16,2.85,2.85,2.85,2.85,1800
2009-11-17,2.88,2.88,2.88,2.88,300
2009-11-18,2.89,2.89,2.89,2.89,100
2009-11-19,2.82,2.82,2.82,2.82,100
2009-11-24,2.86,2.86,2.86,2.86,100
2009-11-25,2.81,2.81,2.81,2.81,100
2009-12-04,2.8,2.8,2.8,2.8,100
2009-12-07,2.77,2.77,2.77,2.77,600
2009-12-29,2.39,2.39,2.39,2.39,100
2009-12-30,2.3,2.3,2.3,2.3,100
2010-01-05,2.48,2.48,2.48,2.48,400
2010-01-06,2.5,2.5,2.5,2.5,100
2010-01-07,2.51,2.51,2.51,2.51,300
2010-01-08,2.51,2.51,2.51,2.51,500
2010-01-12,2.49,2.49,2.49,2.49,100
2010-01-28,2.39,2.39,2.39,2.39,100
2010-02-02,2.25,2.25,2.25,2.25,300
2010-02-03,2.19,2.19,2.19,2.19,100
2010-02-16,2.35,2.35,2.35,2.35,100
2010-02-18,2.32,2.32,2.32,2.32,300
2010-03-17,2.27,2.27,2.27,2.27,600
2010-03-18,2.16,2.16,2.16,2.16,3332
2010-03-22,2.29,2.29,2.29,2.29,200
2010-03-30,2.58,2.58,2.58,2.58,100
2010-04-06,2.5,2.5,2.5,2.5,200
2010-04-14,2.57,2.57,2.57,2.57,100
2010-04-15,2.62,2.62,2.62,2.62,100
2010-04-23,2.64,2.64,2.64,2.64,100
2010-04-30,2.62,2.62,2.62,2.62,2800
2010-05-03,2.53,2.53,2.53,2.53,100
2010-05-04,2.58,2.58,2.58,2.58,100
2010-05-07,2.57,2.57,2.57,2.57,200
2010-05-10,2.52,2.52,2.52,2.52,200
2010-05-13,2.67,2.67,2.67,2.67,600
2010-05-17,2.9,2.9,2.9,2.9,1400
2010-05-18,3.38,3.38,3.38,3.38,13213
2010-05-19,3.39,3.39,3.39,3.39,1100
2010-05-20,3.38,3.38,3.38,3.38,600
2010-05-26,3.41,3.41,3.41,3.41,200
2010-05-28,3.59,3.59,3.59,3.59,200
2010-06-09,3.84,3.84,3.84,3.84,100
2010-06-15,3.98,3.98,3.98,3.98,100
2010-06-16,3.94,3.94,3.94,3.94,1200
2010-06-17,3.92,3.92,3.92,3.92,800
2010-06-22,4.62,4.62,4.62,4.62,200
2010-06-23,4.74,4.74,4.74,4.74,900
2010-06-24,4.75,4.75,4.75,4.75,1400
2010-06-25,4.88,4.88,4.88,4.88,2200
2010-06-28,5.09,5.09,5.09,5.09,100
2010-06-29,4.37,4.37,4.37,4.37,1500
2010-06-30,4.76,4.76,4.76,4.76,300
2010-07-01,4.55,4.55,4.55,4.55,600
2010-07-02,4.57,4.57,4.57,4.57,500
2010-07-08,4.63,4.63,4.63,4.63,200
2010-07-09,4.48,4.48,4.48,4.48,100
2010-07-12,4.63,4.63,4.63,4.63,106
2010-07-13,4.93,4.93,4.93,4.93,1430
2010-07-14,4.93,4.93,4.93,4.93,100
2010-07-15,4.87,4.87,4.87,4.87,600
2010-07-19,4.82,4.82,4.82,4.82,920
2010-07-21,4.9,4.9,4.9,4.9,200
2010-07-26,5.02,5.02,5.02,5.02,1100
2010-07-27,4.9,4.9,4.9,4.9,100
2010-07-28,4.8,4.8,4.8,4.8,300
2010-07-29,4.84,4.84,4.84,4.84,400
2010-08-02,4.73,4.73,4.73,4.73,200
2010-08-04,4.92,4.92,4.92,4.92,600
2010-08-05,4.9,4.9,4.9,4.9,200
2010-08-06,4.95,4.95,4.95,4.95,1000
2010-08-09,4.95,4.95,4.95,4.95,300
2010-08-10,5.6,5.6,5.6,5.6,6527
2010-08-11,5.69,5.69,5.69,5.69,7250
2010-08-12,5.46,5.46,5.46,5.46,1718
2010-08-13,6.04,6.04,6.04,6.04,1900
2010-08-16,5.77,5.77,5.77,5.77,3498
2010-08-17,5.94,5.94,5.94,5.94,1100
2010-08-18,6.37,6.37,6.37,6.37,4650
2010-08-19,6.14,6.14,6.14,6.14,3911
2010-08-20,6.17,6.17,6.17,6.17,250
2010-08-23,6.6,6.6,6.6,6.6,7414
2010-08-24,6.52,6.52,6.52,6.52,2400
2010-08-25,6.24,6.24,6.24,6.24,1819
2010-08-26,6.28,6.28,6.28,6.28,640
2010-08-27,6.52,6.52,6.52,6.52,1300
2010-08-30,6.72,6.72,6.72,6.72,8186
2010-08-31,6.63,6.63,6.63,6.63,4200
2010-09-01,6.8,6.8,6.8,6.8,7300
2010-09-02,6.92,6.92,6.92,6.92,100
2010-09-03,7.07,7.07,7.07,7.07,8140
2010-09-07,7.18,7.18,7.18,7.18,9781
2010-09-08,7.65,7.65,7.65,7.65,9270
2010-09-09,7.74,7.74,7.74,7.74,8485
2010-09-10,8.07,8.07,8.07,8.07,8296
2010-09-13,8.61,8.61,8.61,8.61,4710
2010-09-14,9.14,9.14,9.14,9.14,23662
2010-09-15,9.89,9.89,9.89,9.89,12871
2010-09-16,8.3,8.3,8.3,8.3,64753
2010-09-17,8.44,8.44,8.44,8.44,45818
2010-09-20,7.89,7.89,7.89,7.89,21953
2010-09-21,7.85,7.85,7.85,7.85,12945
2010-09-22,7.65,7.65,7.65,7.65,5310
2010-09-23,7.44,7.44,7.44,7.44,7900
2010-09-24,7.9,7.9,7.9,7.9,4700
2010-09-27,7.67,7.67,7.67,7.67,4700
2010-09-28,7.72,7.72,7.72,7.72,1500
2010-09-29,7.69,7.69,7.69,7.69,1400
2010-09-30,7.62,7.62,7.62,7.62,1900
2010-10-01,7.05,7.05,7.05,7.05,14250
2010-10-04,6.9,6.9,6.9,6.9,4000
2010-10-05,7.18,7.18,7.18,7.18,5900
2010-10-06,7.03,7.03,7.03,7.03,1400
2010-10-07,6.79,6.79,6.79,6.79,1672
2010-10-08,6.95,6.95,6.95,6.95,5397
2010-10-11,6.75,6.75,6.75,6.75,4900
2010-10-12,6.52,6.52,6.52,6.52,4800
2010-10-13,6.37,6.37,6.37,6.37,8853
2010-10-14,6.46,6.46,6.46,6.46,900
2010-10-15,6.14,6.14,6.14,6.14,2700
2010-10-18,6.47,6.47,6.47,6.47,5700
2010-10-19,6.1,6.1,6.1,6.1,4186
2010-10-20,6.33,6.33,6.33,6.33,1074
2010-10-21,6.91,6.91,6.91,6.91,4100
2010-10-22,7.25,7.25,7.25,7.25,7260
2010-10-25,7.07,7.07,7.07,7.07,3465
2010-10-26,6.77,6.77,6.77,6.77,2155
2010-10-27,6.73,6.73,6.73,6.73,5443
2010-10-28,6.55,6.55,6.55,6.55,1517
2010-10-29,6.5,6.5,6.5,6.5,1600
2010-11-01,6.46,6.46,6.46,6.46,1700
2010-11-02,6.4,6.4,6.4,6.4,3514
2010-11-03,6.44,6.44,6.44,6.44,500
2010-11-04,6.72,6.72,6.72,6.72,2986
2010-11-05,7.36,7.36,7.36,7.36,4572
2010-11-08,7.33,7.33,7.33,7.33,5549
2010-11-09,7.29,7.29,7.29,7.29,630
2010-11-10,6.92,6.92,6.92,6.92,1900
2010-11-11,6.91,6.91,6.91,6.91,1645
2010-11-12,6.91,6.91,6.91,6.91,600
2010-11-15,6.46,6.46,6.46,6.46,800
2010-11-16,6.49,6.49,6.49,6.49,1500
2010-11-17,6.53,6.53,6.53,6.53,300
2010-11-18,6.56,6.56,6.56,6.56,100
2010-11-19,6.64,6.64,6.64,6.64,1100
2010-11-22,7.25,7.25,7.25,7.25,6228
2010-11-23,6.97,6.97,6.97,6.97,1000
2010-11-24,6.87,6.87,6.87,6.87,600
2010-11-26,6.71,6.71,6.71,6.71,600
2010-11-29,6.61,6.61,6.61,6.61,200
2010-11-30,6.64,6.64,6.64,6.64,200
2010-12-01,6.5,6.5,6.5,6.5,1500
2010-12-02,6.57,6.57,6.57,6.57,400
2010-12-03,6.73,6.73,6.73,6.73,300
2010-12-06,6.64,6.64,6.64,6.64,800
2010-12-07,6.91,6.91,6.91,6.91,2300
2010-12-08,6.94,6.94,6.94,6.94,890
2010-12-09,6.95,6.95,6.95,6.95,200
2010-12-10,7.17,7.17,7.17,7.17,940
2010-12-13,7.29,7.29,7.29,7.29,3800
2010-12-14,7.73,7.73,7.73,7.73,2737
2010-12-15,8.05,8.05,8.05,8.05,5245
2010-12-16,7.68,7.68,7.68,7.68,2200
2010-12-20,7.55,7.55,7.55,7.55,2791
2010-12-21,7.56,7.56,7.56,7.56,1400
2010-12-22,7.38,7.38,7.38,7.38,1275
2010-12-23,7.39,7.39,7.39,7.39,200
2010-12-27,7.3,7.3,7.3,7.3,1300
2010-12-28,7.22,7.22,7.22,7.22,400
2010-12-29,7.49,7.49,7.49,7.49,2255
2010-12-30,7.63,7.63,7.63,7.63,2500
2010-12-31,7.5,7.5,7.5,7.5,200
2011-01-03,7.79,7.79,7.79,7.79,700
2011-01-04,7.65,7.65,7.65,7.65,400
2011-01-05,7.5,7.5,7.5,7.5,2300
2011-01-06,7.56,7.56,7.56,7.56,200
