Date,Open,High,Low,Close,Volume
2000-06-28,11.62,12.56,11.62,12.0,89100
2000-06-29,11.81,12.12,11.12,11.44,151300
2000-06-30,11.12,12.62,11.12,12.62,293800
2000-07-03,12.56,12.56,12.38,12.52,103300
2000-07-05,12.56,13.12,12.44,13.12,45100
2000-07-06,13.0,13.19,12.75,12.84,16400
2000-07-07,13.19,14.0,12.75,13.2,51700
2000-07-10,13.12,13.75,13.12,13.45,26700
2000-07-11,13.38,13.88,13.38,13.62,63800
2000-07-12,13.72,13.81,13.0,13.12,94500
2000-07-13,13.03,13.12,13.0,13.06,23300
2000-07-14,13.12,13.25,13.0,13.23,8700
2000-07-17,13.12,13.44,13.12,13.25,44200
2000-07-18,13.31,13.56,13.19,13.38,36100
2000-07-19,13.88,14.25,13.88,13.94,41900
2000-07-20,14.03,14.19,13.94,14.19,8800
2000-07-21,13.94,14.25,13.94,14.0,18900
2000-07-24,13.94,14.25,13.94,13.94,2900
2000-07-25,14.0,14.0,13.94,14.0,29800
2000-07-26,13.94,13.94,13.75,13.75,6600
2000-07-27,13.75,13.88,13.0,13.75,41700
2000-07-28,13.19,13.69,13.19,13.38,1300
2000-07-31,13.19,13.62,13.19,13.5,23900
2000-08-01,13.38,13.62,13.38,13.5,7900
2000-08-02,13.38,13.62,13.12,13.62,21400
2000-08-03,13.5,13.62,13.38,13.62,41200
2000-08-04,13.25,13.5,13.25,13.38,4200
2000-08-07,13.44,13.62,13.38,13.38,15200
2000-08-08,13.5,13.62,13.44,13.62,2900
2000-08-09,13.5,13.62,13.5,13.56,35600
2000-08-10,13.56,13.62,13.56,13.56,1700
2000-08-11,13.62,13.88,13.56,13.75,14800
2000-08-14,14.0,14.0,13.75,13.88,7900
2000-08-15,13.62,13.75,13.56,13.75,5200
2000-08-16,13.56,13.88,13.56,13.88,26300
2000-08-17,13.69,13.69,13.56,13.62,91900
2000-08-18,13.59,13.62,13.38,13.44,87900
2000-08-21,13.31,13.62,13.31,13.5,66600
2000-08-22,13.38,13.62,13.38,13.62,2800
2000-08-23,13.38,13.38,13.25,13.38,47000
2000-08-24,13.25,13.38,13.19,13.25,26500
2000-08-25,13.25,13.28,13.25,13.25,12800
2000-08-28,0.0,13.38,13.25,13.38,49100
2000-08-29,13.31,13.5,13.25,13.38,17000
2000-08-30,13.44,13.44,13.31,13.31,2300
2000-08-31,13.5,13.75,13.38,13.75,7600
2000-09-01,13.75,14.0,13.44,13.62,17200
2000-09-05,13.62,14.0,13.62,13.88,20800
2000-09-06,13.69,14.12,13.69,14.0,36700
2000-09-07,13.81,15.75,13.81,15.75,110600
2000-09-08,15.31,15.75,14.75,15.0,34100
2000-09-11,15.06,15.06,13.88,13.88,8200
2000-09-12,13.94,14.5,13.94,14.0,10000
2000-09-13,14.31,14.38,13.94,14.0,9000
2000-09-14,14.12,14.25,13.94,14.0,6400
2000-09-15,14.25,14.5,14.0,14.25,4800
2000-09-18,14.0,14.5,14.0,14.5,33100
2000-09-19,14.38,15.62,14.38,15.25,33100
2000-09-20,15.0,15.88,15.0,15.88,22200
2000-09-21,15.0,15.94,15.0,15.0,6500
2000-09-22,15.34,15.34,13.94,14.0,8800
2000-09-25,14.0,14.31,14.0,14.0,25900
2000-09-26,14.0,14.25,14.0,14.25,2600
2000-09-27,13.88,14.0,13.88,13.94,15300
2000-09-28,13.94,13.94,13.62,13.75,10700
2000-09-29,13.81,14.19,13.81,14.19,17600
2000-10-02,13.91,14.75,13.91,14.75,4900
2000-10-03,13.75,14.38,13.69,14.31,17400
2000-10-04,14.38,14.38,14.0,14.0,5100
2000-10-05,14.06,14.25,14.06,14.25,9900
2000-10-06,14.09,14.25,14.06,14.06,5500
2000-10-09,14.0,14.12,13.88,14.12,5400
2000-10-10,,,,14.12,0
2000-10-11,13.88,14.0,13.88,14.0,14200
2000-10-12,13.88,14.12,13.88,14.0,14100
2000-10-13,13.91,14.12,13.88,13.88,24500
2000-10-16,14.12,14.12,13.5,13.56,12900
2000-10-17,13.56,13.62,12.38,12.38,14800
2000-10-18,12.25,12.62,11.88,12.12,19300
2000-10-19,12.0,12.38,12.0,12.0,9000
2000-10-20,11.88,11.88,11.88,11.88,3100
2000-10-23,12.28,12.28,11.75,11.88,54400
2000-10-24,12.09,12.25,11.88,12.25,8200
2000-10-25,12.23,12.23,11.62,11.75,24700
2000-10-26,11.62,11.81,11.44,11.5,34100
2000-10-27,11.56,12.0,11.44,11.5,35100
2000-10-30,11.66,12.0,11.56,11.69,7800
2000-10-31,12.0,12.62,11.75,12.62,51000
2000-11-01,12.0,12.25,12.0,12.0,13300
2000-11-02,12.0,12.12,11.62,12.12,25600
2000-11-03,11.75,12.19,11.75,11.75,30800
2000-11-06,11.86,11.88,11.81,11.88,6800
2000-11-07,11.75,12.0,11.75,12.0,8000
2000-11-08,11.88,12.62,11.88,12.0,14700
2000-11-09,11.88,12.0,11.88,12.0,7100
2000-11-10,11.91,12.12,11.88,11.88,6900
2000-11-13,11.75,12.25,11.56,12.25,29000
2000-11-14,12.0,12.38,12.0,12.38,1600
2000-11-15,12.0,12.12,11.62,11.62,262900
2000-11-16,11.75,12.06,11.75,11.75,9000
2000-11-17,11.75,12.0,11.75,12.0,4100
2000-11-20,11.5,11.5,11.44,11.44,14300
2000-11-21,11.69,11.75,11.5,11.62,10400
2000-11-22,11.62,11.69,11.62,11.69,15100
2000-11-24,11.73,11.75,11.69,11.75,17800
2000-11-27,11.62,13.25,11.62,12.62,18700
2000-11-28,11.25,12.0,11.25,11.56,142200
2000-11-29,11.5,11.81,11.5,11.5,21300
2000-11-30,11.5,12.06,11.5,11.5,20500
2000-12-01,11.56,12.06,11.25,11.25,57900
2000-12-04,11.25,11.75,11.25,11.38,65800
2000-12-05,11.31,11.94,11.12,11.19,17000
2000-12-06,11.73,11.81,10.62,10.62,542800
2000-12-07,11.38,11.75,11.19,11.19,10500
2000-12-08,11.25,11.81,11.25,11.81,9300
2000-12-11,11.5,11.62,10.38,10.88,18500
2000-12-12,10.52,10.88,10.38,10.44,42600
2000-12-13,10.5,10.88,10.25,10.75,33600
2000-12-14,10.5,10.81,10.38,10.44,15500
2000-12-15,10.38,10.75,10.31,10.75,11900
2000-12-18,10.75,10.75,10.12,10.12,33600
2000-12-19,10.25,10.38,10.0,10.12,29100
2000-12-20,10.16,10.75,9.75,9.81,54300
2000-12-21,10.0,10.06,9.75,10.06,217700
2000-12-22,9.75,10.0,9.75,9.81,39600
2000-12-26,9.75,10.16,9.75,10.12,68200
2000-12-27,9.94,10.88,9.94,10.88,32000
2000-12-28,10.5,10.88,10.31,10.44,38600
2000-12-29,10.38,11.25,10.38,11.25,68300
2001-01-02,11.62,11.69,10.88,10.94,45200
2001-01-03,11.0,11.75,11.0,11.06,7200
2001-01-04,11.12,11.75,10.94,11.19,17700
2001-01-05,11.0,11.25,10.88,10.88,25800
2001-01-08,10.88,11.44,10.88,10.88,44000
2001-01-09,10.81,11.0,10.62,10.62,27800
2001-01-10,11.12,11.12,10.75,10.75,15900
2001-01-11,11.12,11.12,10.69,11.12,61800
2001-01-12,10.81,11.12,10.81,11.0,10600
2001-01-16,11.06,11.69,11.0,11.5,63800
2001-01-17,11.5,11.62,11.25,11.25,13900
2001-01-18,11.0,11.69,10.75,10.88,25300
2001-01-19,10.88,11.5,10.75,11.5,32500
2001-01-22,11.67,12.0,11.06,11.31,37500
2001-01-23,11.61,12.06,11.5,12.0,27700
2001-01-24,11.5,12.38,11.5,12.12,34600
2001-01-25,12.25,13.0,12.25,12.75,40800
2001-01-26,12.5,12.75,12.5,12.56,30000
2001-01-29,12.75,13.19,12.56,12.75,48400
2001-01-30,12.94,13.88,12.94,13.88,24500
2001-01-31,13.25,13.25,12.62,12.62,27200
2001-02-01,12.69,13.19,12.56,12.88,11900
2001-02-02,12.38,13.06,12.19,12.81,32800
2001-02-05,13.06,13.06,12.75,12.88,15800
2001-02-06,13.0,13.12,12.81,12.81,29900
2001-02-07,12.88,14.0,12.81,13.86,36200
2001-02-08,13.75,14.12,13.62,14.12,23800
2001-02-09,13.94,15.5,13.69,15.0,48000
2001-02-12,14.38,15.0,14.38,14.88,54300
2001-02-13,14.69,15.06,14.31,14.56,39200
2001-02-14,14.31,15.06,14.19,14.38,48200
2001-02-15,14.44,14.81,14.38,14.38,6700
2001-02-16,14.62,14.88,14.38,14.81,12400
2001-02-20,14.31,14.62,14.31,14.38,30400
2001-02-21,14.53,14.56,14.31,14.31,38800
2001-02-22,14.06,14.12,13.12,13.62,14100
2001-02-23,13.88,13.88,13.62,13.75,7600
2001-02-26,13.72,14.0,13.62,13.75,30600
2001-02-27,13.56,14.19,13.56,14.0,15700
2001-02-28,14.19,14.75,14.0,14.25,36000
2001-03-01,14.23,14.44,14.0,14.12,34600
2001-03-02,14.25,14.5,14.12,14.5,12600
2001-03-05,14.22,14.31,14.12,14.25,5500
2001-03-06,14.31,14.38,14.25,14.25,25700
2001-03-07,14.27,14.94,14.12,14.56,14800
2001-03-08,14.38,14.75,14.06,14.25,11400
2001-03-09,14.0,14.38,14.0,14.19,15100
2001-03-12,14.08,14.5,14.08,14.38,31800
2001-03-13,13.94,14.09,13.38,13.38,25100
2001-03-14,13.0,13.31,12.25,13.06,71100
2001-03-15,12.88,13.12,12.06,12.88,47600
2001-03-16,12.25,12.88,11.62,12.12,36200
2001-03-19,12.0,12.81,11.88,12.0,25200
2001-03-20,12.0,12.25,11.88,12.25,19400
2001-03-21,12.38,12.38,11.12,11.5,13700
2001-03-22,11.5,12.25,11.5,11.75,4900
2001-03-23,11.94,12.0,11.81,11.94,23800
2001-03-26,11.81,12.75,11.81,12.19,16100
2001-03-27,12.19,12.81,12.12,12.81,15900
2001-03-28,12.75,12.75,12.31,12.38,6600
2001-03-29,12.25,12.81,12.12,12.12,19700
2001-03-30,12.38,12.75,12.19,12.75,10000
2001-04-02,12.44,12.62,12.19,12.56,11000
2001-04-03,12.5,12.62,12.25,12.62,7600
2001-04-04,12.5,12.88,12.31,12.88,6100
2001-04-05,12.88,13.12,12.88,12.88,13600
2001-04-06,13.0,13.0,12.94,13.0,16100
2001-04-09,13.14,13.67,13.0,13.67,12100
2001-04-10,13.6,14.0,13.45,13.95,41300
2001-04-11,13.81,14.12,13.81,14.09,37500
2001-04-12,14.11,14.12,13.9,13.96,30400
2001-04-16,13.9,14.1,13.9,13.95,23900
2001-04-17,13.95,14.06,13.95,14.0,26500
2001-04-18,13.95,14.0,13.58,13.75,119900
2001-04-19,13.45,13.9,13.45,13.65,38600
2001-04-20,13.55,13.95,13.55,13.9,6800
2001-04-23,13.55,13.82,13.55,13.82,5600
