Date,Open,High,Low,Close,Volume
2000-06-29,16.75,16.94,16.44,16.75,591400
2000-06-30,16.81,16.88,16.12,16.31,957400
2000-07-03,16.56,17.12,16.5,16.88,504000
2000-07-05,16.88,17.69,16.81,17.38,762200
2000-07-06,17.38,17.69,17.19,17.69,655400
2000-07-07,17.44,17.88,17.38,17.56,727500
2000-07-10,17.56,17.62,17.19,17.31,850300
2000-07-11,17.56,17.75,17.31,17.56,721800
2000-07-12,17.56,17.69,17.44,17.56,548500
2000-07-13,17.69,18.25,17.62,18.25,986700
2000-07-14,18.12,18.44,17.75,18.0,517300
2000-07-17,17.88,17.88,17.25,17.5,572000
2000-07-18,17.75,18.69,17.75,18.44,1125400
2000-07-19,18.88,19.5,18.69,18.88,1541000
2000-07-20,18.94,19.31,18.56,18.69,1002000
2000-07-21,18.94,18.94,18.44,18.5,766300
2000-07-24,18.69,19.31,18.38,18.75,959500
2000-07-25,18.88,19.25,18.75,19.12,536100
2000-07-26,19.06,19.12,18.69,18.69,620100
2000-07-27,18.94,19.19,18.62,18.62,427300
2000-07-28,18.88,19.12,18.75,18.88,476800
2000-07-31,19.12,19.38,19.0,19.38,699900
2000-08-01,19.31,19.88,19.0,19.69,456400
2000-08-02,19.75,19.88,19.25,19.81,304700
2000-08-03,19.69,19.75,19.25,19.38,411200
2000-08-04,19.56,20.56,19.06,20.06,814900
2000-08-07,20.06,20.12,19.75,19.94,407300
2000-08-08,20.75,20.94,20.56,20.62,769600
2000-08-09,20.75,20.88,20.31,20.38,460200
2000-08-10,20.5,20.56,20.06,20.12,379700
2000-08-11,20.31,21.0,20.25,20.5,431000
2000-08-14,20.75,20.94,20.5,20.88,298600
2000-08-15,20.75,20.94,20.44,20.62,476100
2000-08-16,20.38,20.5,19.81,20.25,672700
2000-08-17,20.25,20.44,20.0,20.0,745900
2000-08-18,19.75,20.19,19.75,20.0,776900
2000-08-21,20.0,20.25,19.81,20.0,938400
2000-08-22,20.0,20.19,19.81,20.06,495900
2000-08-23,20.0,20.19,19.88,20.06,380200
2000-08-24,20.06,20.12,19.75,19.88,310200
2000-08-25,19.75,19.75,18.88,19.06,553200
2000-08-28,0.0,20.62,19.06,20.06,1561800
2000-08-29,20.06,20.12,18.75,19.19,510300
2000-08-30,19.19,19.62,18.94,18.94,561100
2000-08-31,18.69,19.0,18.5,18.62,879600
2000-09-01,18.62,19.5,18.56,18.88,495200
2000-09-05,18.62,19.38,18.44,18.94,604000
2000-09-06,18.56,19.19,18.56,19.0,986800
2000-09-07,19.0,19.0,18.31,18.38,446200
2000-09-08,18.25,18.31,17.5,18.12,934700
2000-09-11,18.12,18.12,17.88,17.94,411300
2000-09-12,17.94,18.38,17.75,18.31,357200
2000-09-13,18.31,18.31,17.56,17.81,464900
2000-09-14,17.69,17.81,16.75,16.94,994100
2000-09-15,17.0,17.88,16.88,16.88,980100
2000-09-18,17.0,17.12,16.62,16.75,634000
2000-09-19,16.75,16.75,16.56,16.75,427300
2000-09-20,16.94,16.94,15.94,16.0,2222400
2000-09-21,16.12,16.44,16.0,16.12,635300
2000-09-22,16.25,16.81,16.12,16.25,526300
2000-09-25,16.5,16.5,15.94,15.94,665600
2000-09-26,16.0,16.38,15.94,16.25,506100
2000-09-27,16.31,16.38,16.06,16.31,323300
2000-09-28,16.38,16.44,16.12,16.31,254500
2000-09-29,16.44,16.44,15.94,15.94,395700
2000-10-02,16.0,16.56,16.0,16.44,604400
2000-10-03,16.25,16.56,16.19,16.31,474400
2000-10-04,16.38,16.62,15.88,16.0,335800
2000-10-05,16.31,16.75,15.94,16.12,733000
2000-10-06,16.31,16.62,16.06,16.06,636400
2000-10-09,16.19,16.5,16.12,16.12,387600
2000-10-10,16.31,16.38,16.06,16.06,583700
