Date,Open,High,Low,Close,Volume
2000-06-29,45.62,46.0,44.56,46.0,7100
2000-06-30,45.25,47.0,41.38,45.5,34400
2000-07-03,45.5,47.75,44.38,47.06,3600
2000-07-05,47.31,47.5,44.5,44.75,7800
2000-07-06,47.0,47.0,44.62,46.31,4900
2000-07-07,45.88,46.31,45.12,45.38,4500
2000-07-10,45.44,46.44,45.38,46.0,3000
2000-07-11,45.5,46.5,45.0,46.5,1800
2000-07-12,46.0,46.88,42.25,42.94,8600
2000-07-13,42.94,44.25,41.19,42.75,14000
2000-07-14,42.5,43.38,42.5,43.38,8100
2000-07-17,43.0,43.38,42.62,43.38,3900
2000-07-18,43.0,43.25,41.75,42.0,5400
2000-07-19,41.88,43.5,41.88,43.0,12200
2000-07-20,43.44,44.25,43.25,44.0,12000
2000-07-21,44.0,44.0,43.06,43.06,3100
2000-07-24,43.06,43.06,36.5,39.0,10400
2000-07-25,40.5,40.5,38.56,39.25,7500
2000-07-26,41.5,42.0,40.38,42.0,6300
2000-07-27,41.88,42.5,40.5,40.5,1700
2000-07-28,43.0,43.0,40.94,40.94,3300
2000-07-31,41.5,44.0,41.0,44.0,4000
2000-08-01,44.0,44.0,41.25,44.0,6200
2000-08-02,44.0,44.0,41.25,41.25,1000
2000-08-03,41.25,44.0,40.25,40.25,2800
2000-08-04,41.12,41.25,39.25,39.25,5300
2000-08-07,39.44,41.94,39.0,39.75,5900
2000-08-08,39.0,40.62,39.0,40.62,1600
2000-08-09,41.0,41.0,39.75,39.81,3000
2000-08-10,39.75,40.31,39.06,39.92,3700
2000-08-11,39.62,40.5,39.38,40.12,2900
2000-08-14,41.94,41.94,39.88,40.12,1100
2000-08-15,41.94,41.94,40.0,40.0,2200
2000-08-16,41.12,42.0,41.12,42.0,3300
2000-08-17,41.5,41.75,40.5,41.5,3600
2000-08-18,42.0,42.0,40.62,41.38,5300
2000-08-21,40.5,40.62,40.5,40.62,3700
2000-08-22,40.62,41.38,40.56,41.38,1600
2000-08-23,41.5,41.5,39.5,40.0,7800
2000-08-24,39.88,40.12,39.62,40.12,2400
2000-08-25,40.12,40.12,39.81,40.12,2300
2000-08-28,0.0,40.12,39.75,40.0,2300
2000-08-29,39.5,41.12,39.5,40.44,5600
2000-08-30,40.12,40.94,40.06,40.06,800
2000-08-31,40.5,41.0,40.0,40.06,2700
2000-09-01,40.88,40.88,40.0,40.81,4100
2000-09-05,40.53,40.53,40.12,40.38,4000
2000-09-06,40.5,40.56,40.12,40.12,800
2000-09-07,40.5,40.88,40.5,40.88,1200
2000-09-08,41.22,41.22,40.38,40.38,5600
2000-09-11,40.31,42.0,40.12,42.0,3400
2000-09-12,42.09,42.09,40.59,41.19,2600
2000-09-13,41.25,41.25,40.56,40.62,4300
2000-09-14,41.0,41.0,40.31,40.44,1500
2000-09-15,40.38,41.19,40.12,40.94,4700
2000-09-18,40.44,41.25,40.38,41.25,9500
2000-09-19,40.62,41.19,40.38,40.5,8900
2000-09-20,40.0,40.56,40.0,40.12,1600
2000-09-21,40.0,40.5,40.0,40.0,700
2000-09-22,40.38,41.25,40.0,40.06,5300
