Date,Open,High,Low,Close,Volume
2000-06-30,0.0,15.5,14.14,15.38,80400
2000-07-03,15.36,15.62,14.81,15.31,24400
2000-07-05,15.62,15.75,14.81,15.69,25000
2000-07-06,14.75,15.38,14.75,15.25,7200
2000-07-07,15.38,15.38,14.88,14.94,17600
2000-07-10,14.91,14.94,14.5,14.84,39200
2000-07-11,14.81,14.84,14.12,14.56,25800
2000-07-12,14.62,14.69,14.38,14.59,40200
2000-07-13,14.62,14.66,14.25,14.5,11600
2000-07-14,14.25,14.5,14.25,14.31,3400
2000-07-17,14.75,14.75,14.38,14.62,8400
2000-07-18,14.56,14.56,14.25,14.25,2800
2000-07-19,14.25,14.34,13.94,13.97,9000
2000-07-20,14.22,14.22,14.12,14.22,6200
2000-07-21,14.22,14.22,14.06,14.06,7800
2000-07-24,14.03,14.16,13.19,13.19,33400
2000-07-25,13.69,13.69,13.06,13.44,92200
2000-07-26,13.44,13.44,13.12,13.25,38000
2000-07-27,13.38,13.38,12.88,12.88,11000
2000-07-28,12.88,12.91,12.62,12.62,10000
2000-07-31,12.62,12.69,12.5,12.69,10600
2000-08-01,12.61,13.75,12.5,13.75,30000
2000-08-02,13.75,14.12,13.75,14.0,12800
2000-08-03,13.78,14.75,13.77,14.62,21400
2000-08-04,14.81,14.81,14.31,14.5,30200
2000-08-07,14.5,14.69,14.5,14.56,7000
2000-08-08,14.56,14.69,14.5,14.66,13800
2000-08-09,14.62,14.97,14.38,14.97,60600
2000-08-10,14.94,14.94,14.62,14.75,10600
2000-08-11,14.66,14.75,14.66,14.72,21800
2000-08-14,14.84,14.84,14.28,14.69,22200
2000-08-15,14.69,14.69,14.31,14.31,68000
2000-08-16,14.31,14.31,14.0,14.12,52000
2000-08-17,14.0,14.34,14.0,14.34,30000
2000-08-18,14.25,14.62,14.25,14.59,22200
2000-08-21,14.62,14.88,14.56,14.75,30800
2000-08-22,14.75,14.84,14.75,14.84,12400
2000-08-23,14.75,14.75,14.56,14.75,15800
2000-08-24,0.0,14.91,14.58,14.91,8000
