Date,Open,High,Low,Close,Volume
2014-06-26,28.65,33.0,28.65,31.34,45837325
2014-06-27,32.97,40.47,29.5,35.76,45727158
2014-06-30,39.44,41.19,37.83,40.55,24928679
2014-07-01,45.0,49.9,44.4,48.8,41795185
2014-07-02,46.9,46.98,41.53,42.04,29324076
2014-07-03,43.97,45.24,40.74,41.58,15536583
2014-07-07,42.98,44.44,41.76,43.96,17032380
2014-07-08,43.88,44.99,41.53,42.2,10883881
2014-07-09,43.01,43.7,41.75,43.3,5876831
2014-07-10,41.73,42.75,40.6,41.94,4992625
2014-07-11,42.45,42.88,38.73,38.84,9330315
2014-07-14,38.87,39.1,36.1,36.84,10712412
2014-07-15,39.09,42.1,38.23,41.63,19856584
2014-07-16,43.8,44.44,40.8,40.9,11344997
2014-07-17,40.5,42.13,40.0,40.34,4755012
2014-07-18,41.07,42.55,40.4,41.43,5215762
2014-07-21,43.2,43.8,41.5,41.58,9189147
2014-07-22,42.85,43.25,42.2,43.1,5829201
2014-07-23,43.83,44.83,40.82,41.74,10362883
2014-07-24,42.3,42.4,41.32,42.19,3373460
2014-07-25,41.82,42.4,41.06,41.98,2837865
2014-07-28,42.3,43.7,41.23,43.25,5882926
2014-07-29,43.68,44.75,43.29,44.07,5903634
2014-07-30,44.72,46.34,44.25,46.32,6482058
2014-07-31,45.1,48.4,44.62,47.97,14661983
2014-08-01,41.97,44.79,40.52,40.97,13318858
2014-08-04,41.44,41.8,38.35,38.53,6683634
2014-08-05,38.64,40.14,38.35,38.87,4017147
2014-08-06,39.36,40.13,38.53,38.72,2259646
2014-08-07,39.85,39.85,38.27,38.7,2044925
2014-08-08,39.16,39.16,37.24,37.65,2423591
2014-08-11,38.64,38.77,38.1,38.2,1564644
2014-08-12,38.65,38.69,37.7,38.04,1317728
2014-08-13,38.49,39.04,38.01,38.19,2163012
2014-08-14,38.25,39.82,38.05,39.49,2892037
2014-08-15,39.51,40.25,38.9,39.79,2822459
2014-08-18,40.5,42.6,40.04,41.85,3903791
2014-08-19,42.34,43.5,42.05,43.36,4064423
2014-08-20,42.9,44.6,42.76,43.89,3427176
2014-08-21,44.6,44.86,43.03,43.17,2689281
2014-08-22,43.0,43.83,42.7,43.29,1683879
2014-08-25,43.85,44.35,43.3,43.85,1850319
2014-08-26,44.8,45.8,44.57,45.29,3781936
2014-08-27,45.87,46.0,45.29,45.5,1908633
2014-08-28,45.5,49.86,44.63,48.9,10595261
2014-08-29,49.47,52.13,49.45,51.8,10254382
2014-09-02,53.0,55.35,52.52,53.94,9075576
2014-09-03,55.95,57.45,55.43,56.86,9221188
2014-09-04,54.3,55.88,52.3,53.08,8197654
2014-09-05,54.25,59.24,53.51,58.75,7632873
2014-09-08,58.15,63.72,57.04,63.52,12161719
2014-09-09,63.47,68.29,63.26,64.19,13437550
2014-09-10,67.11,69.3,64.75,68.47,12362264
2014-09-11,70.64,70.9,66.26,68.28,15049587
2014-09-12,68.74,70.17,67.65,69.18,8381821
2014-09-15,69.55,71.42,66.17,67.2,10120926
2014-09-16,65.4,66.69,63.42,65.23,8576158
2014-09-17,67.0,68.21,66.31,67.22,5893871
2014-09-18,68.1,68.67,66.01,66.33,5871786
2014-09-19,66.05,67.3,64.1,67.2,5931891
2014-09-22,67.05,68.9,66.5,68.27,4185489
2014-09-23,68.85,73.42,68.34,72.88,8066474
2014-09-24,74.5,78.84,73.85,78.46,12110395
2014-09-25,81.5,81.64,76.21,81.31,14393309
2014-09-26,79.0,82.4,77.51,82.1,13003673
2014-09-29,81.99,91.77,80.0,90.94,26687421
2014-09-30,94.78,96.45,88.53,93.7,31756088
2014-10-01,92.31,93.96,88.87,91.8,12921815
2014-10-02,87.42,88.95,79.13,85.46,27451224
2014-10-03,88.5,89.8,86.53,86.97,12098407
2014-10-06,89.48,94.31,88.5,93.79,13048866
2014-10-07,92.35,98.47,91.22,93.85,20856597
2014-10-08,91.0,92.77,87.16,89.93,13042875
2014-10-09,91.3,92.38,87.3,89.18,8025761
2014-10-10,87.91,89.89,83.57,85.05,7159655
2014-10-13,82.35,83.4,73.28,76.67,13263514
2014-10-14,78.6,80.93,74.44,75.03,6770363
2014-10-15,71.03,74.85,68.34,72.87,8720357
2014-10-16,69.1,74.88,68.6,72.69,6143538
2014-10-17,75.8,76.75,72.79,74.63,4707421
2014-10-20,75.03,77.59,74.8,76.0,3644613
2014-10-21,77.96,82.79,77.11,80.92,7332249
2014-10-22,84.0,84.95,79.68,80.09,8236797
2014-10-23,82.42,82.81,77.88,79.15,7535906
2014-10-24,75.63,76.5,70.29,71.91,12231242
2014-10-27,66.96,69.85,64.75,64.91,9277457
2014-10-28,66.6,70.9,66.6,69.3,7815082
2014-10-29,69.3,69.3,66.55,67.89,3102794
2014-10-30,68.79,69.74,64.14,68.25,10835370
2014-10-31,80.7,81.13,76.0,77.1,17868884
2014-11-03,77.64,85.4,76.5,84.32,15492590
2014-11-04,84.89,87.5,81.67,82.27,13886482
2014-11-05,84.5,85.5,75.5,75.89,11808028
2014-11-06,77.8,79.5,76.63,78.76,5230334
2014-11-07,79.79,80.4,77.77,79.06,4447265
2014-11-10,75.8,78.1,75.0,75.75,9283076
2014-11-11,75.75,77.27,74.01,75.0,4436635
2014-11-12,74.1,78.44,74.08,76.85,4312750
2014-11-13,77.85,79.65,75.92,76.47,4917933
2014-11-14,77.99,79.49,76.75,79.15,4460911
2014-11-17,79.74,83.44,78.8,81.5,8809146
2014-11-18,83.7,85.78,82.2,84.1,10276961
2014-11-19,85.22,86.0,79.05,79.09,8276689
2014-11-20,72.84,75.1,71.58,71.74,24117480
2014-11-21,73.6,73.6,70.55,70.72,10853573
2014-11-24,71.01,73.09,69.8,72.54,6378809
2014-11-25,73.84,75.71,73.27,74.71,8446592
2014-11-26,76.05,79.35,74.85,79.05,13892807
2014-11-28,80.38,80.61,75.92,77.97,8840837
2014-12-01,77.0,77.0,73.39,73.5,6306318
2014-12-02,74.6,75.42,73.55,73.89,3801775
2014-12-03,74.12,75.3,72.45,73.65,4223349
2014-12-04,73.01,74.5,71.28,71.98,3996760
2014-12-05,72.25,73.75,71.0,72.18,5558713
2014-12-08,72.25,72.33,66.3,67.65,9027218
2014-12-09,65.0,68.75,64.36,67.9,6157305
2014-12-10,66.85,68.5,62.6,62.76,6554568
2014-12-11,64.0,64.44,57.92,60.05,14337934
2014-12-12,62.56,63.27,60.52,60.52,7530549
2014-12-15,61.61,61.85,56.86,57.0,5383494
2014-12-16,55.91,60.2,55.55,58.27,4917811
2014-12-17,60.0,60.44,57.9,59.5,2424899
2014-12-18,60.91,61.03,56.5,57.09,4942541
2014-12-19,57.2,57.5,53.77,53.9,6385821
2014-12-22,54.19,58.0,53.64,58.0,6400291
2014-12-23,59.71,61.99,58.3,61.54,13412656
2014-12-24,63.5,66.7,62.67,66.41,11264433
2014-12-26,68.06,69.75,67.45,69.23,14035170
2014-12-29,67.83,68.8,64.67,64.74,8152254
2014-12-30,66.27,67.4,64.76,65.4,6389039
2014-12-31,65.06,65.78,62.81,63.22,4843099
2015-01-02,64.9,66.9,64.08,66.87,5431410
2015-01-05,67.6,68.5,65.63,66.19,5382059
2015-01-06,66.85,67.25,63.31,64.85,3777771
2015-01-07,65.59,66.45,60.25,62.45,6661975
2015-01-08,61.43,61.94,59.5,60.09,6881411
2015-01-09,60.05,61.7,58.8,60.84,4218226
2015-01-12,59.86,60.0,56.34,56.78,5025601
2015-01-13,57.06,57.2,48.23,49.87,15263390
2015-01-14,50.85,52.7,49.75,52.34,7189771
2015-01-15,52.99,53.0,48.41,48.58,4720733
2015-01-16,47.85,48.47,45.36,47.51,10652518
2015-01-20,47.1,48.93,46.12,47.34,4574967
2015-01-21,47.79,50.67,47.52,50.29,5059905
2015-01-22,50.8,51.3,47.66,48.35,5123656
2015-01-23,48.8,52.51,48.44,52.51,7275318
2015-01-26,52.31,53.18,49.8,50.41,5178013
2015-01-27,49.24,51.96,49.05,51.42,3430745
2015-01-28,51.39,54.13,51.1,51.46,4830143
2015-01-29,51.92,51.92,49.67,50.84,2729773
2015-01-30,50.93,51.19,48.8,49.75,2415309
2015-02-02,50.05,52.24,49.01,52.14,4097366
2015-02-03,52.65,55.17,52.6,54.57,5703763
2015-02-04,54.75,54.75,51.34,51.87,6080642
2015-02-05,52.77,54.69,50.5,54.37,20340068
2015-02-06,47.96,49.75,47.0,47.12,23253267
2015-02-09,46.34,46.9,44.2,44.48,12099479
2015-02-10,44.61,45.3,42.65,43.8,9369382
2015-02-11,43.24,45.65,43.02,44.77,7070053
2015-02-12,45.0,46.49,44.81,45.29,4546198
2015-02-13,45.16,46.15,44.3,45.27,5362562
2015-02-17,46.12,50.95,46.0,50.92,15844339
2015-02-18,49.65,49.99,45.2,45.21,24479657
2015-02-19,45.85,46.43,44.9,45.16,8406074
2015-02-20,45.2,45.82,44.5,45.07,6538788
2015-02-23,44.1,44.89,43.13,43.95,7076970
2015-02-24,43.98,44.77,43.52,43.88,4606950
2015-02-25,43.75,45.17,43.65,45.05,4671577
2015-02-26,45.05,45.68,44.32,44.66,4852183
2015-02-27,43.86,44.1,41.66,41.98,8275005
2015-03-02,40.2,41.58,39.7,39.93,9161738
2015-03-03,39.8,40.98,39.58,40.3,4385682
2015-03-04,41.05,43.9,41.0,43.01,10075067
2015-03-05,43.43,43.83,40.85,41.08,7004130
2015-03-06,41.01,41.5,40.0,40.13,4248321
2015-03-09,40.17,40.35,37.8,37.95,7995828
2015-03-10,37.52,39.47,37.13,38.73,4786401
2015-03-11,38.73,38.94,37.8,38.17,3038573
2015-03-12,38.13,39.8,37.63,39.7,3968708
2015-03-13,39.36,40.4,38.42,40.13,6719308
2015-03-16,40.15,40.3,38.71,39.37,4371164
2015-03-17,39.16,41.28,38.88,40.25,7357973
2015-03-18,40.08,41.43,39.41,40.67,4531794
2015-03-19,40.67,41.34,39.25,39.53,4221421
2015-03-20,39.75,40.63,39.3,40.4,5022966
2015-03-23,40.3,42.77,39.81,42.08,6452513
2015-03-24,42.28,42.65,41.1,41.83,4587681
2015-03-25,43.4,44.34,41.68,42.3,8662263
2015-03-26,43.14,44.1,42.2,43.23,6655378
2015-03-27,43.64,43.97,42.3,42.7,4658298
2015-03-30,43.75,43.9,42.65,43.58,4620061
2015-03-31,43.6,44.45,42.89,43.41,4639583
2015-04-01,43.05,43.34,40.37,40.89,6865199
2015-04-02,40.95,42.28,40.72,41.96,3775362
2015-04-06,41.7,43.93,41.68,43.55,4376036
2015-04-07,43.6,44.1,42.76,43.57,4415790
2015-04-08,43.54,44.38,43.13,43.33,3997021
2015-04-09,43.44,44.9,43.41,43.7,5450859
2015-04-10,44.63,45.63,44.35,45.25,6098429
2015-04-13,45.7,45.95,44.08,44.22,5473548
2015-04-14,44.26,44.91,42.87,44.48,4511159
2015-04-15,45.87,46.95,45.6,45.67,7650134
2015-04-16,45.88,46.36,45.21,45.46,3531818
2015-04-17,44.94,45.57,44.24,44.62,3430948
2015-04-20,45.03,45.5,44.5,44.88,2622477
2015-04-21,44.75,45.45,43.62,44.31,3379670
2015-04-22,44.12,46.28,44.05,46.25,4397382
2015-04-23,46.0,46.73,45.65,46.08,3745329
2015-04-24,46.21,46.44,44.6,44.73,4017192
2015-04-27,45.09,46.05,44.75,45.19,3671333
2015-04-28,45.87,47.1,45.39,47.02,12507956
2015-04-29,52.01,54.06,51.15,52.96,30817709
2015-04-30,52.1,52.57,49.43,50.08,10703420
2015-05-01,49.71,51.21,49.52,49.98,4560482
2015-05-04,50.01,50.75,49.56,49.74,3805771
2015-05-05,49.6,50.35,47.66,47.74,4994136
2015-05-06,47.98,48.29,46.5,48.19,4237961
