Date,Open,High,Low,Close,Volume
2000-05-22,2.4,2.4,2.37,2.39,24300
2000-05-23,2.4,2.4,2.35,2.36,85951
2000-05-24,2.36,2.36,2.3,2.3,66825
2000-05-25,2.29,2.3,2.28,2.28,76950
2000-05-26,2.35,2.47,2.35,2.47,272251
2000-05-30,2.5,2.5,2.41,2.44,164025
2000-05-31,2.47,2.47,2.42,2.43,45451
2000-06-01,2.45,2.45,2.39,2.39,114301
2000-06-02,2.41,2.41,2.38,2.38,75826
2000-06-05,2.37,2.4,2.36,2.39,57601
2000-06-06,2.37,2.38,2.37,2.38,22275
2000-06-07,2.4,2.4,2.31,2.31,66825
2000-06-08,2.31,2.32,2.3,2.3,39376
2000-06-09,2.3,2.3,2.3,2.3,13051
2000-06-12,2.27,2.27,2.26,2.26,60750
2000-06-13,2.27,2.27,2.26,2.26,30375
2000-06-14,2.26,2.26,2.26,2.26,901
2000-06-15,2.23,2.23,2.14,2.14,203401
2000-06-16,2.15,2.15,2.06,2.06,95175
2000-06-19,2.06,2.07,2.06,2.06,26325
2000-06-20,2.06,2.1,2.06,2.1,89100
2000-06-21,2.09,2.13,2.09,2.13,66825
2000-06-22,2.14,2.22,2.14,2.22,73801
2000-06-23,2.25,2.25,2.13,2.13,50625
2000-06-26,2.15,2.15,2.12,2.12,145800
2000-06-27,2.11,2.11,2.05,2.05,150751
2000-06-28,2.05,2.05,2.03,2.03,128476
2000-06-29,2.05,2.05,2.0,2.03,277202
2000-06-30,2.09,2.11,1.98,2.11,846673
2000-07-03,2.13,2.17,2.13,2.13,197326
2000-07-05,2.13,2.16,2.12,2.14,85050
2000-07-06,2.11,2.18,2.11,2.17,143775
2000-07-07,2.18,2.19,2.1,2.13,93150
2000-07-10,2.13,2.13,2.1,2.11,166050
2000-07-11,2.12,2.26,2.12,2.24,207451
2000-07-12,2.24,2.24,2.21,2.22,45451
2000-07-13,2.24,2.26,2.23,2.23,50625
2000-07-14,2.26,2.3,2.22,2.26,44550
2000-07-17,2.26,2.27,2.25,2.27,58725
2000-07-18,2.28,2.29,2.27,2.27,24300
2000-07-19,2.27,2.27,2.27,2.27,81000
2000-07-20,2.27,2.32,2.27,2.29,53551
2000-07-21,2.28,2.3,2.28,2.28,30375
2000-07-24,2.28,2.29,2.28,2.29,29251
2000-07-25,2.29,2.29,2.28,2.29,102151
2000-07-26,2.27,2.27,2.15,2.15,502646
2000-07-27,2.13,2.17,2.13,2.15,100126
2000-07-28,2.16,2.22,2.12,2.15,549220
2000-07-31,2.17,2.2,2.17,2.2,63676
2000-08-01,2.21,2.26,2.21,2.25,133650
2000-08-02,2.27,2.3,2.25,2.27,283277
2000-08-03,2.26,2.32,2.26,2.29,236702
2000-08-04,2.27,2.27,2.27,2.27,9001
2000-08-07,2.27,2.29,2.26,2.26,237826
2000-08-08,2.27,2.3,2.27,2.3,59626
2000-08-09,2.27,2.27,2.26,2.27,21151
2000-08-10,2.26,2.29,2.24,2.29,282376
2000-08-11,2.29,2.31,2.27,2.27,190350
2000-08-14,2.26,2.26,2.22,2.22,106201
2000-08-15,2.22,2.31,2.21,2.3,285302
2000-08-16,2.29,2.3,2.29,2.3,47476
2000-08-17,2.29,2.3,2.29,2.3,12150
2000-08-18,2.29,2.29,2.27,2.27,219601
2000-08-21,2.27,2.28,2.26,2.28,13051
2000-08-22,2.28,2.29,2.27,2.29,24300
2000-08-23,2.28,2.29,2.28,2.29,28350
2000-08-24,2.27,2.27,2.27,2.27,12150
2000-08-25,2.25,2.27,2.25,2.27,114301
2000-08-28,0.0,2.26,2.25,2.25,20250
2000-08-29,2.26,2.26,2.14,2.16,291377
2000-08-30,2.17,2.17,2.16,2.16,39376
2000-08-31,2.14,2.16,2.14,2.16,22275
2000-09-01,2.18,2.18,2.18,2.18,246827
2000-09-05,2.17,2.18,2.16,2.17,145800
2000-09-06,2.18,2.18,2.16,2.17,335026
2000-09-07,2.16,2.17,2.16,2.16,55576
2000-09-08,2.16,2.16,2.13,2.13,74925
2000-09-11,2.12,2.16,2.11,2.16,343804
2000-09-12,2.13,2.17,2.13,2.13,19126
2000-09-13,2.13,2.13,2.08,2.1,39376
2000-09-14,2.11,2.18,2.09,2.18,64800
2000-09-15,2.2,2.2,2.19,2.19,4951
2000-09-18,2.21,2.21,2.13,2.17,38475
2000-09-19,2.19,2.21,2.18,2.18,53551
2000-09-20,2.19,2.19,2.18,2.18,13051
2000-09-21,2.18,2.18,2.14,2.17,35326
2000-09-22,2.16,2.16,2.12,2.12,11026
2000-09-25,2.12,2.13,2.09,2.11,107325
2000-09-26,2.1,2.13,2.1,2.1,99225
2000-09-27,2.1,2.13,2.09,2.1,83025
2000-09-28,2.09,2.09,2.09,2.09,901
2000-09-29,2.09,2.09,2.05,2.05,260101
2000-10-02,2.05,2.07,2.05,2.05,110251
2000-10-03,2.05,2.05,2.03,2.03,47476
2000-10-04,2.03,2.04,2.03,2.04,100126
2000-10-05,2.03,2.03,1.98,1.98,140626
2000-10-06,1.95,1.97,1.93,1.96,48600
2000-10-09,1.96,1.98,1.94,1.95,26325
2000-10-10,1.25,1.29,1.09,1.29,1519428
2000-10-11,1.38,1.38,1.14,1.24,2051325
2000-10-12,1.22,1.22,1.16,1.21,420754
2000-10-13,1.22,1.24,1.19,1.2,669597
2000-10-16,1.22,1.29,1.22,1.25,280351
2000-10-17,1.29,1.29,1.21,1.24,144676
2000-10-18,1.3,1.3,1.16,1.19,352796
2000-10-19,1.19,1.19,1.17,1.18,370130
2000-10-20,1.16,1.2,1.14,1.2,427720
2000-10-23,1.17,1.17,1.16,1.16,21151
2000-10-24,1.17,1.17,1.16,1.17,160876
2000-10-25,1.2,1.21,1.2,1.21,18225
2000-10-26,1.21,1.21,1.16,1.19,203401
2000-10-27,1.18,1.19,1.18,1.18,99225
2000-10-30,1.18,1.19,1.13,1.14,194400
2000-10-31,1.14,1.16,1.14,1.16,51526
2000-11-01,1.19,1.19,1.19,1.19,54675
2000-11-02,1.21,1.21,1.17,1.17,240752
2000-11-03,1.17,1.19,1.17,1.17,266176
2000-11-06,1.19,1.2,1.17,1.19,449996
2000-11-07,1.17,1.17,1.15,1.15,328951
2000-11-08,1.15,1.17,1.15,1.15,3203327
2000-11-09,1.15,1.16,1.14,1.14,168976
2000-11-10,1.13,1.13,1.13,1.13,19126
2000-11-13,1.14,1.14,1.12,1.12,596697
2000-11-14,1.12,1.12,1.09,1.11,603896
2000-11-15,1.17,1.17,1.11,1.11,290476
2000-11-16,1.12,1.12,1.09,1.09,407470
2000-11-17,1.08,1.08,1.03,1.04,23176
2000-11-20,1.04,1.06,1.04,1.06,92026
2000-11-21,1.06,1.06,1.05,1.05,267077
2000-11-22,1.03,1.05,1.01,1.01,390380
2000-11-24,1.03,1.04,1.01,1.04,8100
2000-11-27,1.02,1.04,0.99,0.99,91125
2000-11-28,1.0,1.05,1.0,1.05,181126
2000-11-29,1.05,1.08,1.05,1.06,106201
2000-11-30,1.06,1.06,1.06,1.06,40500
2000-12-01,1.06,1.06,1.05,1.05,131625
2000-12-04,1.04,1.04,1.02,1.04,90001
2000-12-05,1.04,1.06,1.04,1.05,439870
2000-12-06,1.06,1.06,1.06,1.06,81901
2000-12-07,1.06,1.06,1.05,1.06,20250
2000-12-08,1.06,1.14,1.05,1.14,137700
2000-12-11,1.17,1.27,1.17,1.27,423670
2000-12-12,1.29,1.48,1.29,1.43,1459580
2000-12-13,1.45,1.46,1.41,1.41,182250
2000-12-14,1.38,1.38,1.37,1.38,506696
2000-12-15,1.36,1.38,1.34,1.37,286426
2000-12-18,1.38,1.4,1.37,1.4,210600
2000-12-19,1.39,1.39,1.37,1.37,195301
2000-12-20,1.4,1.4,1.38,1.38,126451
2000-12-21,1.37,1.37,1.21,1.24,294526
2000-12-22,1.22,1.27,1.22,1.27,72900
2000-12-26,1.29,1.31,1.29,1.31,288451
2000-12-27,1.3,1.32,1.29,1.32,287327
2000-12-28,1.3,1.31,1.29,1.29,248852
2000-12-29,1.29,1.34,1.29,1.33,256952
2001-01-02,,,,1.33,0
2001-01-03,1.32,1.32,1.31,1.32,168075
2001-01-04,1.33,1.33,1.31,1.33,265052
2001-01-05,1.33,1.34,1.33,1.33,15076
2001-01-08,1.33,1.35,1.32,1.32,300601
2001-01-09,1.33,1.37,1.33,1.37,307577
2001-01-10,1.38,1.39,1.37,1.39,26325
2001-01-11,1.4,1.47,1.4,1.46,81000
2001-01-12,1.5,1.5,1.44,1.44,157950
2001-01-16,1.42,1.42,1.34,1.39,1561953
2001-01-17,1.38,1.41,1.38,1.41,103275
2001-01-18,1.39,1.41,1.39,1.41,24300
2001-01-19,1.4,1.4,1.4,1.4,10125
2001-01-22,1.42,1.42,1.4,1.41,368996
2001-01-23,1.41,1.41,1.41,1.41,28350
2001-01-24,1.41,1.41,1.4,1.41,631122
2001-01-25,1.4,1.42,1.4,1.41,25201
2001-01-26,1.4,1.41,1.4,1.4,700873
2001-01-29,1.4,1.42,1.4,1.4,458096
2001-01-30,1.4,1.4,1.3,1.3,546072
2001-01-31,1.31,1.31,1.31,1.31,13051
2001-02-01,1.33,1.33,1.33,1.33,20250
2001-02-02,1.32,1.32,1.31,1.31,95175
2001-02-05,1.31,1.31,1.31,1.31,17101
2001-02-06,1.31,1.36,1.31,1.34,157950
2001-02-07,1.33,1.33,1.32,1.32,116326
2001-02-08,1.33,1.33,1.33,1.33,2025
2001-02-09,1.33,1.33,1.31,1.31,234677
2001-02-12,1.31,1.32,1.3,1.31,166951
2001-02-13,1.33,1.35,1.33,1.34,65701
2001-02-14,1.33,1.35,1.33,1.34,131625
2001-02-15,1.33,1.38,1.33,1.38,62775
2001-02-16,1.37,1.37,1.34,1.34,63676
2001-02-20,1.34,1.34,1.34,1.34,276301
2001-02-21,1.34,1.35,1.34,1.35,9001
2001-02-22,1.35,1.35,1.35,1.35,9001
2001-02-23,1.35,1.36,1.35,1.35,12150
2001-02-26,1.35,1.35,1.34,1.35,229726
2001-02-27,1.36,1.36,1.36,1.36,81000
2001-02-28,1.36,1.36,1.36,1.36,185176
2001-03-01,1.36,1.36,1.36,1.36,224775
2001-03-02,,,,1.36,0
2001-03-05,,,,1.36,0
2001-03-06,1.36,1.36,1.36,1.36,12150
2001-03-07,1.36,1.36,1.36,1.36,2025
2001-03-08,1.36,1.36,1.36,1.36,2025
2001-03-09,1.36,1.36,1.36,1.36,117450
2001-03-12,1.36,1.36,1.36,1.36,6976
