Date,Open,High,Low,Close,Volume
2011-07-20,23.0,23.4,19.99,20.0,11534725
2011-07-21,20.0,20.01,18.0,19.5,2009369
2011-07-22,19.71,19.72,19.12,19.69,503080
2011-07-25,19.5,20.72,19.5,20.19,652126
2011-07-26,20.49,20.74,20.21,20.56,281256
2011-07-27,20.47,20.47,19.8,19.99,622521
2011-07-28,19.81,20.12,19.0,19.19,279938
2011-07-29,18.92,19.74,18.74,19.35,198476
2011-08-01,19.5,20.03,19.01,19.4,201549
2011-08-02,19.74,18.31,16.55,17.0,943205
2011-08-03,17.0,18.31,16.55,17.05,397096
2011-08-04,16.91,17.0,16.5,16.55,608284
2011-08-05,16.77,16.99,16.24,16.24,127358
2011-08-08,16.0,16.39,14.23,14.87,487193
2011-08-09,15.24,16.08,14.37,16.01,296062
2011-08-10,15.93,15.93,15.19,15.64,146800
2011-08-11,15.75,16.0,15.45,15.86,163008
2011-08-12,16.02,16.02,15.71,15.83,196840
2011-08-15,16.23,17.04,16.0,16.28,295682
2011-08-16,16.05,16.79,16.05,16.73,258041
2011-08-17,16.2,17.68,15.8,16.72,1083058
2011-08-18,15.85,15.97,14.85,14.88,517335
2011-08-19,14.63,15.75,14.46,15.3,401788
2011-08-22,15.7,15.86,14.26,14.78,285133
2011-08-23,14.72,15.2,14.35,14.55,400713
2011-08-24,14.5,14.63,14.01,14.55,205558
2011-08-25,14.53,15.05,14.38,14.67,318869
2011-08-26,14.59,15.51,14.4,15.49,155305
2011-08-29,16.23,16.49,15.25,16.01,934881
2011-08-30,16.05,16.25,15.81,16.0,276282
2011-08-31,16.2,16.65,16.11,16.54,314152
2011-09-01,16.5,16.6,16.36,16.43,168014
2011-09-02,16.24,16.25,15.95,15.96,176636
2011-09-06,15.56,15.92,15.55,15.88,161096
2011-09-07,16.02,16.19,15.5,15.53,262943
2011-09-08,15.5,16.1,15.5,15.7,159637
2011-09-09,16.0,16.0,15.12,15.45,109542
2011-09-12,15.28,15.53,15.12,15.4,61777
2011-09-13,15.52,15.52,14.2,14.47,271537
2011-09-14,14.68,14.74,13.19,13.3,409660
2011-09-15,13.25,13.61,12.8,13.06,599782
2011-09-16,13.0,14.46,12.62,14.21,721897
2011-09-19,14.13,14.92,13.73,14.8,338009
2011-09-20,14.86,15.02,13.91,14.9,247632
2011-09-21,14.73,15.41,14.02,14.77,385855
2011-09-22,14.35,14.7,13.96,14.5,366268
2011-09-23,14.46,14.94,13.48,13.78,250551
2011-09-26,13.93,14.17,13.0,14.0,338343
2011-09-27,14.31,14.36,13.75,14.16,189005
2011-09-28,14.2,14.49,14.05,14.21,207664
2011-09-29,14.5,14.51,13.97,14.46,212370
2011-09-30,13.96,14.43,13.34,14.13,1405155
2011-10-03,13.95,14.65,12.65,13.13,447908
2011-10-04,12.52,13.59,11.81,13.0,429202
2011-10-05,13.0,13.41,12.41,12.93,248045
2011-10-06,12.88,14.68,12.88,14.0,379517
2011-10-07,14.03,14.58,13.93,14.3,230109
2011-10-10,14.5,15.18,13.78,14.48,315110
2011-10-11,14.71,14.93,14.3,14.73,186974
2011-10-12,14.77,16.25,14.77,15.42,438334
2011-10-13,15.28,16.17,14.86,15.82,204302
2011-10-14,16.08,16.23,15.39,15.8,171648
2011-10-17,15.63,15.98,15.2,15.46,317111
2011-10-18,15.55,15.55,14.77,15.09,269273
2011-10-19,15.15,15.79,14.86,15.01,243233
2011-10-20,15.02,15.6,14.53,15.28,312523
2011-10-21,15.6,16.11,15.33,15.54,114993
2011-10-24,15.93,16.31,15.65,16.03,247747
2011-10-25,16.0,16.3,15.62,15.79,106398
2011-10-26,16.05,16.63,15.73,16.46,230327
2011-10-27,16.95,17.01,16.52,17.0,290270
2011-10-28,17.09,17.9,16.88,17.46,312067
2011-10-31,17.51,17.68,15.66,15.75,383092
2011-11-01,15.55,15.61,14.65,14.85,428313
2011-11-02,15.16,15.68,14.57,14.85,720462
2011-11-03,14.95,15.32,14.22,15.29,519931
2011-11-04,17.4,18.1,16.25,17.14,2020780
2011-11-07,17.07,18.48,16.8,18.36,614926
2011-11-08,18.39,19.02,18.08,18.74,440214
2011-11-09,18.28,19.74,18.25,19.13,592080
2011-11-10,19.43,19.7,18.1,18.11,361879
2011-11-11,18.35,19.09,18.01,18.11,215855
2011-11-14,18.0,18.47,16.7,16.96,253863
2011-11-15,16.83,17.35,16.03,17.18,323444
2011-11-16,16.96,17.44,16.67,16.76,216656
2011-11-17,16.75,17.52,16.53,16.77,304451
2011-11-18,16.74,17.06,16.45,16.77,299611
2011-11-21,16.49,16.98,16.43,16.45,167397
2011-11-22,16.47,16.82,15.65,15.82,132628
2011-11-23,15.72,16.04,15.48,15.86,144091
2011-11-25,15.85,16.0,14.95,15.12,80848
2011-11-28,15.47,16.21,15.45,16.2,270021
2011-11-29,16.16,16.24,14.79,15.4,333265
2011-11-30,15.74,15.91,14.64,14.82,299089
2011-12-01,14.72,15.05,14.03,14.73,506355
2011-12-02,14.94,15.16,13.6,13.86,684961
2011-12-05,14.07,15.14,13.84,14.59,709132
2011-12-06,14.63,14.78,13.96,14.51,130463
2011-12-07,14.37,14.65,14.05,14.5,136539
2011-12-08,14.34,14.41,13.7,13.9,285054
2011-12-09,13.91,14.2,13.26,13.46,575802
2011-12-12,13.37,13.45,12.35,12.47,566949
2011-12-13,12.55,12.57,11.79,12.42,843077
2011-12-14,12.35,12.68,11.8,12.34,508801
2011-12-15,12.46,12.99,12.0,12.43,302405
2011-12-16,12.78,12.78,12.0,12.15,277913
2011-12-19,12.21,12.22,12.0,12.11,415215
2011-12-20,12.35,13.55,12.3,13.09,631119
2011-12-21,13.18,13.69,12.99,13.6,368205
2011-12-22,13.57,13.83,13.18,13.76,239712
2011-12-23,13.73,14.09,13.25,13.7,168189
