Date,Open,High,Low,Close,Volume
2003-01-02,,2.81,2.52,2.52,2800
2003-01-03,,2.51,2.42,2.42,3500
2003-01-06,,2.41,2.41,2.41,200
2003-01-07,,2.5,2.5,2.5,1500
2003-01-08,,2.74,2.47,2.49,9300
2003-01-09,,2.48,2.47,2.48,400
2003-01-10,,2.47,2.4,2.4,6300
2003-01-13,,2.41,2.13,2.16,12450
2003-01-14,,2.19,2.11,2.11,2200
2003-01-15,,2.12,2.11,2.12,1400
2003-01-16,,2.68,2.16,2.54,47300
2003-01-17,,2.49,2.45,2.49,2600
2003-01-21,,2.93,2.5,2.5,33600
2003-01-22,,2.57,2.5,2.56,6300
2003-01-23,,2.52,2.5,2.51,5700
2003-01-24,,2.51,2.47,2.48,3600
2003-01-27,,2.37,1.65,2.19,20000
2003-01-28,,2.2,2.06,2.2,1300
2003-01-30,,2.25,1.8,2.25,9600
2003-02-03,,2.34,2.24,2.3,2300
2003-02-04,,2.21,2.01,2.01,1200
2003-02-05,,2.14,2.11,2.14,2100
2003-02-10,,2.14,2.1,2.1,300
2003-02-11,,2.1,1.97,2.02,3700
2003-02-12,,2.0,2.0,2.0,700
2003-02-13,,2.0,2.0,2.0,100
2003-02-14,,2.11,2.04,2.04,3000
2003-02-18,,2.35,2.03,2.03,5000
2003-02-19,,2.16,2.16,2.16,300
2003-02-20,,2.17,1.96,2.0,7200
2003-02-21,,1.94,1.92,1.92,900
2003-02-24,,1.99,1.82,1.82,10475
2003-02-25,,2.0,1.05,1.84,22300
2003-02-26,,1.81,1.73,1.73,2600
2003-02-27,,1.76,1.71,1.76,600
2003-02-28,,1.96,1.71,1.94,4800
2003-03-03,,1.99,1.88,1.9,1700
2003-03-04,,1.99,1.88,1.88,2500
2003-03-05,,1.95,1.81,1.81,1500
2003-03-06,,1.77,1.74,1.74,1400
2003-03-07,,1.76,1.7,1.75,4500
2003-03-10,,1.94,1.6,1.94,9200
2003-03-11,,1.88,1.6,1.75,10300
2003-03-12,,2.08,1.74,1.98,10400
2003-03-13,,2.07,2.0,2.06,3700
2003-03-14,,2.19,2.09,2.19,5425
2003-03-17,,2.2,2.08,2.2,11300
2003-03-18,,2.2,2.18,2.2,3800
2003-03-19,,2.18,2.17,2.17,1200
2003-03-20,,2.15,2.15,2.15,100
2003-03-21,,2.24,2.15,2.15,4900
2003-03-24,,2.22,2.22,2.22,2500
2003-03-25,,2.12,2.1,2.1,1800
2003-03-26,,2.22,2.05,2.22,3500
2003-03-27,,2.15,1.9,2.15,2900
2003-03-31,,2.04,1.98,1.98,900
2003-04-01,,2.0,1.9,2.0,1600
2003-04-02,,2.0,1.9,1.9,1984
2003-04-03,,2.25,1.91,2.05,3000
2003-04-04,,2.0,2.0,2.0,200
2003-04-07,,2.04,2.03,2.03,1100
2003-04-08,,2.01,1.93,2.0,2700
2003-04-09,,2.23,2.0,2.01,1900
2003-04-10,,2.1,2.09,2.09,2000
2003-04-14,,2.28,2.1,2.28,1700
2003-04-15,,2.27,2.13,2.13,2000
2003-04-16,,2.22,2.1,2.22,300
2003-04-17,,2.53,2.13,2.5,14800
2003-04-21,,3.0,2.5,2.78,98025
2003-04-22,,3.17,2.8,2.95,39100
2003-04-23,,3.1,2.95,3.0,24100
2003-04-24,,3.19,3.01,3.15,6000
2003-04-25,,3.46,3.06,3.06,15000
2003-04-28,,3.4,3.1,3.27,6400
2003-04-29,,3.3,3.2,3.3,9700
2003-04-30,,3.39,3.16,3.23,9500
2003-05-01,,3.17,3.16,3.17,1100
2003-05-02,,3.23,3.16,3.16,6800
2003-05-05,,3.21,3.11,3.11,3300
2003-05-06,,3.11,2.95,3.0,14200
2003-05-07,,3.0,2.91,3.0,3300
2003-05-08,,3.1,2.98,3.1,19300
2003-05-09,,3.2,3.02,3.19,11700
2003-05-12,,3.62,3.11,3.62,25800
2003-05-13,,3.73,3.03,3.52,18100
2003-05-14,,3.48,3.09,3.17,12500
2003-05-15,,3.4,3.06,3.16,9100
2003-05-16,,3.13,2.91,2.93,22200
2003-05-19,,3.0,2.91,2.99,5000
2003-05-20,,3.1,2.9,3.1,5900
2003-05-21,,3.06,2.94,3.06,10200
2003-05-22,,3.06,2.98,3.05,1400
2003-05-23,,3.11,2.96,2.98,4600
2003-05-27,,2.98,2.92,2.98,4600
2003-05-28,,2.98,2.87,2.96,600
2003-05-29,,3.0,2.86,2.98,10500
2003-05-30,,3.0,3.0,3.0,2000
2003-06-02,,3.0,2.8,2.8,6700
2003-06-03,,2.89,2.76,2.85,6900
2003-06-04,,2.91,2.85,2.85,700
2003-06-05,,2.84,2.8,2.8,9100
2003-06-06,,2.95,2.81,2.9,6900
2003-06-09,,2.99,2.9,2.99,4200
2003-06-10,,2.92,2.8,2.8,9000
2003-06-11,,2.87,2.82,2.82,3000
2003-06-12,,2.98,2.8,2.98,20900
2003-06-13,,2.92,2.87,2.87,5900
2003-06-16,,2.86,2.8,2.86,7300
2003-06-17,,2.85,2.85,2.85,1000
2003-06-18,,2.95,2.86,2.88,10800
2003-06-19,,2.98,2.85,2.98,8000
2003-06-20,,3.0,2.86,2.86,9300
2003-06-23,,3.01,2.9,3.0,15710
2003-06-24,,3.07,2.91,3.01,2900
2003-06-25,,3.15,2.85,2.85,9300
2003-06-26,,2.87,2.87,2.87,500
2003-06-27,,2.86,2.76,2.8,14500
2003-06-30,,2.8,2.67,2.79,22700
2003-07-01,,2.71,2.7,2.7,2597
2003-07-02,,2.95,2.6,2.6,17003
2003-07-03,,2.7,2.7,2.7,2600
2003-07-07,,2.9,2.68,2.89,19197
2003-07-08,,2.96,2.8,2.95,2100
2003-07-09,,2.92,2.68,2.92,2701
2003-07-10,,2.93,2.68,2.78,2500
2003-07-11,,2.93,2.75,2.8,5200
2003-07-14,,2.96,2.77,2.92,3200
2003-07-15,,3.04,2.8,3.04,14796
2003-07-16,,3.05,3.05,3.05,200
2003-07-17,,3.05,2.85,3.0,1600
2003-07-18,,3.0,3.0,3.0,1600
2003-07-21,,3.12,2.99,3.0,16200
2003-07-22,,3.24,2.75,3.0,22200
2003-07-23,,3.25,2.96,2.99,4600
2003-07-24,,3.01,3.01,3.01,100
2003-07-25,,3.25,3.11,3.12,2100
2003-07-28,,3.2,3.11,3.11,5800
2003-07-29,,3.11,3.11,3.11,1000
2003-07-30,,3.2,3.11,3.11,19700
2003-07-31,,3.3,3.03,3.3,4600
2003-08-01,,4.0,3.12,4.0,35785
2003-08-04,,3.98,3.8,3.89,15700
2003-08-05,,3.91,3.51,3.51,28400
2003-08-06,,3.65,3.35,3.58,10700
2003-08-07,,3.98,3.34,3.75,12200
2003-08-08,,4.0,3.59,3.71,16500
2003-08-11,,3.72,3.23,3.72,14400
2003-08-12,,4.09,3.6,4.0,8750
2003-08-13,,4.86,4.02,4.76,62781
2003-08-14,,5.3,4.6,4.89,228950
2003-08-15,,5.42,4.78,4.94,65700
2003-08-18,,5.37,4.8,4.98,81875
2003-08-19,,5.0,4.63,4.83,38900
2003-08-20,,4.99,4.6,4.64,6300
2003-08-21,,4.75,4.0,4.25,44406
2003-08-22,,4.23,4.1,4.13,19280
2003-08-25,,4.41,4.07,4.4,8380
2003-08-26,,4.49,4.31,4.45,5600
2003-08-27,,4.52,4.32,4.45,14900
2003-08-28,,4.5,4.27,4.5,10700
2003-08-29,,4.52,4.29,4.46,37745
2003-09-02,,4.47,4.3,4.3,10045
2003-09-03,,4.57,4.27,4.5,12800
2003-09-04,,4.4,4.24,4.34,21100
2003-09-05,,4.37,4.08,4.21,7300
2003-09-08,,4.38,4.17,4.22,12525
2003-09-09,,4.38,4.0,4.34,26866
2003-09-10,,4.24,4.01,4.1,8600
2003-09-11,,4.1,3.98,4.0,26600
2003-09-12,,4.1,4.0,4.09,3100
2003-09-15,,4.12,4.06,4.1,5400
2003-09-16,,4.24,4.1,4.2,9300
2003-09-17,,4.29,4.06,4.15,33800
2003-09-18,,4.27,4.11,4.11,8400
2003-09-19,,4.57,4.21,4.57,22980
2003-09-22,,4.63,4.42,4.55,6250
2003-09-23,,4.43,4.21,4.27,5100
2003-09-24,,4.2,3.92,4.0,24300
2003-09-25,,4.19,3.94,4.1,5023
2003-09-26,,4.1,4.03,4.09,3323
2003-09-29,,4.08,3.99,3.99,5500
2003-09-30,,4.19,4.01,4.08,10300
2003-10-01,,4.29,4.05,4.28,6800
2003-10-02,,4.25,4.0,4.0,14850
2003-10-03,,4.1,3.99,4.0,39175
2003-10-06,,4.15,3.97,3.97,5600
2003-10-07,,4.17,3.9,3.93,9000
2003-10-08,,4.04,3.94,3.95,4600
2003-10-09,,4.03,3.9,3.9,6700
2003-10-10,,3.99,3.76,3.76,6300
2003-10-13,,4.0,3.8,3.88,7600
2003-10-14,,4.04,3.75,4.04,28695
2003-10-15,,4.4,3.94,4.06,20800
2003-10-16,,4.25,4.01,4.06,9200
2003-10-17,,4.32,4.03,4.03,3400
2003-10-20,,4.0,3.97,3.97,1800
2003-10-21,,3.97,3.86,3.97,10520
2003-10-22,,4.2,3.86,4.05,25700
2003-10-23,,4.71,4.09,4.5,627100
2003-10-24,,4.7,4.39,4.6,46800
2003-10-27,,4.97,4.5,4.66,169200
2003-10-28,,4.89,4.43,4.55,50300
2003-10-29,,4.66,4.49,4.55,15960
2003-10-30,,4.69,4.53,4.65,52300
2003-10-31,,4.99,4.7,4.9,20168
2003-11-03,,4.99,4.68,4.68,43233
2003-11-04,,4.9,4.76,4.9,3914
2003-11-05,,4.86,4.71,4.85,8781
2003-11-06,,5.58,4.64,5.25,37221
2003-11-07,,5.35,4.97,5.05,27828
2003-11-10,,5.19,4.88,4.88,20270
2003-11-11,,5.03,4.82,4.94,12517
2003-11-12,,5.2,4.5,4.83,79476
2003-11-13,,4.91,4.67,4.75,8492
2003-11-14,,4.83,4.56,4.77,9023
2003-11-17,,4.83,4.5,4.54,10241
2003-11-18,,4.55,4.25,4.36,8309
2003-11-19,,4.33,4.2,4.3,31200
2003-11-20,,4.3,4.26,4.28,223061
2003-11-21,,4.5,4.22,4.5,23150
2003-11-24,,4.4,4.21,4.39,11400
2003-11-25,,4.4,4.15,4.28,12692
2003-11-26,,4.29,4.16,4.17,11600
2003-11-28,,4.4,4.13,4.4,7110
2003-12-01,,4.9,4.39,4.9,37348
2003-12-02,,4.94,4.7,4.7,11900
2003-12-03,,4.75,4.51,4.6,11550
2003-12-04,,4.74,4.5,4.5,5900
2003-12-05,,4.51,4.41,4.41,16185
2003-12-08,,4.5,4.42,4.42,8200
2003-12-09,,4.35,4.25,4.25,12126
2003-12-10,,4.31,3.9,4.25,41689
2003-12-11,,4.25,4.04,4.25,2610
2003-12-12,,4.4,4.24,4.35,31200
2003-12-15,,4.34,4.1,4.3,6039
2003-12-16,,4.5,4.36,4.5,82677
2003-12-17,,4.5,4.35,4.36,6260
2003-12-18,,4.45,4.12,4.39,9760
2003-12-19,,4.43,4.13,4.13,27100
2003-12-22,,4.29,4.21,4.29,7464
2003-12-23,,4.38,4.21,4.38,2070
2003-12-24,,4.29,4.13,4.29,1350
2003-12-26,,4.38,4.19,4.38,3000
2003-12-29,,4.31,4.2,4.3,2500
2003-12-30,,4.34,4.2,4.33,10801
2003-12-31,,4.37,4.23,4.32,29580
2004-01-02,,4.39,4.23,4.27,6242
2004-01-05,,4.37,4.21,4.34,18582
2004-01-06,,4.4,4.26,4.4,20630
2004-01-07,,4.69,4.25,4.65,48544
2004-01-08,,4.86,4.7,4.8,20050
2004-01-09,,4.8,4.42,4.42,30350
2004-01-12,,4.55,4.28,4.28,19900
2004-01-13,,4.55,4.33,4.4,20313
2004-01-14,,4.6,4.31,4.6,5500
2004-01-15,,4.65,4.33,4.65,10890
2004-01-16,,4.75,4.22,4.65,10564
2004-01-20,,4.7,4.55,4.7,27011
2004-01-21,,4.7,4.48,4.7,5450
2004-01-22,,4.62,4.51,4.6,7400
2004-01-23,,4.6,4.56,4.57,6000
2004-01-26,,4.6,4.51,4.6,4100
2004-01-27,,4.61,4.5,4.5,13491
2004-01-28,,4.54,4.45,4.45,1300
2004-01-29,,4.5,4.42,4.43,12653
2004-01-30,,4.49,4.44,4.49,7856
2004-02-02,,4.49,4.47,4.47,2900
2004-02-03,,4.47,4.37,4.39,5300
2004-02-04,,4.47,4.37,4.38,7155
2004-02-05,,4.47,4.24,4.44,11800
2004-02-06,,4.7,4.44,4.7,20835
2004-02-09,,4.68,4.61,4.63,15603
2004-02-10,,4.8,4.49,4.74,13800
2004-02-11,,4.85,4.74,4.75,15780
2004-02-12,,5.0,4.74,4.91,35000
2004-02-13,,5.0,4.7,4.76,25229
2004-02-17,,4.76,4.58,4.76,2900
2004-02-18,,4.93,4.7,4.7,54833
2004-02-19,,5.08,4.73,4.73,58055
2004-02-20,,4.84,4.7,4.8,52100
2004-02-23,,4.99,4.74,4.8,65639
2004-02-24,,4.88,4.74,4.87,7280
2004-02-25,,4.95,4.8,4.88,10810
2004-02-26,,4.94,4.88,4.89,4410
2004-02-27,,4.97,4.9,4.95,24126
2004-03-01,,5.47,4.9,5.4,34812
2004-03-02,,5.5,5.2,5.46,42698
2004-03-03,,5.7,5.46,5.5,56393
2004-03-04,,5.53,5.36,5.45,17326
2004-03-05,,5.47,5.05,5.24,21725
2004-03-08,,5.7,5.18,5.36,18555
2004-03-09,,5.27,4.88,5.06,24985
2004-03-10,,5.11,4.75,4.83,14151
2004-03-11,,5.0,4.72,4.98,23255
2004-03-12,,5.16,4.86,5.16,30110
2004-03-15,,5.69,5.11,5.12,24680
2004-03-16,,5.44,5.06,5.06,20200
2004-03-17,,5.59,5.1,5.1,47030
2004-03-18,,5.39,5.06,5.06,9472
2004-03-19,,5.35,4.64,5.0,18920
2004-03-22,,5.03,4.83,4.96,7439
2004-03-23,,5.09,4.88,5.03,30200
2004-03-24,,5.06,4.76,4.85,10700
2004-03-25,,5.02,4.85,4.98,5685
2004-03-26,,4.97,4.87,4.9,5413
2004-03-29,,5.06,4.87,5.0,8790
2004-03-30,,5.04,4.8,5.03,16608
2004-03-31,,5.05,4.91,4.96,4950
2004-04-01,,5.03,4.96,5.0,6900
2004-04-02,,5.35,5.04,5.3,266780
2004-04-05,,5.35,4.82,4.88,17972
2004-04-06,,5.2,4.84,5.11,209200
2004-04-07,,5.2,5.1,5.19,13150
2004-04-08,,5.34,5.12,5.2,42762
2004-04-12,,5.7,5.21,5.44,63460
2004-04-13,,5.6,5.36,5.45,141932
2004-04-14,,5.5,5.3,5.35,22160
2004-04-15,,5.45,5.3,5.34,28425
2004-04-16,,5.4,5.27,5.27,23302
2004-04-19,,5.59,5.27,5.38,37200
2004-04-20,,6.05,5.51,5.65,74187
2004-04-21,,5.95,5.31,5.6,66263
2004-04-22,,6.12,5.7,6.06,181426
2004-04-23,,6.09,5.91,6.02,55150
2004-04-26,,6.04,5.85,5.89,29924
2004-04-27,,6.52,5.76,6.05,91108
2004-04-28,,6.14,5.32,5.74,65297
2004-04-29,,5.74,5.54,5.56,18360
2004-04-30,,5.59,5.3,5.35,26250
2004-05-03,,5.97,5.34,5.54,62300
2004-05-04,,5.84,5.27,5.53,32850
2004-05-05,,5.91,5.66,5.66,28950
2004-05-06,,5.58,5.38,5.38,6400
2004-05-07,,5.61,5.35,5.37,11467
2004-05-10,,5.49,5.05,5.25,42298
2004-05-11,,5.35,5.02,5.3,55991
2004-05-12,,5.5,4.77,5.14,54280
2004-05-13,,5.35,5.01,5.3,60825
2004-05-14,,5.36,5.02,5.11,12662
2004-05-17,,5.1,4.91,5.02,24505
2004-05-18,,5.19,4.75,4.78,19600
2004-05-19,,5.01,4.77,4.9,10800
2004-05-20,,5.09,4.78,5.09,11758
2004-05-21,,5.09,4.99,4.99,4250
2004-05-24,,5.01,4.78,4.9,22937
2004-05-25,,5.13,4.78,5.13,5020
2004-05-26,,5.49,5.14,5.29,20975
2004-05-27,,5.5,5.3,5.35,22217
2004-05-28,,5.31,4.94,5.17,16597
2004-06-01,,5.29,4.8,5.03,18680
2004-06-02,,5.3,5.05,5.09,10952
2004-06-03,,5.08,4.94,5.0,10300
2004-06-04,,5.12,4.9,5.08,3850
2004-06-07,4.9,5.1,4.86,4.95,10957
2004-06-08,4.96,4.96,4.8,4.86,8650
2004-06-09,4.96,4.96,4.61,4.61,101400
2004-06-10,4.87,4.92,4.68,4.9,11300
2004-06-14,4.93,4.94,4.71,4.71,15990
2004-06-15,4.66,4.78,4.6,4.7,37665
2004-06-16,4.67,4.7,4.5,4.5,20740
2004-06-17,4.51,4.78,4.51,4.71,15593
2004-06-18,4.64,5.11,4.51,4.87,51129
2004-06-21,5.17,5.17,5.0,5.05,75914
2004-06-22,5.1,5.14,5.06,5.06,7262
2004-06-23,5.01,5.27,5.0,5.15,20681
2004-06-24,5.14,5.21,5.11,5.16,5223
