Date,Open,High,Low,Close,Volume
2005-11-18,7.75,7.75,6.1,6.32,70822800
2005-11-21,6.51,6.74,6.38,6.54,16691200
2005-11-22,6.38,6.46,5.69,5.88,12594400
2005-11-23,5.98,6.02,5.88,5.95,4024400
2005-11-25,5.96,6.0,5.88,5.92,1164000
2005-11-28,5.92,6.05,5.9,5.92,3238000
2005-11-29,5.89,5.91,5.27,5.34,8055600
2005-11-30,5.33,5.68,5.32,5.63,3207600
2005-12-01,5.71,5.93,5.65,5.79,2828800
2005-12-02,5.93,6.25,5.81,6.16,4702800
2005-12-05,6.28,6.48,6.14,6.42,2826800
2005-12-06,6.52,6.54,6.13,6.18,2302800
2005-12-07,6.23,6.41,6.23,6.41,1746400
2005-12-08,6.38,6.47,6.32,6.38,989200
2005-12-09,6.4,6.46,6.2,6.25,799200
2005-12-12,6.25,6.4,6.19,6.37,1312800
2005-12-13,6.44,6.48,6.31,6.4,1052800
2005-12-14,6.5,6.81,6.47,6.75,4098000
2005-12-15,6.75,6.91,6.7,6.85,2122800
2005-12-16,6.84,6.91,6.63,6.91,3783200
2005-12-19,6.9,6.9,6.29,6.62,3539200
2005-12-20,6.88,7.07,6.71,7.02,5776400
2005-12-21,7.04,7.2,6.97,7.14,4820400
2005-12-22,7.14,7.21,7.0,7.18,2140400
2005-12-23,7.18,7.93,7.14,7.8,7446000
2005-12-27,7.98,8.73,7.88,8.32,16574000
2005-12-28,8.5,9.18,8.42,9.09,14484000
2005-12-29,9.74,10.0,9.57,9.96,17984000
2005-12-30,9.91,9.94,9.3,9.58,14604400
2006-01-03,9.3,9.35,8.3,8.34,16058800
2006-01-04,8.18,8.3,7.82,7.9,14894000
2006-01-05,8.13,8.92,8.04,8.91,14190800
2006-01-06,8.8,9.09,8.41,8.87,11079200
2006-01-09,8.98,8.99,8.69,8.96,4226800
2006-01-10,9.04,9.62,8.88,9.38,11832400
2006-01-11,9.57,9.64,9.12,9.42,5162000
2006-01-12,9.28,9.85,9.28,9.63,6183200
2006-01-13,9.7,10.08,9.63,9.76,4322400
2006-01-17,9.79,9.85,9.26,9.54,3712400
2006-01-18,9.16,9.89,9.12,9.64,3926000
2006-01-19,9.58,9.92,9.55,9.7,2499200
2006-01-20,9.74,9.81,9.38,9.57,2673600
2006-01-23,9.55,9.62,9.12,9.33,3788800
2006-01-24,9.33,9.46,9.14,9.18,2956000
2006-01-25,9.15,9.44,8.7,9.22,3272400
2006-01-26,9.22,9.66,9.22,9.39,2569200
2006-01-27,9.46,9.75,9.32,9.59,1630400
2006-01-30,9.6,10.48,9.48,10.08,8939600
2006-01-31,10.24,10.27,9.9,10.0,2652400
2006-02-01,9.94,10.19,9.56,9.76,2482000
2006-02-02,9.9,10.0,9.5,9.86,1978800
2006-02-03,9.89,9.99,9.45,9.71,1917600
2006-02-06,9.84,9.91,9.39,9.8,4548800
2006-02-07,8.3,8.5,7.66,7.74,29096000
2006-02-08,7.75,7.75,7.12,7.36,12706000
2006-02-09,7.56,7.66,7.3,7.37,3737200
2006-02-10,7.38,7.6,7.38,7.48,1962000
2006-02-13,7.44,7.68,7.44,7.56,2742800
2006-02-14,7.56,7.71,7.52,7.57,1399600
2006-02-15,7.49,7.61,7.22,7.27,2991200
2006-02-16,7.2,7.28,6.76,7.19,6340400
2006-02-17,7.18,7.31,6.98,7.23,1986000
2006-02-21,7.18,7.18,6.83,6.85,2781200
2006-02-22,6.8,7.09,6.79,7.05,2611200
2006-02-23,7.05,7.37,6.9,7.29,2082000
2006-02-24,7.22,7.29,7.12,7.2,1428400
2006-02-27,7.2,7.21,7.12,7.14,1088800
2006-02-28,7.08,7.14,7.0,7.05,1274400
2006-03-01,7.0,7.24,7.0,7.16,1309600
2006-03-02,7.2,7.35,7.06,7.31,1413200
2006-03-03,7.38,7.38,7.14,7.22,801600
2006-03-06,7.19,7.23,7.07,7.15,1296000
2006-03-07,7.08,7.31,6.96,7.09,1756800
2006-03-08,7.06,7.06,6.69,6.73,2032000
2006-03-09,6.7,6.84,6.7,6.75,1538800
2006-03-10,6.74,6.74,6.46,6.64,2230800
2006-03-13,6.62,6.93,6.54,6.86,1366800
2006-03-14,7.5,7.62,7.28,7.4,7857600
2006-03-15,7.43,7.47,7.28,7.45,1076000
2006-03-16,7.45,7.66,7.45,7.57,2389600
2006-03-17,7.6,7.63,7.5,7.52,953600
2006-03-20,7.51,7.88,7.48,7.76,2128800
2006-03-21,7.75,7.76,7.58,7.72,1588000
2006-03-22,7.75,7.8,7.5,7.8,1298000
2006-03-23,7.81,8.06,7.76,7.88,2779600
2006-03-24,7.88,8.29,7.87,8.25,2343200
2006-03-27,8.27,8.78,8.21,8.55,4618800
2006-03-28,8.52,8.72,8.18,8.23,3282000
2006-03-29,8.2,8.6,8.19,8.5,2350400
2006-03-30,8.46,8.56,8.21,8.22,1252000
2006-03-31,8.21,8.22,8.06,8.1,1243600
2006-04-03,8.18,8.36,8.12,8.13,1380400
2006-04-04,8.12,8.32,8.12,8.22,1179600
2006-04-05,8.38,8.48,8.21,8.24,1306400
2006-04-06,8.25,8.38,8.16,8.18,969600
