Date,Open,High,Low,Close,Volume
2000-06-29,14.55,14.55,14.4,14.4,10500
2000-06-30,14.4,14.58,14.38,14.58,6000
2000-07-03,14.48,14.48,14.3,14.3,3300
2000-07-05,14.05,14.08,14.0,14.08,38500
2000-07-06,14.08,14.15,14.08,14.15,13800
2000-07-07,14.15,14.35,14.15,14.28,26300
2000-07-10,14.38,14.38,14.3,14.3,13000
2000-07-11,14.4,14.4,14.4,14.4,500
2000-07-12,14.5,14.68,14.5,14.68,2300
2000-07-13,,,,14.68,0
2000-07-14,14.75,14.82,14.75,14.82,1300
2000-07-17,14.75,14.85,14.75,14.85,9000
2000-07-18,14.8,14.8,14.8,14.8,7300
2000-07-19,14.72,14.72,14.72,14.72,500
2000-07-20,14.62,14.62,14.45,14.5,12300
2000-07-21,14.6,14.6,14.25,14.4,19000
2000-07-24,14.4,14.55,14.4,14.55,32500
2000-07-25,14.62,14.9,14.62,14.9,47500
2000-07-26,14.85,14.85,14.75,14.75,32500
2000-07-27,14.8,14.9,14.8,14.85,41300
2000-07-28,14.9,14.9,14.9,14.9,800
2000-07-31,14.8,14.8,14.55,14.55,3800
2000-08-01,14.45,14.45,14.4,14.42,12000
2000-08-02,14.45,14.8,14.45,14.8,2500
2000-08-03,14.72,14.72,14.65,14.65,500
2000-08-04,14.6,14.6,14.6,14.6,500
2000-08-07,14.52,14.6,14.52,14.6,500
2000-08-08,,,,14.6,0
2000-08-09,14.6,14.6,14.6,14.6,3800
2000-08-10,14.7,14.72,14.7,14.72,500
2000-08-11,14.78,14.9,14.78,14.9,3000
2000-08-14,14.95,15.28,14.8,14.8,103300
2000-08-15,14.7,14.7,14.55,14.55,800
2000-08-16,14.55,14.55,14.12,14.5,217300
2000-08-17,14.4,14.52,14.4,14.52,3300
2000-08-18,14.6,14.6,14.5,14.52,8000
2000-08-21,14.42,14.52,14.42,14.48,12300
2000-08-22,14.52,14.75,14.52,14.75,23500
2000-08-23,14.65,14.8,14.65,14.8,27500
2000-08-24,14.98,15.2,14.98,15.02,14800
2000-08-25,15.05,15.05,14.9,14.9,2300
2000-08-28,0.0,14.93,14.83,14.93,800
2000-08-29,15.03,15.05,14.85,14.85,17300
2000-08-30,14.8,14.8,14.5,14.5,13800
2000-08-31,14.4,14.4,14.3,14.38,24000
2000-09-01,14.4,14.5,14.4,14.4,42500
2000-09-05,14.3,14.4,14.3,14.3,27800
2000-09-06,,,,14.3,0
2000-09-07,,,,14.3,0
2000-09-08,14.35,14.35,14.35,14.35,300
2000-09-11,14.3,14.35,14.3,14.35,7800
2000-09-12,14.4,14.5,14.4,14.5,4300
2000-09-13,,,,14.5,0
2000-09-14,14.6,14.8,14.6,14.8,6800
