Date,Open,High,Low,Close,Volume
2013-11-22,29.5,30.48,27.13,28.66,11926120
2013-11-25,28.48,28.49,27.5,27.75,915138
2013-11-26,27.36,29.12,27.36,29.0,635922
2013-11-27,29.4,30.17,29.0,29.7,521630
2013-11-29,30.0,30.0,29.25,29.27,215174
2013-12-02,29.4,29.65,28.71,29.18,521602
2013-12-03,29.25,29.68,28.84,29.34,413948
2013-12-04,29.31,29.69,29.1,29.15,278497
2013-12-05,29.25,29.65,29.23,29.38,291081
2013-12-06,29.08,29.75,28.89,29.1,408833
2013-12-09,29.25,30.81,29.2,30.42,766980
2013-12-10,30.1,31.6,30.01,30.98,445051
2013-12-11,31.15,32.16,31.01,31.55,485304
2013-12-12,31.85,32.19,31.04,31.16,339152
2013-12-13,30.98,32.0,30.98,31.84,210611
2013-12-16,32.76,32.76,31.46,31.67,335548
2013-12-17,31.16,31.37,30.06,30.8,487614
2013-12-18,31.0,31.5,30.26,30.44,208567
2013-12-19,30.34,31.22,29.67,30.0,335015
2013-12-20,30.0,30.54,29.51,30.54,1690445
2013-12-23,30.4,30.98,28.76,29.98,224240
2013-12-24,29.93,29.93,28.95,29.32,109984
2013-12-26,29.35,29.49,29.07,29.37,122119
2013-12-27,29.32,29.65,29.06,29.4,156658
2013-12-30,29.34,30.49,29.16,30.17,179162
2013-12-31,30.12,30.7,29.9,30.67,319672
2014-01-02,30.63,30.77,29.57,29.95,266600
2014-01-03,30.0,30.0,28.92,29.32,355085
2014-01-06,29.52,29.57,27.72,27.95,791549
2014-01-07,27.96,28.13,26.88,27.21,405148
2014-01-08,27.07,27.25,26.77,27.04,376762
2014-01-09,27.04,27.05,25.8,25.89,311090
2014-01-10,25.69,26.65,25.28,26.61,246946
2014-01-13,26.47,26.47,25.55,25.76,474422
2014-01-14,25.84,26.87,25.72,26.21,231795
2014-01-15,26.2,26.28,22.84,25.44,299834
2014-01-16,25.5,25.5,24.03,24.24,416199
2014-01-17,24.4,25.97,24.35,24.87,522724
2014-01-21,24.89,24.89,23.74,23.96,587314
2014-01-22,23.92,24.42,23.88,24.25,473986
2014-01-23,24.2,24.99,24.2,24.42,398983
2014-01-24,24.3,24.72,23.96,24.03,356625
2014-01-27,24.0,24.27,23.8,24.14,175888
2014-01-28,24.16,24.7,24.16,24.3,116077
2014-01-29,23.97,24.26,23.53,23.56,206618
2014-01-30,23.69,23.9,23.04,23.71,209960
2014-01-31,23.31,23.55,23.25,23.36,110983
2014-02-03,23.4,23.85,22.53,23.59,280159
2014-02-04,24.0,24.33,23.14,23.22,353578
2014-02-05,23.16,23.64,23.0,23.45,157071
2014-02-06,23.6,24.13,23.09,23.18,201123
2014-02-07,23.31,23.66,23.28,23.45,141963
2014-02-10,23.39,23.92,23.31,23.46,155266
2014-02-11,23.32,24.34,23.31,24.07,181371
2014-02-12,24.28,25.74,24.26,25.0,182947
2014-02-13,24.74,26.27,24.72,25.92,170233
2014-02-14,25.96,26.19,25.27,25.36,85989
2014-02-18,25.43,26.1,25.43,25.84,101416
2014-02-19,25.8,26.03,25.45,25.47,127531
2014-02-20,25.58,26.66,25.38,26.13,105072
2014-02-21,26.15,26.47,25.78,25.92,112230
2014-02-24,25.89,26.45,25.89,26.07,187145
2014-02-25,26.15,26.97,26.01,26.5,154446
2014-02-26,26.63,27.88,26.57,27.51,262610
2014-02-27,27.51,27.75,26.99,27.35,183569
2014-02-28,27.44,27.65,26.88,27.0,135210
2014-03-03,26.79,27.04,25.66,26.29,119863
2014-03-04,26.36,26.84,26.2,26.66,121750
2014-03-05,26.71,26.98,26.39,26.92,85608
2014-03-06,26.89,27.15,24.68,26.08,453025
2014-03-07,26.24,27.0,25.72,26.49,282977
2014-03-10,26.41,26.83,26.0,26.67,146562
2014-03-11,26.67,27.35,26.5,26.98,160541
2014-03-12,26.92,27.44,26.82,27.35,79409
2014-03-13,27.5,27.5,27.1,27.22,133096
2014-03-14,27.15,27.5,27.04,27.05,117328
2014-03-17,27.1,27.4,27.1,27.33,171646
2014-03-18,27.05,27.45,27.0,27.26,128180
2014-03-19,27.29,27.45,27.14,27.26,171847
2014-03-20,27.14,27.23,26.15,26.63,264724
2014-03-21,26.83,26.84,24.74,24.82,671390
2014-03-24,24.83,24.86,24.01,24.7,285515
2014-03-25,24.91,25.02,23.25,24.31,393450
2014-03-26,24.46,24.63,23.27,23.38,250309
2014-03-27,23.45,24.26,23.25,23.76,758335
2014-03-28,23.95,25.7,23.85,25.69,1209706
2014-03-31,25.8,26.39,25.33,26.36,185191
2014-04-01,26.48,27.31,26.16,27.02,186202
2014-04-02,27.02,27.02,26.19,26.28,66140
2014-04-03,26.3,26.3,25.44,25.6,120933
2014-04-04,25.65,26.12,24.84,25.49,273408
2014-04-07,25.44,25.97,25.02,25.23,125570
2014-04-08,25.27,25.54,24.26,25.05,272767
2014-04-09,24.82,25.49,24.82,25.31,115100
2014-04-10,25.31,25.53,24.6,24.97,186032
2014-04-11,24.81,24.99,24.16,24.61,144662
2014-04-14,24.88,25.19,24.5,24.72,92265
2014-04-15,24.85,25.62,24.76,25.38,133260
2014-04-16,25.66,25.73,25.16,25.28,69206
2014-04-17,25.4,26.34,25.4,26.1,176844
2014-04-21,26.08,26.37,26.0,26.33,62914
2014-04-22,26.45,27.98,26.45,27.36,164159
2014-04-23,27.43,27.43,26.82,26.9,92828
2014-04-24,27.07,27.54,26.15,26.99,74932
2014-04-25,26.96,27.0,26.07,26.56,148638
2014-04-28,26.75,27.25,25.78,26.57,140729
2014-04-29,27.0,28.0,26.8,27.87,228154
2014-04-30,27.73,27.8,26.84,27.51,126395
2014-05-01,27.47,27.47,26.69,26.89,246119
2014-05-02,27.0,27.5,26.73,27.37,63828
2014-05-05,27.08,27.42,26.67,26.84,73362
2014-05-06,26.68,27.1,26.43,26.6,131687
2014-05-07,26.5,26.5,25.41,26.15,152139
2014-05-08,26.14,26.73,25.54,25.77,159498
2014-05-09,25.69,26.28,25.37,26.24,121055
2014-05-12,26.24,27.3,26.02,26.69,516463
2014-05-13,26.65,26.97,26.24,26.71,79876
2014-05-14,26.67,26.82,26.42,26.62,107517
2014-05-15,26.44,26.53,26.0,26.11,98748
2014-05-16,26.08,26.12,25.25,26.04,121762
2014-05-19,26.04,26.24,25.53,25.99,116529
2014-05-20,25.76,25.97,24.46,24.62,258138
2014-05-21,24.75,25.18,24.19,24.51,172601
2014-05-22,24.67,25.33,24.62,25.26,103865
2014-05-23,25.33,25.98,25.08,25.88,53605
2014-05-27,25.93,27.39,25.93,27.03,154031
2014-05-28,27.65,28.93,27.65,28.13,453675
2014-05-29,28.11,28.6,27.8,28.3,143319
2014-05-30,28.43,28.5,27.24,27.79,299108
2014-06-02,27.7,28.17,27.02,27.71,94805
2014-06-03,27.58,28.05,26.77,27.62,185392
2014-06-04,27.39,28.35,27.33,27.73,218849
2014-06-05,28.95,33.28,28.61,33.13,1250466
2014-06-06,33.95,35.32,32.69,32.92,903708
2014-06-09,33.0,35.3,32.89,34.04,504935
2014-06-10,34.06,35.17,34.06,35.05,475765
2014-06-11,34.78,35.17,34.37,35.13,305593
2014-06-12,35.15,35.24,34.28,34.68,328959
2014-06-13,34.91,35.05,34.3,34.95,257200
2014-06-16,34.84,35.97,34.27,34.94,480772
2014-06-17,34.87,36.1,34.45,35.58,261488
2014-06-18,35.65,36.8,34.83,36.6,273173
2014-06-19,36.78,38.0,36.67,37.82,352359
