Date,Open,High,Low,Close,Volume
2015-01-29,32.75,34.27,31.0,34.26,420373
2015-01-30,34.6,34.6,33.57,34.03,688700
2015-02-02,34.0,35.8,33.99,35.0,272717
2015-02-03,35.12,37.5,35.0,37.14,671246
2015-02-04,37.5,38.42,37.24,38.09,834511
2015-02-05,38.23,38.81,37.66,38.17,388348
2015-02-06,38.0,38.55,37.72,37.72,917787
2015-02-09,38.48,38.48,36.98,37.39,2168383
2015-02-10,37.02,41.06,37.0,39.3,2201162
2015-02-11,39.75,42.5,39.5,41.44,2108118
2015-02-12,42.5,43.37,42.05,43.0,1752986
2015-02-13,43.28,44.44,39.92,41.02,1836962
2015-02-17,40.15,43.34,39.6,43.26,780415
2015-02-18,43.42,46.56,43.07,45.0,1283942
2015-02-19,44.5,45.16,43.8,43.88,651474
2015-02-20,43.75,45.72,43.44,45.64,291547
2015-02-23,45.05,45.64,44.49,44.82,332798
2015-02-24,44.51,45.24,43.59,44.98,414982
2015-02-25,44.75,45.0,44.27,44.51,682337
2015-02-26,44.8,45.0,44.06,44.45,476750
2015-02-27,44.11,44.49,43.14,43.66,686372
2015-03-02,43.3,44.44,42.59,42.93,763122
2015-03-03,42.9,43.63,42.8,43.0,429620
2015-03-04,43.75,43.9,42.92,43.48,297769
2015-03-05,43.18,43.49,42.51,42.59,624347
2015-03-06,42.5,42.59,39.33,41.01,1247853
2015-03-09,41.0,41.0,39.43,39.56,961913
2015-03-10,39.03,39.53,38.51,39.35,876664
2015-03-11,39.2,41.0,39.2,40.48,1026407
2015-03-12,39.56,41.33,39.51,40.42,485826
2015-03-13,40.58,40.85,39.75,40.15,514732
2015-03-16,39.98,42.08,39.88,42.0,362008
2015-03-17,42.0,42.35,41.27,41.48,335886
2015-03-18,41.51,43.0,41.35,42.42,243514
2015-03-19,42.15,43.39,42.15,43.14,185716
2015-03-20,43.29,44.34,43.29,43.96,949926
2015-03-23,43.91,44.38,42.33,42.75,636758
2015-03-24,42.72,43.31,42.39,42.49,237053
2015-03-25,42.04,42.57,41.05,41.11,348590
2015-03-26,40.65,42.26,40.5,41.93,258651
2015-03-27,42.0,42.62,41.76,41.94,199951
2015-03-30,42.13,42.77,41.72,41.99,561747
2015-03-31,41.81,43.51,41.6,42.82,344652
2015-04-01,42.76,43.57,42.38,43.53,250314
2015-04-02,43.28,43.88,43.14,43.26,566941
2015-04-06,42.8,44.35,42.8,43.38,319774
2015-04-07,43.16,43.94,43.08,43.93,200794
2015-04-08,44.18,44.5,43.94,44.17,133165
2015-04-09,44.08,44.57,43.53,43.74,122165
2015-04-10,43.82,44.84,43.82,44.17,124486
2015-04-13,44.04,44.56,44.0,44.51,121426
2015-04-14,44.42,44.42,43.58,43.88,317132
2015-04-15,45.0,45.51,44.5,44.8,875568
2015-04-16,44.67,45.0,43.85,43.96,563957
2015-04-17,43.68,44.17,43.35,43.95,709847
2015-04-20,44.35,44.77,43.86,43.97,384724
2015-04-21,44.14,44.36,43.26,43.88,344975
2015-04-22,43.86,44.76,43.44,44.65,155141
2015-04-23,44.43,46.55,44.43,45.49,421427
2015-04-24,45.45,45.55,44.7,44.88,141130
2015-04-27,44.93,45.17,44.2,44.48,215511
2015-04-28,44.31,45.0,44.04,44.25,283347
2015-04-29,44.06,44.42,43.65,43.94,362253
2015-04-30,43.75,44.2,43.42,43.76,332629
2015-05-01,44.08,44.73,43.54,43.74,257544
2015-05-04,43.79,45.21,43.75,45.16,186850
2015-05-05,44.97,45.48,43.73,44.18,244719
2015-05-06,44.41,44.65,43.75,44.3,200030
2015-05-07,44.16,44.77,43.7,44.5,205494
2015-05-08,44.93,45.49,44.84,44.98,92578
2015-05-11,45.5,45.5,44.0,44.41,301690
2015-05-12,44.02,44.76,43.69,44.24,381983
2015-05-13,44.43,44.43,43.58,43.94,392750
2015-05-14,42.29,43.63,40.53,43.48,976570
2015-05-15,43.68,44.09,43.51,43.97,225802
2015-05-18,43.81,46.07,43.55,45.41,739584
2015-05-19,45.34,45.5,44.96,45.05,250457
2015-05-20,45.12,45.84,45.09,45.25,344806
2015-05-21,44.82,46.09,44.82,45.82,414612
2015-05-22,45.83,46.79,45.83,46.7,324031
2015-05-26,46.41,46.8,45.0,45.22,368996
2015-05-27,46.25,46.49,45.63,46.26,354908
2015-05-28,46.06,46.44,46.03,46.25,236567
2015-05-29,45.75,46.63,45.44,46.09,383885
2015-06-01,46.13,46.36,45.51,45.76,235368
2015-06-02,45.0,45.49,44.64,45.0,311669
2015-06-03,45.03,45.92,44.98,45.02,170788
2015-06-04,44.81,45.45,44.71,45.33,295453
2015-06-05,45.13,45.48,44.8,45.28,248338
2015-06-08,45.15,45.49,44.97,44.99,193529
2015-06-09,44.83,45.38,44.73,44.92,335209
2015-06-10,45.18,47.36,45.09,46.92,277032
2015-06-11,47.07,47.77,47.02,47.24,218883
