Date,Open,High,Low,Close,Volume
2000-06-29,,,,7.95,0
2000-06-30,7.95,7.95,7.8,7.8,2365
2000-07-03,8.1,8.1,7.75,7.75,2468
2000-07-05,7.98,8.1,7.49,7.9,11104
2000-07-06,7.49,7.9,7.29,7.9,10590
2000-07-07,7.72,7.8,7.7,7.7,1439
2000-07-10,7.8,8.05,7.75,8.05,5552
2000-07-11,8.05,8.05,7.8,7.8,720
2000-07-12,8.05,8.05,7.9,7.9,2468
2000-07-13,8.0,8.0,7.9,7.9,1851
2000-07-14,7.9,7.9,7.9,7.9,411
2000-07-17,7.9,7.9,7.85,7.9,39994
2000-07-18,7.9,7.9,7.8,7.8,2262
2000-07-19,7.8,7.95,7.75,7.95,128002
2000-07-20,7.8,7.8,7.8,7.8,411
2000-07-21,7.75,8.05,7.75,7.75,1337
2000-07-24,8.05,8.05,7.8,7.8,1645
2000-07-25,7.8,7.8,7.6,7.6,16039
2000-07-26,7.6,7.7,7.49,7.7,20974
2000-07-27,7.7,7.7,7.7,7.7,4935
2000-07-28,7.6,7.6,7.39,7.39,11309
2000-07-31,7.49,7.49,7.29,7.34,16039
2000-08-01,7.39,7.39,7.34,7.34,2982
2000-08-02,7.34,7.34,7.34,7.34,1439
2000-08-03,7.34,7.34,7.29,7.29,10281
2000-08-04,7.29,7.29,7.29,7.29,3290
2000-08-07,7.49,7.49,7.29,7.49,2879
2000-08-08,7.39,7.49,7.29,7.29,13674
2000-08-09,7.29,7.39,7.29,7.39,260425
2000-08-10,7.49,7.49,7.29,7.29,1953
2000-08-11,,,,7.29,0
2000-08-14,7.39,7.39,7.39,7.39,5963
2000-08-15,7.49,7.49,7.44,7.49,720
2000-08-16,7.39,7.49,7.39,7.39,3084
2000-08-17,7.39,7.39,7.39,7.39,1953
2000-08-18,7.39,7.6,7.39,7.6,38760
2000-08-21,7.65,7.7,7.65,7.65,3187
2000-08-22,7.7,7.75,7.65,7.75,20151
2000-08-23,7.77,7.9,7.75,7.85,17889
2000-08-24,7.9,8.46,7.9,8.41,51304
2000-08-25,8.1,8.51,8.05,8.2,3290
2000-08-28,0.0,8.0,8.0,8.0,514
2000-08-29,8.0,8.05,8.0,8.05,4113
2000-08-30,8.05,8.1,8.0,8.1,3496
2000-08-31,8.0,8.1,8.0,8.1,14291
2000-09-01,8.0,8.0,7.9,8.0,4215
2000-09-05,7.9,8.0,7.9,8.0,5655
2000-09-06,7.9,8.05,7.9,7.9,10898
2000-09-07,7.95,8.05,7.9,8.0,4729
2000-09-08,8.05,8.1,8.05,8.1,206
2000-09-11,8.15,8.15,8.1,8.15,8533
2000-09-12,8.1,8.1,8.1,8.1,4113
2000-09-13,8.2,8.3,8.1,8.3,35882
2000-09-14,8.51,8.61,8.3,8.3,55622
