Date,Open,High,Low,Close,Volume
2014-03-17,12.49,13.69,12.49,13.3,34145
2014-03-18,13.3,14.9,13.25,14.25,67774
2014-03-19,14.15,14.4,13.85,14.0,12799
2014-03-20,14.0,14.0,13.8,14.0,4054
2014-03-21,13.9,13.9,13.0,13.24,5335
2014-03-24,13.05,13.05,12.05,12.42,28745
2014-03-25,12.6,13.44,12.2,13.44,4055
2014-03-26,12.6,13.4,12.25,12.47,12643
2014-03-27,12.55,13.2,12.55,13.13,25257
2014-03-28,12.99,13.0,12.99,13.0,2100
2014-03-31,13.39,13.39,13.05,13.12,21578
2014-04-01,13.2,13.2,13.06,13.08,7308
2014-04-02,13.1,13.1,12.8,13.01,4937
2014-04-03,13.09,13.09,12.81,12.88,4745
2014-04-04,12.94,12.94,12.5,12.52,10387
2014-04-07,12.5,12.51,12.0,12.5,11257
2014-04-08,12.49,12.5,12.01,12.15,8544
2014-04-09,12.12,12.15,11.89,12.0,3964
2014-04-10,11.9,12.03,11.75,12.01,35341
2014-04-11,11.91,11.97,11.91,11.97,6753
2014-04-14,11.75,11.94,11.65,11.94,7605
2014-04-15,11.65,11.85,11.65,11.72,9378
2014-04-16,11.8,11.95,11.79,11.9,7735
2014-04-17,11.95,12.02,11.94,12.0,39577
2014-04-21,12.01,12.01,11.65,11.7,4273
2014-04-22,11.74,11.98,11.73,11.77,5386
2014-04-23,11.68,11.9,10.49,11.75,16872
2014-04-24,11.6,11.6,11.21,11.26,3998
2014-04-25,11.34,11.97,11.34,11.76,3569
2014-04-28,11.97,11.99,11.79,11.8,11865
2014-04-29,11.71,11.99,11.71,11.84,6215
2014-04-30,11.65,11.65,11.56,11.58,628
2014-05-01,11.69,11.69,11.66,11.66,694
2014-05-02,11.95,11.95,11.72,11.72,1122
2014-05-05,11.79,11.95,11.46,11.75,11228
2014-05-06,11.73,11.73,11.5,11.5,678
2014-05-07,11.72,11.8,11.41,11.78,3024
2014-05-08,11.8,11.8,11.8,11.8,8416
2014-05-09,11.71,11.73,11.53,11.53,2002
2014-05-12,11.72,11.82,11.7,11.8,5930
2014-05-13,11.51,11.61,11.4,11.6,6053
2014-05-14,11.3,11.79,11.3,11.55,4816
2014-05-15,11.44,11.5,11.44,11.5,1085
2014-05-16,11.37,11.49,11.37,11.49,560
2014-05-19,11.3,11.35,11.23,11.3,14065
2014-05-20,11.2,11.45,11.2,11.45,4244
2014-05-21,11.45,11.45,11.39,11.44,1417
2014-05-22,11.42,11.44,11.04,11.44,2215
2014-05-27,11.02,11.11,11.02,11.04,3092
2014-05-28,11.01,11.38,11.01,11.38,225
2014-05-29,11.01,11.4,11.01,11.38,6515
2014-05-30,11.06,11.39,11.05,11.2,2085
2014-06-02,11.2,11.2,11.0,11.0,8057
2014-06-03,11.0,11.11,11.0,11.02,16293
2014-06-04,11.0,11.2,11.0,11.08,11810
2014-06-05,11.07,11.5,11.06,11.36,35573
2014-06-06,11.3,11.4,11.07,11.39,4668
2014-06-09,11.43,11.48,11.4,11.44,6113
2014-06-10,11.44,11.47,11.23,11.47,17238
2014-06-11,11.32,11.37,11.12,11.33,12868
2014-06-12,11.38,11.58,11.31,11.5,45762
2014-06-13,11.52,11.56,11.18,11.49,16465
2014-06-16,11.34,12.0,11.34,11.99,44095
2014-06-17,11.99,11.99,11.05,11.59,50643
2014-06-18,11.92,12.0,11.46,11.98,32021
2014-06-19,11.87,11.99,11.5,11.99,35976
2014-06-20,11.4,11.97,10.51,10.87,128321
2014-06-23,11.34,11.6,11.0,11.48,25296
2014-06-24,11.48,11.5,11.11,11.15,23762
2014-06-25,11.36,11.42,11.25,11.25,10519
2014-06-26,11.31,11.45,11.01,11.39,8579
2014-06-27,11.27,11.43,11.12,11.12,17322
2014-06-30,11.42,11.42,11.01,11.16,10525
2014-07-01,11.03,11.43,11.03,11.41,12558
2014-07-02,11.43,11.93,11.27,11.7,62057
2014-07-03,11.8,11.8,11.51,11.68,1581
2014-07-07,11.75,12.04,11.75,12.03,225076
2014-07-08,12.01,12.01,11.76,11.87,17796
2014-07-09,12.04,12.04,11.84,12.0,60296
2014-07-10,12.04,12.04,11.9,11.99,25364
2014-07-11,12.03,12.03,11.92,12.03,4872
2014-07-14,12.04,12.04,11.84,12.03,27992
2014-07-15,12.04,12.04,11.91,11.97,21435
2014-07-16,12.02,12.04,11.95,11.95,18364
2014-07-17,12.01,12.04,11.95,11.95,23608
2014-07-18,12.03,12.04,12.0,12.04,10484
2014-07-21,11.9,12.03,11.7,11.95,4461
2014-07-22,11.86,12.04,11.68,11.76,10339
2014-07-23,11.63,11.93,11.63,11.72,8146
2014-07-24,11.66,12.0,11.66,11.7,7039
2014-07-25,11.55,11.84,11.55,11.75,8699
2014-07-28,11.75,12.0,11.75,11.85,9815
2014-07-29,11.98,11.98,11.77,11.98,1524
2014-07-30,11.7,11.97,11.65,11.82,6325
2014-07-31,11.72,11.86,11.7,11.84,1940
2014-08-01,11.8,11.8,11.52,11.54,4010
2014-08-04,11.54,11.8,11.54,11.78,4317
2014-08-05,11.69,11.76,11.68,11.7,5578
2014-08-06,11.53,11.77,11.53,11.77,9298
2014-08-07,11.6,11.75,11.54,11.74,4819
2014-08-08,11.71,11.8,11.62,11.8,3669
2014-08-11,11.79,11.84,11.69,11.8,3458
2014-08-12,11.8,11.81,11.66,11.74,9577
2014-08-13,11.71,11.81,11.6,11.8,3528
2014-08-14,11.72,11.75,11.68,11.75,1689
2014-08-15,11.73,11.75,11.62,11.75,3854
2014-08-18,11.52,11.8,11.51,11.75,3342
2014-08-19,11.64,11.8,11.62,11.74,4866
2014-08-20,11.73,11.73,11.72,11.73,464
2014-08-21,11.57,11.77,11.57,11.64,5600
2014-08-22,11.79,11.79,11.61,11.73,4396
2014-08-25,11.7,11.8,11.7,11.8,4436
2014-08-26,11.75,11.75,11.56,11.72,3264
2014-08-27,11.57,11.73,11.33,11.53,15003
2014-08-28,11.61,11.61,11.61,11.61,661
2014-08-29,11.67,11.68,11.5,11.68,2537
2014-09-02,11.6,11.69,11.37,11.58,4017
2014-09-03,11.58,11.58,11.4,11.5,10832
2014-09-04,11.35,11.74,11.12,11.2,35936
2014-09-05,11.16,11.6,11.16,11.38,46078
2014-09-08,11.18,11.44,11.18,11.44,8465
2014-09-09,11.29,11.66,11.29,11.49,11473
2014-09-10,11.35,11.8,11.34,11.65,27964
2014-09-11,11.34,11.59,11.34,11.45,16695
2014-09-12,11.27,11.6,11.26,11.4,3856
2014-09-15,11.34,11.45,11.29,11.33,3501
2014-09-16,11.31,11.4,11.26,11.4,4651
2014-09-17,11.42,11.8,11.39,11.43,2901
2014-09-18,11.69,11.69,11.46,11.51,9024
2014-09-19,11.53,11.7,11.4,11.58,9088
2014-09-22,11.52,11.52,11.41,11.51,1223
2014-09-23,11.74,11.74,11.72,11.73,6959
2014-09-24,11.67,11.73,11.67,11.73,4818
2014-09-25,11.61,11.71,11.61,11.71,1340
2014-09-26,11.71,11.71,11.62,11.71,1150
2014-09-29,11.61,11.61,11.4,11.43,25739
2014-09-30,11.54,11.54,11.36,11.37,8584
2014-10-01,11.04,11.59,10.2,10.49,47288
2014-10-02,10.45,10.8,10.06,10.79,52511
2014-10-03,10.7,11.19,10.68,11.0,35279
2014-10-06,10.76,11.18,10.34,11.15,22926
2014-10-07,10.62,10.85,10.62,10.85,10706
2014-10-08,10.77,11.76,10.75,10.87,12268
2014-10-09,10.6,10.9,10.6,10.66,5108
2014-10-10,10.69,10.74,10.68,10.74,1854
2014-10-13,10.75,10.75,10.57,10.57,2268
2014-10-14,10.7,10.7,10.5,10.5,7145
2014-10-15,10.49,10.6,10.49,10.51,11167
2014-10-16,10.48,11.0,10.48,11.0,1995
2014-10-17,10.85,11.01,10.8,11.0,12276
2014-10-20,10.75,10.75,10.55,10.55,4656
2014-10-21,10.9,11.19,10.64,10.89,14260
2014-10-22,10.6,10.99,10.51,10.99,5301
2014-10-23,10.83,11.0,10.66,10.71,2525
2014-10-24,10.42,11.0,10.42,10.8,10328
2014-10-28,10.32,10.32,10.32,10.32,187
