Date,Open,High,Low,Close,Volume
2013-03-07,35.2,39.5,35.14,38.83,8054679
2013-03-08,38.49,41.89,36.81,38.65,1143568
2013-03-11,38.83,38.83,36.43,36.74,580098
2013-03-12,37.0,37.98,36.05,37.39,305234
2013-03-13,37.12,37.45,37.0,37.45,54340
2013-03-14,37.28,38.04,37.28,37.65,81800
2013-03-15,39.52,39.52,37.05,37.05,266187
2013-03-18,36.66,37.29,36.66,36.89,146163
2013-03-19,36.88,37.28,36.5,36.88,104579
2013-03-20,37.01,37.08,36.55,36.83,297040
2013-03-21,36.9,37.84,36.53,37.75,224046
2013-03-22,38.0,38.27,37.62,37.87,167064
2013-03-25,38.11,38.14,37.6,38.04,121317
2013-03-26,38.01,38.15,37.73,37.97,231729
2013-03-27,37.97,38.34,37.88,38.1,122508
2013-03-28,38.31,39.85,37.96,39.45,148448
2013-04-01,39.45,40.19,39.02,39.39,146902
2013-04-02,39.64,39.85,38.81,39.67,90152
2013-04-03,40.0,40.0,39.73,39.85,150135
2013-04-04,39.99,39.99,39.1,39.15,28351
2013-04-05,38.8,38.95,37.37,37.99,112682
2013-04-08,37.47,37.78,37.26,37.78,68153
2013-04-09,37.58,37.8,37.34,37.68,142048
2013-04-10,37.51,38.99,37.5,38.92,384039
2013-04-11,38.53,39.14,38.53,38.98,50995
2013-04-12,38.75,38.91,38.15,38.56,18943
2013-04-15,38.26,38.55,37.88,38.23,78270
2013-04-16,38.2,39.02,37.49,38.92,180652
2013-04-17,38.53,38.78,37.78,38.1,166627
2013-04-18,38.1,38.12,37.73,37.98,151438
2013-04-19,37.98,38.0,37.79,37.88,5784
2013-04-22,37.94,37.99,37.77,37.91,33506
2013-04-23,38.07,38.18,37.85,37.96,83119
2013-04-24,37.97,37.97,37.37,37.61,61982
2013-04-25,37.6,38.05,37.15,37.86,138184
2013-04-26,37.5,37.68,37.41,37.59,112997
2013-04-29,37.57,37.92,37.27,37.45,78694
2013-04-30,37.46,37.6,36.87,37.3,264935
2013-05-01,38.02,39.72,38.02,39.48,115947
2013-05-02,39.47,40.0,39.46,40.0,100249
2013-05-03,40.8,41.19,40.14,40.73,119668
2013-05-06,40.75,41.0,40.38,40.74,102604
2013-05-07,40.75,40.89,40.39,40.6,124609
2013-05-08,40.2,40.55,39.89,40.22,162468
2013-05-09,40.48,41.63,40.1,40.99,90095
2013-05-10,41.0,43.65,40.71,43.35,69807
2013-05-13,43.06,44.59,43.06,44.2,97128
2013-05-14,43.94,46.64,43.94,46.2,155121
2013-05-15,46.0,48.11,46.0,47.85,121616
2013-05-16,47.92,48.43,47.77,48.11,155948
2013-05-17,47.6,48.72,47.6,48.55,146102
2013-05-20,48.02,49.58,47.6,49.29,93114
2013-05-21,49.1,50.23,48.99,50.04,86984
2013-05-22,50.03,50.36,49.96,50.01,132869
2013-05-23,49.11,49.64,49.09,49.18,215978
2013-05-24,49.1,49.58,48.7,49.52,93984
2013-05-28,49.97,49.97,48.79,49.57,84880
2013-05-29,49.12,49.35,47.9,48.0,196827
2013-05-30,47.85,47.85,47.18,47.36,90559
2013-05-31,46.97,47.42,46.37,46.73,124160
2013-06-03,46.74,46.92,46.35,46.6,118899
2013-06-04,46.75,47.06,46.42,46.73,89548
2013-06-05,46.55,46.74,46.01,46.52,140832
2013-06-06,46.37,47.04,46.2,46.98,160291
2013-06-07,47.32,48.88,47.01,48.21,232775
2013-06-10,48.34,52.78,47.92,52.47,298678
2013-06-11,52.01,54.1,51.86,52.86,317042
2013-06-12,54.25,54.25,51.83,52.52,197361
2013-06-13,52.27,54.11,52.12,53.6,107100
2013-06-14,53.44,54.3,52.61,53.03,141939
2013-06-17,53.0,53.93,52.87,53.59,126647
2013-06-18,53.84,56.01,53.58,55.75,268831
2013-06-19,55.75,56.07,55.09,55.74,172022
2013-06-20,54.96,55.53,53.71,55.51,446083
2013-06-21,55.39,55.9,54.62,54.73,604920
2013-06-24,54.55,54.77,52.2,53.02,115456
2013-06-25,53.2,53.2,51.08,51.25,143799
2013-06-26,51.8,51.82,49.41,49.76,149989
2013-06-27,49.57,50.79,49.26,50.25,119401
2013-06-28,49.68,50.25,47.24,49.91,751464
2013-07-01,50.25,51.23,49.55,50.37,123972
2013-07-02,50.34,51.11,49.99,50.41,53826
2013-07-03,50.17,50.82,49.98,50.66,44815
2013-07-05,51.05,51.17,49.41,50.58,84360
2013-07-08,50.74,51.32,50.3,50.77,78702
2013-07-09,51.03,51.84,50.36,51.76,67597
2013-07-10,51.62,52.74,51.44,52.63,79342
2013-07-11,52.92,53.15,52.4,52.81,89843
2013-07-12,52.72,53.84,51.84,51.9,70513
2013-07-15,51.9,53.5,51.64,52.51,58734
2013-07-16,52.34,52.71,51.52,51.76,36836
2013-07-17,51.96,52.81,51.48,52.75,24697
2013-07-18,52.82,53.75,52.35,53.33,42044
2013-07-19,53.32,53.55,52.96,53.27,81942
2013-07-22,53.16,54.16,52.8,53.6,50701
2013-07-23,53.53,53.63,52.38,52.47,48297
2013-07-24,52.6,52.98,51.46,51.74,51834
2013-07-25,51.79,55.56,51.41,53.57,78182
2013-07-26,53.39,54.2,53.08,53.52,28477
2013-07-29,53.53,53.53,52.78,53.4,22638
2013-07-30,53.36,53.7,53.32,53.61,20429
2013-07-31,53.65,53.83,52.68,53.0,23898
2013-08-01,53.07,53.14,52.29,53.0,26998
2013-08-02,52.77,53.03,52.09,52.66,57099
2013-08-05,52.6,52.69,51.74,52.0,30274
2013-08-06,52.07,52.27,51.82,52.0,52651
2013-08-07,51.82,52.04,51.65,51.98,26822
2013-08-08,51.8,51.9,51.38,51.56,14927
2013-08-09,51.74,51.74,51.28,51.34,11268
2013-08-12,51.28,51.89,51.28,51.32,7255
2013-08-13,51.51,51.7,50.22,50.45,46465
2013-08-14,50.54,50.81,50.02,50.48,15301
2013-08-15,50.37,50.45,49.69,50.05,32257
2013-08-16,50.03,50.06,49.46,49.73,33088
2013-08-19,49.76,50.9,49.2,49.98,52234
2013-08-20,50.18,50.28,48.96,49.64,38245
2013-08-21,49.6,50.65,49.45,49.87,29320
2013-08-22,50.36,50.39,49.12,49.7,16709
2013-08-23,49.9,50.48,49.46,49.78,24129
2013-08-26,49.71,50.77,49.1,49.4,32363
2013-08-27,49.23,49.78,48.16,48.54,30731
2013-08-28,48.63,48.82,47.35,47.71,55751
2013-08-29,47.94,48.55,46.02,46.63,50963
2013-08-30,46.57,48.16,46.46,47.99,32754
2013-09-03,48.41,49.05,47.55,48.06,30654
2013-09-04,47.99,48.63,47.5,48.48,146018
2013-09-05,48.49,49.32,48.12,48.39,31907
2013-09-06,48.44,49.98,48.33,49.53,38260
2013-09-09,49.2,49.8,49.2,49.74,25034
2013-09-10,50.05,51.4,50.02,51.09,51780
2013-09-11,51.22,52.9,51.22,51.9,159172
2013-09-12,52.12,52.59,51.53,51.95,52055
2013-09-13,52.0,52.38,51.6,51.73,91302
2013-09-16,52.31,52.37,51.39,51.79,43967
2013-09-17,52.0,53.0,51.65,51.77,52013
2013-09-18,51.81,53.81,51.35,53.68,66874
2013-09-19,53.85,54.3,52.54,53.28,52914
2013-09-20,53.12,53.48,51.32,52.59,103038
2013-09-23,52.98,53.09,51.76,52.49,129848
2013-09-24,52.5,52.5,51.88,52.0,13310
2013-09-25,52.07,52.43,51.53,51.97,151445
2013-09-26,51.46,51.74,50.79,51.47,127300
2013-09-27,51.32,52.17,51.13,52.05,25506
2013-09-30,51.96,52.86,51.54,52.36,57537
2013-10-01,52.27,53.6,52.27,52.96,92963
2013-10-02,52.71,53.2,51.4,52.09,32794
2013-10-03,52.14,53.47,51.65,53.39,61371
2013-10-04,53.09,53.95,52.62,53.24,41269
2013-10-07,53.2,53.2,52.11,52.52,30555
2013-10-08,52.65,52.95,51.25,51.91,40384
2013-10-09,52.43,52.69,51.49,51.53,51332
2013-10-10,52.64,53.88,52.64,53.7,162963
2013-10-11,53.71,55.99,53.4,54.62,186559
2013-10-14,54.53,55.36,54.11,54.84,49740
2013-10-15,54.98,55.51,53.69,54.11,111505
2013-10-16,54.06,54.06,51.89,52.9,223037
2013-10-17,52.64,53.42,52.38,52.98,73664
2013-10-18,53.25,53.83,52.56,52.99,100108
2013-10-21,52.88,55.8,52.88,54.75,400571
2013-10-22,54.66,58.18,54.66,56.75,135318
