Date,Open,High,Low,Close,Volume
2015-02-10,14.3,14.3,11.5,11.88,631909
2015-02-11,11.88,11.99,11.71,11.71,77054
2015-02-12,11.88,11.93,11.5,11.62,16383
2015-02-13,11.63,11.93,11.5,11.84,98443
2015-02-17,11.75,11.94,11.5,11.84,10182
2015-02-18,11.76,11.9,11.7,11.82,17995
2015-02-19,11.9,11.9,11.75,11.75,2570
2015-02-20,11.75,11.81,11.75,11.75,6182
2015-02-23,11.82,11.82,11.75,11.82,5015
2015-02-24,11.83,11.98,11.75,11.77,52840
2015-02-25,11.85,12.46,11.75,11.98,69362
2015-02-26,11.98,12.43,11.85,12.27,30814
2015-02-27,12.3,13.0,12.03,12.57,79775
2015-03-02,12.57,12.85,12.23,12.8,45031
2015-03-03,13.38,13.38,12.53,13.3,19476
2015-03-04,13.0,13.07,12.89,12.89,13759
2015-03-05,12.8,12.95,12.75,12.75,15792
2015-03-06,12.86,12.9,12.74,12.86,40599
2015-03-09,12.9,12.9,12.58,12.62,60786
2015-03-10,12.6,12.75,12.12,12.34,90585
2015-03-11,12.44,12.6,12.29,12.49,20323
2015-03-12,12.7,12.78,12.5,12.63,7865
2015-03-13,12.5,12.74,12.5,12.5,11734
2015-03-16,12.5,12.56,12.5,12.5,3466
2015-03-17,12.5,12.75,12.14,12.14,68167
2015-03-18,12.3,12.8,12.22,12.75,110563
2015-03-19,12.53,12.7,12.52,12.65,2275
2015-03-20,12.4,12.9,12.3,12.9,14329
2015-03-23,12.32,12.9,12.27,12.5,20520
2015-03-25,12.5,12.7,12.12,12.12,12175
2015-03-26,12.29,12.48,12.1,12.15,14478
2015-03-27,12.42,12.42,12.42,12.42,367
2015-03-30,12.25,12.45,12.25,12.45,1650
2015-03-31,12.25,12.65,12.14,12.51,3619
2015-04-02,12.3,12.54,12.25,12.3,24780
2015-04-06,12.24,12.49,12.2,12.49,1446
2015-04-07,12.31,12.48,12.25,12.3,8887
2015-04-08,12.2,12.2,11.76,11.76,3306
2015-04-09,12.09,12.36,12.09,12.36,2916
2015-04-10,12.16,12.28,12.16,12.28,600
2015-04-13,12.29,12.3,12.17,12.2,1870
2015-04-14,12.18,12.18,11.76,11.76,17820
2015-04-15,11.76,12.11,11.75,11.83,7430
2015-04-16,12.02,12.02,11.92,11.99,4255
2015-04-17,11.89,11.89,11.75,11.75,5178
2015-04-20,11.9,11.9,11.69,11.75,5628
2015-04-21,11.78,11.8,11.75,11.75,2096
2015-04-22,11.75,11.89,11.75,11.75,4552
2015-04-23,11.75,11.78,11.65,11.65,5691
2015-04-24,11.94,11.94,11.94,11.94,533
