Date,Open,High,Low,Close,Volume
2009-10-20,14.5,14.9,14.5,14.8,113261
2009-10-21,14.49,15.05,14.49,14.79,31244
2009-10-22,14.49,14.89,14.28,14.7,513796
2009-10-23,14.36,14.36,14.12,14.3,28240
2009-10-26,14.15,14.98,13.75,13.84,8300
2009-10-27,14.03,14.17,13.67,13.67,11874
2009-10-28,13.32,13.51,13.01,13.01,10658
2009-10-29,13.27,13.42,13.1,13.29,13049
2009-10-30,13.07,13.08,12.65,12.78,37501
2009-11-02,12.61,12.96,12.61,12.76,5273
2009-11-03,12.43,12.92,12.4,12.68,45340
2009-11-04,13.28,13.54,13.27,13.39,49643
2009-11-05,13.32,13.39,13.12,13.21,16310
2009-11-06,13.04,13.18,13.03,13.14,55820
2009-11-09,13.55,13.82,13.55,13.82,13627
2009-11-10,13.46,13.49,13.28,13.33,11982
2009-11-11,13.65,13.7,13.53,13.61,14114
2009-11-12,13.6,13.65,13.49,13.53,5138
2009-11-13,13.48,13.64,13.48,13.63,5545
2009-11-16,13.74,14.14,13.74,13.99,9110
2009-11-17,14.11,14.11,13.75,13.81,5600
2009-11-18,13.81,13.86,13.66,13.7,7002
2009-11-19,13.42,13.51,13.13,13.26,9581
2009-11-20,13.22,13.32,13.14,13.28,6284
2009-11-23,13.45,13.5,13.42,13.47,2400
2009-11-24,13.37,13.6,13.32,13.32,3507
2009-11-25,13.27,13.27,13.19,13.25,2451
2009-11-27,12.34,12.65,12.34,12.65,5718
2009-11-30,12.45,12.45,12.27,12.38,5700
2009-12-01,12.6,12.68,12.6,12.68,773
2009-12-02,12.65,12.67,12.53,12.56,1726
2009-12-03,12.74,12.85,12.71,12.78,3001
2009-12-04,12.73,12.8,12.56,12.57,3905
2009-12-07,12.53,12.6,12.43,12.51,4659
2009-12-08,12.27,12.27,12.17,12.19,2909
2009-12-09,12.11,12.23,11.97,12.1,3272
2009-12-10,12.21,12.29,11.17,11.94,16132
2009-12-11,12.05,12.17,11.96,12.06,4634
2009-12-14,12.43,12.52,12.38,12.5,5601
2009-12-15,12.39,12.48,12.39,12.42,5213
2009-12-16,12.41,12.75,12.41,12.64,5819
2009-12-17,12.23,12.23,12.03,12.03,4382
2009-12-18,12.1,12.65,12.03,12.65,118604
2009-12-21,12.35,12.6,12.32,12.59,62270
2009-12-22,12.55,12.66,12.53,12.61,534320
2009-12-23,12.41,12.46,12.32,12.46,8071
2009-12-24,12.46,12.6,12.46,12.6,2254
2009-12-28,12.61,13.25,12.59,13.25,37395
2009-12-29,12.85,12.86,12.64,12.86,24364
2009-12-30,12.7,12.8,12.7,12.77,4619
2009-12-31,12.84,13.12,12.84,13.07,29843
2010-01-04,12.86,12.97,12.77,12.86,19317
2010-01-05,12.99,13.22,12.96,13.19,52878
2010-01-06,13.22,13.34,13.1,13.34,17681
2010-01-07,12.99,13.09,12.89,13.09,20172
2010-01-08,13.21,13.34,13.2,13.34,17693
2010-01-11,13.19,13.21,13.1,13.18,12774
2010-01-12,13.29,13.39,13.28,13.35,9516
2010-01-13,13.43,13.51,13.35,13.51,3250
2010-01-14,13.57,13.88,13.57,13.88,10600
2010-01-15,13.88,13.88,13.7,13.75,5652
2010-01-19,13.87,13.98,13.87,13.95,5258
2010-01-20,13.89,13.89,13.59,13.85,13809
2010-01-21,13.49,13.5,13.11,13.37,26640
2010-01-22,12.92,12.95,12.6,12.6,12452
2010-01-25,12.89,13.03,12.86,13.03,8703
2010-01-26,12.77,12.95,12.73,12.92,14096
2010-01-27,12.69,12.8,12.59,12.8,4662
2010-01-28,12.93,12.93,12.6,12.76,6500
2010-01-29,12.55,12.67,12.5,12.5,9520
2010-02-01,12.75,12.77,12.67,12.75,7256
2010-02-02,12.78,12.87,12.67,12.86,11772
2010-02-03,12.83,12.9,12.71,12.9,13473
2010-02-04,12.5,12.5,12.02,12.14,10378
2010-02-05,11.93,11.97,11.42,11.55,25536
2010-02-08,11.04,11.32,10.94,11.14,22119
2010-02-09,11.05,11.09,10.77,11.02,14005
2010-02-10,11.37,11.7,11.22,11.55,74444
2010-02-11,11.55,11.84,11.39,11.67,11493
2010-02-12,11.35,11.66,11.27,11.66,13372
2010-02-16,11.7,11.97,11.61,11.97,15605
2010-02-17,11.95,11.99,11.84,11.98,2298
2010-02-18,11.72,12.03,11.71,12.02,13644
2010-02-19,11.72,11.94,11.7,11.93,34850
2010-02-22,11.92,12.05,11.8,11.86,29554
2010-02-23,11.87,11.89,11.64,11.64,8944
2010-02-24,11.71,11.74,11.55,11.59,27378
2010-02-25,11.46,11.68,11.39,11.68,8009
