Date,Open,High,Low,Close,Volume
2000-06-29,83.51,85.5,80.33,83.12,16114
2000-06-30,81.92,90.67,81.92,88.68,22800
2000-07-03,89.08,89.08,81.13,84.31,3586
2000-07-05,85.3,85.3,83.51,84.31,4500
2000-07-06,84.71,84.71,83.51,83.91,3457
2000-07-07,83.51,86.7,83.51,85.9,5286
2000-07-10,86.7,92.26,83.91,91.47,6729
2000-07-11,92.66,92.66,87.49,87.49,5914
2000-07-12,87.89,88.68,86.7,87.89,3743
2000-07-13,87.89,90.27,87.89,90.27,1629
2000-07-14,89.88,89.88,87.09,88.29,1914
2000-07-17,88.88,89.08,87.09,87.09,2029
2000-07-18,87.89,89.08,87.79,88.29,1929
2000-07-19,89.08,89.08,85.9,85.9,1829
2000-07-20,89.78,90.27,89.48,90.27,1214
2000-07-21,89.28,89.28,86.7,86.7,1714
2000-07-24,87.49,87.49,87.49,87.49,286
2000-07-25,87.49,88.29,85.9,87.49,3814
2000-07-26,87.09,87.49,85.9,87.49,3800
2000-07-27,87.09,87.49,83.51,87.49,2729
2000-07-28,85.9,88.68,85.9,88.68,3257
2000-07-31,88.68,88.68,87.49,87.49,757
2000-08-01,87.49,88.29,87.49,88.29,171
2000-08-02,88.29,94.25,88.29,94.25,2243
2000-08-03,92.26,97.83,92.26,94.25,4429
2000-08-04,95.44,97.04,95.44,97.04,3286
2000-08-07,97.43,100.62,97.43,98.23,2871
2000-08-08,97.83,99.42,94.25,99.42,3729
2000-08-09,97.83,98.63,97.04,98.63,1914
2000-08-10,98.63,99.02,98.63,98.63,686
2000-08-11,98.63,98.63,95.84,95.84,457
2000-08-14,96.24,96.24,95.44,96.24,186
2000-08-15,94.65,98.23,94.65,95.84,2071
2000-08-16,95.44,96.64,95.44,96.64,1200
2000-08-17,96.24,97.04,95.44,96.24,1129
2000-08-18,96.24,97.83,96.24,97.83,114
2000-08-21,95.84,95.84,95.05,95.05,2371
2000-08-22,95.05,95.05,92.26,93.85,2400
2000-08-23,93.06,93.06,92.26,92.26,1614
2000-08-24,92.26,93.85,92.26,92.66,1457
2000-08-25,92.26,94.25,92.26,93.06,643
2000-08-28,0.0,94.26,93.85,94.26,1757
2000-08-29,93.85,93.85,91.47,92.26,2829
2000-08-30,92.26,94.26,92.26,92.66,3857
2000-08-31,94.15,94.65,93.85,94.26,4200
2000-09-01,94.65,94.65,93.85,93.85,757
2000-09-05,93.06,94.55,93.06,93.85,2457
2000-09-06,93.06,97.04,93.06,97.04,29971
2000-09-07,97.83,100.22,97.04,98.63,1186
2000-09-08,99.42,101.01,98.63,101.01,1514
2000-09-11,100.62,101.01,99.03,101.01,2357
2000-09-12,100.62,100.62,99.42,100.62,4886
2000-09-13,99.42,100.62,99.42,100.62,1543
2000-09-14,101.21,103.4,100.62,103.4,1971
2000-09-15,103.4,104.59,102.6,102.6,13671
2000-09-18,102.6,102.6,100.62,100.82,2757
2000-09-19,100.22,100.22,100.22,100.22,1086
