Date,Open,High,Low,Close,Volume
2000-11-03,2.76,2.8,2.73,2.76,901099
2000-11-06,2.75,2.8,2.73,2.78,505500
2000-11-07,2.76,2.78,2.76,2.76,655702
2000-11-08,2.8,2.8,2.75,2.76,806200
2000-11-09,2.75,2.76,2.75,2.76,337698
2000-11-10,2.75,2.76,2.75,2.75,310599
2000-11-13,2.75,2.76,2.73,2.75,1659702
2000-11-14,2.75,2.75,2.73,2.73,880600
2000-11-15,2.73,2.75,2.73,2.73,836301
2000-11-16,2.73,2.74,2.73,2.73,606200
2000-11-17,2.74,2.74,2.73,2.73,573300
2000-11-20,2.73,2.73,2.68,2.68,294900
2000-11-21,2.7,2.7,2.53,2.53,69201
2000-11-22,2.54,2.59,2.53,2.54,49498
2000-11-24,2.53,2.59,2.53,2.59,28200
2000-11-27,2.53,2.59,2.53,2.59,55699
2000-11-28,2.54,2.54,2.42,2.46,133298
2000-11-29,2.44,2.44,2.12,2.35,342501
2000-11-30,2.12,2.39,2.12,2.3,420900
2000-12-01,2.29,2.39,2.29,2.32,169600
2000-12-04,2.34,2.34,2.34,2.34,8798
2000-12-05,2.39,2.39,2.29,2.39,45800
2000-12-06,2.35,2.46,2.29,2.46,29301
2000-12-07,2.46,2.46,2.35,2.35,12100
2000-12-08,2.46,2.51,2.42,2.46,75802
2000-12-11,2.47,2.54,2.46,2.54,282399
2000-12-12,2.56,2.66,2.54,2.59,183201
2000-12-13,2.56,2.61,2.54,2.54,305499
2000-12-14,2.54,2.54,2.49,2.53,69601
2000-12-15,2.59,2.59,2.51,2.53,54598
2000-12-18,2.53,2.53,2.51,2.53,110598
2000-12-19,2.58,2.58,2.58,2.58,8798
2000-12-20,2.51,2.58,2.47,2.49,20499
2000-12-21,2.47,2.58,2.47,2.47,30001
2000-12-22,2.47,2.49,2.47,2.47,35501
2000-12-26,2.47,2.56,2.47,2.56,82101
2000-12-27,2.53,2.54,2.51,2.54,185699
2000-12-28,2.53,2.63,2.53,2.58,37699
2000-12-29,2.59,2.63,2.58,2.59,126001
2001-01-02,2.58,2.59,2.58,2.59,54899
2001-01-03,2.58,2.63,2.58,2.63,31898
2001-01-04,2.63,2.63,2.59,2.63,560399
2001-01-05,2.63,2.68,2.63,2.68,198900
2001-01-08,2.68,2.71,2.66,2.7,9198
2001-01-09,2.7,2.73,2.7,2.73,252699
2001-01-10,2.7,2.73,2.7,2.72,67799
2001-01-11,2.68,2.73,2.68,2.73,201102
2001-01-12,2.73,2.76,2.73,2.73,344002
2001-01-16,2.71,2.75,2.7,2.73,139198
2001-01-17,2.73,2.75,2.71,2.75,101099
2001-01-18,2.73,2.76,2.7,2.75,61900
2001-01-19,2.75,2.76,2.75,2.76,17200
2001-01-22,2.75,2.78,2.7,2.78,150899
2001-01-23,2.76,2.8,2.75,2.8,60799
2001-01-24,2.8,3.2,2.76,2.76,722000
2001-01-25,2.8,2.85,2.8,2.8,97401
2001-01-26,2.8,2.93,2.76,2.87,94899
2001-01-29,2.93,2.97,2.93,2.93,90800
2001-01-30,2.93,2.93,2.88,2.9,117900
2001-01-31,2.88,2.88,2.75,2.8,92301
2001-02-01,2.8,2.82,2.8,2.8,39600
2001-02-02,2.82,2.85,2.82,2.82,38499
2001-02-05,2.83,2.85,2.82,2.85,80201
2001-02-06,2.87,2.9,2.83,2.9,76201
2001-02-07,2.88,2.92,2.86,2.88,16800
2001-02-08,2.85,2.88,2.85,2.88,43199
2001-02-09,2.88,2.9,2.87,2.88,137701
2001-02-12,2.87,2.92,2.87,2.87,231899
2001-02-13,2.87,2.9,2.87,2.88,88302
2001-02-14,2.9,2.9,2.88,2.9,38800
2001-02-15,2.9,2.9,2.88,2.9,89399
2001-02-16,2.88,2.9,2.88,2.9,35901
2001-02-20,2.88,2.91,2.88,2.88,47602
2001-02-21,2.88,2.9,2.87,2.9,166998
2001-02-22,2.88,2.92,2.88,2.9,109200
2001-02-23,2.9,2.9,2.88,2.9,42502
2001-02-26,2.9,2.92,2.9,2.9,6201
2001-02-27,2.9,2.97,2.9,2.93,216100
2001-02-28,2.93,2.93,2.92,2.92,34800
2001-03-01,2.92,2.92,2.9,2.92,36301
2001-03-02,2.88,2.93,2.88,2.93,30801
2001-03-05,2.92,2.93,2.92,2.93,76201
2001-03-06,2.93,2.95,2.93,2.93,765199
2001-03-07,2.93,2.97,2.92,2.97,233000
2001-03-08,2.95,2.95,2.95,2.95,8398
2001-03-09,2.97,2.97,2.95,2.97,30801
2001-03-12,2.97,2.99,2.95,2.99,242099
2001-03-13,2.99,2.99,2.93,2.93,187501
2001-03-14,2.93,2.99,2.93,2.99,133298
2001-03-15,2.97,3.0,2.97,3.0,180199
2001-03-16,2.95,3.04,2.95,3.04,190098
2001-03-19,3.0,3.0,2.93,2.93,71399
2001-03-20,2.95,2.97,2.92,2.97,88302
2001-03-21,2.95,2.99,2.95,2.95,62300
2001-03-22,2.97,2.99,2.75,2.82,168099
2001-03-23,2.82,2.93,2.82,2.93,68900
2001-03-26,2.93,2.97,2.92,2.97,54598
2001-03-27,2.96,2.96,2.96,2.96,1801
2001-03-28,2.87,2.97,2.73,2.97,67799
2001-03-29,2.9,2.95,2.9,2.95,38499
2001-03-30,2.97,3.0,2.95,2.99,125601
2001-04-02,2.93,2.97,2.93,2.93,68500
2001-04-03,2.93,2.93,2.83,2.87,63400
2001-04-04,2.87,2.9,2.8,2.83,175099
2001-04-05,2.85,2.92,2.82,2.9,93802
2001-04-06,2.9,2.97,2.87,2.93,25301
2001-04-09,2.87,2.93,2.87,2.89,14302
2001-04-10,2.91,2.92,2.87,2.9,39600
2001-04-11,2.9,2.92,2.87,2.92,12801
2001-04-12,2.87,2.89,2.85,2.87,125300
2001-04-16,2.87,2.88,2.86,2.88,124199
2001-04-17,2.88,2.94,2.87,2.94,133298
2001-04-18,2.95,2.99,2.92,2.93,74000
2001-04-19,2.97,2.98,2.95,2.98,28600
2001-04-20,2.98,2.98,2.92,2.94,22700
2001-04-23,2.95,2.95,2.92,2.92,51300
2001-04-24,2.95,2.96,2.93,2.96,43999
2001-04-25,2.96,2.96,2.95,2.95,12801
2001-04-26,2.95,2.95,2.93,2.95,54598
2001-04-27,2.95,2.98,2.93,2.98,100399
2001-04-30,2.98,3.0,2.98,3.0,165901
