Date,Open,High,Low,Close,Volume
2000-06-29,10.0,10.12,10.0,10.0,3000
2000-06-30,10.0,10.25,10.0,10.06,2800
2000-07-03,10.06,10.06,10.0,10.0,1800
2000-07-05,10.0,10.0,10.0,10.0,6000
2000-07-06,10.0,10.0,10.0,10.0,200
2000-07-07,10.12,10.12,10.0,10.0,2200
2000-07-10,,,,10.0,0
2000-07-11,10.0,10.0,10.0,10.0,6400
2000-07-12,,,,10.0,0
2000-07-13,10.06,10.06,10.06,10.06,200
2000-07-14,10.0,10.0,9.94,9.94,2800
2000-07-17,9.88,10.0,9.88,10.0,5000
2000-07-18,10.0,10.0,10.0,10.0,200
2000-07-19,,,,10.0,0
2000-07-20,,,,10.0,0
2000-07-21,9.88,9.88,9.88,9.88,200
2000-07-24,9.88,9.88,9.75,9.75,4600
2000-07-25,9.81,10.12,9.81,10.12,600
2000-07-26,10.19,10.19,10.0,10.0,10200
2000-07-27,10.19,10.19,9.75,10.0,8800
2000-07-28,,,,10.0,0
2000-07-31,10.12,10.12,9.94,9.94,10000
2000-08-01,10.19,10.19,10.0,10.03,8000
2000-08-02,,,,10.03,0
2000-08-03,,,,10.03,0
2000-08-04,9.88,9.94,9.88,9.91,8400
2000-08-07,,,,9.91,0
2000-08-08,9.94,9.94,9.94,9.94,5200
2000-08-09,9.94,10.19,9.94,10.19,800
2000-08-10,,,,10.19,0
2000-08-11,10.19,10.19,10.19,10.19,800
2000-08-14,9.94,10.03,9.94,10.03,7600
2000-08-15,,,,10.03,0
2000-08-16,0.0,10.06,10.06,10.06,400
2000-08-17,9.94,9.94,9.94,9.94,4000
2000-08-18,9.94,9.94,9.94,9.94,1000
2000-08-21,9.94,9.94,9.94,9.94,600
2000-08-22,10.06,10.06,9.94,10.06,71000
2000-08-23,10.06,10.06,10.06,10.06,11000
2000-08-24,10.0,10.0,10.0,10.0,14000
2000-08-25,10.12,10.12,10.0,10.0,6200
2000-08-28,0.0,10.19,10.0,10.19,400
2000-08-29,10.19,10.19,10.19,10.19,8000
2000-08-30,10.19,10.19,10.19,10.19,200
2000-08-31,10.03,10.25,10.03,10.12,3200
2000-09-01,10.19,10.19,10.09,10.09,4000
2000-09-05,,,,10.09,0
2000-09-06,10.12,10.12,10.12,10.12,3400
2000-09-07,10.12,10.25,10.12,10.25,6400
2000-09-08,,,,10.25,0
2000-09-11,10.25,10.25,10.25,10.25,12200
2000-09-12,10.25,10.62,10.19,10.31,29400
2000-09-13,10.44,10.44,10.44,10.44,200
2000-09-14,10.56,10.75,10.38,10.56,2000
2000-09-15,10.31,10.62,10.31,10.62,4000
2000-09-18,,,,10.62,0
2000-09-19,10.78,10.78,10.47,10.47,1200
2000-09-20,,,,10.47,0
2000-09-21,,,,10.47,0
2000-09-22,10.5,10.5,10.5,10.5,200
2000-09-25,10.28,10.66,10.25,10.44,4200
2000-09-26,,,,10.44,0
2000-09-27,10.25,10.25,10.25,10.25,4200
2000-09-28,10.25,10.5,10.25,10.5,5000
2000-09-29,10.25,10.5,10.25,10.5,800
2000-10-02,10.5,10.5,10.25,10.34,32800
2000-10-03,10.5,10.5,10.25,10.44,19600
2000-10-04,10.25,10.25,10.25,10.25,1000
2000-10-05,10.5,10.5,10.25,10.25,1200
2000-10-06,10.5,10.5,10.38,10.38,1400
2000-10-09,,,,10.38,0
2000-10-10,,,,10.38,0
2000-10-11,10.25,10.44,10.25,10.25,3400
2000-10-12,10.25,10.44,10.25,10.38,10000
2000-10-13,10.31,10.31,10.31,10.31,5200
2000-10-16,10.38,10.38,10.34,10.34,2600
2000-10-17,10.28,10.28,10.28,10.28,800
2000-10-18,,,,10.28,0
2000-10-19,10.28,10.38,10.28,10.28,3400
2000-10-20,10.28,10.28,10.28,10.28,800
2000-10-23,10.38,10.38,10.28,10.28,1800
2000-10-24,,,,10.28,0
2000-10-25,10.38,10.5,10.38,10.5,3800
2000-10-26,10.34,10.5,10.34,10.34,14200
2000-10-27,10.44,10.44,10.44,10.44,31000
2000-10-30,10.62,10.62,10.38,10.38,2200
2000-10-31,10.62,10.62,10.38,10.38,9800
2000-11-01,,,,10.38,0
2000-11-02,10.62,10.62,10.59,10.62,6400
2000-11-03,10.5,10.53,10.38,10.38,43200
2000-11-06,10.44,10.44,10.38,10.38,4200
2000-11-07,10.38,10.62,10.38,10.5,28200
2000-11-08,10.62,10.62,10.38,10.38,2000
2000-11-09,10.62,10.62,10.62,10.62,2800
2000-11-10,10.38,10.38,10.38,10.38,1600
2000-11-13,10.41,10.69,10.41,10.69,1200
2000-11-14,10.5,10.5,10.5,10.5,3200
2000-11-15,10.38,10.38,10.38,10.38,400
