Date,Open,High,Low,Close,Volume
2005-03-15,2.91,3.0,2.81,2.88,4036268
2005-03-16,2.89,2.89,2.82,2.88,299492
2005-03-17,2.86,2.88,2.85,2.88,103492
2005-03-18,2.88,2.88,2.85,2.88,117904
2005-03-21,2.87,2.88,2.85,2.88,162560
2005-03-22,2.88,2.88,2.77,2.86,347808
2005-03-23,2.8,2.9,2.8,2.9,175188
2005-03-24,2.86,2.88,2.85,2.85,75616
2005-03-28,2.85,2.88,2.85,2.86,29568
2005-03-29,2.88,2.88,2.62,2.81,359576
2005-03-30,2.85,2.86,2.7,2.86,62564
2005-03-31,2.8,2.86,2.8,2.81,7992
2005-04-01,2.82,2.86,2.81,2.82,24576
2005-04-04,2.81,2.85,2.81,2.82,15200
2005-04-05,2.81,2.84,2.75,2.78,121068
2005-04-06,2.8,2.8,2.8,2.8,449344
2005-04-07,2.76,2.78,2.75,2.76,91600
2005-04-08,2.75,2.77,2.75,2.75,88800
2005-04-11,2.75,2.86,2.75,2.77,64732
2005-04-12,2.72,2.8,2.72,2.75,28152
2005-04-13,2.75,2.81,2.75,2.76,78708
2005-04-14,2.77,2.79,2.75,2.76,13800
2005-04-15,2.81,2.81,2.75,2.75,65200
2005-04-18,2.75,2.76,2.64,2.75,55944
2005-04-19,2.64,2.74,2.64,2.68,20600
2005-04-20,2.65,2.71,2.65,2.68,6636
2005-04-21,2.7,2.7,2.4,2.5,125768
2005-04-22,2.5,2.5,2.38,2.44,155060
2005-04-25,2.38,2.38,2.22,2.28,303200
2005-04-26,2.27,2.32,2.24,2.3,193400
2005-04-27,2.29,2.56,2.29,2.5,62636
2005-04-28,2.5,2.5,2.38,2.48,24984
2005-04-29,2.38,2.51,2.38,2.46,60000
2005-05-02,2.52,2.52,2.38,2.41,55228
2005-05-03,2.38,2.44,2.38,2.38,27616
2005-05-04,2.38,2.38,2.35,2.36,87648
2005-05-05,2.36,2.54,2.36,2.41,32428
2005-05-06,2.41,2.42,2.38,2.41,24872
2005-05-09,2.39,2.52,2.39,2.52,30660
2005-05-10,2.54,2.61,2.5,2.58,29652
2005-05-11,2.61,2.61,2.5,2.5,127408
2005-05-12,2.5,2.5,2.47,2.5,10956
2005-05-13,2.64,2.64,2.5,2.54,38480
2005-05-16,2.5,2.5,2.45,2.5,10452
2005-05-17,2.5,2.5,2.4,2.42,8852
2005-05-18,2.5,2.5,2.39,2.44,21640
2005-05-19,2.4,2.44,2.38,2.44,17876
2005-05-20,2.44,2.44,2.39,2.39,6800
2005-05-23,2.38,2.48,2.38,2.38,10644
2005-05-24,2.38,2.4,2.32,2.4,5832
2005-05-25,2.4,2.4,2.2,2.4,93856
2005-05-26,2.35,2.37,2.24,2.3,251552
2005-05-27,2.3,2.31,2.25,2.31,115320
2005-05-31,2.2,2.36,2.2,2.29,227184
2005-06-01,2.32,2.36,2.26,2.36,166972
2005-06-02,2.3,2.32,2.3,2.31,5600
2005-06-03,2.31,2.5,2.3,2.44,106512
2005-06-06,2.4,2.48,2.36,2.36,8268
2005-06-07,2.36,2.48,2.36,2.48,43464
2005-06-08,2.48,2.48,2.4,2.48,6400
2005-06-09,,,,2.48,0
2005-06-10,2.4,2.51,2.4,2.51,61268
2005-06-13,2.4,2.48,2.25,2.34,187568
2005-06-14,2.42,2.42,2.32,2.34,34236
2005-06-15,2.34,2.45,2.31,2.32,50464
2005-06-16,2.31,2.34,2.31,2.32,65600
2005-06-17,2.41,2.41,2.19,2.3,60136
2005-06-20,2.3,2.4,2.26,2.28,59024
2005-06-21,2.28,2.3,2.23,2.28,188280
2005-06-22,2.23,2.26,2.23,2.23,105200
2005-06-23,2.23,2.25,2.22,2.25,297200
2005-06-24,2.2,2.2,2.2,2.2,21620
2005-06-27,2.24,2.25,2.08,2.12,384800
2005-06-28,2.08,2.24,2.06,2.12,178528
2005-06-29,2.19,2.29,2.13,2.22,14876
2005-06-30,2.31,2.31,2.22,2.26,86324
2005-07-01,2.25,2.37,2.25,2.3,30500
2005-07-05,2.26,2.38,2.25,2.33,30868
2005-07-06,2.27,2.31,2.25,2.28,31576
2005-07-07,2.31,2.44,2.31,2.42,78920
