Date,Open,High,Low,Close,Volume
2012-09-26,12.6,13.3,12.43,12.91,142368789
2012-09-27,13.0,13.5,13.0,13.5,22513443
2012-09-28,13.23,13.9,13.23,13.7,13060171
2012-10-01,13.6,14.05,12.7,13.72,15126076
2012-10-02,13.81,13.89,13.46,13.65,13576197
2012-10-03,13.52,13.66,13.51,13.66,4815826
2012-10-04,13.75,13.99,13.71,13.78,4600699
2012-10-05,13.92,14.14,13.85,14.1,7754017
2012-10-08,14.08,14.34,13.98,14.24,6110913
2012-10-09,14.25,14.77,14.24,14.34,28150332
2012-10-10,14.35,14.51,14.16,14.43,7255435
2012-10-11,14.48,14.67,14.36,14.6,6814368
2012-10-12,14.54,14.62,14.48,14.55,2258550
2012-10-15,14.59,14.75,14.41,14.5,1793904
2012-10-16,14.6,14.7,14.47,14.5,1845619
2012-10-17,14.6,14.6,14.25,14.25,4846420
2012-10-18,14.25,14.28,14.18,14.19,3829700
2012-10-19,14.36,14.59,14.0,14.07,7339586
2012-10-22,14.41,14.54,13.65,13.98,4453968
2012-10-23,13.88,13.97,13.52,13.66,5473696
2012-10-24,13.8,13.86,13.72,13.82,1812559
2012-10-25,13.96,14.08,13.88,13.98,5679865
2012-10-26,14.05,14.05,13.59,13.77,2837400
2012-10-31,13.5,13.83,13.35,13.67,3008481
2012-11-01,13.44,14.25,13.22,14.23,4067643
2012-11-02,14.3,14.48,14.17,14.43,1907891
2012-11-05,14.5,14.5,14.16,14.25,4974841
2012-11-06,14.25,14.34,14.18,14.26,4327549
2012-11-07,14.09,14.25,13.88,13.98,2350810
2012-11-08,14.3,14.3,13.61,13.77,1751628
2012-11-09,13.87,13.95,13.6,13.86,1258374
2012-11-12,13.95,13.96,13.71,13.78,895610
2012-11-13,13.84,14.15,13.68,14.06,2078834
2012-11-14,14.1,14.12,13.73,13.75,1112759
2012-11-15,13.6,13.68,13.5,13.57,2076184
2012-11-16,13.66,13.71,13.5,13.51,2452304
2012-11-19,13.57,13.73,13.47,13.73,2117458
2012-11-20,13.75,14.1,13.75,13.98,1841992
2012-11-21,14.07,14.11,14.0,14.11,622501
2012-11-23,14.1,14.15,13.98,14.11,721968
2012-11-26,14.07,14.29,14.0,14.14,1107697
2012-11-27,13.95,14.38,13.95,14.33,1238140
2012-11-28,14.2,14.41,14.01,14.4,831374
2012-11-29,14.5,14.53,14.41,14.46,1620987
2012-11-30,14.39,14.77,14.38,14.61,1616929
2012-12-03,14.63,14.79,14.63,14.75,1744619
2012-12-04,14.7,15.04,14.54,15.02,3333606
2012-12-05,15.12,15.29,14.94,15.05,1413951
2012-12-06,15.02,15.45,14.84,15.2,1775950
2012-12-07,15.32,15.32,15.08,15.29,1334788
2012-12-10,15.59,16.14,15.35,15.41,3213391
2012-12-11,15.41,15.61,15.37,15.54,2100444
2012-12-12,15.66,15.83,14.67,15.66,1611297
2012-12-13,15.71,15.8,15.35,15.53,1876423
2012-12-14,15.5,15.88,15.32,15.64,841886
2012-12-17,15.8,16.55,15.76,16.46,2296784
2012-12-18,16.38,16.69,16.22,16.53,4571316
2012-12-19,16.37,16.77,16.27,16.77,2102735
2012-12-20,16.75,16.81,16.12,16.25,6616817
2012-12-21,15.85,16.12,15.64,16.1,807658
2012-12-24,16.07,16.21,16.0,16.18,110453
2012-12-26,16.21,16.29,15.97,15.97,265223
2012-12-27,16.2,16.2,15.67,15.75,2025301
2012-12-28,15.75,16.06,15.51,16.03,2561036
2012-12-31,15.92,16.26,15.92,16.18,257181
2013-01-02,16.43,16.61,16.18,16.32,1344135
2013-01-03,16.28,16.4,16.28,16.31,1340046
2013-01-04,16.38,16.46,16.07,16.1,3097190
2013-01-07,16.15,16.19,15.79,15.99,1115026
2013-01-08,16.0,16.31,15.95,16.12,611693
2013-01-09,16.34,16.69,16.09,16.68,1794661
2013-01-10,16.72,17.09,16.61,16.81,1348679
2013-01-11,16.83,17.27,16.73,17.04,1707177
2013-01-14,17.02,17.95,16.96,17.79,2012933
2013-01-15,17.79,17.79,17.07,17.42,1450565
2013-01-16,17.1,17.59,16.92,17.5,864902
2013-01-17,17.58,17.76,16.44,16.48,4222165
2013-01-18,16.51,16.56,15.72,16.21,8648198
2013-01-22,16.25,16.84,16.1,16.75,3847836
2013-01-23,16.66,17.14,16.43,16.94,2428548
2013-01-24,17.0,17.15,16.52,16.61,864898
2013-01-25,16.65,16.78,16.5,16.69,1841834
2013-01-28,16.62,16.66,16.21,16.36,1242226
2013-01-29,16.36,16.47,15.98,16.3,1609951
2013-01-30,16.28,16.51,14.71,15.2,5855543
2013-01-31,15.27,15.83,14.76,15.55,7810009
2013-02-01,15.62,15.99,15.3,15.88,2839201
2013-02-04,15.7,15.7,15.28,15.37,1815777
2013-02-05,15.48,15.67,15.46,15.47,2534042
2013-02-06,15.37,15.54,15.27,15.44,1668973
2013-02-07,15.45,15.52,15.18,15.3,1096740
2013-02-08,15.34,15.5,15.32,15.4,1288390
2013-02-11,15.33,15.48,15.3,15.43,610507
2013-02-12,15.3,15.53,15.3,15.44,671736
2013-02-13,15.43,15.45,15.18,15.29,1149604
2013-02-14,15.26,15.26,15.06,15.1,1301466
2013-02-15,15.22,15.35,14.76,14.79,1924831
2013-02-19,14.86,15.35,14.78,15.18,2732856
2013-02-20,14.96,15.09,14.12,14.14,4491588
2013-02-21,14.11,14.58,13.92,14.4,3343741
2013-02-22,14.44,14.52,14.28,14.48,2841816
2013-02-25,14.55,14.59,13.95,14.01,2063077
2013-02-26,14.03,14.3,14.01,14.3,5018477
2013-02-27,14.17,14.76,14.17,14.7,2074213
2013-02-28,14.53,15.27,14.53,14.92,1579742
2013-03-01,14.73,14.96,14.49,14.93,1148485
2013-03-04,14.78,15.66,14.6,15.37,2330378
2013-03-05,15.31,15.41,15.19,15.29,2252843
2013-03-06,15.37,15.66,15.3,15.34,1421704
2013-03-07,15.39,16.01,15.34,15.71,1903564
2013-03-08,15.81,16.19,15.81,16.16,3395040
2013-03-11,16.88,16.88,15.73,15.8,1411456
2013-03-12,15.81,15.91,15.43,15.7,1209824
2013-03-13,15.7,15.73,15.38,15.49,853998
2013-03-14,15.54,15.74,15.24,15.43,923879
2013-03-15,15.46,15.66,15.42,15.64,1791560
2013-03-18,15.53,15.84,15.11,15.17,706199
2013-03-19,15.17,15.36,14.78,14.83,1202374
2013-03-20,14.99,15.0,14.82,14.96,1239889
2013-03-21,14.7,14.93,14.6,14.86,828449
2013-03-22,14.8,14.86,14.53,14.85,1522499
2013-03-25,14.89,15.0,14.67,14.89,1077515
2013-03-26,14.91,15.07,14.85,15.0,1199513
2013-03-27,14.84,15.15,14.7,15.09,1551802
2013-03-28,15.06,15.43,15.01,15.43,801146
2013-04-01,15.37,15.69,15.34,15.46,962974
2013-04-02,15.63,15.91,15.47,15.87,2444466
2013-04-03,15.81,16.03,15.43,15.51,3007091
2013-04-04,15.65,15.67,15.31,15.48,1794359
2013-04-05,15.22,15.46,15.09,15.24,1461533
2013-04-08,15.22,15.47,14.92,15.35,927216
2013-04-09,15.34,15.82,15.29,15.74,2413321
2013-04-10,15.8,16.44,15.76,16.25,3535573
2013-04-11,16.26,16.4,15.98,16.32,2522513
2013-04-12,16.22,16.39,15.66,15.98,1117170
2013-04-15,15.91,15.98,15.38,15.39,640726
2013-04-16,15.54,15.7,15.22,15.57,978667
2013-04-17,15.53,15.69,15.32,15.58,853455
2013-04-18,15.61,15.66,15.35,15.47,960536
2013-04-19,15.59,15.96,15.35,15.83,962882
2013-04-22,15.8,15.9,15.51,15.56,704457
2013-04-23,15.68,15.68,15.44,15.52,1440130
2013-04-24,15.58,15.62,15.42,15.51,954625
2013-04-25,15.66,16.46,15.51,16.46,3156491
2013-04-26,16.33,16.33,15.25,15.39,2518281
2013-04-29,14.95,15.46,14.91,15.38,1339609
2013-04-30,15.39,16.22,15.29,16.15,2451908
2013-05-01,16.1,16.21,15.8,15.92,470756
2013-05-02,16.0,16.2,15.91,16.09,918742
2013-05-03,16.31,16.43,15.47,15.99,5498023
2013-05-06,16.0,16.2,15.97,16.04,911044
2013-05-07,16.38,17.12,16.2,16.99,2414998
2013-05-08,16.96,17.45,16.84,17.44,1304573
2013-05-09,17.37,17.77,17.32,17.44,1525013
2013-05-10,17.51,17.52,17.26,17.44,1120441
2013-05-13,17.47,17.47,17.04,17.11,1989043
2013-05-14,17.18,17.22,16.98,17.07,3989500
2013-05-15,17.08,17.14,16.79,16.84,1210616
2013-05-16,16.84,17.06,16.76,16.91,2574800
2013-05-17,17.03,17.03,16.73,16.88,3090801
2013-05-20,16.87,16.97,16.51,16.8,2440289
2013-05-21,16.79,16.83,16.14,16.26,2114945
2013-05-22,16.27,16.35,15.55,15.6,2056328
2013-05-23,15.33,15.38,14.88,14.97,7019139
2013-05-24,14.95,15.03,14.78,14.92,2364327
2013-05-28,15.22,15.52,15.13,15.34,2443330
2013-05-29,15.15,15.67,15.15,15.55,1995027
2013-05-30,15.5,15.66,15.18,15.47,2556044
2013-05-31,15.37,16.11,15.21,15.82,9963478
2013-06-03,15.64,16.42,15.6,16.39,6530038
2013-06-04,16.25,16.25,15.83,16.04,2608415
2013-06-05,15.95,15.98,15.32,15.47,1824581
2013-06-06,15.34,15.55,15.1,15.29,1775786
2013-06-07,15.37,16.01,15.33,15.45,1506470
2013-06-10,15.46,15.76,15.32,15.66,1984997
2013-06-11,15.42,15.65,14.97,14.98,3222252
2013-06-12,15.13,15.37,14.4,14.48,2844078
2013-06-13,14.49,15.09,14.41,15.01,2495624
2013-06-14,15.04,15.16,14.83,15.05,858483
2013-06-17,15.2,15.2,14.68,14.73,1562409
2013-06-18,14.69,14.91,14.6,14.63,909574
2013-06-19,14.61,14.84,13.99,14.05,921968
2013-06-20,13.89,13.89,13.03,13.34,1909200
2013-06-21,13.5,13.93,13.1,13.74,2523254
2013-06-24,13.44,13.44,13.02,13.09,2775037
2013-06-25,13.39,13.51,13.19,13.43,3498110
2013-06-26,13.55,14.0,13.45,13.52,1967676
2013-06-27,13.72,14.14,13.72,14.02,1451649
2013-06-28,13.89,14.26,13.69,14.21,2123233
2013-07-01,14.3,14.52,14.16,14.32,1231929
2013-07-02,14.22,14.6,14.05,14.12,3493545
2013-07-03,13.99,14.16,13.63,13.63,2195518
2013-07-05,13.94,14.1,13.36,13.59,1772459
2013-07-08,13.65,13.76,13.12,13.12,2202635
2013-07-09,13.28,13.45,13.03,13.26,2112405
2013-07-10,13.2,13.34,13.16,13.27,1145060
2013-07-11,13.52,13.81,13.25,13.46,1291856
2013-07-12,13.38,13.57,13.11,13.21,1532768
2013-07-15,13.27,13.47,13.27,13.45,1552060
2013-07-16,13.49,13.54,13.07,13.45,1629315
2013-07-17,13.5,14.45,13.5,14.37,2657506
2013-07-18,14.45,14.45,14.07,14.38,1415068
2013-07-19,14.38,14.49,13.94,14.13,799375
2013-07-22,14.12,14.37,13.96,14.12,2075175
2013-07-23,14.16,14.54,14.08,14.52,785087
2013-07-24,14.44,14.72,14.35,14.67,1336744
2013-07-25,14.66,14.7,14.2,14.33,802323
2013-07-26,14.25,14.39,13.89,14.06,960365
2013-07-29,13.99,14.04,13.73,13.76,1223509
2013-07-30,13.81,14.02,13.64,13.69,1929518
2013-07-31,13.55,14.51,13.25,14.42,2186361
2013-08-01,14.57,14.7,14.34,14.7,1383032
2013-08-02,14.69,15.33,14.67,15.08,1439577
2013-08-05,15.07,15.31,15.0,15.31,1531045
2013-08-06,15.24,15.44,15.06,15.4,1569238
2013-08-07,15.31,15.74,15.16,15.72,4784098
2013-08-08,15.84,16.31,15.71,16.22,1942541
2013-08-09,16.25,16.54,16.1,16.46,1134110
2013-08-12,16.46,16.46,16.0,16.01,1298829
2013-08-13,15.93,16.2,15.8,16.15,1119245
2013-08-14,16.17,16.38,15.9,15.95,945179
2013-08-15,15.82,15.86,15.22,15.45,1290888
2013-08-16,15.47,15.56,15.1,15.29,1111611
2013-08-19,15.19,15.23,14.71,14.89,1175715
2013-08-20,14.89,15.2,14.68,14.93,948380
2013-08-21,14.74,15.25,14.61,14.95,1609833
2013-08-22,15.02,15.28,14.63,14.93,875267
2013-08-23,15.01,15.08,14.55,15.06,1184325
2013-08-26,15.02,15.47,14.65,14.71,1642140
2013-08-27,14.58,14.63,13.98,14.24,2287277
2013-08-28,13.97,14.31,13.88,13.93,1425471
2013-08-29,13.95,14.02,13.71,13.78,872954
2013-08-30,13.9,13.98,13.51,13.64,1155496
2013-09-03,13.86,13.97,13.2,13.34,1888466
2013-09-04,13.38,13.76,13.26,13.64,1660765
2013-09-05,13.57,13.64,13.35,13.48,891961
2013-09-06,13.68,13.82,13.37,13.59,754258
2013-09-09,13.59,14.13,13.51,14.12,1142766
2013-09-10,14.15,14.45,14.06,14.11,1647279
2013-09-11,14.05,14.28,14.0,14.09,1110145
2013-09-12,14.03,14.06,13.74,13.76,1408496
2013-09-13,13.84,14.02,13.75,13.94,1471134
2013-09-16,14.17,14.4,13.82,13.87,835703
2013-09-17,13.93,14.01,13.83,13.84,1202438
2013-09-18,13.83,14.4,13.65,14.33,3002790
2013-09-19,14.4,14.58,14.27,14.51,3074191
2013-09-20,14.41,14.53,14.3,14.43,2363035
2013-09-23,14.45,14.57,14.24,14.28,2213841
2013-09-24,14.28,14.35,14.02,14.03,1634418
2013-09-25,14.04,14.34,13.96,14.3,1427494
2013-09-26,14.39,14.42,14.08,14.28,823441
2013-09-27,14.22,14.22,13.83,13.87,994951
2013-09-30,13.71,13.91,13.62,13.82,651082
2013-10-01,13.95,14.29,13.72,14.22,1261078
2013-10-02,14.1,14.16,13.71,14.01,1344678
2013-10-03,13.94,14.0,13.62,13.99,839606
2013-10-04,13.97,13.98,13.73,13.84,914961
2013-10-07,13.69,13.84,13.65,13.75,1204720
2013-10-08,13.73,13.82,13.33,13.44,763937
2013-10-09,13.33,13.35,13.02,13.07,1117479
2013-10-10,13.19,13.79,13.19,13.7,912311
2013-10-11,13.72,14.08,13.67,14.01,569695
2013-10-14,13.85,14.19,13.78,14.12,452800
2013-10-15,14.06,14.16,13.76,14.04,1712055
2013-10-16,14.12,14.46,13.92,14.41,1580510
2013-10-17,14.31,14.52,13.8,13.89,1778729
2013-10-18,13.89,14.06,13.52,13.65,1655091
2013-10-21,13.7,13.81,13.47,13.6,2357743
2013-10-22,13.7,13.84,13.61,13.77,1167510
2013-10-23,13.61,13.74,13.5,13.63,598338
2013-10-24,13.59,13.63,13.14,13.18,1690250
2013-10-25,13.26,13.53,13.15,13.41,741549
2013-10-28,13.45,13.64,13.44,13.62,704468
2013-10-29,13.65,14.01,13.63,13.93,1222130
2013-10-30,14.0,14.03,13.8,13.9,590748
2013-10-31,13.95,14.13,13.6,14.13,2694360
2013-11-01,13.78,14.03,13.32,13.95,1661236
2013-11-04,13.92,14.09,13.81,14.09,464180
2013-11-05,13.92,14.06,13.72,13.89,1679324
2013-11-06,13.9,14.0,13.54,13.79,2167295
2013-11-07,13.88,14.06,13.63,13.83,1378318
2013-11-08,13.74,13.78,13.38,13.64,2249849
2013-11-11,13.64,13.64,13.4,13.45,1280490
2013-11-12,13.44,13.5,13.0,13.14,2085148
2013-11-13,13.05,13.46,13.05,13.34,2710336
2013-11-14,13.35,13.41,13.17,13.38,1198422
2013-11-15,13.48,13.73,13.2,13.64,2122170
2013-11-18,13.71,14.06,13.23,13.91,935879
2013-11-19,13.79,14.03,13.44,13.51,1400480
2013-11-20,13.57,13.73,13.26,13.34,1031393
2013-11-21,13.31,13.45,13.19,13.24,5668430
2013-11-22,13.28,13.45,13.24,13.31,1001372
2013-11-25,13.34,13.57,13.32,13.48,447778
2013-11-26,13.46,13.58,13.28,13.49,680952
2013-11-27,13.42,13.63,13.3,13.45,5964378
2013-11-29,13.95,14.22,13.9,14.05,1766509
2013-12-02,14.01,14.02,13.74,13.76,1348845
2013-12-03,13.73,13.87,13.46,13.53,1362287
2013-12-04,13.57,14.05,13.37,13.92,5243978
2013-12-05,13.7,14.13,13.63,14.04,6764196
2013-12-06,14.16,14.6,14.09,14.32,920658
2013-12-09,14.29,14.71,14.29,14.66,4693020
2013-12-10,14.62,14.68,14.48,14.52,822596
2013-12-11,14.46,14.62,14.01,14.07,1073381
2013-12-12,13.9,14.02,13.72,13.74,1879579
2013-12-13,14.01,14.05,13.64,13.87,979187
2013-12-16,13.93,14.24,13.92,14.24,1492905
2013-12-17,14.27,14.32,14.1,14.24,2430499
2013-12-18,14.25,14.45,14.09,14.29,2913927
2013-12-19,14.27,14.35,14.2,14.25,1068644
2013-12-20,14.19,14.38,14.19,14.29,3831124
2013-12-23,13.47,13.57,13.16,13.5,2762129
2013-12-24,13.55,13.77,13.49,13.54,1419451
2013-12-26,13.62,13.65,13.52,13.56,2108510
2013-12-27,13.58,13.68,13.55,13.6,1193448
2013-12-30,13.63,13.65,13.48,13.6,815739
2013-12-31,13.57,13.68,13.46,13.64,578200
2014-01-02,13.51,13.51,13.17,13.25,1718558
2014-01-03,13.34,13.53,13.17,13.2,1049699
2014-01-06,13.2,13.39,13.02,13.13,1142839
2014-01-07,13.19,13.36,13.1,13.34,714039
2014-01-08,13.35,13.35,13.05,13.16,934592
2014-01-09,13.23,13.25,12.91,12.97,755965
2014-01-10,13.05,13.13,12.9,12.97,2863719
2014-01-13,12.86,12.93,12.56,12.82,3063514
2014-01-14,12.92,12.92,12.62,12.72,3888705
