Date,Open,High,Low,Close,Volume
2000-06-29,17.33,17.63,17.3,17.5,94573
2000-06-30,17.63,17.63,15.52,15.65,578027
2000-07-03,15.79,16.51,15.65,16.51,136306
2000-07-05,16.05,16.71,15.92,16.25,94827
2000-07-06,16.31,16.84,16.25,16.84,128266
2000-07-07,16.71,17.56,16.64,17.53,178041
2000-07-10,17.33,17.43,16.94,17.02,77087
2000-07-11,16.94,17.27,16.84,16.97,79130
2000-07-12,16.87,17.3,16.87,17.27,47988
2000-07-13,17.3,17.3,16.84,17.2,68791
2000-07-14,17.2,17.46,17.2,17.36,90360
2000-07-17,17.36,17.43,17.36,17.36,252194
2000-07-18,17.36,17.43,17.36,17.36,166683
2000-07-19,17.4,17.46,17.4,17.4,172937
2000-07-20,17.4,17.59,17.4,17.53,75683
2000-07-21,17.46,18.02,17.46,17.66,131073
2000-07-24,17.59,17.69,17.46,17.5,180722
2000-07-25,17.46,17.56,17.23,17.4,93678
2000-07-26,17.36,17.43,17.17,17.3,68026
2000-07-27,17.23,17.4,17.04,17.17,82704
2000-07-28,17.1,17.36,16.84,16.84,181997
2000-07-31,17.1,17.33,16.94,17.27,46328
2000-08-01,17.13,17.36,17.13,17.36,52454
2000-08-02,17.35,17.63,17.33,17.63,62409
2000-08-03,17.56,18.42,17.46,18.29,123799
2000-08-04,18.29,18.42,18.15,18.42,70068
2000-08-07,18.25,18.42,18.15,18.42,110781
2000-08-08,18.29,18.61,18.29,18.61,291375
2000-08-09,18.45,18.94,18.45,18.75,272359
2000-08-10,18.71,18.81,18.52,18.52,299926
2000-08-11,18.58,18.75,18.48,18.58,102996
2000-08-14,18.63,18.91,18.58,18.61,68026
2000-08-15,18.71,18.81,18.58,18.75,89340
2000-08-16,18.61,18.81,18.58,18.61,190293
2000-08-17,18.58,18.94,18.58,18.68,601384
2000-08-18,18.7,18.71,18.68,18.71,96486
2000-08-21,18.71,18.91,18.68,18.78,228837
2000-08-22,18.81,19.07,18.78,18.98,115503
2000-08-23,18.94,19.11,18.91,19.07,181615
2000-08-24,19.01,19.11,18.91,18.91,114992
2000-08-25,19.09,19.14,19.04,19.04,50031
2000-08-28,0.0,19.27,19.04,19.21,115248
2000-08-29,19.24,19.27,19.01,19.04,110781
2000-08-30,19.03,19.17,18.98,18.98,100699
2000-08-31,19.06,19.24,18.88,18.94,116907
2000-09-01,18.88,19.24,18.88,19.04,134136
2000-09-05,18.91,19.14,18.84,18.91,197185
2000-09-06,18.91,19.01,18.81,18.94,182890
2000-09-07,18.98,18.98,18.81,18.91,125458
2000-09-08,18.75,19.17,18.75,19.17,421300
2000-09-11,19.07,19.34,19.07,19.34,178424
2000-09-12,19.31,19.44,19.27,19.31,122140
2000-09-13,19.39,19.47,19.21,19.37,195655
2000-09-14,19.42,19.77,19.42,19.73,102103
2000-09-15,19.8,19.8,19.47,19.6,194889
2000-09-18,19.67,19.67,18.88,18.94,150473
2000-09-19,18.96,19.34,18.96,19.24,29099
2000-09-20,19.27,19.47,19.07,19.32,75301
2000-09-21,19.09,19.21,19.01,19.04,41351
2000-09-22,19.21,19.21,18.81,19.07,68153
2000-09-25,18.94,19.11,18.94,19.01,174850
2000-09-26,19.11,19.14,18.94,19.01,137966
2000-09-27,19.01,19.04,18.78,19.04,81809
2000-09-28,19.07,19.54,18.98,19.54,129798
2000-09-29,19.22,19.37,19.14,19.37,89596
2000-10-02,19.37,19.7,19.24,19.63,109759
2000-10-03,19.55,19.67,19.37,19.67,71089
2000-10-04,19.66,19.67,19.34,19.44,83341
2000-10-05,19.34,19.73,19.34,19.57,33694
2000-10-06,19.57,19.57,19.37,19.47,213522
2000-10-09,19.47,19.54,19.37,19.4,189018
2000-10-10,19.4,19.57,19.4,19.47,491368
2000-10-11,19.4,19.4,18.98,19.01,262149
2000-10-12,19.02,19.02,18.45,18.45,69175
2000-10-13,18.45,18.48,18.29,18.45,181360
2000-10-16,18.45,18.65,18.38,18.45,189782
2000-10-17,18.45,18.75,18.45,18.75,256150
2000-10-18,18.58,18.68,18.48,18.55,131329
2000-10-19,18.52,18.71,18.52,18.58,68026
2000-10-20,18.58,18.65,18.55,18.58,251683
2000-10-23,18.61,18.61,18.42,18.55,223095
2000-10-24,18.55,18.75,18.48,18.58,123544
2000-10-25,18.52,18.71,18.52,18.61,414025
2000-10-26,18.61,18.75,18.55,18.55,222200
2000-10-27,18.55,18.88,18.55,18.68,515618
2000-10-30,18.67,19.07,18.61,18.84,431639
2000-10-31,18.81,19.21,18.61,18.91,2300752
2000-11-01,18.82,18.94,18.68,18.94,257809
2000-11-02,18.94,19.04,18.84,19.04,203311
2000-11-03,19.07,19.27,18.94,19.27,167065
2000-11-06,19.21,19.37,19.01,19.27,122140
2000-11-07,19.27,19.47,19.27,19.4,218244
2000-11-08,19.4,19.47,19.34,19.34,267635
2000-11-09,19.37,19.44,19.11,19.14,180722
2000-11-10,19.11,19.4,19.11,19.21,271082
2000-11-13,19.17,19.24,19.01,19.04,470438
2000-11-14,19.04,19.27,18.68,18.75,339618
2000-11-15,18.71,19.21,18.71,19.17,353020
2000-11-16,19.14,19.47,19.14,19.44,384800
2000-11-17,19.25,19.6,19.21,19.54,334640
2000-11-20,19.5,19.5,18.91,19.27,378801
2000-11-21,19.21,19.5,19.21,19.44,190804
2000-11-22,19.41,19.47,19.21,19.37,92019
2000-11-24,19.35,19.67,19.34,19.47,99422
2000-11-27,19.48,19.8,19.44,19.5,207267
2000-11-28,19.71,20.27,19.54,19.99,230370
2000-11-29,19.86,20.23,19.82,20.03,194250
2000-11-30,19.92,20.96,19.92,20.96,258575
2000-12-01,20.83,21.1,20.82,21.03,172043
2000-12-04,20.82,20.86,20.41,20.61,216329
2000-12-05,20.55,21.1,20.55,20.68,184422
2000-12-06,20.8,21.73,20.72,20.89,254746
2000-12-07,20.84,21.1,20.48,20.68,378035
2000-12-08,20.82,21.86,20.65,21.79,145623
2000-12-11,21.73,21.93,21.62,21.73,286524
2000-12-12,21.72,21.86,21.31,21.37,266616
2000-12-13,21.31,21.79,20.89,20.89,75173
2000-12-14,21.03,21.1,20.3,21.1,193102
2000-12-15,20.71,21.07,20.61,20.96,172171
2000-12-18,21.03,22.18,20.86,22.04,387989
2000-12-19,22.0,22.49,21.83,22.49,411601
2000-12-20,22.04,23.43,22.04,23.18,570243
2000-12-21,23.11,23.43,22.49,23.36,234326
2000-12-22,23.39,23.46,22.63,22.73,369484
2000-12-26,22.56,22.84,22.52,22.66,353020
2000-12-27,22.7,22.77,22.39,22.59,346128
2000-12-28,22.45,23.53,22.45,23.39,284482
2000-12-29,23.39,23.74,23.04,23.6,198334
2001-01-02,23.04,23.18,22.04,22.35,220670
2001-01-03,21.9,22.59,21.9,22.59,598703
2001-01-04,22.49,23.25,22.49,22.77,162598
2001-01-05,22.7,22.7,22.11,22.21,335406
2001-01-08,22.14,22.45,21.97,22.14,244152
2001-01-09,22.12,22.21,21.79,22.11,203695
2001-01-10,22.04,22.28,21.97,22.21,361189
2001-01-11,22.18,22.49,22.0,22.14,237260
2001-01-12,21.66,21.66,20.27,20.93,744583
2001-01-16,20.89,21.69,20.72,21.69,310647
2001-01-17,21.66,22.18,21.62,22.07,264191
2001-01-18,22.21,22.21,21.62,21.62,470437
2001-01-19,21.66,21.66,21.38,21.55,148559
2001-01-22,21.55,21.93,21.48,21.9,417854
2001-01-23,21.93,22.0,21.86,22.0,520213
2001-01-24,22.0,22.42,22.0,22.32,209437
2001-01-25,22.35,22.49,22.21,22.39,158004
2001-01-26,22.25,22.77,22.25,22.66,171277
2001-01-29,22.45,22.97,22.45,22.52,216586
2001-01-30,22.45,22.73,22.45,22.59,274656
2001-01-31,22.49,22.73,22.39,22.73,178680
2001-02-01,22.66,23.04,22.56,22.7,141923
2001-02-02,22.66,23.32,22.63,23.16,134775
2001-02-05,23.28,23.29,23.15,23.29,370760
2001-02-06,23.22,23.46,23.15,23.46,288695
2001-02-07,23.29,23.7,23.08,23.63,425257
2001-02-08,23.5,23.6,23.36,23.56,106058
2001-02-09,23.36,23.84,23.36,23.77,346893
2001-02-12,23.8,24.02,23.6,23.98,281674
2001-02-13,23.81,24.22,23.7,23.77,269295
2001-02-14,23.75,24.05,23.43,23.81,143198
2001-02-15,23.67,23.88,23.67,23.74,242621
2001-02-16,23.7,23.88,23.32,23.39,98018
2001-02-20,23.33,23.63,22.77,23.32,154557
2001-02-21,23.29,23.29,22.77,22.84,239685
2001-02-22,22.8,22.87,21.76,22.52,200888
2001-02-23,22.42,22.59,22.0,22.35,373440
2001-02-26,22.39,22.56,22.18,22.56,364634
2001-02-27,22.35,22.7,22.14,22.32,410708
2001-02-28,22.39,22.39,21.85,21.97,569349
2001-03-01,21.83,22.0,21.48,21.79,639927
2001-03-02,21.79,22.73,21.66,22.28,353403
2001-03-05,22.28,22.28,21.9,21.97,456525
2001-03-06,21.97,22.18,21.9,21.97,206503
2001-03-07,21.93,22.14,21.9,22.11,295970
