Date,Open,High,Low,Close,Volume
2009-09-24,19.5,19.66,19.25,19.5,5160181
2009-09-25,19.51,19.55,19.35,19.37,699748
2009-09-28,19.3,19.59,19.3,19.5,237476
2009-09-29,19.5,19.6,19.5,19.5,601286
2009-09-30,19.53,19.6,19.5,19.55,360878
2009-10-01,19.5,19.55,19.5,19.5,286330
2009-10-02,19.42,19.52,19.42,19.5,190432
2009-10-05,19.5,19.59,19.41,19.53,272490
2009-10-06,19.51,19.6,19.4,19.5,273854
2009-10-07,19.42,19.5,19.3,19.48,250099
2009-10-08,19.45,19.49,19.3,19.38,414781
2009-10-09,19.31,19.44,19.31,19.44,135670
2009-10-12,19.41,19.47,19.4,19.45,51604
2009-10-13,19.4,19.55,19.4,19.42,87400
2009-10-14,19.45,19.53,19.4,19.5,163831
2009-10-15,19.5,19.59,19.4,19.55,152326
2009-10-16,19.5,19.68,19.47,19.68,113920
2009-10-19,19.65,19.75,19.65,19.74,37225
2009-10-20,19.75,19.99,19.7,19.99,86755
2009-10-21,19.74,19.97,19.74,19.97,91260
2009-10-22,19.97,20.0,19.85,19.91,90836
2009-10-23,19.83,19.99,19.34,19.85,190452
2009-10-26,19.65,19.83,19.52,19.75,104800
2009-10-27,19.76,19.95,19.57,19.86,100872
2009-10-28,19.72,19.85,19.3,19.35,168698
2009-10-29,19.42,19.55,19.3,19.41,271506
2009-10-30,19.33,19.49,19.33,19.45,34122
2009-11-02,19.5,19.54,19.41,19.5,80395
2009-11-03,19.42,19.54,19.42,19.49,52355
2009-11-04,19.49,19.51,19.16,19.5,50803
2009-11-05,19.39,19.58,19.39,19.46,44358
2009-11-06,19.4,19.47,19.31,19.37,41990
2009-11-09,19.42,19.45,19.33,19.37,9050
2009-11-10,19.35,19.45,19.35,19.4,19610
2009-11-11,19.5,19.5,19.31,19.43,40450
2009-11-12,19.39,19.45,19.35,19.41,18450
2009-11-13,19.42,19.42,19.35,19.36,38375
2009-11-16,19.35,19.6,19.35,19.37,47350
2009-11-17,19.35,19.4,19.3,19.3,59464
2009-11-18,19.3,19.4,19.3,19.31,64920
2009-11-19,19.18,19.28,18.52,19.0,482836
2009-11-20,19.0,19.04,18.88,18.97,138597
2009-11-23,18.88,19.01,18.75,18.81,89750
2009-11-24,18.75,18.9,18.48,18.67,116172
2009-11-25,18.69,18.87,18.69,18.79,81037
2009-11-27,18.44,18.91,18.44,18.81,66077
2009-11-30,18.75,18.83,18.75,18.83,108050
2009-12-01,18.85,19.09,18.6,19.0,104048
2009-12-02,18.91,19.21,18.86,19.05,196835
2009-12-03,19.0,19.47,19.0,19.33,72042
2009-12-04,19.32,19.45,19.16,19.36,81897
2009-12-07,19.28,19.47,18.99,19.31,28327
2009-12-08,19.17,19.5,19.17,19.49,108790
2009-12-09,19.48,19.71,19.4,19.53,121875
2009-12-10,19.47,19.75,19.36,19.72,47548
2009-12-11,19.71,19.95,19.61,19.87,105847
2009-12-14,19.8,20.35,19.75,20.28,220641
2009-12-15,20.22,20.99,20.0,20.75,378387
2009-12-16,20.47,20.74,20.13,20.31,157938
2009-12-17,20.13,20.9,19.87,20.15,374128
2009-12-18,20.05,20.75,20.02,20.51,1493793
2009-12-21,20.51,20.79,20.17,20.53,180699
2009-12-22,20.62,20.63,20.2,20.48,213376
2009-12-23,20.5,20.56,20.37,20.41,175178
2009-12-24,20.52,20.58,20.43,20.51,83094
2009-12-28,20.5,20.5,20.2,20.5,123308
2009-12-29,20.59,20.75,20.3,20.44,117428
2009-12-30,20.37,20.58,20.03,20.52,80765
2009-12-31,20.51,20.53,20.34,20.37,51882
2010-01-04,20.54,20.9,20.39,20.5,67693
2010-01-05,20.41,20.41,19.79,20.27,73185
2010-01-06,20.12,20.12,19.6,20.03,94851
2010-01-07,20.04,20.49,19.9,20.43,70942
2010-01-08,20.4,20.58,20.33,20.47,43093
2010-01-11,20.7,20.87,20.14,20.56,122283
2010-01-12,20.46,20.7,20.33,20.37,35020
2010-01-13,20.39,20.64,20.39,20.54,24959
2010-01-14,20.52,20.69,20.41,20.66,92766
2010-01-15,20.73,20.77,20.25,20.67,47390
2010-01-19,20.64,21.0,20.64,20.99,113762
2010-01-20,20.88,20.88,20.14,20.65,68558
2010-01-21,20.6,20.67,20.02,20.13,47396
2010-01-22,20.17,20.45,19.9,19.92,49722
2010-01-25,20.04,20.23,19.9,19.95,34736
2010-01-26,19.94,20.2,19.9,20.04,35801
2010-01-27,19.97,20.16,19.9,20.1,16137
2010-01-28,20.11,20.11,19.9,19.9,29111
2010-01-29,20.04,20.05,19.9,19.9,33377
2010-02-01,19.9,19.96,19.68,19.8,43480
2010-02-02,19.76,20.13,19.51,19.84,51265
2010-02-03,19.74,19.91,19.66,19.69,43333
2010-02-04,19.6,19.75,19.53,19.6,74719
2010-02-05,19.59,19.95,19.32,19.5,115520
2010-02-08,19.48,19.5,19.25,19.34,50320
2010-02-09,19.49,19.69,19.12,19.43,36422
2010-02-10,19.35,19.6,19.22,19.5,32557
2010-02-11,19.49,19.59,19.35,19.59,16931
2010-02-12,19.39,19.66,19.03,19.61,39292
2010-02-16,19.71,19.71,19.1,19.4,49498
2010-02-17,19.43,19.52,19.1,19.52,28887
2010-02-18,19.3,19.99,19.28,19.97,45919
2010-02-19,19.86,20.09,19.72,20.05,33605
2010-02-22,20.1,20.34,19.76,19.88,34566
2010-02-23,19.9,20.01,19.44,19.65,20963
2010-02-24,19.74,19.88,19.47,19.66,23891
2010-02-25,19.49,20.01,19.47,19.75,24478
2010-02-26,19.82,20.14,19.6,19.94,608134
2010-03-01,20.03,20.19,19.83,19.94,21757
2010-03-02,19.91,20.0,19.82,20.0,23661
2010-03-03,19.99,19.99,19.65,19.89,18357
2010-03-04,19.91,20.09,19.8,19.99,21331
2010-03-05,20.04,20.04,19.81,19.9,93877
2010-03-08,19.91,20.08,19.85,19.99,133080
2010-03-09,19.97,20.07,19.8,20.0,144941
2010-03-10,19.95,20.05,19.88,19.92,45704
2010-03-11,19.79,20.06,19.62,20.06,104949
2010-03-12,20.04,20.04,19.75,19.85,21603
2010-03-15,19.79,19.94,19.65,19.75,66245
2010-03-16,19.73,19.9,19.25,19.59,113850
2010-03-17,19.72,19.72,19.01,19.5,147451
2010-03-18,19.42,19.51,18.76,19.5,212342
2010-03-19,19.5,19.5,19.4,19.47,91779
2010-03-22,19.37,19.54,19.25,19.45,33505
2010-03-23,19.37,19.54,19.25,19.45,124631
2010-03-24,19.38,19.79,19.28,19.57,65786
2010-03-25,19.56,20.14,19.48,20.01,143372
2010-03-26,20.07,20.12,19.62,19.92,129096
2010-03-29,19.87,19.97,19.87,19.92,15631
2010-03-30,19.92,20.34,19.92,20.09,54459
2010-03-31,19.91,20.31,19.82,20.0,68163
2010-04-01,20.02,20.18,19.87,19.99,51780
2010-04-05,20.0,20.35,20.0,20.25,29255
2010-04-06,20.2,20.25,19.95,20.04,203869
2010-04-07,19.96,20.07,19.86,20.0,74480
2010-04-08,19.99,20.1,19.89,20.01,72109
2010-04-09,20.01,20.11,19.75,19.8,73644
2010-04-12,19.75,20.05,19.75,19.99,21102
2010-04-13,19.88,20.0,19.4,19.52,60301
2010-04-14,19.66,19.77,19.59,19.6,115351
2010-04-15,19.64,19.71,19.49,19.57,29599
2010-04-16,19.6,19.66,19.48,19.48,41605
2010-04-19,19.47,19.47,19.14,19.23,54406
2010-04-20,19.26,19.67,19.16,19.26,58599
2010-04-21,19.21,19.23,19.08,19.11,100949
2010-04-22,19.0,19.18,18.98,19.17,49471
2010-04-23,19.34,19.46,18.83,19.33,83399
2010-04-26,19.26,19.46,19.24,19.35,77655
2010-04-27,19.21,19.25,19.06,19.1,47695
2010-04-28,19.17,19.17,18.89,18.95,57921
2010-04-29,19.04,19.21,19.0,19.1,34869
2010-04-30,19.02,19.15,18.98,19.01,30556
2010-05-03,19.01,19.06,18.93,19.06,48188
2010-05-04,18.88,19.05,18.88,19.0,70473
2010-05-05,18.9,19.07,18.85,18.9,42437
2010-05-06,18.8,19.0,18.5,18.83,105522
2010-05-07,18.87,19.05,18.39,18.66,117876
2010-05-10,19.13,19.13,18.72,19.02,36629
2010-05-11,18.86,19.21,18.72,19.06,50180
2010-05-12,19.06,19.56,18.98,19.49,89475
2010-05-13,19.4,19.4,19.24,19.35,184304
2010-05-14,19.15,19.63,19.15,19.41,82488
2010-05-17,19.55,19.58,18.77,19.09,170615
2010-05-18,19.26,19.41,19.08,19.14,210003
2010-05-19,18.94,19.12,18.75,18.91,313056
2010-05-20,18.65,18.79,18.55,18.57,215440
2010-05-21,18.5,18.76,18.32,18.7,300493
2010-05-24,18.63,18.9,18.4,18.46,97632
2010-05-25,18.16,18.35,17.7,18.32,117408
2010-05-26,18.59,18.59,17.28,17.61,747812
2010-05-27,17.83,18.48,17.66,18.46,110237
2010-05-28,18.37,18.55,18.14,18.19,61830
2010-06-01,18.09,18.26,17.65,17.8,92836
2010-06-02,18.0,18.36,17.6,18.32,77245
2010-06-03,18.2,18.44,18.14,18.29,69002
2010-06-04,18.01,18.06,17.52,17.56,98097
2010-06-07,17.57,17.81,17.37,17.43,95994
2010-06-08,17.46,17.56,17.28,17.49,109551
2010-06-09,17.61,17.76,17.42,17.46,54253
2010-06-10,17.69,17.89,17.4,17.86,61341
2010-06-11,17.69,17.87,17.53,17.82,66348
2010-06-14,18.0,18.06,17.79,17.81,33905
2010-06-15,17.86,18.24,17.84,18.21,56826
2010-06-16,18.02,18.06,17.85,17.86,45804
2010-06-17,18.0,18.46,17.79,18.15,67820
2010-06-18,18.19,18.24,17.85,18.0,68884
2010-06-21,18.0,18.05,17.79,17.8,74444
2010-06-22,17.83,18.05,17.65,17.67,72673
2010-06-23,17.6,17.83,17.53,17.58,63489
2010-06-24,17.5,17.58,17.28,17.35,67067
2010-06-25,17.46,18.24,17.35,17.95,420391
2010-06-28,17.9,17.9,17.27,17.27,101679
2010-06-29,17.15,17.25,16.76,16.9,143143
2010-06-30,16.96,17.23,16.82,16.9,42677
2010-07-01,16.92,17.08,16.5,17.01,58557
2010-07-02,17.13,17.13,16.85,17.07,29097
2010-07-06,17.2,17.46,16.79,16.92,56953
2010-07-07,16.97,17.16,16.85,17.16,39661
2010-07-08,17.24,17.24,17.03,17.13,55974
2010-07-09,17.05,17.22,17.04,17.22,24516
2010-07-12,17.15,17.3,17.04,17.06,39401
2010-07-13,17.5,17.55,17.2,17.4,164707
2010-07-14,17.42,17.67,17.36,17.63,59612
2010-07-15,17.66,17.85,17.47,17.78,46909
2010-07-16,17.76,17.87,17.5,17.82,76345
2010-07-19,17.89,17.92,17.55,17.85,95440
2010-07-20,17.64,17.98,17.64,17.96,59980
2010-07-21,18.0,18.09,17.52,17.52,50098
2010-07-22,17.7,17.94,17.52,17.9,73945
2010-07-23,17.78,18.02,17.54,17.94,33467
2010-07-26,18.05,18.13,17.77,18.07,57535
2010-07-27,18.1,18.2,17.84,17.99,37225
2010-07-28,17.91,18.03,17.8,17.83,27191
2010-07-29,17.94,18.17,17.81,17.88,23403
2010-07-30,17.71,17.96,17.68,17.86,30266
2010-08-02,18.07,18.4,17.96,18.21,29584
2010-08-03,18.1,18.44,18.02,18.23,32186
2010-08-04,18.28,18.5,18.28,18.35,24103
2010-08-05,18.2,18.3,18.09,18.1,35291
2010-08-06,17.97,18.1,17.75,18.08,36988
2010-08-09,18.22,18.45,18.11,18.43,18575
2010-08-10,18.26,18.32,17.93,18.19,21523
2010-08-11,17.88,18.26,17.88,18.04,47534
2010-08-12,17.87,17.98,17.59,17.63,70801
2010-08-13,17.6,17.6,17.2,17.21,37402
2010-08-16,17.15,17.5,17.07,17.19,61656
2010-08-17,17.33,17.39,17.07,17.25,44392
2010-08-18,17.18,17.34,17.05,17.14,33705
2010-08-19,17.05,17.21,17.0,17.09,56590
2010-08-20,16.55,17.21,16.55,17.17,75863
2010-08-23,17.24,17.24,16.95,16.98,53231
2010-08-24,16.94,17.27,16.9,16.98,48323
2010-08-25,16.92,17.16,16.92,17.09,38723
2010-08-26,17.26,17.37,17.03,17.03,22055
2010-08-27,17.18,17.69,17.03,17.61,27212
2010-08-30,17.58,17.68,17.29,17.38,43878
2010-08-31,17.41,17.73,17.41,17.72,45940
2010-09-01,17.91,17.97,17.75,17.97,45365
2010-09-02,18.06,18.06,17.76,17.91,34503
2010-09-03,18.08,18.15,17.92,18.15,34744
2010-09-07,18.15,18.15,17.54,17.57,26088
2010-09-08,17.68,18.19,17.68,18.17,51917
2010-09-09,18.33,18.33,18.1,18.25,84433
2010-09-10,18.35,18.37,18.19,18.23,14910
2010-09-13,18.38,18.38,18.11,18.33,33146
2010-09-14,18.35,18.58,18.23,18.4,32665
2010-09-15,18.4,18.55,18.35,18.48,28985
2010-09-16,18.39,18.69,18.23,18.37,26181
2010-09-17,18.52,18.68,18.27,18.4,50317
2010-09-20,18.51,18.85,18.4,18.8,117688
2010-09-21,18.75,18.84,18.42,18.45,87086
