Date,Open,High,Low,Close,Volume
2000-06-30,7.06,7.44,7.06,7.38,81900
2000-07-03,7.38,7.38,7.12,7.25,29500
2000-07-05,7.38,7.44,7.19,7.38,35200
2000-07-06,7.38,7.44,7.31,7.44,18300
2000-07-07,7.44,7.75,7.44,7.62,19000
2000-07-10,7.62,7.62,7.5,7.62,8800
2000-07-11,7.62,7.62,7.19,7.25,19500
2000-07-12,7.12,7.38,7.0,7.19,65100
2000-07-13,7.25,7.25,6.88,6.94,55800
2000-07-14,7.0,7.25,7.0,7.25,38000
2000-07-17,7.19,7.38,7.19,7.25,17600
2000-07-18,7.19,7.19,7.0,7.06,32800
2000-07-19,7.0,7.12,7.0,7.0,16700
2000-07-20,7.0,7.31,7.0,7.25,14600
2000-07-21,7.19,7.38,7.12,7.12,6600
2000-07-24,7.19,7.19,7.0,7.06,38400
2000-07-25,6.94,7.19,6.94,7.06,19800
2000-07-26,7.06,7.19,7.06,7.06,21400
2000-07-27,7.0,7.0,6.62,6.88,36500
2000-07-28,6.75,7.0,6.19,7.0,74500
2000-07-31,7.0,7.25,6.81,7.25,72600
2000-08-01,7.25,7.69,7.19,7.69,52800
2000-08-02,7.56,7.69,7.5,7.5,30900
2000-08-03,7.5,7.5,7.19,7.31,78600
2000-08-04,7.19,7.44,7.19,7.44,16800
2000-08-07,7.44,7.75,7.44,7.69,12700
2000-08-08,7.69,8.06,7.69,8.0,31600
2000-08-09,8.06,8.25,7.94,8.12,16500
2000-08-10,8.0,8.19,7.88,7.88,14700
2000-08-11,7.88,7.88,7.75,7.81,11100
2000-08-14,7.69,7.88,7.69,7.81,29700
2000-08-15,7.75,7.94,7.69,7.75,59400
2000-08-16,7.69,7.88,7.69,7.88,43000
2000-08-17,7.81,7.94,7.81,7.88,29500
2000-08-18,7.81,7.94,7.75,7.81,34000
2000-08-21,7.81,8.0,7.69,7.69,23800
2000-08-22,7.69,7.75,7.56,7.75,33200
2000-08-23,7.75,8.0,7.69,7.81,16500
2000-08-24,7.81,7.81,7.25,7.56,65400
2000-08-25,7.56,7.56,7.31,7.31,35800
2000-08-28,0.0,7.31,7.19,7.25,6900
2000-08-29,7.38,7.56,7.25,7.56,62700
2000-08-30,7.56,7.62,7.25,7.38,12700
2000-08-31,7.31,7.56,7.19,7.5,46800
2000-09-01,7.44,7.5,7.19,7.38,23800
2000-09-05,7.25,7.31,6.88,7.0,41000
2000-09-06,7.06,7.12,6.94,7.0,32400
2000-09-07,7.12,7.25,7.06,7.19,20200
2000-09-08,6.88,6.94,6.75,6.81,70500
2000-09-11,6.69,6.94,6.62,6.62,35200
2000-09-12,6.62,6.69,6.56,6.62,17200
2000-09-13,6.62,6.69,6.5,6.62,31700
2000-09-14,6.62,6.75,6.62,6.75,20000
2000-09-15,6.62,6.97,6.62,6.94,53000
2000-09-18,6.94,6.94,6.88,6.88,167200
2000-09-19,6.88,7.12,6.88,7.0,68500
2000-09-20,7.0,7.44,6.94,7.44,29200
2000-09-21,7.38,7.38,6.88,7.12,34500
2000-09-22,7.06,7.12,6.88,6.88,26200
2000-09-25,7.0,7.0,6.69,6.69,57300
2000-09-26,6.69,7.0,6.69,6.88,60400
