Date,Open,High,Low,Close,Volume
2000-06-28,15.25,15.25,15.25,15.25,800
2000-06-29,15.25,15.31,15.22,15.22,28000
2000-06-30,15.22,15.25,15.22,15.25,2400
2000-07-03,15.28,15.38,15.19,15.38,9600
2000-07-05,15.22,15.23,14.88,15.19,54800
2000-07-06,14.88,15.06,14.88,15.06,2800
2000-07-07,14.88,14.97,14.88,14.88,10000
2000-07-10,14.88,15.0,14.88,15.0,5600
2000-07-11,14.88,15.06,14.88,15.0,4000
2000-07-12,14.69,14.88,14.69,14.88,10800
2000-07-13,14.69,14.78,14.69,14.69,12400
2000-07-14,,,,14.69,0
2000-07-17,14.75,15.16,14.62,15.16,7200
2000-07-18,15.02,15.19,15.02,15.06,6000
2000-07-19,15.25,15.25,15.0,15.06,2400
2000-07-20,15.0,15.0,14.81,15.0,11600
2000-07-21,14.81,15.0,14.81,14.94,2400
2000-07-24,14.91,15.47,14.91,15.25,17600
2000-07-25,15.0,15.25,15.0,15.0,20800
2000-07-26,15.09,15.12,15.06,15.06,12400
2000-07-27,15.0,15.12,15.0,15.12,2000
2000-07-28,15.0,15.0,15.0,15.0,800
2000-07-31,14.5,14.5,14.25,14.38,18400
2000-08-01,14.28,14.5,14.28,14.41,17200
2000-08-02,14.38,14.62,14.38,14.5,19600
2000-08-03,14.5,14.5,14.5,14.5,800
2000-08-04,14.62,14.62,14.62,14.62,1600
2000-08-07,14.62,14.75,14.62,14.62,2400
2000-08-08,14.75,14.75,14.62,14.62,1600
2000-08-09,14.62,14.62,14.62,14.62,12400
2000-08-10,14.5,14.5,14.5,14.5,800
2000-08-11,0.0,14.62,14.38,14.5,5200
2000-08-14,,,,14.5,0
2000-08-15,14.56,14.97,14.5,14.67,17600
2000-08-16,15.0,15.0,14.56,14.56,6000
2000-08-17,14.64,14.64,14.64,14.64,800
2000-08-18,14.94,14.94,14.77,14.77,2000
2000-08-21,14.94,14.94,14.94,14.94,400
2000-08-22,14.88,15.25,14.88,15.25,13600
2000-08-23,,,,15.25,0
2000-08-24,15.5,15.62,15.42,15.42,2800
2000-08-25,15.38,15.38,15.38,15.38,1200
2000-08-28,0.0,15.38,15.25,15.25,17600
2000-08-29,15.25,15.25,15.22,15.22,8800
2000-08-30,15.22,15.31,15.12,15.12,3600
2000-08-31,15.12,15.25,15.12,15.12,8000
2000-09-01,0.0,15.31,15.31,15.31,800
2000-09-05,,,,15.31,0
2000-09-06,15.12,15.44,15.12,15.44,20000
2000-09-07,15.5,15.5,15.5,15.5,8000
2000-09-08,15.38,15.38,15.38,15.38,400
2000-09-11,,,,15.38,0
2000-09-12,15.38,15.38,15.38,15.38,1600
2000-09-13,,,,15.38,0
2000-09-14,,,,15.38,0
2000-09-15,,,,15.38,0
2000-09-18,15.38,15.38,15.25,15.25,14000
2000-09-19,15.25,15.38,15.25,15.25,10400
2000-09-20,15.28,15.28,15.28,15.28,1600
2000-09-21,15.27,15.44,15.27,15.44,43600
2000-09-22,15.44,15.45,15.12,15.12,36000
2000-09-25,15.09,15.12,15.0,15.06,32000
2000-09-26,15.07,15.25,15.07,15.25,3200
2000-09-27,15.06,15.06,15.0,15.0,38800
2000-09-28,14.95,14.95,14.62,14.75,11600
2000-09-29,15.0,15.0,14.94,14.94,2400
2000-10-02,14.75,14.94,14.5,14.88,18400
2000-10-03,14.94,14.94,14.75,14.94,19200
2000-10-04,14.69,14.7,14.69,14.7,800
2000-10-05,14.81,14.88,14.81,14.88,11200
2000-10-06,14.69,14.69,14.5,14.5,5600
2000-10-09,,,,14.5,0
2000-10-10,14.25,14.25,14.25,14.25,800
2000-10-11,14.25,14.38,14.25,14.25,22800
2000-10-12,14.12,14.25,14.12,14.25,10800
2000-10-13,14.25,14.25,14.25,14.25,3200
2000-10-16,14.22,14.22,14.03,14.03,4400
2000-10-17,14.19,14.19,14.12,14.12,3600
2000-10-18,14.09,14.09,14.06,14.06,11600
2000-10-19,14.11,14.11,13.97,13.97,32800
2000-10-20,13.88,13.88,13.38,13.75,13600
2000-10-23,13.38,13.5,13.28,13.5,49200
2000-10-24,13.25,13.62,13.06,13.62,6000
2000-10-25,13.5,13.62,13.31,13.31,50400
2000-10-26,13.34,13.34,12.94,13.06,18400
2000-10-27,13.28,13.28,13.28,13.28,400
2000-10-30,13.25,13.25,13.25,13.25,8000
2000-10-31,13.38,13.38,13.34,13.34,10000
2000-11-01,13.47,13.47,13.41,13.41,41200
2000-11-02,13.5,13.69,13.47,13.69,26800
