Date,Open,High,Low,Close,Volume
2000-06-29,4.88,4.88,4.77,4.81,20501
2000-06-30,4.85,4.86,4.81,4.86,37802
2000-07-03,4.86,4.86,4.83,4.85,15000
2000-07-05,4.88,4.88,4.79,4.81,25600
2000-07-06,4.85,4.86,4.77,4.86,15698
2000-07-07,4.83,4.85,4.77,4.83,38000
2000-07-10,4.85,4.85,4.77,4.81,15698
2000-07-11,4.77,4.85,4.77,4.85,25200
2000-07-12,4.81,4.85,4.81,4.81,25200
2000-07-13,4.88,4.88,4.81,4.81,25200
2000-07-14,4.81,4.88,4.77,4.77,59300
2000-07-17,4.85,4.88,4.77,4.81,17999
2000-07-18,4.77,4.77,4.69,4.73,17200
2000-07-19,4.65,4.69,4.61,4.61,19900
2000-07-20,4.65,4.73,4.61,4.69,13901
2000-07-21,4.73,4.88,4.69,4.73,15000
2000-07-24,4.69,4.69,4.61,4.61,18701
2000-07-25,4.61,4.77,4.6,4.77,62300
2000-07-26,4.81,4.81,4.69,4.77,12101
2000-07-27,4.81,4.88,4.75,4.79,41701
2000-07-28,4.77,4.85,4.73,4.73,15201
2000-07-31,4.77,4.85,4.69,4.85,16599
2000-08-01,4.85,4.92,4.77,4.77,31800
2000-08-02,4.79,4.85,4.79,4.85,4501
2000-08-03,4.85,4.9,4.81,4.85,7500
2000-08-04,4.85,4.88,4.83,4.88,13001
2000-08-07,4.9,4.9,4.85,4.85,7701
2000-08-08,4.81,4.85,4.73,4.81,21499
2000-08-09,4.85,4.92,4.85,4.92,182701
2000-08-10,4.88,4.96,4.85,4.92,113600
2000-08-11,4.88,4.96,4.85,4.96,25899
2000-08-14,4.98,5.0,4.94,4.98,24800
2000-08-15,4.98,4.98,4.92,4.92,16599
2000-08-16,4.98,4.98,4.96,4.98,13200
2000-08-17,4.92,4.98,4.92,4.94,31800
2000-08-18,4.98,4.98,4.98,4.98,15000
2000-08-21,4.98,4.98,4.92,4.94,25899
2000-08-22,5.0,5.0,4.96,4.96,16901
2000-08-23,4.98,4.98,4.98,4.98,101
2000-08-24,4.92,4.96,4.92,4.96,7500
2000-08-25,4.92,5.0,4.92,5.0,7298
