Date,Open,High,Low,Close,Volume
2000-01-03,3.62,3.66,3.59,3.59,32900
2000-01-04,0.0,3.87,3.61,3.69,14400
2000-01-05,3.69,3.69,3.41,3.41,84800
2000-01-06,3.45,3.48,3.45,3.45,77700
2000-01-07,3.52,3.66,3.52,3.52,15300
2000-01-10,3.55,3.55,3.48,3.55,23900
2000-01-11,3.55,3.55,3.45,3.45,40500
2000-01-12,3.55,3.55,3.38,3.38,82000
2000-01-13,3.55,3.55,3.55,3.55,500
2000-01-14,3.66,3.66,3.43,3.45,40000
2000-01-18,3.59,3.59,3.45,3.45,20700
2000-01-19,3.45,3.66,3.41,3.66,23600
2000-01-20,3.66,3.66,3.66,3.66,100
2000-01-21,,,,3.66,0
2000-01-24,3.52,3.62,3.52,3.55,16900
2000-01-25,,,,3.55,0
2000-01-26,,,,3.55,0
2000-01-27,3.55,3.55,3.45,3.5,14400
2000-01-28,,,,3.5,0
2000-01-31,3.66,3.66,3.6,3.6,9700
2000-02-01,3.62,3.62,3.6,3.6,2700
2000-02-02,3.62,3.62,3.6,3.62,9100
2000-02-03,3.59,3.59,3.53,3.53,27100
2000-02-04,,,,3.53,0
2000-02-07,3.34,3.73,3.3,3.45,18000
2000-02-08,3.45,3.57,3.45,3.57,30000
2000-02-09,3.46,3.53,3.45,3.45,23500
2000-02-10,3.62,3.62,3.52,3.52,15600
2000-02-11,3.55,3.55,3.45,3.45,24400
2000-02-14,3.62,3.62,3.62,3.62,1600
2000-02-15,3.41,3.62,3.41,3.62,1200
2000-02-16,3.59,3.59,3.52,3.52,2100
2000-02-17,3.41,3.56,3.41,3.56,31600
2000-02-18,0.0,4.43,3.53,4.22,56400
2000-02-22,4.25,4.5,3.73,3.73,19600
2000-02-23,4.08,4.08,3.94,3.94,12300
2000-02-24,3.97,3.97,3.94,3.94,11600
2000-02-25,4.08,4.36,4.01,4.01,3700
2000-02-28,3.73,3.73,3.73,3.73,1700
2000-02-29,,,,3.73,0
2000-03-01,0.0,4.22,4.01,4.22,8100
2000-03-02,0.0,3.94,3.94,3.94,400
2000-03-03,0.0,3.94,3.94,3.94,4100
2000-03-06,0.0,4.29,3.94,4.08,18800
2000-03-07,3.87,4.04,3.87,4.04,8900
2000-03-08,4.04,4.08,4.04,4.08,8500
2000-03-09,4.04,4.08,4.04,4.08,14300
2000-03-10,4.14,4.15,3.94,3.94,1500
2000-03-13,,,,3.94,0
2000-03-14,4.08,4.15,4.08,4.15,2100
2000-03-15,4.15,4.25,4.01,4.22,22400
2000-03-16,4.5,4.57,4.5,4.5,2700
2000-03-17,,,,4.5,0
2000-03-20,4.43,4.43,4.43,4.43,700
2000-03-21,4.29,4.32,4.29,4.32,700
2000-03-22,4.32,4.32,4.32,4.32,900
2000-03-23,4.32,4.43,4.32,4.43,8500
2000-03-24,4.43,4.43,4.39,4.39,400
2000-03-27,4.39,4.57,4.39,4.57,14300
2000-03-28,4.5,4.78,4.5,4.78,75900
2000-03-29,4.85,4.85,4.57,4.57,28400
2000-03-30,4.68,4.68,4.64,4.66,9100
2000-03-31,4.43,4.43,3.23,3.59,239100
2000-04-03,3.6,3.73,3.38,3.66,81700
2000-04-04,3.73,3.8,3.69,3.78,25200
2000-04-05,3.8,3.94,3.8,3.83,19900
2000-04-06,3.8,3.8,3.8,3.8,4400
2000-04-07,3.48,3.75,3.48,3.69,6300
2000-04-10,3.76,3.8,3.71,3.76,12400
2000-04-11,3.9,3.9,3.9,3.9,400
2000-04-12,3.9,3.9,3.9,3.9,4100
2000-04-13,4.29,4.29,3.8,3.94,6900
2000-04-14,3.8,3.87,3.8,3.87,3700
2000-04-17,3.69,3.8,3.69,3.8,2000
2000-04-18,3.94,4.22,3.94,4.22,42100
2000-04-19,4.07,4.5,4.01,4.29,59700
2000-04-20,4.29,4.5,4.22,4.22,18000
2000-04-24,4.15,4.15,4.08,4.08,1200
2000-04-25,4.07,4.07,4.01,4.01,2800
2000-04-26,3.94,4.29,3.94,4.28,177700
2000-04-27,4.29,4.64,4.29,4.57,41500
2000-04-28,4.59,4.59,4.22,4.5,5700
2000-05-01,3.94,4.56,3.94,3.96,6500
2000-05-02,0.0,4.5,3.96,4.5,12300
2000-05-03,3.96,3.96,3.8,3.87,5700
2000-05-04,3.9,3.9,3.9,3.9,1500
2000-05-05,4.11,4.43,4.11,4.43,3100
2000-05-08,4.36,4.36,4.36,4.36,1700
2000-05-09,4.29,4.29,3.87,3.97,2800
2000-05-10,4.08,4.08,4.08,4.08,2700
2000-05-11,4.39,4.43,4.39,4.43,15600
2000-05-12,,,,4.43,0
2000-05-15,,,,4.43,0
2000-05-16,4.01,4.01,3.88,3.9,15100
2000-05-17,3.9,3.9,3.9,3.9,100
2000-05-18,4.01,4.01,4.01,4.01,3100
2000-05-19,3.94,3.94,3.94,3.94,5900
2000-05-22,3.94,3.94,3.94,3.94,1500
2000-05-23,3.94,3.94,3.9,3.9,5700
2000-05-24,3.9,3.9,3.87,3.87,5500
2000-05-25,3.87,3.87,3.66,3.66,4900
2000-05-26,0.0,3.88,3.67,3.88,5500
2000-05-30,3.8,3.88,3.59,3.59,13500
2000-05-31,3.94,3.94,3.94,3.94,9200
2000-06-01,4.17,4.17,3.59,3.59,15300
2000-06-02,3.94,3.94,3.66,3.66,4700
2000-06-05,3.66,4.01,3.59,3.62,63500
2000-06-06,3.52,3.97,3.52,3.8,3200
2000-06-07,3.66,3.94,3.66,3.81,8000
2000-06-08,3.8,3.8,3.45,3.45,19900
2000-06-09,3.8,3.83,3.45,3.66,13300
2000-06-12,3.45,3.66,3.45,3.66,13500
2000-06-13,3.66,3.73,3.59,3.66,46900
2000-06-14,,,,3.66,0
2000-06-15,3.66,3.66,3.66,3.66,4300
2000-06-16,3.66,3.66,3.59,3.59,14900
2000-06-19,3.59,3.66,3.59,3.66,14500
2000-06-20,3.66,3.66,3.66,3.66,2800
