Date,Open,High,Low,Close,Volume
2013-07-19,11.5,11.67,11.5,11.5,1628232
2013-07-22,11.55,11.74,11.53,11.62,299417
2013-07-23,11.73,11.78,11.65,11.75,61867
2013-07-24,11.7,11.8,11.62,11.65,28839
2013-07-25,11.71,11.71,11.6,11.64,18482
2013-07-26,11.67,11.68,11.5,11.5,120263
2013-07-29,11.58,11.6,11.54,11.58,72377
2013-07-30,11.61,11.61,11.52,11.53,29672
2013-07-31,11.53,11.55,11.5,11.5,97300
2013-08-01,11.5,11.65,11.5,11.6,47190
2013-08-02,11.6,11.6,11.55,11.55,56617
2013-08-05,11.62,11.63,11.53,11.63,66948
2013-08-06,11.52,11.61,11.23,11.6,35277
2013-08-07,11.45,11.63,11.42,11.45,59197
2013-08-08,11.63,11.65,11.57,11.6,47168
2013-08-09,11.64,11.65,11.53,11.56,28456
2013-08-12,11.55,11.65,11.5,11.62,82482
2013-08-13,11.63,11.75,11.63,11.67,75072
2013-08-14,11.62,11.75,11.61,11.73,44685
2013-08-15,11.61,11.85,11.44,11.79,106025
2013-08-16,11.72,11.81,11.43,11.49,127961
2013-08-19,11.53,11.56,11.29,11.46,48724
2013-08-20,11.43,11.66,11.43,11.5,22701
2013-08-21,11.57,11.65,11.5,11.56,26378
2013-08-22,11.53,11.6,11.35,11.51,21310
2013-08-23,11.57,11.57,11.4,11.47,13326
2013-08-26,11.49,11.5,11.34,11.36,21743
2013-08-27,11.39,11.45,11.0,11.43,36870
2013-08-28,11.45,11.55,11.45,11.5,25370
2013-08-29,11.55,11.55,11.1,11.22,24437
2013-08-30,11.25,11.3,11.05,11.26,44459
2013-09-03,11.31,11.6,11.19,11.51,35970
2013-09-04,11.6,11.69,11.46,11.64,18805
2013-09-05,11.59,11.6,11.5,11.54,15718
2013-09-06,11.69,11.69,11.44,11.49,9914
2013-09-09,11.5,11.7,11.49,11.67,46979
2013-09-10,11.72,11.72,11.51,11.69,37647
2013-09-11,11.7,11.7,11.53,11.66,25095
2013-09-12,11.65,11.7,11.56,11.67,65381
2013-09-13,11.69,11.85,11.57,11.85,47535
2013-09-16,11.85,12.06,11.56,11.94,105045
2013-09-17,11.9,12.39,11.9,12.22,84498
2013-09-18,12.18,12.27,11.91,12.22,74119
2013-09-19,12.36,12.36,12.05,12.27,81424
2013-09-20,12.29,12.74,11.92,11.98,196124
2013-09-23,12.05,12.25,11.9,12.02,121941
2013-09-24,11.96,12.08,11.9,11.99,77433
2013-09-25,12.0,12.3,11.95,12.07,104300
