Date,Open,High,Low,Close,Volume
2007-08-08,18.12,23.65,17.35,19.43,14550200
2007-08-09,18.75,18.97,17.37,17.67,2343250
2007-08-10,17.38,18.0,17.0,17.99,1062700
2007-08-13,18.35,18.5,17.38,17.71,920300
2007-08-14,17.71,17.71,15.51,16.0,1391200
2007-08-15,16.0,16.28,14.15,15.39,906400
2007-08-16,14.51,14.76,12.26,12.97,940600
2007-08-17,13.5,14.75,12.99,14.7,933800
2007-08-20,15.64,15.72,14.5,15.66,624100
2007-08-21,15.66,16.25,15.01,15.85,312300
2007-08-22,16.68,17.35,16.25,17.0,515600
2007-08-23,18.44,18.45,15.91,16.69,676900
2007-08-24,16.71,17.5,16.65,17.3,288300
2007-08-27,17.68,18.94,17.5,18.45,1012100
2007-08-28,17.95,18.35,16.0,17.13,505200
2007-08-29,17.55,18.08,17.15,17.4,277700
2007-08-30,17.38,17.75,16.65,17.74,314100
2007-08-31,18.02,18.5,17.94,18.08,413700
2007-09-04,18.4,19.99,18.15,19.99,639900
2007-09-05,19.49,21.99,19.21,21.88,1317500
2007-09-06,22.3,22.3,19.59,19.82,899800
2007-09-07,19.11,19.82,18.37,19.1,804300
2007-09-10,19.0,19.25,17.8,18.55,532000
2007-09-11,18.56,19.45,18.55,18.8,357000
2007-09-12,19.0,19.7,18.8,19.4,286100
2007-09-13,19.88,20.1,18.59,19.15,370500
2007-09-14,18.75,19.5,18.75,19.49,186700
2007-09-17,19.74,20.43,19.7,19.97,1207500
2007-09-18,20.43,20.44,20.04,20.3,636300
2007-09-19,20.65,20.99,20.5,20.75,1236200
2007-09-20,21.01,22.0,20.37,21.14,1026500
2007-09-21,21.86,22.75,21.49,22.26,1289800
2007-09-24,23.0,23.47,22.48,22.91,1037200
2007-09-25,23.0,23.4,22.31,22.79,566300
2007-09-26,22.85,23.5,21.68,21.85,519850
2007-09-27,22.75,23.87,21.65,23.7,1269500
2007-09-28,23.7,23.75,22.53,22.9,611700
2007-10-01,23.29,25.26,23.2,24.77,1030500
2007-10-02,27.72,29.38,27.55,28.0,2796900
