Date,Open,High,Low,Close,Volume
2000-06-29,5.75,6.04,5.75,6.04,58050
2000-06-30,6.08,6.08,5.83,5.83,3750
2000-07-03,,,,5.83,0
2000-07-05,5.83,5.83,5.83,5.83,1500
2000-07-06,5.83,5.83,5.83,5.83,3000
2000-07-07,5.83,5.83,5.83,5.83,9000
2000-07-10,5.92,5.92,5.92,5.92,6000
2000-07-11,,,,5.92,0
2000-07-12,5.92,6.08,5.92,5.96,26250
2000-07-13,6.0,6.25,6.0,6.12,16950
2000-07-14,6.12,6.17,6.08,6.17,21300
2000-07-17,6.17,6.67,6.17,6.33,224850
2000-07-18,6.17,6.17,6.08,6.08,1500
2000-07-19,6.0,6.0,6.0,6.0,2250
2000-07-20,6.33,6.33,6.0,6.0,2250
2000-07-21,6.0,6.0,6.0,6.0,600
2000-07-24,6.21,6.21,6.21,6.21,1200
2000-07-25,6.17,6.17,6.17,6.17,300
2000-07-26,6.33,6.33,6.33,6.33,300
2000-07-27,,,,6.33,0
2000-07-28,6.33,6.33,6.25,6.25,4650
2000-07-31,6.08,6.25,6.08,6.25,5400
2000-08-01,6.17,6.17,6.17,6.17,150
2000-08-02,,,,6.17,0
2000-08-03,,,,6.17,0
2000-08-04,6.25,6.25,6.25,6.25,600
2000-08-07,6.25,6.25,5.67,6.17,15600
2000-08-08,6.25,6.25,6.17,6.17,300
2000-08-09,6.08,6.08,6.08,6.08,1050
2000-08-10,5.83,5.83,5.83,5.83,300
2000-08-11,5.83,5.83,5.83,5.83,300
2000-08-14,5.83,6.0,5.67,6.0,9900
2000-08-15,6.08,6.17,5.92,6.0,6150
2000-08-16,6.0,6.25,6.0,6.0,1500
2000-08-17,,,,6.0,0
2000-08-18,6.0,6.0,6.0,6.0,600
2000-08-21,6.33,6.33,6.21,6.21,1050
2000-08-22,,,,6.21,0
2000-08-23,6.0,6.0,6.0,6.0,1950
2000-08-24,,,,6.0,0
2000-08-25,6.0,6.33,6.0,6.0,300
2000-08-28,0.0,6.67,6.17,6.17,36450
2000-08-29,6.08,6.08,6.08,6.08,2100
2000-08-30,6.08,6.17,6.08,6.17,1650
2000-08-31,6.17,6.42,6.17,6.42,1950
2000-09-01,6.42,6.42,6.42,6.42,1200
2000-09-05,6.67,6.67,6.67,6.67,300
2000-09-06,6.21,6.21,6.21,6.21,450
2000-09-07,6.58,6.58,6.21,6.21,450
2000-09-08,6.29,6.29,6.29,6.29,150
2000-09-11,6.29,6.83,6.29,6.67,31200
2000-09-12,6.75,6.75,6.75,6.75,6000
2000-09-13,,,,6.75,0
2000-09-14,6.67,6.83,6.67,6.83,3450
2000-09-15,6.75,6.75,6.75,6.75,900
2000-09-18,6.5,6.83,6.5,6.83,1350
