Date,Open,High,Low,Close,Volume
2000-06-30,9.56,9.81,9.31,9.62,11400
2000-07-03,9.56,9.88,9.56,9.75,5500
2000-07-05,9.75,10.0,9.5,9.69,7900
2000-07-06,9.62,9.62,9.62,9.62,2400
2000-07-07,9.56,9.94,9.56,9.94,3000
2000-07-10,9.75,9.75,9.56,9.62,6700
2000-07-11,9.56,9.62,9.56,9.56,5300
2000-07-12,9.62,9.62,9.5,9.56,4800
2000-07-13,,,,9.56,0
2000-07-14,9.62,10.0,9.62,9.94,10900
2000-07-17,9.75,9.88,9.5,9.88,16500
2000-07-18,9.94,10.0,9.56,9.56,8200
2000-07-19,9.56,9.69,9.56,9.56,8500
2000-07-20,9.62,9.62,9.56,9.56,2100
2000-07-21,9.88,9.88,9.69,9.69,6200
2000-07-24,9.75,9.75,9.56,9.56,1400
2000-07-25,9.75,10.0,9.75,10.0,8300
2000-07-26,9.88,9.88,9.75,9.88,7100
2000-07-27,,,,9.88,0
2000-07-28,9.69,9.88,9.69,9.88,4800
2000-07-31,9.88,9.88,9.88,9.88,2800
2000-08-01,9.88,9.88,9.62,9.62,2400
2000-08-02,9.75,9.75,9.69,9.75,1600
2000-08-03,9.69,9.69,9.69,9.69,600
2000-08-04,9.81,9.81,9.56,9.56,9700
2000-08-07,9.62,9.62,9.62,9.62,2900
2000-08-08,9.69,9.69,9.69,9.69,3500
2000-08-09,9.56,9.56,9.56,9.56,2400
2000-08-10,9.56,9.75,9.5,9.69,2500
2000-08-11,9.88,9.88,9.62,9.88,13100
2000-08-14,9.75,9.88,9.62,9.88,5100
2000-08-15,9.75,10.0,9.75,10.0,11300
2000-08-16,9.81,10.19,9.62,10.0,8400
2000-08-17,9.81,10.25,9.81,10.25,7200
2000-08-18,10.0,10.0,9.88,9.88,5400
2000-08-21,9.88,9.88,9.62,9.62,8500
2000-08-22,9.75,10.25,9.75,10.25,10600
2000-08-23,10.12,10.12,9.5,9.88,13000
2000-08-24,9.75,9.94,9.75,9.88,6800
2000-08-25,9.75,10.0,9.75,9.88,5000
2000-08-28,0.0,10.0,9.94,10.0,1700
2000-08-29,10.0,10.12,10.0,10.12,400
2000-08-30,10.06,10.12,10.06,10.12,900
2000-08-31,10.19,10.25,10.06,10.12,2900
2000-09-01,10.25,10.25,10.12,10.12,2800
2000-09-05,10.25,10.44,10.12,10.12,20200
2000-09-06,10.12,10.69,10.12,10.5,6500
2000-09-07,10.56,10.56,10.44,10.5,9700
2000-09-08,10.38,10.56,10.38,10.56,3300
2000-09-11,10.62,10.62,10.5,10.56,11600
2000-09-12,10.44,10.5,10.44,10.5,3200
2000-09-13,10.0,10.25,9.88,10.25,12200
2000-09-14,10.12,10.25,10.0,10.25,6300
2000-09-15,10.12,10.12,10.0,10.12,2400
2000-09-18,9.88,10.0,9.88,9.88,2400
2000-09-19,9.75,9.75,9.75,9.75,800
2000-09-20,9.62,9.75,9.62,9.75,2600
2000-09-21,9.75,9.94,9.75,9.94,4400
2000-09-22,9.88,9.88,9.88,9.88,3000
2000-09-25,9.94,9.94,9.88,9.94,2300
2000-09-26,10.0,10.0,9.94,10.0,4200
2000-09-27,9.94,10.0,9.94,10.0,1000
2000-09-28,10.0,10.25,10.0,10.25,30800
2000-09-29,10.25,10.31,10.06,10.31,2600
2000-10-02,10.44,10.62,10.31,10.31,12800
2000-10-03,10.31,10.44,10.25,10.38,6100
2000-10-04,10.25,10.25,10.12,10.12,4400
2000-10-05,10.06,10.31,10.06,10.31,4600
2000-10-06,10.25,10.25,10.25,10.25,200
2000-10-09,,,,10.25,0
2000-10-10,10.06,10.25,10.06,10.25,600
2000-10-11,10.12,10.12,10.06,10.06,7500
2000-10-12,10.06,10.06,10.0,10.0,2000
2000-10-13,10.0,10.0,9.75,9.75,5800
2000-10-16,9.88,10.0,9.69,10.0,4800
2000-10-17,10.0,10.0,9.75,9.88,3700
