Date,Open,High,Low,Close,Volume
2014-08-01,20.5,21.19,19.73,20.94,4560193
2014-08-04,20.82,21.45,20.75,21.0,445564
2014-08-05,21.0,21.3,20.8,21.06,741015
2014-08-06,21.01,21.75,21.0,21.4,195241
2014-08-07,21.35,21.65,21.14,21.25,285180
2014-08-08,21.26,21.51,21.25,21.5,106791
2014-08-11,21.43,21.5,21.25,21.27,144834
2014-08-12,21.25,21.45,21.18,21.35,133562
2014-08-13,21.35,21.45,21.25,21.33,183628
2014-08-14,21.32,21.5,21.27,21.49,504275
2014-08-15,21.49,21.62,21.49,21.6,22948
2014-08-18,21.65,21.85,21.6,21.8,110884
2014-08-19,21.85,21.97,21.75,21.97,81231
2014-08-20,21.98,22.1,21.86,22.0,58870
2014-08-21,22.1,22.4,21.93,22.0,173141
2014-08-22,22.01,22.15,22.0,22.03,33737
2014-08-25,22.06,22.1,22.0,22.03,33039
2014-08-26,22.19,22.19,22.0,22.13,72243
2014-08-27,22.19,22.91,22.09,22.53,129183
2014-08-28,22.32,22.62,22.17,22.52,80525
2014-08-29,22.62,22.99,22.5,22.91,39381
2014-09-02,22.9,23.0,22.63,22.88,115581
2014-09-03,22.84,23.16,22.76,22.9,62813
2014-09-04,22.7,23.07,22.42,22.59,76287
2014-09-05,22.5,22.65,21.21,22.19,246056
2014-09-08,22.28,22.84,22.28,22.52,120785
2014-09-09,22.64,22.75,22.41,22.53,64879
2014-09-10,22.44,22.74,22.35,22.42,75424
2014-09-11,22.25,22.45,22.2,22.4,38511
2014-09-12,22.16,22.53,21.83,22.31,112574
2014-09-15,22.52,22.52,22.14,22.4,76903
2014-09-16,22.46,22.52,21.99,22.15,205118
2014-09-17,22.05,22.05,21.53,21.85,136926
2014-09-18,21.78,21.93,21.55,21.72,242463
2014-09-19,21.75,21.86,21.54,21.65,534657
2014-09-22,21.65,21.93,21.63,21.85,88933
2014-09-23,21.81,22.06,21.62,21.92,88133
2014-09-24,21.92,22.47,21.83,22.3,51757
2014-09-25,22.3,22.6,22.03,22.46,107176
2014-09-26,22.38,23.32,22.34,23.17,132808
2014-09-29,23.1,23.1,22.34,22.57,136208
2014-09-30,22.67,22.97,22.16,22.71,685296
2014-10-01,22.65,22.65,22.13,22.27,108925
2014-10-02,22.3,22.99,21.84,22.66,48132
2014-10-03,22.75,22.88,22.51,22.82,93430
2014-10-06,22.88,22.98,22.61,22.63,58114
2014-10-07,22.48,22.77,22.41,22.62,49119
2014-10-08,22.59,23.25,22.48,23.1,74011
2014-10-09,23.05,23.29,22.74,22.83,37625
2014-10-10,22.69,23.45,22.48,22.51,52841
2014-10-13,22.6,22.99,22.45,22.85,61236
2014-10-14,22.94,23.29,22.72,23.07,68253
2014-10-15,22.73,22.94,22.3,22.86,119709
2014-10-16,22.94,23.24,22.72,22.92,139654
2014-10-17,23.14,23.14,22.58,22.72,49760
2014-10-20,22.7,22.81,22.5,22.8,24762
2014-10-21,22.8,23.08,22.62,22.96,91107
2014-10-22,22.84,22.95,22.49,22.55,101890
2014-10-23,22.64,22.81,22.35,22.65,205744
2014-10-24,22.79,23.0,22.47,22.73,113896
2014-10-27,22.71,23.02,22.59,22.63,74409
2014-10-28,22.74,23.68,22.66,23.31,69913
2014-10-29,23.49,23.49,22.86,23.13,35210
2014-10-30,23.01,23.09,22.83,22.97,143299
2014-10-31,23.29,23.3,22.85,22.95,96022
2014-11-03,23.13,23.13,22.79,22.9,16899
2014-11-04,22.95,23.17,22.7,22.88,48281
2014-11-05,22.92,22.94,22.67,22.81,43580
2014-11-06,22.82,22.9,22.82,22.87,35004
2014-11-07,22.93,22.98,22.49,22.87,73293
2014-11-10,22.85,22.9,22.8,22.86,21564
