Date,Open,High,Low,Close,Volume
2000-06-29,6.76,6.9,6.7,6.78,71199
2000-06-30,6.73,6.9,6.73,6.78,12600
2000-07-03,6.9,6.9,6.78,6.81,13900
2000-07-05,6.78,6.81,6.78,6.81,12100
2000-07-06,6.78,6.84,6.78,6.78,15700
2000-07-07,,,,6.78,0
2000-07-10,6.81,7.01,6.81,7.01,9400
2000-07-11,7.01,7.01,6.81,6.84,16200
2000-07-12,6.9,7.01,6.9,7.01,2799
2000-07-13,6.98,7.12,6.98,6.98,15901
2000-07-14,6.98,7.11,6.98,7.01,15300
2000-07-17,6.98,7.12,6.98,7.12,15700
2000-07-18,7.01,7.06,6.98,7.03,26199
2000-07-19,6.98,7.01,6.98,6.98,11700
2000-07-20,6.98,7.02,6.9,6.9,121599
2000-07-21,6.81,7.01,6.53,6.62,16200
2000-07-24,6.62,6.7,6.62,6.7,38401
2000-07-25,6.7,6.95,6.67,6.95,7801
2000-07-26,6.84,6.84,6.67,6.67,1899
2000-07-27,6.9,6.95,6.78,6.78,132201
2000-07-28,6.81,6.81,6.78,6.78,10800
2000-07-31,6.78,6.9,6.78,6.84,16600
2000-08-01,6.78,6.95,6.78,6.95,8100
2000-08-02,6.78,6.84,6.78,6.78,29799
2000-08-03,6.84,6.9,6.81,6.81,8500
2000-08-04,6.85,6.9,6.81,6.81,8199
2000-08-07,6.81,6.95,6.81,6.95,88299
2000-08-08,,,,6.95,0
2000-08-09,6.84,6.84,6.84,6.84,601
2000-08-10,6.84,6.9,6.84,6.84,40900
2000-08-11,6.84,6.84,6.84,6.84,900
2000-08-14,6.9,7.01,6.84,7.01,343199
2000-08-15,6.9,6.9,6.9,6.9,2200
2000-08-16,,,,6.9,0
2000-08-17,6.9,7.01,6.9,7.01,2799
2000-08-18,7.06,7.12,7.06,7.09,14101
2000-08-21,6.95,7.09,6.9,6.9,8199
2000-08-22,6.84,7.01,6.84,6.92,12699
2000-08-23,6.95,6.95,6.95,6.95,6700
2000-08-24,6.95,6.95,6.9,6.9,2401
2000-08-25,6.84,6.84,6.67,6.78,215701
2000-08-28,0.0,6.84,6.78,6.81,1501
2000-08-29,6.73,6.78,6.73,6.73,26701
2000-08-30,6.73,6.84,6.73,6.73,4000
2000-08-31,6.73,6.78,6.67,6.7,31500
2000-09-01,6.73,6.9,6.73,6.73,74401
2000-09-05,6.73,6.9,6.73,6.73,70801
2000-09-06,6.73,6.78,6.73,6.73,2401
2000-09-07,6.73,6.84,6.73,6.84,169900
2000-09-08,6.76,6.78,6.76,6.78,2799
2000-09-11,6.76,6.78,6.76,6.78,9900
2000-09-12,6.84,6.9,6.76,6.81,77400
2000-09-13,6.9,6.98,6.9,6.98,25801
2000-09-14,7.04,7.06,6.98,6.98,19800
2000-09-15,6.98,7.17,6.98,7.06,51399
2000-09-18,7.09,7.09,6.92,6.92,1899
2000-09-19,7.01,7.01,6.9,6.9,601
2000-09-20,6.84,7.01,6.84,6.92,40000
2000-09-21,7.01,7.06,7.01,7.01,32800
2000-09-22,6.9,7.06,6.84,6.95,17199
2000-09-25,7.01,7.01,6.92,6.92,117500
2000-09-26,6.98,6.98,6.92,6.95,8500
2000-09-27,6.95,7.01,6.95,7.01,131000
2000-09-28,7.04,7.09,6.98,7.06,119799
2000-09-29,7.09,7.34,7.06,7.06,220201
2000-10-02,7.15,7.17,7.04,7.06,53199
2000-10-03,7.12,7.12,7.06,7.06,6300
2000-10-04,7.12,7.12,7.06,7.12,32101
2000-10-05,7.09,7.17,7.09,7.17,6300
2000-10-06,7.12,7.12,7.04,7.06,35100
2000-10-09,7.15,7.17,7.04,7.06,31201
2000-10-10,7.17,7.17,7.04,7.04,9900
2000-10-11,7.04,7.06,6.98,7.01,67900
2000-10-12,6.98,7.04,6.98,7.01,21699
2000-10-13,6.98,7.01,6.98,6.98,4201
2000-10-16,6.98,7.01,6.98,6.98,2799
2000-10-17,7.01,7.04,6.98,7.01,88600
2000-10-18,6.9,6.9,6.84,6.9,35701
2000-10-19,6.92,7.01,6.84,7.01,5499
2000-10-20,7.01,7.01,6.84,6.84,1300
2000-10-23,6.9,6.9,6.73,6.78,65700
2000-10-24,6.81,6.87,6.78,6.78,162500
2000-10-25,6.78,6.81,6.73,6.78,164300
2000-10-26,6.76,6.78,6.76,6.76,90099
2000-10-27,6.78,6.87,6.76,6.78,108400
2000-10-30,6.76,6.87,6.76,6.87,97801
2000-10-31,6.81,6.84,6.78,6.78,63900
2000-11-01,6.78,6.87,6.78,6.81,169000
2000-11-02,6.84,6.9,6.84,6.84,29200
2000-11-03,6.87,6.87,6.84,6.84,2700
2000-11-06,,,,6.84,0
2000-11-07,6.84,6.84,6.84,6.84,4201
2000-11-08,6.81,6.84,6.81,6.84,7299
2000-11-09,6.81,6.9,6.81,6.9,43600
2000-11-10,6.84,6.84,6.84,6.84,2401
2000-11-13,6.84,6.9,6.84,6.9,6901
2000-11-14,6.9,6.9,6.84,6.84,9400
2000-11-15,6.84,6.87,6.84,6.87,30699
2000-11-16,6.84,6.9,6.84,6.9,13500
2000-11-17,6.84,6.9,6.84,6.84,33300
2000-11-20,6.84,6.9,6.84,6.87,53701
2000-11-21,,,,6.87,0
2000-11-22,6.84,6.84,6.84,6.84,2200
2000-11-24,6.84,6.84,6.84,6.84,3100
2000-11-27,6.87,6.9,6.73,6.73,169700
2000-11-28,6.73,6.9,6.73,6.76,2799
2000-11-29,6.73,6.81,6.7,6.7,32101
2000-11-30,6.84,6.84,6.73,6.78,136300
2000-12-01,6.9,6.92,6.9,6.92,34600
2000-12-04,6.78,6.78,6.78,6.78,4000
2000-12-05,6.9,6.9,6.9,6.9,2799
2000-12-06,6.87,6.95,6.84,6.84,17100
2000-12-07,6.81,6.92,6.81,6.87,34299
2000-12-08,6.9,6.9,6.9,6.9,1300
2000-12-11,6.9,7.06,6.87,6.87,31599
2000-12-12,6.87,6.87,6.87,6.87,7200
2000-12-13,,,,6.87,0
2000-12-14,6.95,6.95,6.87,6.87,8500
2000-12-15,6.87,6.87,6.87,6.87,13599
2000-12-18,6.87,6.9,6.87,6.9,35100
2000-12-19,6.91,6.95,6.87,6.95,30699
2000-12-20,6.92,7.01,6.92,6.95,44100
2000-12-21,6.98,6.98,6.92,6.92,8100
2000-12-22,6.95,6.98,6.95,6.95,4201
2000-12-26,7.01,7.12,6.98,6.98,13599
2000-12-27,7.01,7.12,7.01,7.06,7200
2000-12-28,7.17,7.87,7.17,7.79,72000
2000-12-29,7.81,7.98,7.81,7.98,28501
2001-01-02,7.76,7.79,7.51,7.56,13500
2001-01-03,7.45,7.56,7.34,7.34,50101
2001-01-04,7.35,7.73,7.35,7.45,172899
2001-01-05,7.4,7.73,7.4,7.73,7801
2001-01-08,7.7,7.7,7.34,7.48,10899
2001-01-09,7.34,7.56,7.34,7.56,23101
2001-01-10,7.56,7.79,7.56,7.79,31000
2001-01-11,7.79,7.98,7.67,7.98,73300
2001-01-12,7.9,8.04,7.9,8.04,34299
2001-01-16,7.98,8.09,7.45,7.56,40599
2001-01-17,7.59,7.84,7.59,7.84,16801
2001-01-18,7.67,7.73,7.67,7.7,5101
2001-01-19,7.7,7.84,7.7,7.7,2799
2001-01-22,7.84,8.09,7.84,7.95,41800
2001-01-23,7.99,8.15,7.71,8.15,50800
2001-01-24,7.98,8.23,7.98,8.06,161800
2001-01-25,8.09,8.12,8.09,8.12,49201
2001-01-26,8.17,8.26,8.12,8.15,19800
2001-01-29,8.15,8.15,8.04,8.06,10501
