Date,Open,High,Low,Close,Volume
2000-06-29,9.12,9.12,8.98,9.0,7920
2000-06-30,9.23,9.25,9.0,9.17,38160
2000-07-03,9.17,9.17,8.92,8.92,21888
2000-07-05,9.25,9.25,8.92,8.92,4464
2000-07-06,9.25,9.25,8.92,9.08,14256
2000-07-07,9.04,9.25,8.92,9.25,13968
2000-07-10,0.0,9.14,9.14,9.14,2448
2000-07-11,9.25,9.25,9.08,9.08,1584
2000-07-12,9.33,9.33,9.08,9.21,15552
2000-07-13,9.25,9.33,9.08,9.33,11088
2000-07-14,9.33,9.5,9.33,9.5,43344
2000-07-17,9.48,9.48,9.33,9.46,1872
2000-07-18,9.25,9.29,9.25,9.25,3888
2000-07-19,9.25,9.33,9.12,9.12,37440
2000-07-20,9.12,9.5,9.12,9.5,14256
2000-07-21,9.42,9.5,9.23,9.23,5760
2000-07-24,9.21,9.29,9.08,9.17,26064
2000-07-25,9.25,9.33,9.08,9.33,7344
2000-07-26,9.33,9.33,9.08,9.33,7344
2000-07-27,9.33,9.33,9.17,9.25,15552
2000-07-28,9.33,9.52,9.33,9.52,33264
2000-07-31,9.43,9.67,9.35,9.67,34560
2000-08-01,9.67,9.71,9.58,9.58,15552
2000-08-02,9.62,9.67,9.62,9.67,8640
2000-08-03,9.62,9.67,9.62,9.62,12240
2000-08-04,9.65,9.69,9.65,9.69,15408
2000-08-07,9.65,9.75,9.62,9.67,29808
2000-08-08,9.69,9.83,9.69,9.69,20736
2000-08-09,9.69,9.92,9.62,9.75,66960
2000-08-10,9.85,9.88,9.73,9.79,14544
2000-08-11,9.79,10.0,9.79,10.0,67968
2000-08-14,10.0,10.08,9.98,10.08,20736
2000-08-15,10.1,10.12,10.04,10.04,14256
2000-08-16,10.08,10.12,10.04,10.12,2160
2000-08-17,10.04,10.2,10.04,10.17,5040
2000-08-18,10.21,10.21,10.12,10.12,29808
2000-08-21,10.12,10.25,10.12,10.25,5040
2000-08-22,10.17,10.29,10.17,10.21,17424
2000-08-23,10.29,10.29,10.12,10.12,3456
