Date,Open,High,Low,Close,Volume
2000-06-29,19.7,20.0,19.5,19.85,170800
2000-06-30,20.0,20.1,18.4,18.6,281600
2000-07-03,18.7,19.3,18.55,19.25,61500
2000-07-05,19.3,19.55,18.8,18.8,80000
2000-07-06,0.0,19.35,18.98,19.15,177900
2000-07-07,19.25,19.8,19.2,19.8,97400
2000-07-10,19.78,19.78,19.1,19.5,103400
2000-07-11,19.4,19.8,19.35,19.55,82500
2000-07-12,19.5,19.8,19.3,19.75,77800
2000-07-13,19.7,19.75,19.55,19.65,81900
2000-07-14,19.5,19.75,19.5,19.65,30100
2000-07-17,19.68,20.1,19.6,20.1,78600
2000-07-18,20.05,20.05,19.8,19.85,42300
2000-07-19,19.85,19.9,19.4,19.5,67100
2000-07-20,19.5,19.8,19.45,19.8,112900
2000-07-21,19.8,19.9,19.6,19.65,18300
2000-07-24,19.8,19.8,19.35,19.4,129900
2000-07-25,19.6,19.65,19.35,19.6,140400
2000-07-26,19.6,20.0,19.6,20.0,162300
2000-07-27,20.0,20.35,20.0,20.35,194400
2000-07-28,20.3,20.6,20.2,20.6,375500
2000-07-31,20.3,21.5,20.3,21.3,202000
2000-08-01,20.9,21.1,20.65,20.95,151300
2000-08-02,21.0,21.5,20.95,21.25,69000
2000-08-03,21.05,21.55,21.05,21.35,122400
2000-08-04,21.4,21.8,21.2,21.2,134100
2000-08-07,21.15,21.25,20.95,21.0,82800
2000-08-08,20.95,20.95,20.25,20.25,209100
2000-08-09,20.2,20.25,19.95,20.1,133500
2000-08-10,19.95,20.5,19.95,20.4,82500
2000-08-11,20.4,20.75,20.3,20.7,115000
2000-08-14,20.7,21.45,20.46,21.45,165000
2000-08-15,21.25,21.4,20.95,21.3,81800
2000-08-16,21.3,21.45,21.0,21.35,93800
2000-08-17,21.3,21.45,20.9,21.4,23600
2000-08-18,21.35,21.4,21.1,21.1,13500
2000-08-21,21.35,21.35,20.7,20.7,38900
2000-08-22,20.65,21.19,20.65,20.85,34000
2000-08-23,20.8,20.95,20.65,20.85,18900
2000-08-24,20.9,21.05,20.65,21.0,16600
2000-08-25,21.1,21.1,20.8,20.95,10100
2000-08-28,0.0,21.1,21.0,21.0,30800
2000-08-29,20.85,21.0,20.0,20.35,105600
2000-08-30,20.4,20.84,20.3,20.4,51100
2000-08-31,20.3,20.9,20.3,20.65,54000
2000-09-01,20.75,20.8,20.1,20.4,54500
2000-09-05,20.35,20.6,20.15,20.4,108600
2000-09-06,20.3,20.7,20.25,20.55,43000
2000-09-07,20.4,20.6,20.2,20.55,45400
2000-09-08,20.45,20.8,20.45,20.7,127500
2000-09-11,20.72,20.75,20.25,20.25,65900
2000-09-12,20.45,20.55,19.9,19.95,159300
2000-09-13,20.0,20.2,20.0,20.1,94900
2000-09-14,20.2,20.4,20.15,20.15,133000
2000-09-15,19.8,20.25,19.8,19.85,371300
2000-09-18,20.0,20.05,19.8,19.95,127400
2000-09-19,19.9,20.6,19.9,20.5,114000
2000-09-20,20.3,20.85,20.3,20.75,105400
2000-09-21,20.7,20.7,20.5,20.7,148600
2000-09-22,20.5,20.7,20.4,20.7,69900
2000-09-25,20.65,20.65,20.5,20.6,187800
2000-09-26,20.6,20.75,20.5,20.55,34800
2000-09-27,20.75,20.85,20.6,20.7,73400
2000-09-28,20.8,21.45,20.8,21.45,95900
2000-09-29,21.15,21.35,21.0,21.3,87500
2000-10-02,21.1,21.4,20.9,21.05,68600
2000-10-03,21.3,21.3,20.7,20.7,79300
2000-10-04,20.95,20.95,20.4,20.8,95300
2000-10-05,20.85,20.85,20.5,20.5,36500
2000-10-06,20.75,20.75,20.25,20.25,54900
2000-10-09,20.25,20.35,20.05,20.15,54800
2000-10-10,20.1,20.1,19.4,19.7,38100
2000-10-11,19.35,19.45,18.95,19.0,58300
2000-10-12,18.9,19.1,18.05,18.3,162000
2000-10-13,18.3,18.6,18.3,18.55,123400
2000-10-16,18.55,18.6,18.3,18.3,45500
2000-10-17,18.3,18.55,18.15,18.2,67600
2000-10-18,18.49,18.49,17.6,18.1,42000
2000-10-19,18.15,19.1,18.0,19.05,43000
2000-10-20,18.95,19.6,18.95,19.6,67900
2000-10-23,19.6,19.6,19.1,19.25,18600
2000-10-24,19.5,19.5,18.9,19.15,98600
2000-10-25,19.0,19.25,18.85,19.2,56600
2000-10-26,19.2,19.25,18.8,19.25,35800
2000-10-27,18.95,19.6,18.95,19.4,64400
2000-10-30,19.45,19.8,19.2,19.5,61100
2000-10-31,19.7,20.1,19.4,20.05,101400
2000-11-01,20.15,20.15,19.85,19.95,28500
2000-11-02,20.0,20.05,19.9,19.95,21600
2000-11-03,20.1,20.1,19.85,20.05,30300
2000-11-06,20.0,20.0,19.55,19.55,15100
2000-11-07,19.8,19.8,19.3,19.55,41800
2000-11-08,19.75,19.8,19.55,19.6,38900
2000-11-09,19.55,19.9,19.5,19.85,99300
2000-11-10,19.8,19.8,19.5,19.5,27600
2000-11-13,19.4,19.45,19.0,19.35,58900
2000-11-14,19.4,19.4,19.2,19.2,50500
2000-11-15,19.05,19.15,18.3,18.4,99900
2000-11-16,18.4,18.8,18.35,18.45,65300
2000-11-17,18.7,18.7,18.45,18.6,100100
2000-11-20,18.59,19.0,18.5,18.65,76600
2000-11-21,18.65,18.8,18.5,18.6,19600
2000-11-22,18.6,19.0,18.55,19.0,60900
2000-11-24,19.05,19.35,19.05,19.3,46900
2000-11-27,19.5,19.7,19.35,19.35,62500
2000-11-28,19.5,19.55,18.95,19.1,56400
2000-11-29,18.9,19.2,18.7,19.05,184000
2000-11-30,18.95,19.7,18.95,19.15,141600
2000-12-01,19.45,19.95,19.1,19.75,55100
2000-12-04,19.75,20.0,19.1,19.65,74900
2000-12-05,19.75,20.25,19.7,20.2,79300
2000-12-06,20.01,20.65,19.95,20.35,182500
2000-12-07,20.5,20.55,20.15,20.2,48500
2000-12-08,20.25,20.3,20.15,20.3,111500
2000-12-11,20.28,20.45,20.25,20.45,156400
2000-12-12,20.45,20.45,20.0,20.2,68100
2000-12-13,20.2,20.35,20.0,20.3,59500
2000-12-14,20.3,20.3,19.71,19.9,164800
2000-12-15,19.8,20.0,19.5,19.8,110300
2000-12-18,20.0,20.5,19.9,20.4,169100
2000-12-19,20.5,20.65,20.2,20.35,112300
2000-12-20,20.45,20.49,20.1,20.3,46000
2000-12-21,20.1,20.9,20.1,20.75,339400
2000-12-22,20.7,21.9,20.7,21.8,243800
2000-12-26,21.8,22.4,21.55,22.05,153800
2000-12-27,22.02,23.2,22.0,23.2,150800
2000-12-28,23.15,23.4,23.1,23.15,405900
2000-12-29,23.1,23.4,22.8,23.0,298300
2001-01-02,23.1,23.1,22.0,22.05,224500
2001-01-03,21.95,22.75,21.9,22.75,218900
2001-01-04,22.3,23.15,22.3,22.9,159300
2001-01-05,22.75,22.8,22.15,22.2,253900
2001-01-08,22.28,22.28,21.8,21.95,36600
2001-01-09,22.15,22.15,21.45,21.45,114000
2001-01-10,21.5,22.55,21.5,22.3,159000
2001-01-11,22.3,22.4,22.28,22.35,39100
2001-01-12,22.4,22.4,22.15,22.4,111600
2001-01-16,22.15,23.0,22.1,23.0,305400
2001-01-17,22.65,23.3,22.65,23.15,273500
2001-01-18,23.02,23.3,23.0,23.3,225000
2001-01-19,23.12,23.3,22.95,23.3,493500
2001-01-22,23.3,23.3,22.6,22.65,119400
2001-01-23,22.62,23.25,22.62,23.0,384300
2001-01-24,22.96,23.3,22.95,23.15,146600
2001-01-25,23.05,23.15,22.55,22.6,78000
2001-01-26,22.5,23.3,22.5,23.1,125000
2001-01-29,23.1,23.4,23.0,23.15,188000
2001-01-30,23.01,23.05,22.35,22.35,130300
2001-01-31,22.3,22.75,22.3,22.45,246800
2001-02-01,22.0,22.45,21.96,22.45,75800
2001-02-02,22.45,22.7,22.3,22.54,39400
2001-02-05,22.38,22.4,22.15,22.35,166600
2001-02-06,22.45,22.6,22.25,22.6,58900
2001-02-07,22.5,22.7,22.4,22.6,68100
2001-02-08,22.3,23.0,22.3,22.9,123800
2001-02-09,22.89,23.1,22.65,23.1,163300
2001-02-12,22.85,23.3,22.75,23.3,128900
2001-02-13,23.3,23.35,23.1,23.2,75300
2001-02-14,23.15,23.3,23.05,23.15,50600
2001-02-15,23.15,23.3,23.0,23.2,222900
2001-02-16,23.25,23.3,23.05,23.15,70500
2001-02-20,23.2,23.3,22.5,22.75,74900
2001-02-21,22.2,22.8,22.2,22.8,70600
