Date,Open,High,Low,Close,Volume
2014-06-23,27.65,27.65,27.65,27.65,300
2014-06-24,27.65,28.2,27.39,27.43,142130
2014-06-25,27.15,27.6,26.92,27.17,61789
2014-06-26,27.29,27.6,27.05,27.19,19772
2014-06-27,27.37,27.65,27.0,27.55,189669
2014-06-30,27.49,28.49,27.32,27.32,310099
2014-07-01,27.54,28.9,27.43,28.59,6881993
2014-07-02,28.53,28.86,28.32,28.54,2898993
2014-07-03,28.49,28.78,28.32,28.43,2364360
2014-07-07,28.39,28.46,27.68,27.95,3376992
2014-07-08,27.77,27.86,27.33,27.59,2275490
2014-07-09,27.55,27.83,27.41,27.55,1839838
2014-07-10,27.28,27.69,27.23,27.59,2766721
2014-07-11,27.54,27.63,27.12,27.51,1895783
2014-07-14,27.62,28.01,27.43,27.47,2054236
2014-07-15,27.51,27.77,27.23,27.3,2154622
2014-07-16,27.43,27.43,26.84,27.32,1714323
2014-07-17,27.1,27.43,26.89,26.94,991539
2014-07-18,26.99,27.47,26.99,27.39,1900690
2014-07-21,27.81,27.87,27.39,27.74,1431034
2014-07-22,27.9,28.03,27.56,27.89,1696000
2014-07-23,27.87,28.15,27.69,27.96,1704871
2014-07-24,27.95,28.09,27.5,27.58,1612590
2014-07-25,27.47,27.85,27.4,27.65,947870
2014-07-28,27.59,27.73,27.11,27.21,1005113
2014-07-29,27.1,27.3,26.82,26.82,1864472
2014-07-30,26.74,26.88,26.35,26.59,1977141
2014-07-31,26.5,27.29,26.3,27.11,4560603
2014-08-01,27.0,27.93,27.0,27.77,2608851
2014-08-04,27.88,27.99,27.63,27.92,1512438
2014-08-05,27.99,28.41,27.78,28.05,2159035
2014-08-06,27.94,28.18,27.87,28.13,1667460
2014-08-07,28.16,28.41,28.1,28.22,1822263
2014-08-08,28.2,28.2,27.88,28.01,1532506
2014-08-11,27.93,28.25,27.93,28.03,881056
2014-08-12,27.99,28.18,27.88,27.91,1046167
2014-08-13,27.93,28.13,27.88,27.98,764186
2014-08-14,28.02,28.21,27.93,28.0,400015
2014-08-15,28.07,28.28,27.96,28.21,709443
2014-08-18,28.26,28.46,27.99,28.1,1422861
2014-08-19,28.09,28.2,28.07,28.09,907823
2014-08-20,28.0,28.23,28.0,28.12,827176
2014-08-21,28.11,28.4,28.06,28.09,1494024
2014-08-22,28.06,28.48,28.0,28.39,2078629
2014-08-25,28.56,28.88,28.21,28.39,2344279
2014-08-26,28.47,28.62,28.22,28.4,1089990
2014-08-27,28.5,28.69,28.14,28.23,1261848
2014-08-28,27.94,28.42,27.65,28.27,2399894
2014-08-29,28.36,28.46,28.07,28.31,1622936
2014-09-02,28.23,28.41,28.08,28.14,1469081
2014-09-03,28.16,28.26,27.8,27.87,1237125
2014-09-04,27.85,28.0,27.5,27.54,1140683
2014-09-05,27.49,27.7,27.35,27.58,1193407
2014-09-08,27.5,27.85,27.46,27.76,3760326
2014-09-09,27.82,27.87,27.46,27.81,1291391
2014-09-10,27.81,28.35,27.75,28.26,2590957
2014-09-11,28.25,28.25,27.99,28.17,1142000
2014-09-12,28.13,28.23,27.71,27.75,1157144
2014-09-15,27.74,27.96,27.54,27.85,1272399
2014-09-16,27.8,28.02,27.8,27.87,913115
2014-09-17,27.87,28.41,27.87,28.11,1410817
2014-09-18,28.15,28.45,28.05,28.14,1440137
2014-09-19,28.11,28.19,27.73,27.78,2934340
2014-09-22,27.78,27.85,27.4,27.55,1665734
2014-09-23,27.53,27.58,27.16,27.16,1764639
2014-09-24,27.33,28.24,27.02,28.14,2419411
2014-09-25,28.09,28.15,27.75,28.06,1705713
2014-09-26,28.05,28.35,28.01,28.24,1031320
2014-09-29,28.13,28.13,27.79,27.86,916072
2014-09-30,27.79,27.89,27.59,27.74,1260400
2014-10-01,27.72,27.76,27.51,27.56,2035557
2014-10-02,27.51,27.65,27.32,27.46,1620728
2014-10-03,27.61,27.73,27.49,27.49,958717
2014-10-06,27.57,27.61,27.36,27.55,1016003
2014-10-07,27.45,27.48,26.95,26.96,1081531
2014-10-08,26.91,27.49,26.81,27.43,811657
2014-10-09,27.4,27.45,26.69,26.69,1258538
2014-10-10,26.67,26.91,26.57,26.67,921234
2014-10-13,26.68,26.93,26.19,26.21,1373046
2014-10-14,26.27,26.57,26.02,26.25,1522806
2014-10-15,25.93,27.2,25.65,26.98,3493732
2014-10-16,26.68,27.76,26.5,27.34,2007185
2014-10-17,27.51,28.25,27.44,28.04,1958560
