Date,Open,High,Low,Close,Volume
2000-06-29,11.5,11.89,11.24,11.24,477001
2000-06-30,11.76,11.8,8.94,9.3,1475199
2000-07-03,9.99,10.38,9.86,9.99,611899
2000-07-05,9.73,11.04,9.73,10.94,475200
2000-07-06,11.04,11.3,10.74,11.24,213601
2000-07-07,11.14,11.14,10.78,11.07,157100
2000-07-10,11.01,11.04,10.61,10.94,117999
2000-07-11,10.71,10.78,10.25,10.32,181699
2000-07-12,10.65,10.94,10.38,10.84,253500
2000-07-13,10.74,10.97,10.74,10.78,109800
2000-07-14,10.84,10.97,10.65,10.91,183401
2000-07-17,10.97,11.04,10.58,10.68,85499
2000-07-18,10.71,11.01,10.68,10.91,156099
2000-07-19,10.91,10.97,10.88,10.91,170600
2000-07-20,10.94,11.04,10.91,11.04,164500
2000-07-21,11.04,11.04,10.97,10.97,355701
2000-07-24,10.97,11.07,10.91,10.91,375601
2000-07-25,10.94,11.11,10.94,11.11,168701
2000-07-26,10.97,11.5,10.97,11.5,175301
2000-07-27,11.14,11.6,11.04,11.3,245800
2000-07-28,11.04,11.07,10.78,10.88,128000
2000-07-31,10.84,11.34,10.84,11.3,143301
2000-08-01,11.3,11.3,10.91,10.97,173899
2000-08-02,10.91,11.11,10.84,11.01,84700
2000-08-03,10.97,11.43,10.97,11.4,108799
2000-08-04,11.4,11.43,11.04,11.43,105001
2000-08-07,11.3,11.43,11.04,11.24,110100
2000-08-08,11.24,11.43,11.11,11.2,78400
2000-08-09,11.14,11.24,10.91,11.17,309800
2000-08-10,11.15,11.2,11.11,11.14,181000
2000-08-11,11.14,11.2,11.07,11.14,178400
2000-08-14,11.07,11.17,10.94,11.14,145800
2000-08-15,11.14,11.2,10.97,11.17,145999
2000-08-16,11.04,11.14,11.01,11.01,27600
2000-08-17,11.01,11.07,10.88,10.91,98300
2000-08-18,10.91,11.01,10.88,10.91,76700
2000-08-21,10.91,10.97,10.74,10.78,49701
2000-08-22,10.74,10.97,10.71,10.86,76600
2000-08-23,10.97,10.97,10.74,10.75,36300
2000-08-24,10.78,10.94,10.71,10.84,183300
2000-08-25,10.84,10.91,10.78,10.78,39500
2000-08-28,0.0,10.91,10.78,10.84,91000
2000-08-29,10.91,10.91,10.84,10.91,71700
2000-08-30,10.88,10.97,10.84,10.84,123199
2000-08-31,10.84,11.04,10.84,11.04,161900
2000-09-01,10.91,11.24,10.78,11.15,293100
2000-09-05,11.01,11.01,10.88,10.91,75901
2000-09-06,10.91,11.01,10.84,10.84,100401
2000-09-07,10.84,11.01,10.84,10.97,75901
2000-09-08,10.88,11.14,10.88,11.01,54100
