Date,Open,High,Low,Close,Volume
2010-06-24,17.5,17.8,17.06,17.4,2595006
2010-06-25,17.35,17.85,17.25,17.61,233171
2010-06-28,17.71,17.78,17.32,17.45,92513
2010-06-29,17.23,17.8,16.71,17.33,290278
2010-06-30,17.24,17.47,17.06,17.25,144749
2010-07-01,17.25,17.44,16.75,17.0,420462
2010-07-02,17.0,17.11,16.82,16.99,231170
2010-07-06,17.1,17.24,16.61,16.71,119350
2010-07-07,16.7,16.85,16.32,16.53,151777
2010-07-08,16.53,16.53,16.15,16.39,207189
2010-07-09,16.35,16.6,16.23,16.5,250300
2010-07-12,16.41,16.61,16.25,16.4,83700
2010-07-13,16.48,16.82,16.4,16.76,52784
2010-07-14,16.55,16.85,16.55,16.77,61285
2010-07-15,16.92,16.98,16.56,16.7,231137
2010-07-16,16.75,16.75,16.4,16.55,154542
2010-07-19,16.65,16.65,15.76,16.0,363331
2010-07-20,15.75,16.03,15.45,16.01,115505
2010-07-21,16.08,16.16,15.84,15.86,89751
2010-07-22,15.87,16.5,14.68,16.15,204650
2010-07-23,16.0,16.16,15.92,16.15,120164
2010-07-26,15.9,16.5,15.9,16.42,81164
2010-07-27,16.43,16.43,16.03,16.26,63403
2010-07-28,16.18,16.18,16.0,16.1,39635
2010-07-29,16.13,16.46,15.93,16.3,36282
2010-07-30,16.16,16.46,16.01,16.46,46462
2010-08-02,16.53,16.75,16.33,16.75,31754
2010-08-03,16.66,16.81,16.26,16.7,24765
2010-08-04,16.67,17.0,16.62,16.77,47344
2010-08-05,16.7,16.7,16.45,16.6,14800
2010-08-06,16.6,16.64,16.17,16.64,142839
2010-08-09,16.69,16.71,16.28,16.6,24662
2010-08-10,16.35,16.65,16.2,16.64,13300
2010-08-11,16.41,16.44,16.14,16.27,20892
2010-08-12,16.25,16.51,16.25,16.27,26210
2010-08-13,16.41,16.76,16.41,16.59,47369
2010-08-16,16.46,16.5,16.25,16.5,20513
2010-08-17,16.56,16.69,16.49,16.6,13323
2010-08-18,16.5,16.5,16.18,16.43,21113
2010-08-19,16.33,16.61,16.27,16.58,15031
2010-08-20,16.69,16.84,16.45,16.66,15338
2010-08-23,16.65,16.65,16.27,16.48,11098
2010-08-24,16.33,16.56,16.25,16.35,32503
2010-08-25,16.48,16.48,16.02,16.41,39486
2010-08-26,16.37,16.38,16.25,16.35,9625
2010-08-27,16.28,16.54,16.25,16.48,12401
2010-08-30,16.45,16.45,16.25,16.3,16474
2010-08-31,16.16,16.5,16.11,16.46,15647
2010-09-01,16.33,16.57,16.13,16.5,3480
2010-09-02,16.25,16.42,16.15,16.36,7853
2010-09-03,16.4,16.83,16.4,16.6,12824
2010-09-07,16.6,16.6,16.3,16.39,25048
2010-09-08,16.35,16.59,16.19,16.48,29700
2010-09-09,16.55,16.62,16.04,16.37,20734
2010-09-10,16.4,16.41,16.2,16.41,37310
2010-09-13,16.6,16.65,16.2,16.57,65643
2010-09-14,16.48,16.66,16.46,16.58,35287
2010-09-15,16.62,16.75,16.54,16.6,33141
2010-09-16,16.48,17.0,16.48,16.93,95475
2010-09-17,16.66,17.04,16.4,16.56,92837
2010-09-20,16.58,17.03,16.46,16.93,110869
2010-09-21,16.83,17.0,16.83,16.93,24191
2010-09-22,16.74,16.99,16.37,16.7,78647
2010-09-23,16.5,16.55,16.15,16.55,73509
2010-09-24,16.53,16.61,16.05,16.2,111814
2010-09-27,16.14,16.55,15.94,16.39,236625
2010-09-28,16.28,16.64,15.98,16.08,83230
2010-09-29,16.07,16.4,15.96,16.15,75446
2010-09-30,16.2,16.62,16.05,16.37,1290032
2010-10-01,16.43,16.45,16.23,16.43,244824
2010-10-04,16.36,16.44,16.12,16.37,84235
2010-10-05,16.5,16.5,16.04,16.34,91125
2010-10-06,16.38,16.53,16.03,16.52,153463
2010-10-07,16.6,16.67,16.11,16.31,67445
2010-10-08,16.27,16.5,16.17,16.39,30873
2010-10-11,16.46,16.46,16.15,16.3,24195
2010-10-12,16.21,16.37,16.14,16.17,17794
2010-10-13,16.26,16.46,16.2,16.37,74657
2010-10-14,16.43,16.46,16.2,16.29,38540
2010-10-15,16.33,16.45,16.22,16.28,58969
2010-10-18,16.27,16.42,15.97,16.25,79402
2010-10-19,16.1,16.25,15.87,16.04,83480
2010-10-20,16.0,16.2,15.95,16.13,79514
2010-10-21,16.22,16.37,16.02,16.1,87873
2010-10-22,16.11,16.2,16.07,16.12,33299
2010-10-25,16.19,16.19,16.05,16.1,34161
2010-10-26,16.01,16.18,15.97,16.02,55284
2010-10-27,15.95,16.11,15.77,15.92,35830
2010-10-28,16.03,16.1,15.88,15.93,70756
2010-10-29,15.93,16.1,15.76,16.0,38177
2010-11-01,16.09,16.09,15.9,15.97,35285
2010-11-02,16.09,16.09,15.9,15.95,90145
2010-11-03,15.95,16.0,15.85,16.0,29078
2010-11-04,16.14,16.32,15.9,16.17,62076
2010-11-05,16.12,16.12,15.95,15.98,46730
2010-11-08,16.0,16.4,15.96,16.3,56774
2010-11-09,16.27,16.4,15.65,15.76,187372
2010-11-10,15.56,16.04,15.36,15.98,121188
2010-11-11,15.88,16.13,15.8,16.0,214350
2010-11-12,15.92,16.02,15.78,15.9,68495
2010-11-15,16.01,16.08,15.91,15.98,90501
2010-11-16,15.91,16.0,15.59,15.6,68132
2010-11-17,15.75,15.8,15.62,15.7,82863
2010-11-18,15.8,15.95,15.49,15.65,120426
2010-11-19,15.61,15.75,15.19,15.51,115788
2010-11-22,15.53,15.79,15.31,15.6,99916
2010-11-23,15.48,15.82,15.29,15.71,152783
2010-11-24,15.79,15.88,15.44,15.79,66628
2010-11-26,15.65,15.98,15.53,15.9,19214
2010-11-29,15.85,15.94,15.68,15.79,123145
2010-11-30,15.68,15.99,15.1,15.26,484538
2010-12-01,15.44,15.53,14.86,15.27,195784
2010-12-02,15.26,15.45,15.13,15.41,86086
2010-12-03,15.37,15.65,15.27,15.46,94775
2010-12-06,15.42,15.53,15.3,15.31,54033
2010-12-07,15.41,15.55,15.31,15.39,64463
2010-12-08,15.45,15.45,15.34,15.36,31970
2010-12-09,15.41,15.41,15.27,15.32,46364
2010-12-10,15.3,15.5,15.3,15.4,70446
2010-12-13,15.38,15.39,15.22,15.29,148708
2010-12-14,15.35,15.38,15.17,15.18,108633
2010-12-15,15.21,15.28,15.05,15.13,94254
2010-12-16,15.09,15.14,14.93,15.0,245410
2010-12-17,14.98,15.11,14.9,15.1,351852
2010-12-20,15.13,15.36,14.99,14.99,209120
2010-12-21,15.05,15.08,14.94,14.99,131806
2010-12-22,14.98,15.1,14.94,15.01,128272
2010-12-23,14.99,15.15,14.99,15.1,29683
2010-12-27,15.14,15.14,15.02,15.1,36661
2010-12-28,15.06,15.16,14.77,14.9,234898
2010-12-29,14.89,15.07,14.54,14.69,111384
2010-12-30,14.64,15.07,14.64,14.8,221623
2010-12-31,14.81,15.1,14.81,15.05,90677
2011-01-03,15.15,15.21,15.06,15.21,54267
2011-01-04,15.27,15.32,14.99,15.11,50300
2011-01-05,15.12,15.26,15.0,15.19,418455
2011-01-06,15.16,15.28,15.08,15.17,307882
2011-01-07,15.17,15.2,15.04,15.15,61143
2011-01-10,15.11,15.39,14.99,15.15,87443
2011-01-11,15.19,15.2,15.03,15.16,40057
2011-01-12,15.26,15.28,15.13,15.21,79055
2011-01-13,15.22,15.22,15.1,15.14,39659
2011-01-14,15.19,15.22,15.1,15.22,123040
