Date,Open,High,Low,Close,Volume
2000-06-30,57.88,58.44,57.75,57.94,52700
2000-07-03,57.75,58.56,57.75,58.5,48800
2000-07-05,58.44,58.44,58.06,58.25,70600
2000-07-06,58.0,58.44,57.88,58.38,56100
2000-07-07,57.88,58.44,57.75,58.31,84700
2000-07-10,58.44,59.0,58.38,58.75,63900
2000-07-11,60.31,62.06,60.31,62.06,139400
2000-07-12,64.62,65.25,64.5,64.62,138400
2000-07-13,64.62,64.62,63.0,64.06,60000
2000-07-14,64.12,64.44,63.38,64.19,41100
2000-07-17,64.0,64.06,63.12,63.5,99000
2000-07-18,63.31,63.62,62.62,62.81,85200
2000-07-19,63.62,64.38,63.62,63.81,44200
2000-07-20,64.25,66.25,64.25,65.69,107100
2000-07-21,65.44,65.81,65.12,65.75,57000
2000-07-24,66.0,66.44,65.62,65.75,90100
2000-07-25,68.25,68.5,67.25,68.31,111400
2000-07-26,68.44,69.0,67.0,67.12,135900
2000-07-27,67.88,69.25,67.88,68.25,91400
2000-07-28,67.5,67.62,66.62,66.62,70600
2000-07-31,68.0,69.5,67.38,69.31,121900
2000-08-01,67.75,68.69,67.5,67.94,129500
2000-08-02,67.5,68.62,67.5,68.38,82400
2000-08-03,68.31,68.94,67.75,68.75,80800
2000-08-04,69.56,70.44,69.12,69.69,80700
2000-08-07,70.0,70.75,69.94,70.62,71600
2000-08-08,69.88,70.0,69.06,69.94,121500
2000-08-09,70.5,71.0,70.25,70.56,77100
2000-08-10,71.0,71.75,71.0,71.5,99500
2000-08-11,71.0,72.19,70.62,72.19,140200
2000-08-14,71.0,72.0,70.5,72.0,163700
2000-08-15,72.25,73.0,72.25,72.75,57800
2000-08-16,71.62,72.25,71.12,71.25,849600
2000-08-17,71.0,71.31,69.88,70.0,381300
2000-08-18,70.75,71.5,70.69,71.5,420300
2000-08-21,72.0,72.62,72.0,72.25,120900
2000-08-22,73.38,74.25,73.12,73.94,128000
2000-08-23,73.38,74.0,73.12,73.94,86900
2000-08-24,74.0,74.0,73.31,73.62,39300
2000-08-25,72.75,73.0,71.75,72.75,121600
2000-08-28,0.0,73.31,71.0,72.62,361000
2000-08-29,72.0,72.88,71.38,72.75,114700
2000-08-30,72.0,72.44,71.62,72.0,99400
2000-08-31,72.0,72.44,71.75,72.44,76700
2000-09-01,73.88,74.62,73.88,74.44,88400
2000-09-05,73.0,74.5,73.0,74.38,60500
2000-09-06,74.12,75.38,74.0,74.69,107900
2000-09-07,74.5,74.94,74.0,74.62,63500
2000-09-08,73.75,74.88,73.31,74.06,88600
2000-09-11,72.88,73.88,72.88,73.88,48200
2000-09-12,73.25,73.31,72.5,73.25,70800
2000-09-13,72.0,72.12,71.31,71.94,115700
2000-09-14,72.62,73.0,72.38,72.75,89200
2000-09-15,71.75,71.75,70.56,71.06,54900
2000-09-18,68.94,69.25,68.38,68.62,91400
2000-09-19,69.12,70.0,68.75,70.0,95900
2000-09-20,69.62,69.69,68.12,68.62,44300
2000-09-21,68.62,68.88,67.5,68.88,47200
2000-09-22,67.5,69.25,67.5,69.25,45300
2000-09-25,70.02,70.59,69.4,69.91,79700
2000-09-26,70.85,71.35,70.0,70.48,73700
2000-09-27,71.02,71.6,70.85,71.1,70800
2000-09-28,70.5,72.5,70.5,72.5,50300
2000-09-29,71.74,72.1,71.1,71.4,91700
2000-10-02,71.2,71.85,70.4,70.85,55600
2000-10-03,72.4,72.98,72.36,72.39,72900
2000-10-04,72.6,73.1,72.25,72.85,72000
2000-10-05,72.85,74.7,72.85,74.7,62300
2000-10-06,72.8,73.75,72.1,72.12,74600
2000-10-09,71.0,71.2,70.35,71.03,37300
2000-10-10,69.65,69.8,69.1,69.26,62000
2000-10-11,66.5,68.45,66.35,68.25,157300
2000-10-12,69.25,69.3,66.45,66.47,94600
2000-10-13,66.22,69.0,66.22,68.99,105700
2000-10-16,69.75,71.45,69.75,71.0,102400
2000-10-17,71.14,71.45,69.8,70.06,56500
2000-10-18,67.35,69.35,67.2,67.85,80000
2000-10-19,69.0,69.6,68.51,69.25,57900
2000-10-20,70.25,70.55,69.46,69.71,59000
2000-10-23,71.04,72.0,71.0,71.38,58000
2000-10-24,71.72,72.75,71.52,72.35,55200
2000-10-25,71.5,72.3,70.7,70.75,46900
2000-10-26,70.0,70.65,69.3,70.2,68000
2000-10-27,69.85,70.0,68.75,70.0,50100
2000-10-30,68.75,70.69,68.75,70.69,57300
2000-10-31,72.0,72.3,71.5,72.1,61200
2000-11-01,71.85,73.3,71.85,73.3,74400
2000-11-02,75.0,75.9,74.5,74.75,106900
2000-11-03,75.7,75.75,74.8,74.81,56900
2000-11-06,74.81,76.1,74.75,75.81,79200
2000-11-07,75.0,75.8,75.0,75.4,43300
2000-11-08,75.0,75.1,74.1,74.75,71300
2000-11-09,74.5,75.0,74.02,74.15,31600
2000-11-10,74.0,74.45,73.55,74.45,70400
2000-11-13,72.1,73.3,72.01,72.06,140200
2000-11-14,73.1,74.0,73.0,73.49,90800
2000-11-15,72.9,73.35,72.9,73.05,39300
2000-11-16,73.4,73.92,72.8,72.81,35100
2000-11-17,73.4,73.48,72.87,72.95,75100
2000-11-20,73.5,74.3,72.8,72.81,34400
2000-11-21,72.7,72.8,71.8,71.85,64800
2000-11-22,69.9,69.9,68.3,68.3,100700
2000-11-24,69.15,69.7,69.0,69.3,27500
2000-11-27,71.29,72.1,71.29,72.0,101400
2000-11-28,70.9,71.4,70.5,70.51,79600
2000-11-29,69.0,69.3,68.39,69.3,72000
2000-11-30,67.0,67.55,66.7,67.4,98500
2000-12-01,69.0,69.15,68.51,68.7,57000
2000-12-04,69.75,70.2,69.45,69.85,69500
2000-12-05,70.1,72.55,70.1,71.88,114500
2000-12-06,73.85,74.62,71.5,71.8,157500
2000-12-07,72.81,73.86,72.81,73.63,93800
2000-12-08,75.0,75.48,74.06,74.06,97400
2000-12-11,75.4,76.55,75.4,76.55,118400
2000-12-12,75.5,75.5,75.1,75.45,97000
2000-12-13,75.2,76.35,74.66,75.5,145800
2000-12-14,73.7,73.7,72.61,72.76,107700
2000-12-15,70.75,70.75,69.8,70.13,131400
2000-12-18,72.0,73.1,71.9,72.6,99800
2000-12-19,74.05,74.9,74.05,74.11,105100
2000-12-20,72.0,72.45,69.5,69.75,96200
2000-12-21,70.75,72.99,70.51,72.74,61400
2000-12-22,72.75,73.7,72.75,73.25,45500
2000-12-26,73.3,73.4,72.15,72.26,23000
2000-12-27,72.25,72.8,72.01,72.25,155200
2000-12-28,73.85,74.25,72.26,73.0,104300
2000-12-29,73.25,73.75,73.1,73.6,48800
2001-01-02,73.0,73.0,71.1,71.16,78300
2001-01-03,71.9,74.25,71.15,74.25,232200
2001-01-04,75.9,76.99,75.75,76.3,200000
2001-01-05,76.75,77.2,74.8,74.8,183500
2001-01-08,75.55,76.0,75.45,76.0,168300
2001-01-09,75.25,75.74,74.3,75.0,177600
2001-01-10,74.23,75.12,74.1,74.9,137700
2001-01-11,73.25,74.9,73.15,74.89,93800
2001-01-12,73.75,74.29,73.4,73.75,70600
2001-01-16,72.5,73.8,72.1,73.1,97500
2001-01-17,73.35,74.0,73.35,73.95,86100
2001-01-18,74.4,75.5,74.36,75.0,83300
2001-01-19,75.0,76.9,74.4,76.88,2275600
2001-01-22,75.3,76.3,75.3,76.0,63700
2001-01-23,77.5,78.24,77.5,77.7,104400
2001-01-24,79.8,79.9,79.18,79.39,136100
2001-01-25,78.7,79.5,78.7,79.2,85400
2001-01-26,78.0,80.0,77.9,79.71,134800
2001-01-29,78.5,79.48,78.35,79.41,103400
2001-01-30,78.8,78.8,77.8,78.41,141200
2001-01-31,77.15,78.25,77.15,77.7,121500
2001-02-01,77.0,78.1,76.91,77.95,74900
2001-02-02,77.8,78.15,77.12,77.21,69400
2001-02-05,77.0,78.12,77.0,77.93,78200
2001-02-06,78.15,78.31,78.02,78.06,75100
2001-02-07,77.5,77.55,76.65,77.55,70600
2001-02-08,77.0,77.54,75.95,76.1,110500
2001-02-09,76.2,77.0,76.05,76.55,40400
2001-02-12,76.8,77.34,76.75,76.95,55000
2001-02-13,78.0,78.55,77.23,77.3,94500
2001-02-14,77.63,78.2,77.63,78.05,129500
2001-02-15,78.02,78.22,77.8,77.85,62600
2001-02-16,76.0,77.05,76.0,76.85,91700
2001-02-20,76.6,77.4,75.81,75.82,119400
2001-02-21,75.0,75.59,75.0,75.0,89500
2001-02-22,74.75,74.8,74.2,74.6,104900
2001-02-23,74.4,74.75,73.73,74.5,161400
2001-02-26,70.5,70.9,69.19,70.5,511200
2001-02-27,66.0,67.25,65.2,66.1,439000
2001-02-28,67.5,67.7,66.4,66.5,108300
2001-03-01,66.0,66.4,65.55,66.15,83600
2001-03-02,65.4,66.1,65.4,65.77,115200
2001-03-05,66.0,66.85,65.7,66.82,90000
2001-03-06,66.78,67.19,66.6,66.99,76700
2001-03-07,66.45,67.0,66.0,67.0,78200
2001-03-08,67.9,68.3,67.55,67.65,104500
2001-03-09,67.05,67.37,66.92,67.05,43000
2001-03-12,65.38,65.38,63.15,63.15,201700
2001-03-13,63.9,64.43,63.51,64.4,106600
2001-03-14,59.5,61.05,59.48,60.0,211600
2001-03-15,61.3,62.4,61.3,61.4,192500
2001-03-16,60.2,60.35,58.95,59.0,116700
2001-03-19,59.33,60.9,59.33,60.9,98100
2001-03-20,60.7,61.0,59.4,59.4,159700
2001-03-21,59.65,59.9,58.58,58.7,102700
2001-03-22,57.0,57.1,55.4,56.25,157200
2001-03-23,57.8,58.2,57.1,58.14,124900
2001-03-26,59.5,60.0,58.15,58.19,140900
2001-03-27,58.6,60.1,58.6,60.0,108100
2001-03-28,59.25,59.4,58.4,58.67,79300
2001-03-29,58.9,59.54,58.49,58.49,66300
2001-03-30,60.0,60.4,59.35,59.65,88000
2001-04-02,59.19,60.5,59.16,59.85,82400
2001-04-03,59.5,59.8,58.1,58.15,118100
2001-04-04,59.25,59.48,57.15,57.8,145600
2001-04-05,59.22,60.3,59.2,60.25,158000
2001-04-06,59.1,59.97,58.75,59.01,86700
2001-04-09,59.26,60.01,59.02,60.0,77300
2001-04-10,60.3,61.55,60.3,61.2,101200
2001-04-11,61.45,61.96,61.2,61.88,175500
2001-04-12,61.5,62.5,61.04,62.37,105500
2001-04-16,62.5,62.5,61.6,61.85,70800
2001-04-17,60.66,61.27,60.3,61.21,160000
2001-04-18,60.99,65.71,60.85,65.35,311100
2001-04-19,64.98,65.49,64.22,64.57,133600
2001-04-20,63.8,64.47,63.8,64.47,82400
2001-04-23,63.5,63.5,62.51,62.51,133000
2001-04-24,63.81,64.65,63.41,63.41,115200
2001-04-25,63.51,64.75,63.12,64.72,117900
2001-04-26,64.0,64.49,63.31,63.31,96200
2001-04-27,64.9,66.9,64.9,66.0,154700
2001-04-30,66.2,66.6,65.33,65.34,67700
2001-05-01,64.8,65.75,64.8,65.49,105900
2001-05-02,63.5,64.49,63.05,64.49,150500
2001-05-03,62.38,62.97,61.55,62.53,116500
2001-05-04,63.5,63.5,62.2,63.36,86000
2001-05-07,64.0,64.1,62.5,62.5,63200
2001-05-08,63.25,63.8,63.2,63.8,49300
2001-05-09,63.2,63.99,63.0,63.3,45800
2001-05-10,64.21,64.95,64.0,64.15,85700
2001-05-11,64.35,64.64,63.75,63.83,62300
2001-05-14,62.97,63.0,62.21,63.0,138200
2001-05-15,62.75,63.36,62.34,63.35,101000
2001-05-16,62.78,63.75,62.38,63.22,139900
2001-05-17,64.04,64.74,64.0,64.7,138800
2001-05-18,63.5,64.44,63.35,64.39,226500
2001-05-21,64.38,65.45,64.2,65.38,76400
2001-05-22,65.38,65.53,64.89,65.26,79100
2001-05-23,64.95,64.95,64.2,64.36,61000
2001-05-24,64.8,65.15,64.6,64.86,38900
2001-05-25,65.11,65.11,64.5,64.75,36800
2001-05-29,64.3,64.54,64.05,64.44,105100
2001-05-30,63.88,63.88,63.4,63.44,73700
2001-05-31,63.2,63.77,63.09,63.72,50700
2001-06-01,63.35,63.79,62.7,62.7,54600
2001-06-04,63.7,64.25,63.46,63.9,107900
2001-06-05,63.58,64.22,63.4,64.1,134600
2001-06-06,64.37,64.37,63.11,63.11,118800
2001-06-07,63.16,64.7,63.15,64.61,181300
2001-06-08,64.55,64.55,63.85,63.88,52800
2001-06-11,62.57,62.6,61.8,62.49,111000
2001-06-12,61.03,61.63,60.51,61.4,88900
2001-06-13,61.4,61.4,60.31,60.61,85700
2001-06-14,60.01,60.8,60.01,60.26,62000
2001-06-15,60.2,60.59,59.7,60.35,194100
2001-06-18,61.0,61.0,60.37,60.37,46100
2001-06-19,61.55,61.7,60.75,60.91,47900
2001-06-20,59.9,61.05,59.9,60.82,78800
2001-06-21,61.3,61.5,60.3,61.5,78200
2001-06-22,60.6,60.99,60.31,60.63,48500
2001-06-25,61.3,62.25,61.1,61.83,78500
2001-06-26,59.6,59.86,59.09,59.65,160600
2001-06-27,59.88,60.69,59.88,59.88,106500
2001-06-28,59.84,60.23,59.75,60.09,84700
2001-06-29,60.3,60.3,59.56,59.9,59500
2001-07-02,60.27,61.05,60.1,60.76,135400
2001-07-03,59.95,60.45,59.95,60.2,69900
2001-07-05,59.15,59.48,58.65,58.91,130700
2001-07-06,57.8,58.02,57.31,57.78,141600
2001-07-09,57.29,57.84,57.29,57.3,71000
2001-07-10,57.75,57.95,56.5,56.58,85200
2001-07-11,55.78,56.78,55.51,56.25,208100
2001-07-12,56.95,58.08,56.89,58.01,65400
2001-07-13,57.08,57.87,56.88,57.77,97900
2001-07-16,57.35,57.5,56.92,57.0,154600
2001-07-17,56.12,57.25,56.0,57.12,255600
2001-07-18,56.5,57.0,56.5,56.52,91200
2001-07-19,57.0,58.16,56.96,57.75,58200
2001-07-20,56.91,57.95,56.65,57.25,66000
2001-07-23,57.56,57.78,57.01,57.12,45600
2001-07-24,57.38,57.75,56.91,57.02,79300
2001-07-25,56.85,57.01,56.5,57.01,74300
2001-07-26,56.4,56.86,56.15,56.86,81700
2001-07-27,57.4,57.6,57.16,57.26,48000
2001-07-30,57.87,58.03,57.5,57.83,84900
2001-07-31,58.02,59.0,58.02,58.82,86800
2001-08-01,59.52,60.0,59.25,59.74,94200
2001-08-02,60.29,60.36,59.45,60.03,91300
2001-08-03,59.25,59.58,58.9,59.58,63400
2001-08-06,60.34,60.99,60.11,60.25,401300
2001-08-07,59.98,60.85,59.83,60.59,186700
2001-08-08,59.97,60.58,59.9,59.9,76200
2001-08-09,59.0,59.18,58.5,59.15,146200
2001-08-10,59.7,60.2,59.6,60.2,56700
2001-08-13,59.87,59.9,59.5,59.85,69800
2001-08-14,61.2,61.6,60.8,60.9,127600
2001-08-15,61.4,61.86,61.13,61.86,73000
2001-08-16,61.55,61.55,60.13,60.8,200400
2001-08-17,60.56,60.57,59.99,59.99,237900
2001-08-20,60.0,60.52,59.99,60.15,140600
2001-08-21,61.04,61.49,60.31,60.32,165800
2001-08-22,60.85,60.96,60.35,60.35,114700
2001-08-23,59.53,59.85,59.42,59.62,84800
2001-08-24,59.95,60.86,59.95,60.64,162800
2001-08-27,60.64,61.24,60.55,60.95,46900
