Date,Open,High,Low,Close,Volume
2000-06-30,21.5,22.0,21.5,21.75,700
2000-07-03,,,,21.75,0
2000-07-05,22.0,23.0,21.5,22.0,3075
2000-07-06,23.0,23.0,23.0,23.0,375
2000-07-07,23.0,23.25,22.25,22.25,2800
2000-07-10,22.75,22.75,22.75,22.75,25
2000-07-11,23.75,24.0,22.5,22.5,2125
2000-07-12,23.0,23.0,22.5,22.5,175
2000-07-13,23.0,23.0,23.0,23.0,25
2000-07-14,23.5,24.25,23.5,24.0,1000
2000-07-17,23.5,24.0,23.25,24.0,850
2000-07-18,24.25,24.25,24.0,24.0,175
2000-07-19,23.75,23.75,23.75,23.75,125
2000-07-20,23.5,24.0,23.0,24.0,525
2000-07-21,23.5,24.0,23.25,24.0,500
2000-07-24,24.25,24.25,24.25,24.25,1075
2000-07-25,24.0,24.0,23.0,23.0,875
2000-07-26,23.5,23.75,23.5,23.75,375
2000-07-27,23.75,23.75,23.0,23.0,1025
2000-07-28,23.5,23.5,23.25,23.5,250
2000-07-31,23.5,23.5,23.5,23.5,100
2000-08-01,,,,23.5,0
2000-08-02,23.0,23.75,22.75,23.0,1100
2000-08-03,23.5,24.0,22.5,23.5,1025
2000-08-04,23.5,23.5,22.0,22.75,1050
2000-08-07,23.25,23.25,22.75,22.75,250
2000-08-08,23.5,23.5,22.5,22.5,825
2000-08-09,22.75,23.5,22.75,23.5,600
2000-08-10,23.0,23.0,23.0,23.0,750
2000-08-11,,,,23.0,0
2000-08-14,23.5,24.0,23.5,24.0,1425
2000-08-15,23.5,23.5,23.5,23.5,500
2000-08-16,23.5,23.5,23.25,23.25,1625
2000-08-17,23.5,24.0,23.5,24.0,1425
2000-08-18,24.0,24.0,24.0,24.0,1075
2000-08-21,24.0,24.0,24.0,24.0,750
2000-08-22,,,,24.0,0
2000-08-23,,,,24.0,0
2000-08-24,,,,24.0,0
2000-08-25,23.75,23.75,23.5,23.5,600
2000-08-28,0.0,23.75,23.5,23.75,650
2000-08-29,23.75,23.75,23.5,23.5,225
2000-08-30,23.5,23.75,23.5,23.5,975
2000-08-31,,,,23.5,0
2000-09-01,,,,23.5,0
2000-09-05,23.5,23.5,23.25,23.5,3125
2000-09-06,23.25,23.75,23.25,23.5,575
2000-09-07,23.75,23.75,23.75,23.75,400
2000-09-08,23.75,24.0,23.75,24.0,275
2000-09-11,24.0,24.0,23.5,23.5,1175
2000-09-12,0.0,23.75,23.75,23.75,325
2000-09-13,24.0,24.25,23.75,24.25,8775
2000-09-14,24.25,24.25,24.0,24.0,10725
2000-09-15,24.25,24.25,24.0,24.0,500
2000-09-18,24.25,24.25,24.25,24.25,175
2000-09-19,24.25,24.25,24.0,24.0,2075
2000-09-20,24.0,24.25,23.75,24.25,1175
2000-09-21,23.75,24.0,23.75,24.0,1025
2000-09-22,24.0,24.25,24.0,24.0,425
2000-09-25,24.0,24.0,23.75,24.0,950
2000-09-26,23.75,24.0,23.0,23.0,950
2000-09-27,23.0,24.0,23.0,23.5,850
2000-09-28,23.25,23.75,23.25,23.25,175
2000-09-29,24.0,24.0,24.0,24.0,150
2000-10-02,23.5,23.5,23.0,23.25,1475
2000-10-03,,,,23.25,0
2000-10-04,,,,23.25,0
2000-10-05,23.5,23.5,23.5,23.5,700
2000-10-06,23.5,23.5,23.5,23.5,700
2000-10-09,23.0,23.0,23.0,23.0,175
2000-10-10,23.0,23.0,23.0,23.0,150
2000-10-11,,,,23.0,0
2000-10-12,23.5,23.5,23.0,23.25,200
2000-10-13,23.0,23.0,22.75,22.75,300
2000-10-16,,,,22.75,0
2000-10-17,22.75,22.75,22.75,22.75,375
2000-10-18,23.25,23.25,22.5,22.5,525
2000-10-19,22.25,23.25,22.25,23.25,400
2000-10-20,22.25,22.75,22.25,22.5,625
2000-10-23,,,,22.5,0
2000-10-24,23.0,23.5,23.0,23.5,900
2000-10-25,23.75,23.75,22.75,23.0,2175
2000-10-26,,,,23.0,0
2000-10-27,22.75,22.75,22.75,22.75,850
2000-10-30,22.25,23.0,22.25,23.0,1550
2000-10-31,23.0,23.0,23.0,23.0,50
2000-11-01,23.25,23.25,23.25,23.25,100
2000-11-02,,,,23.25,0
2000-11-03,23.0,23.5,22.75,23.5,400
2000-11-06,23.25,23.75,23.0,23.0,650
2000-11-07,23.0,23.0,23.0,23.0,50
2000-11-08,23.25,23.25,23.25,23.25,300
2000-11-09,23.5,23.5,23.5,23.5,25
2000-11-10,23.5,23.5,23.5,23.5,25
2000-11-13,,,,23.5,0
2000-11-14,23.5,23.5,23.0,23.0,275
2000-11-15,23.25,23.5,23.25,23.25,100
2000-11-16,,,,23.25,0
2000-11-17,,,,23.25,0
2000-11-20,,,,23.25,0
2000-11-21,,,,23.25,0
2000-11-22,22.5,23.0,22.5,23.0,325
2000-11-24,,,,23.0,0
2000-11-27,22.5,23.0,22.25,23.0,525
2000-11-28,23.5,23.5,23.5,23.5,375
2000-11-29,23.5,23.5,23.5,23.5,525
2000-11-30,23.75,23.75,22.75,22.75,1075
2000-12-01,23.5,23.5,22.75,22.75,275
2000-12-04,23.0,23.5,22.75,23.5,3250
2000-12-05,22.75,23.0,22.75,23.0,325
2000-12-06,23.0,23.0,23.0,23.0,75
2000-12-07,23.0,23.5,22.5,23.5,575
2000-12-08,23.75,23.75,23.5,23.5,425
2000-12-11,23.25,23.75,23.0,23.0,2950
2000-12-12,,,,23.0,0
2000-12-13,,,,23.0,0
2000-12-14,22.5,22.5,22.5,22.5,50
2000-12-15,23.0,23.5,22.5,22.5,425
2000-12-18,23.5,23.5,22.25,22.25,425
2000-12-19,,,,22.25,0
2000-12-20,23.25,23.25,22.0,22.0,2325
2000-12-21,22.0,23.0,22.0,22.0,325
2000-12-22,22.5,22.5,22.5,22.5,100
2000-12-26,22.25,22.25,22.25,22.25,50
2000-12-27,22.75,22.75,22.75,22.75,50
2000-12-28,22.25,23.0,22.0,23.0,425
2000-12-29,22.75,22.75,22.25,22.25,125
2001-01-02,22.75,22.75,22.75,22.75,500
2001-01-03,22.5,22.5,22.5,22.5,25
2001-01-04,22.5,23.5,22.5,23.5,1800
2001-01-05,,,,23.5,0
